ด๚ย๋,ผ๒ณฦ,ศีฦฺ,สีลฬผÛ(ิช),
603027.SH,วงบฬฮถาต,20160307,6.5566,
603027.SH,วงบฬฮถาต,20160308,7.2108,
603027.SH,วงบฬฮถาต,20160309,7.9343,
603027.SH,วงบฬฮถาต,20160310,8.7273,
603027.SH,วงบฬฮถาต,20160311,9.5995,
603027.SH,วงบฬฮถาต,20160314,10.561,
603027.SH,วงบฬฮถาต,20160315,11.6166,
603027.SH,วงบฬฮถาต,20160316,12.7762,
603027.SH,วงบฬฮถาต,20160317,14.0548,
603027.SH,วงบฬฮถาต,20160318,14.4761,
603027.SH,วงบฬฮถาต,20160321,14.9618,
603027.SH,วงบฬฮถาต,20160322,14.372,
603027.SH,วงบฬฮถาต,20160323,14.0747,
603027.SH,วงบฬฮถาต,20160324,15.4821,
603027.SH,วงบฬฮถาต,20160325,14.7982,
603027.SH,วงบฬฮถาต,20160328,14.0301,
603027.SH,วงบฬฮถาต,20160329,13.4998,
603027.SH,วงบฬฮถาต,20160330,13.9656,
603027.SH,วงบฬฮถาต,20160331,13.7278,
603027.SH,วงบฬฮถาต,20160401,13.8616,
603027.SH,วงบฬฮถาต,20160405,13.9706,
603027.SH,วงบฬฮถาต,20160406,13.8318,
603027.SH,วงบฬฮถาต,20160407,13.817,
603027.SH,วงบฬฮถาต,20160408,13.8318,
603027.SH,วงบฬฮถาต,20160411,14.5901,
603027.SH,วงบฬฮถาต,20160412,14.6297,
603027.SH,วงบฬฮถาต,20160413,14.6644,
603027.SH,วงบฬฮถาต,20160414,16.1314,
603027.SH,วงบฬฮถาต,20160415,15.8043,
603027.SH,วงบฬฮถาต,20160418,15.1402,
603027.SH,วงบฬฮถาต,20160419,15.1451,
603027.SH,วงบฬฮถาต,20160420,14.4612,
603027.SH,วงบฬฮถาต,20160421,14.1193,
603027.SH,วงบฬฮถาต,20160422,14.2085,
603027.SH,วงบฬฮถาต,20160425,13.8863,
603027.SH,วงบฬฮถาต,20160426,14.1292,
603027.SH,วงบฬฮถาต,20160427,14.2432,
603027.SH,วงบฬฮถาต,20160428,13.9706,
603027.SH,วงบฬฮถาต,20160429,13.9111,
603027.SH,วงบฬฮถาต,20160503,14.6248,
603027.SH,วงบฬฮถาต,20160504,14.8726,
603027.SH,วงบฬฮถาต,20160505,15.0163,
603027.SH,วงบฬฮถาต,20160506,14.3571,
603027.SH,วงบฬฮถาต,20160509,13.7624,
603027.SH,วงบฬฮถาต,20160510,14.0548,
603027.SH,วงบฬฮถาต,20160511,14.6049,
603027.SH,วงบฬฮถาต,20160512,13.8715,
603027.SH,วงบฬฮถาต,20160513,13.7624,
603027.SH,วงบฬฮถาต,20160516,14.1936,
603027.SH,วงบฬฮถาต,20160517,13.8715,
603027.SH,วงบฬฮถาต,20160518,13.3362,
603027.SH,วงบฬฮถาต,20160519,13.3412,
603027.SH,วงบฬฮถาต,20160520,13.4849,
603027.SH,วงบฬฮถาต,20160523,13.8764,
603027.SH,วงบฬฮถาต,20160524,13.6435,
603027.SH,วงบฬฮถาต,20160525,13.698,
603027.SH,วงบฬฮถาต,20160526,13.8616,
603027.SH,วงบฬฮถาต,20160527,14.5802,
603027.SH,วงบฬฮถาต,20160530,14.4315,
603027.SH,วงบฬฮถาต,20160531,15.1303,
603027.SH,วงบฬฮถาต,20160601,15.1253,
603027.SH,วงบฬฮถาต,20160602,15.8786,
603027.SH,วงบฬฮถาต,20160603,16.2106,
603027.SH,วงบฬฮถาต,20160606,16.4882,
603027.SH,วงบฬฮถาต,20160607,17.1423,
603027.SH,วงบฬฮถาต,20160608,16.2602,
603027.SH,วงบฬฮถาต,20160613,14.6545,
603027.SH,วงบฬฮถาต,20160614,15.2343,
603027.SH,วงบฬฮถาต,20160615,16.0471,
603027.SH,วงบฬฮถาต,20160616,15.8687,
603027.SH,วงบฬฮถาต,20160617,16.4006,
603027.SH,วงบฬฮถาต,20160620,16.9873,
603027.SH,วงบฬฮถาต,20160621,16.5647,
603027.SH,วงบฬฮถาต,20160622,17.2657,
603027.SH,วงบฬฮถาต,20160623,17.3502,
603027.SH,วงบฬฮถาต,20160624,16.7287,
603027.SH,วงบฬฮถาต,20160627,17.7529,
603027.SH,วงบฬฮถาต,20160628,17.7181,
603027.SH,วงบฬฮถาต,20160629,18.598,
603027.SH,วงบฬฮถาต,20160630,17.5341,
603027.SH,วงบฬฮถาต,20160701,17.7031,
603027.SH,วงบฬฮถาต,20160704,18.419,
603027.SH,วงบฬฮถาต,20160705,18.9261,
603027.SH,วงบฬฮถาต,20160706,19.0703,
603027.SH,วงบฬฮถาต,20160707,19.11,
603027.SH,วงบฬฮถาต,20160708,19.4332,
603027.SH,วงบฬฮถาต,20160711,18.8416,
603027.SH,วงบฬฮถาต,20160712,19.7116,
603027.SH,วงบฬฮถาต,20160713,19.3636,
603027.SH,วงบฬฮถาต,20160714,20.0795,
603027.SH,วงบฬฮถาต,20160715,19.8657,
603027.SH,วงบฬฮถาต,20160718,19.3785,
603027.SH,วงบฬฮถาต,20160719,19.1051,
603027.SH,วงบฬฮถาต,20160720,19.0056,
603027.SH,วงบฬฮถาต,20160721,18.7521,
603027.SH,วงบฬฮถาต,20160722,17.9219,
603027.SH,วงบฬฮถาต,20160725,17.9418,
603027.SH,วงบฬฮถาต,20160726,18.1108,
603027.SH,วงบฬฮถาต,20160727,16.8978,
603027.SH,วงบฬฮถาต,20160728,16.8829,
603027.SH,วงบฬฮถาต,20160729,16.7983,
603027.SH,วงบฬฮถาต,20160801,16.0079,
603027.SH,วงบฬฮถาต,20160802,16.3957,
603027.SH,วงบฬฮถาต,20160803,16.8878,
603027.SH,วงบฬฮถาต,20160804,16.8182,
603027.SH,วงบฬฮถาต,20160805,16.8133,
603027.SH,วงบฬฮถาต,20160808,16.7635,
603027.SH,วงบฬฮถาต,20160809,17.1016,
603027.SH,วงบฬฮถาต,20160810,17.1364,
603027.SH,วงบฬฮถาต,20160811,16.515,
603027.SH,วงบฬฮถาต,20160812,16.679,
603027.SH,วงบฬฮถาต,20160815,18.3494,
603027.SH,วงบฬฮถาต,20160816,19.4531,
603027.SH,วงบฬฮถาต,20160817,19.0156,
603027.SH,วงบฬฮถาต,20160818,19.2095,
603027.SH,วงบฬฮถาต,20160819,18.8714,
603027.SH,วงบฬฮถาต,20160822,18.1804,
