代码,简称,日期,收盘价(元),
000876.SZ,新希望,19980311,0.9651,
000876.SZ,新希望,19980312,0.9441,
000876.SZ,新希望,19980313,0.9464,
000876.SZ,新希望,19980316,1.0048,
000876.SZ,新希望,19980317,1.0094,
000876.SZ,新希望,19980318,1.0383,
000876.SZ,新希望,19980319,1.0048,
000876.SZ,新希望,19980320,1.0582,
000876.SZ,新希望,19980323,1.0576,
000876.SZ,新希望,19980324,1.0372,
000876.SZ,新希望,19980325,1.0128,
000876.SZ,新希望,19980326,0.9986,
000876.SZ,新希望,19980327,1.0196,
000876.SZ,新希望,19980330,1.0077,
000876.SZ,新希望,19980331,1.0258,
000876.SZ,新希望,19980401,0.9992,
000876.SZ,新希望,19980402,0.9889,
000876.SZ,新希望,19980403,0.9997,
000876.SZ,新希望,19980406,1.0219,
000876.SZ,新希望,19980407,1.1229,
000876.SZ,新希望,19980408,1.0923,
000876.SZ,新希望,19980409,1.0559,
000876.SZ,新希望,19980410,1.0775,
000876.SZ,新希望,19980413,1.09,
000876.SZ,新希望,19980414,1.0707,
000876.SZ,新希望,19980415,1.0735,
000876.SZ,新希望,19980416,1.0497,
000876.SZ,新希望,19980417,1.0236,
000876.SZ,新希望,19980420,1.0151,
000876.SZ,新希望,19980421,1.0156,
000876.SZ,新希望,19980422,1.0457,
000876.SZ,新希望,19980423,1.0258,
000876.SZ,新希望,19980424,1.0213,
000876.SZ,新希望,19980427,1.0412,
000876.SZ,新希望,19980428,1.0644,
000876.SZ,新希望,19980429,1.0565,
000876.SZ,新希望,19980430,1.0508,
000876.SZ,新希望,19980504,1.1116,
000876.SZ,新希望,19980505,1.0854,
000876.SZ,新希望,19980506,1.0667,
000876.SZ,新希望,19980507,1.0361,
000876.SZ,新希望,19980508,1.0554,
000876.SZ,新希望,19980511,1.0287,
000876.SZ,新希望,19980512,1.0497,
000876.SZ,新希望,19980513,1.0457,
000876.SZ,新希望,19980514,1.0372,
000876.SZ,新希望,19980515,1.0389,
000876.SZ,新希望,19980518,1.0781,
000876.SZ,新希望,19980519,1.0559,
000876.SZ,新希望,19980520,1.0559,
000876.SZ,新希望,19980521,1.0531,
000876.SZ,新希望,19980522,1.0531,
000876.SZ,新希望,19980525,1.04,
000876.SZ,新希望,19980526,1.0378,
000876.SZ,新希望,19980527,1.027,
000876.SZ,新希望,19980528,1.0196,
000876.SZ,新希望,19980529,1.0281,
000876.SZ,新希望,19980601,1.0207,
000876.SZ,新希望,19980602,1.0474,
000876.SZ,新希望,19980603,1.0292,
000876.SZ,新希望,19980604,1.0928,
000876.SZ,新希望,19980605,1.0951,
000876.SZ,新希望,19980608,1.1116,
000876.SZ,新希望,19980609,1.0786,
000876.SZ,新希望,19980610,1.0894,
000876.SZ,新希望,19980611,1.1155,
000876.SZ,新希望,19980612,1.1348,
000876.SZ,新希望,19980615,1.1116,
000876.SZ,新希望,19980616,1.0889,
