´úÂë,¼ò³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ôª),
600830.SH,ÏãÒçÈÚÍ¨,19940224,0.8209,
600830.SH,ÏãÒçÈÚÍ¨,19940225,0.8678,
600830.SH,ÏãÒçÈÚÍ¨,19940228,0.8035,
600830.SH,ÏãÒçÈÚÍ¨,19940301,0.7443,
600830.SH,ÏãÒçÈÚÍ¨,19940302,0.7331,
600830.SH,ÏãÒçÈÚÍ¨,19940303,0.7423,
600830.SH,ÏãÒçÈÚÍ¨,19940304,0.7862,
600830.SH,ÏãÒçÈÚÍ¨,19940307,0.7943,
600830.SH,ÏãÒçÈÚÍ¨,19940308,0.7606,
600830.SH,ÏãÒçÈÚÍ¨,19940309,0.8015,
600830.SH,ÏãÒçÈÚÍ¨,19940310,0.7259,
600830.SH,ÏãÒçÈÚÍ¨,19940311,0.729,
600830.SH,ÏãÒçÈÚÍ¨,19940314,0.7964,
600830.SH,ÏãÒçÈÚÍ¨,19940315,0.7964,
600830.SH,ÏãÒçÈÚÍ¨,19940316,0.9158,
600830.SH,ÏãÒçÈÚÍ¨,19940317,0.8576,
600830.SH,ÏãÒçÈÚÍ¨,19940318,0.7872,
600830.SH,ÏãÒçÈÚÍ¨,19940321,0.7657,
600830.SH,ÏãÒçÈÚÍ¨,19940322,0.8147,
600830.SH,ÏãÒçÈÚÍ¨,19940323,0.7637,
600830.SH,ÏãÒçÈÚÍ¨,19940324,0.7851,
600830.SH,ÏãÒçÈÚÍ¨,19940325,0.7821,
600830.SH,ÏãÒçÈÚÍ¨,19940328,0.7392,
600830.SH,ÏãÒçÈÚÍ¨,19940329,0.7443,
600830.SH,ÏãÒçÈÚÍ¨,19940330,0.7443,
600830.SH,ÏãÒçÈÚÍ¨,19940331,0.778,
600830.SH,ÏãÒçÈÚÍ¨,19940401,0.7657,
600830.SH,ÏãÒçÈÚÍ¨,19940404,0.7463,
600830.SH,ÏãÒçÈÚÍ¨,19940405,0.7423,
600830.SH,ÏãÒçÈÚÍ¨,19940406,0.7382,
600830.SH,ÏãÒçÈÚÍ¨,19940407,0.7433,
600830.SH,ÏãÒçÈÚÍ¨,19940408,0.7433,
600830.SH,ÏãÒçÈÚÍ¨,19940411,0.73,
600830.SH,ÏãÒçÈÚÍ¨,19940412,0.731,
