ґъВл,јтіЖ,ИХЖЪ,КХЕМјЫ(ФЄ),
002601.SZ,Бътю°ЫАы,20110715,13.3184,
002601.SZ,Бътю°ЫАы,20110718,13.6193,
002601.SZ,Бътю°ЫАы,20110719,14.4845,
002601.SZ,Бътю°ЫАы,20110720,14.7089,
002601.SZ,Бътю°ЫАы,20110721,14.9683,
002601.SZ,Бътю°ЫАы,20110722,16.1811,
002601.SZ,Бътю°ЫАы,20110725,15.8244,
002601.SZ,Бътю°ЫАы,20110726,15.9541,
002601.SZ,Бътю°ЫАы,20110727,15.9541,
002601.SZ,Бътю°ЫАы,20110728,15.993,
002601.SZ,Бътю°ЫАы,20110729,14.9527,
002601.SZ,Бътю°ЫАы,20110801,14.6959,
002601.SZ,Бътю°ЫАы,20110802,14.6466,
002601.SZ,Бътю°ЫАы,20110803,14.2666,
002601.SZ,Бътю°ЫАы,20110804,14.6894,
002601.SZ,Бътю°ЫАы,20110805,14.2653,
002601.SZ,Бътю°ЫАы,20110808,13.1135,
002601.SZ,Бътю°ЫАы,20110809,13.3586,
002601.SZ,Бътю°ЫАы,20110810,13.618,
002601.SZ,Бътю°ЫАы,20110811,13.7244,
002601.SZ,Бътю°ЫАы,20110812,14.5091,
002601.SZ,Бътю°ЫАы,20110815,14.657,
002601.SZ,Бътю°ЫАы,20110816,15.2069,
002601.SZ,Бътю°ЫАы,20110817,15.1304,
002601.SZ,Бътю°ЫАы,20110818,16.6441,
002601.SZ,Бътю°ЫАы,20110819,16.2783,
002601.SZ,Бътю°ЫАы,20110822,16.2783,
002601.SZ,Бътю°ЫАы,20110823,16.4431,
002601.SZ,Бътю°ЫАы,20110824,16.5831,
002601.SZ,Бътю°ЫАы,20110825,15.967,
002601.SZ,Бътю°ЫАы,20110826,16.2472,
002601.SZ,Бътю°ЫАы,20110829,16.7323,
002601.SZ,Бътю°ЫАы,20110830,16.1473,
002601.SZ,Бътю°ЫАы,20110831,15.1966,
002601.SZ,Бътю°ЫАы,20110901,14.7893,
002601.SZ,Бътю°ЫАы,20110902,14.7997,
002601.SZ,Бътю°ЫАы,20110905,14.4819,
002601.SZ,Бътю°ЫАы,20110906,14.7608,
002601.SZ,Бътю°ЫАы,20110907,14.7867,
002601.SZ,Бътю°ЫАы,20110908,14.4884,
002601.SZ,Бътю°ЫАы,20110909,13.88,
002601.SZ,Бътю°ЫАы,20110913,13.7101,
002601.SZ,Бътю°ЫАы,20110914,13.8787,
002601.SZ,Бътю°ЫАы,20110915,13.8774,
002601.SZ,Бътю°ЫАы,20110916,14.4624,
002601.SZ,Бътю°ЫАы,20110919,13.7218,
002601.SZ,Бътю°ЫАы,20110920,13.4779,
002601.SZ,Бътю°ЫАы,20110921,14.1641,
002601.SZ,Бътю°ЫАы,20110922,13.3612,
002601.SZ,Бътю°ЫАы,20110923,12.9708,
002601.SZ,Бътю°ЫАы,20110926,12.7127,
002601.SZ,Бътю°ЫАы,20110927,11.6996,
002601.SZ,Бътю°ЫАы,20110928,10.8176,
002601.SZ,Бътю°ЫАы,20110929,10.1457,
002601.SZ,Бътю°ЫАы,20110930,10.6944,
002601.SZ,Бътю°ЫАы,20111010,10.256,
002601.SZ,Бътю°ЫАы,20111011,10.3144,
002601.SZ,Бътю°ЫАы,20111012,10.675,
002601.SZ,Бътю°ЫАы,20111013,10.8981,
