代码,简称,日期,收盘价(元),
300191.SZ,潜能恒信,20110316,10.7531,
300191.SZ,潜能恒信,20110317,10.4488,
300191.SZ,潜能恒信,20110318,10.7531,
300191.SZ,潜能恒信,20110321,11.3741,
300191.SZ,潜能恒信,20110322,11.2906,
300191.SZ,潜能恒信,20110323,11.3594,
300191.SZ,潜能恒信,20110324,11.217,
300191.SZ,潜能恒信,20110325,10.9544,
300191.SZ,潜能恒信,20110328,10.6328,
300191.SZ,潜能恒信,20110329,10.2254,
300191.SZ,潜能恒信,20110330,10.2819,
300191.SZ,潜能恒信,20110331,9.9677,
300191.SZ,潜能恒信,20110401,10.0315,
300191.SZ,潜能恒信,20110406,9.8253,
300191.SZ,潜能恒信,20110407,9.9407,
300191.SZ,潜能恒信,20110408,9.975,
300191.SZ,潜能恒信,20110411,9.6707,
300191.SZ,潜能恒信,20110412,9.5921,
300191.SZ,潜能恒信,20110413,9.7811,
300191.SZ,潜能恒信,20110414,9.6584,
300191.SZ,潜能恒信,20110415,9.6461,
300191.SZ,潜能恒信,20110418,9.7075,
300191.SZ,潜能恒信,20110419,9.7517,
300191.SZ,潜能恒信,20110420,9.9849,
300191.SZ,潜能恒信,20110421,9.8842,
300191.SZ,潜能恒信,20110422,9.9333,
300191.SZ,潜能恒信,20110425,9.5357,
300191.SZ,潜能恒信,20110426,9.2706,
300191.SZ,潜能恒信,20110427,9.1798,
300191.SZ,潜能恒信,20110428,8.9392,
300191.SZ,潜能恒信,20110429,9.0252,
300191.SZ,潜能恒信,20110503,9.062,
300191.SZ,潜能恒信,20110504,8.7576,
300191.SZ,潜能恒信,20110505,8.8362,
300191.SZ,潜能恒信,20110506,8.9343,
300191.SZ,潜能恒信,20110509,8.8411,
300191.SZ,潜能恒信,20110510,8.8902,
300191.SZ,潜能恒信,20110511,8.9442,
300191.SZ,潜能恒信,20110512,8.7159,
300191.SZ,潜能恒信,20110513,8.6766,
300191.SZ,潜能恒信,20110516,8.6472,
300191.SZ,潜能恒信,20110517,8.5784,
300191.SZ,潜能恒信,20110518,8.5883,
300191.SZ,潜能恒信,20110519,8.6864,
300191.SZ,潜能恒信,20110520,8.4655,
300191.SZ,潜能恒信,20110523,7.9967,
300191.SZ,潜能恒信,20110524,8.225,
300191.SZ,潜能恒信,20110525,7.9624,
300191.SZ,潜能恒信,20110526,7.8544,
300191.SZ,潜能恒信,20110527,8.0998,
300191.SZ,潜能恒信,20110530,7.8298,
300191.SZ,潜能恒信,20110531,7.8715,
300191.SZ,潜能恒信,20110601,7.8715,
300191.SZ,潜能恒信,20110602,7.6826,
300191.SZ,潜能恒信,20110603,7.8519,
300191.SZ,潜能恒信,20110607,7.8617,
300191.SZ,潜能恒信,20110608,7.901,
300191.SZ,潜能恒信,20110609,7.8249,
300191.SZ,潜能恒信,20110610,8.0605,
300191.SZ,潜能恒信,20110613,8.1563,
300191.SZ,潜能恒信,20110614,8.0998,
300191.SZ,潜能恒信,20110615,7.9894,
300191.SZ,潜能恒信,20110616,7.8495,
300191.SZ,潜能恒信,20110617,7.6605,
300191.SZ,潜能恒信,20110620,7.3635,
300191.SZ,潜能恒信,20110621,7.3856,
300191.SZ,潜能恒信,20110622,7.0493,
300191.SZ,潜能恒信,20110623,7.253,
300191.SZ,潜能恒信,20110624,7.5574,
300191.SZ,潜能恒信,20110627,7.6605,
300191.SZ,潜能恒信,20110628,7.7071,
300191.SZ,潜能恒信,20110629,7.6114,
300191.SZ,潜能恒信,20110630,7.7022,
300191.SZ,潜能恒信,20110701,7.8396,
300191.SZ,潜能恒信,20110704,7.9452,
300191.SZ,潜能恒信,20110705,7.9771,
300191.SZ,潜能恒信,20110706,8.4631,
300191.SZ,潜能恒信,20110707,8.4925,
300191.SZ,潜能恒信,20110708,8.468,
300191.SZ,潜能恒信,20110711,8.6423,
300191.SZ,潜能恒信,20110712,8.4385,
300191.SZ,潜能恒信,20110713,8.4385,
300191.SZ,潜能恒信,20110714,8.7871,
300191.SZ,潜能恒信,20110715,8.8386,
300191.SZ,潜能恒信,20110718,8.738,
300191.SZ,潜能恒信,20110719,8.5637,
300191.SZ,潜能恒信,20110720,8.4361,
300191.SZ,潜能恒信,20110721,8.5048,
300191.SZ,潜能恒信,20110722,8.7061,
300191.SZ,潜能恒信,20110725,8.8313,
300191.SZ,潜能恒信,20110726,8.8656,
300191.SZ,潜能恒信,20110727,9.3467,
300191.SZ,潜能恒信,20110728,9.2706,
300191.SZ,潜能恒信,20110729,8.9712,
300191.SZ,潜能恒信,20110801,9.0693,
300191.SZ,潜能恒信,20110802,8.9859,
300191.SZ,潜能恒信,20110803,9.1135,
300191.SZ,潜能恒信,20110804,8.8803,
300191.SZ,潜能恒信,20110805,8.4974,
300191.SZ,潜能恒信,20110808,8.1391,
300191.SZ,潜能恒信,20110809,8.0213,
300191.SZ,潜能恒信,20110810,8.1244,
300191.SZ,潜能恒信,20110811,8.306,
300191.SZ,潜能恒信,20110812,8.3747,
300191.SZ,潜能恒信,20110815,8.5588,
300191.SZ,潜能恒信,20110816,8.468,
300191.SZ,潜能恒信,20110817,8.4582,
300191.SZ,潜能恒信,20110818,8.2765,
300191.SZ,潜能恒信,20110819,8.0998,
300191.SZ,潜能恒信,20110822,8.2986,
300191.SZ,潜能恒信,20110823,8.6889,
300191.SZ,潜能恒信,20110824,8.7355,
300191.SZ,潜能恒信,20110825,8.6545,
300191.SZ,潜能恒信,20110826,8.7183,
300191.SZ,潜能恒信,20110829,8.6594,
300191.SZ,潜能恒信,20110830,8.3232,
300191.SZ,潜能恒信,20110831,8.0851,
300191.SZ,潜能恒信,20110901,8.0728,
300191.SZ,潜能恒信,20110902,7.955,
300191.SZ,潜能恒信,20110905,7.7513,
300191.SZ,潜能恒信,20110906,7.7194,
300191.SZ,潜能恒信,20110907,7.8544,
300191.SZ,潜能恒信,20110908,7.6703,
300191.SZ,潜能恒信,20110909,7.6703,
300191.SZ,潜能恒信,20110913,7.5426,
300191.SZ,潜能恒信,20110914,7.7071,
300191.SZ,潜能恒信,20110915,7.712,
300191.SZ,潜能恒信,20110916,7.6629,
300191.SZ,潜能恒信,20110919,7.4273,
300191.SZ,潜能恒信,20110920,7.6163,
300191.SZ,潜能恒信,20110921,7.8298,
300191.SZ,潜能恒信,20110922,7.7022,
300191.SZ,潜能恒信,20110923,7.6408,
300191.SZ,潜能恒信,20110926,7.5353,
300191.SZ,潜能恒信,20110927,7.5868,
300191.SZ,潜能恒信,20110928,7.4862,
300191.SZ,潜能恒信,20110929,7.3046,
300191.SZ,潜能恒信,20110930,7.3095,
300191.SZ,潜能恒信,20111010,7.3144,
300191.SZ,潜能恒信,20111011,7.2776,
300191.SZ,潜能恒信,20111012,7.55,
300191.SZ,潜能恒信,20111013,7.6826,
300191.SZ,潜能恒信,20111014,7.6359,
300191.SZ,潜能恒信,20111017,7.658,
300191.SZ,潜能恒信,20111018,7.3684,
300191.SZ,潜能恒信,20111019,7.3536,
300191.SZ,潜能恒信,20111020,7.7807,
300191.SZ,潜能恒信,20111021,7.5402,
300191.SZ,潜能恒信,20111024,7.8175,
300191.SZ,潜能恒信,20111025,7.9894,
