ДњТы,МђГЦ,ШеЦк,ЪеХЬМл(дЊ),
002788.SZ,№ибрвНвЉ,20160218,26.5994,
002788.SZ,№ибрвНвЉ,20160219,29.2633,
002788.SZ,№ибрвНвЉ,20160222,32.1946,
002788.SZ,№ибрвНвЉ,20160223,35.4131,
002788.SZ,№ибрвНвЉ,20160224,38.9584,
002788.SZ,№ибрвНвЉ,20160225,42.8502,
002788.SZ,№ибрвНвЉ,20160226,47.1382,
002788.SZ,№ибрвНвЉ,20160229,51.8521,
002788.SZ,№ибрвНвЉ,20160301,52.882,
002788.SZ,№ибрвНвЉ,20160302,58.1702,
002788.SZ,№ибрвНвЉ,20160303,53.9911,
002788.SZ,№ибрвНвЉ,20160304,49.0693,
002788.SZ,№ибрвНвЉ,20160307,48.7821,
002788.SZ,№ибрвНвЉ,20160308,47.5938,
002788.SZ,№ибрвНвЉ,20160309,46.9798,
002788.SZ,№ибрвНвЉ,20160310,46.5639,
002788.SZ,№ибрвНвЉ,20160311,46.1479,
002788.SZ,№ибрвНвЉ,20160314,49.3961,
002788.SZ,№ибрвНвЉ,20160315,47.1481,
002788.SZ,№ибрвНвЉ,20160316,45.7122,
002788.SZ,№ибрвНвЉ,20160317,47.8116,
002788.SZ,№ибрвНвЉ,20160318,49.8318,
002788.SZ,№ибрвНвЉ,20160321,50.9113,
002788.SZ,№ибрвНвЉ,20160322,49.6635,
002788.SZ,№ибрвНвЉ,20160323,50.02,
002788.SZ,№ибрвНвЉ,20160324,47.7621,
002788.SZ,№ибрвНвЉ,20160325,46.5837,
002788.SZ,№ибрвНвЉ,20160328,46.8411,
002788.SZ,№ибрвНвЉ,20160329,44.6031,
002788.SZ,№ибрвНвЉ,20160330,46.3361,
002788.SZ,№ибрвНвЉ,20160331,46.7223,
002788.SZ,№ибрвНвЉ,20160401,47.2373,
002788.SZ,№ибрвНвЉ,20160405,48.4751,
002788.SZ,№ибрвНвЉ,20160406,48.3167,
002788.SZ,№ибрвНвЉ,20160407,49.8814,
002788.SZ,№ибрвНвЉ,20160408,54.8725,
002788.SZ,№ибрвНвЉ,20160411,60.3587,
002788.SZ,№ибрвНвЉ,20160412,60.0121,
002788.SZ,№ибрвНвЉ,20160413,59.9824,
002788.SZ,№ибрвНвЉ,20160414,64.3793,
002788.SZ,№ибрвНвЉ,20160415,60.7251,
002788.SZ,№ибрвНвЉ,20160418,56.6253,
002788.SZ,№ибрвНвЉ,20160419,57.0214,
002788.SZ,№ибрвНвЉ,20160420,56.3282,
002788.SZ,№ибрвНвЉ,20160421,53.2187,
002788.SZ,№ибрвНвЉ,20160422,56.9521,
002788.SZ,№ибрвНвЉ,20160425,60.1904,
002788.SZ,№ибрвНвЉ,20160426,60.9826,
002788.SZ,№ибрвНвЉ,20160427,61.1609,
002788.SZ,№ибрвНвЉ,20160428,61.5372,
002788.SZ,№ибрвНвЉ,20160429,61.3391,
002788.SZ,№ибрвНвЉ,20160503,59.9428,
002788.SZ,№ибрвНвЉ,20160504,63.2108,
002788.SZ,№ибрвНвЉ,20160505,62.0719,
002788.SZ,№ибрвНвЉ,20160506,56.249,
002788.SZ,№ибрвНвЉ,20160509,52.0699,
002788.SZ,№ибрвНвЉ,20160510,52.2878,
002788.SZ,№ибрвНвЉ,20160511,51.4757,
002788.SZ,№ибрвНвЉ,20160512,49.2476,
002788.SZ,№ибрвНвЉ,20160513,49.0792,
002788.SZ,№ибрвНвЉ,20160516,50.1586,
002788.SZ,№ибрвНвЉ,20160517,52.3373,
002788.SZ,№ибрвНвЉ,20160518,48.792,
002788.SZ,№ибрвНвЉ,20160519,49.3862,
002788.SZ,№ибрвНвЉ,20160520,50.7924,
002788.SZ,№ибрвНвЉ,20160523,51.9511,
002788.SZ,№ибрвНвЉ,20160524,49.9606,
002788.SZ,№ибрвНвЉ,20160525,50.0398,
002788.SZ,№ибрвНвЉ,20160526,50.941,
002788.SZ,№ибрвНвЉ,20160527,51.9016,
002788.SZ,№ибрвНвЉ,20160530,52.0303,
002788.SZ,№ибрвНвЉ,20160531,55.4567,
002788.SZ,№ибрвНвЉ,20160601,55.4171,
002788.SZ,№ибрвНвЉ,20160602,57.2195,
002788.SZ,№ибрвНвЉ,20160603,57.477,
002788.SZ,№ибрвНвЉ,20160606,56.0212,
002788.SZ,№ибрвНвЉ,20160607,59.3981,
002788.SZ,№ибрвНвЉ,20160608,56.9422,
002788.SZ,№ибрвНвЉ,20160613,51.248,
002788.SZ,№ибрвНвЉ,20160614,51.4856,
002788.SZ,№ибрвНвЉ,20160615,53.7237,
002788.SZ,№ибрвНвЉ,20160616,53.5945,
002788.SZ,№ибрвНвЉ,20160617,57.6896,
002788.SZ,№ибрвНвЉ,20160620,59.4191,
002788.SZ,№ибрвНвЉ,20160621,61.8146,
002788.SZ,№ибрвНвЉ,20160622,66.8937,
002788.SZ,№ибрвНвЉ,20160623,67.4305,
002788.SZ,№ибрвНвЉ,20160624,67.8877,
002788.SZ,№ибрвНвЉ,20160627,70.6509,
002788.SZ,№ибрвНвЉ,20160628,66.4564,
002788.SZ,№ибрвНвЉ,20160629,71.1479,
002788.SZ,№ибрвНвЉ,20160630,64.1901,
002788.SZ,№ибрвНвЉ,20160701,65.8998,
002788.SZ,№ибрвНвЉ,20160704,67.7187,
002788.SZ,№ибрвНвЉ,20160705,69.0009,
002788.SZ,№ибрвНвЉ,20160706,67.0826,
002788.SZ,№ибрвНвЉ,20160707,71.9132,
002788.SZ,№ибрвНвЉ,20160708,70.1738,
002788.SZ,№ибрвНвЉ,20160711,66.2775,
002788.SZ,№ибрвНвЉ,20160712,67.51,
002788.SZ,№ибрвНвЉ,20160713,67.8877,
002788.SZ,№ибрвНвЉ,20160714,70.7702,
002788.SZ,№ибрвНвЉ,20160715,70.2732,
002788.SZ,№ибрвНвЉ,20160718,68.494,
002788.SZ,№ибрвНвЉ,20160719,69.4581,
002788.SZ,№ибрвНвЉ,20160720,73.2054,
002788.SZ,№ибрвНвЉ,20160721,69.1798,
002788.SZ,№ибрвНвЉ,20160722,66.0886,
002788.SZ,№ибрвНвЉ,20160725,64.9058,
002788.SZ,№ибрвНвЉ,20160726,65.3034,
002788.SZ,№ибрвНвЉ,20160727,59.9459,
002788.SZ,№ибрвНвЉ,20160728,60.8405,
002788.SZ,№ибрвНвЉ,20160729,60.3634,
002788.SZ,№ибрвНвЉ,20160801,56.9441,
002788.SZ,№ибрвНвЉ,20160802,57.6797,
002788.SZ,№ибрвНвЉ,20160803,59.0414,
002788.SZ,№ибрвНвЉ,20160804,58.8029,
002788.SZ,№ибрвНвЉ,20160805,58.2462,
002788.SZ,№ибрвНвЉ,20160808,58.4351,
002788.SZ,№ибрвНвЉ,20160809,59.2402,
002788.SZ,№ибрвНвЉ,20160810,59.7372,
002788.SZ,№ибрвНвЉ,20160811,57.6499,
002788.SZ,№ибрвНвЉ,20160812,59.6179,
002788.SZ,№ибрвНвЉ,20160815,61.5263,
002788.SZ,№ибрвНвЉ,20160816,61.248,
002788.SZ,№ибрвНвЉ,20160817,62.1823,
002788.SZ,№ибрвНвЉ,20160818,61.0194,
002788.SZ,№ибрвНвЉ,20160819,61.3474,
002788.SZ,№ибрвНвЉ,20160822,58.6339,
002788.SZ,№ибрвНвЉ,20160823,59.1309,
