����,���,����,���̼�(Ԫ),
000726.SZ,³̩A,20001225,2.4725,
000726.SZ,³̩A,20001226,2.4337,
000726.SZ,³̩A,20001227,2.3839,
000726.SZ,³̩A,20001228,2.3548,
000726.SZ,³̩A,20001229,2.431,
000726.SZ,³̩A,20010102,2.4296,
000726.SZ,³̩A,20010103,2.4241,
000726.SZ,³̩A,20010104,2.4628,
000726.SZ,³̩A,20010105,2.4656,
000726.SZ,³̩A,20010108,2.4684,
000726.SZ,³̩A,20010109,2.449,
000726.SZ,³̩A,20010110,2.4795,
000726.SZ,³̩A,20010111,2.5072,
000726.SZ,³̩A,20010112,2.5002,
000726.SZ,³̩A,20010115,2.4227,
000726.SZ,³̩A,20010116,2.4379,
000726.SZ,³̩A,20010117,2.4379,
000726.SZ,³̩A,20010118,2.4518,
000726.SZ,³̩A,20010119,2.4656,
000726.SZ,³̩A,20010205,2.3617,
000726.SZ,³̩A,20010206,2.3548,
000726.SZ,³̩A,20010207,2.3382,
000726.SZ,³̩A,20010208,2.2343,
000726.SZ,³̩A,20010209,2.2717,
000726.SZ,³̩A,20010212,2.2717,
000726.SZ,³̩A,20010213,2.2606,
000726.SZ,³̩A,20010214,2.244,
000726.SZ,³̩A,20010215,2.262,
000726.SZ,³̩A,20010216,2.2481,
000726.SZ,³̩A,20010219,2.3008,
000726.SZ,³̩A,20010220,2.2024,
000726.SZ,³̩A,20010221,2.0154,
000726.SZ,³̩A,20010222,2.0431,
000726.SZ,³̩A,20010223,2.1165,
000726.SZ,³̩A,20010226,2.1124,
000726.SZ,³̩A,20010227,2.2093,
000726.SZ,³̩A,20010228,2.1664,
000726.SZ,³̩A,20010301,2.1706,
000726.SZ,³̩A,20010302,2.1733,
000726.SZ,³̩A,20010305,2.1304,
000726.SZ,³̩A,20010306,2.1235,
000726.SZ,³̩A,20010307,2.1442,
000726.SZ,³̩A,20010308,2.1595,
000726.SZ,³̩A,20010309,2.19,
000726.SZ,³̩A,20010312,2.1789,
000726.SZ,³̩A,20010313,2.1886,
000726.SZ,³̩A,20010314,2.2093,
000726.SZ,³̩A,20010315,2.1997,
000726.SZ,³̩A,20010316,2.298,
000726.SZ,³̩A,20010319,2.3285,
000726.SZ,³̩A,20010320,2.3271,
000726.SZ,³̩A,20010321,2.334,
000726.SZ,³̩A,20010322,2.3576,
000726.SZ,³̩A,20010323,2.2869,
000726.SZ,³̩A,20010326,2.3326,
000726.SZ,³̩A,20010327,2.3548,
000726.SZ,³̩A,20010328,2.3825,
000726.SZ,³̩A,20010329,2.3589,
000726.SZ,³̩A,20010330,2.3991,
000726.SZ,³̩A,20010402,2.4531,
000726.SZ,³̩A,20010403,2.4476,
000726.SZ,³̩A,20010404,2.3825,
000726.SZ,³̩A,20010405,2.4476,
000726.SZ,³̩A,20010406,2.4573,
000726.SZ,³̩A,20010409,2.4642,
000726.SZ,³̩A,20010410,2.4601,
000726.SZ,³̩A,20010411,2.4296,
000726.SZ,³̩A,20010412,2.413,
000726.SZ,³̩A,20010413,2.4241,
000726.SZ,³̩A,20010416,2.4795,
000726.SZ,³̩A,20010417,2.5182,
000726.SZ,³̩A,20010418,2.4933,
000726.SZ,³̩A,20010419,2.5349,
000726.SZ,³̩A,20010420,2.5418,
000726.SZ,³̩A,20010423,2.5155,
000726.SZ,³̩A,20010424,2.582,
000726.SZ,³̩A,20010425,2.4767,
000726.SZ,³̩A,20010426,2.4614,
000726.SZ,³̩A,20010427,2.4684,
000726.SZ,³̩A,20010430,2.4795,
000726.SZ,³̩A,20010508,2.5182,
000726.SZ,³̩A,20010509,2.521,
000726.SZ,³̩A,20010510,2.521,
000726.SZ,³̩A,20010511,2.5432,
000726.SZ,³̩A,20010514,2.5279,
000726.SZ,³̩A,20010515,2.5279,
000726.SZ,³̩A,20010516,2.5196,
000726.SZ,³̩A,20010517,2.557,
000726.SZ,³̩A,20010518,2.5764,
000726.SZ,³̩A,20010521,2.6858,
000726.SZ,³̩A,20010522,2.6526,
000726.SZ,³̩A,20010523,2.611,
000726.SZ,³̩A,20010524,2.6074,
000726.SZ,³̩A,20010525,2.5551,
000726.SZ,³̩A,20010528,2.5028,
000726.SZ,³̩A,20010529,2.5046,
000726.SZ,³̩A,20010530,2.5623,
000726.SZ,³̩A,20010531,2.575,
000726.SZ,³̩A,20010601,2.6345,
000726.SZ,³̩A,20010604,2.6345,
000726.SZ,³̩A,20010605,2.6507,
000726.SZ,³̩A,20010606,2.6814,
000726.SZ,³̩A,20010607,2.6363,
000726.SZ,³̩A,20010608,2.6129,
000726.SZ,³̩A,20010611,2.6381,
000726.SZ,³̩A,20010612,2.6453,
000726.SZ,³̩A,20010613,2.6562,
000726.SZ,³̩A,20010614,2.602,
000726.SZ,³̩A,20010615,2.6002,
000726.SZ,³̩A,20010618,2.5407,
000726.SZ,³̩A,20010619,2.5732,
000726.SZ,³̩A,20010620,2.5623,
000726.SZ,³̩A,20010621,2.602,
000726.SZ,³̩A,20010622,2.6056,
000726.SZ,³̩A,20010625,2.6363,
000726.SZ,³̩A,20010626,2.6706,
000726.SZ,³̩A,20010627,2.7157,
000726.SZ,³̩A,20010628,2.6959,
000726.SZ,³̩A,20010629,2.6886,
000726.SZ,³̩A,20010702,2.6706,
000726.SZ,³̩A,20010703,2.6796,
000726.SZ,³̩A,20010704,2.6363,
000726.SZ,³̩A,20010705,2.6237,
000726.SZ,³̩A,20010706,2.6399,
000726.SZ,³̩A,20010709,2.6995,
000726.SZ,³̩A,20010710,2.7301,
000726.SZ,³̩A,20010711,2.7031,
000726.SZ,³̩A,20010712,2.6959,
000726.SZ,³̩A,20010713,2.6724,
000726.SZ,³̩A,20010716,2.6778,
000726.SZ,³̩A,20010717,2.6634,
000726.SZ,³̩A,20010718,2.658,
000726.SZ,³̩A,20010719,2.6616,
000726.SZ,³̩A,20010720,2.7319,
000726.SZ,³̩A,20010723,2.7446,
000726.SZ,³̩A,20010724,2.6977,
000726.SZ,³̩A,20010725,2.7139,
000726.SZ,³̩A,20010726,2.685,
000726.SZ,³̩A,20010727,2.6688,
000726.SZ,³̩A,20010730,2.4577,
000726.SZ,³̩A,20010731,2.4541,
000726.SZ,³̩A,20010801,2.6129,
000726.SZ,³̩A,20010802,2.602,
000726.SZ,³̩A,20010803,2.5948,
000726.SZ,³̩A,20010806,2.5244,
000726.SZ,³̩A,20010807,2.5551,
000726.SZ,³̩A,20010808,2.5082,
000726.SZ,³̩A,20010809,2.5804,
000726.SZ,³̩A,20010810,2.5912,
000726.SZ,³̩A,20010813,2.6237,
000726.SZ,³̩A,20010814,2.6526,
000726.SZ,³̩A,20010815,2.6562,
000726.SZ,³̩A,20010816,2.6074,
000726.SZ,³̩A,20010817,2.6435,
000726.SZ,³̩A,20010820,2.6688,
000726.SZ,³̩A,20010821,2.6453,
000726.SZ,³̩A,20010822,2.5876,
000726.SZ,³̩A,20010823,2.6165,
000726.SZ,³̩A,20010824,2.5804,
000726.SZ,³̩A,20010827,2.5244,
000726.SZ,³̩A,20010828,2.5407,
000726.SZ,³̩A,20010829,2.5677,
000726.SZ,³̩A,20010830,2.5641,
000726.SZ,³̩A,20010831,2.5497,
000726.SZ,³̩A,20010903,2.51,
000726.SZ,³̩A,20010904,2.5569,
000726.SZ,³̩A,20010905,2.5714,
000726.SZ,³̩A,20010906,2.5551,
000726.SZ,³̩A,20010907,2.5046,
000726.SZ,³̩A,20010910,2.6056,
000726.SZ,³̩A,20010911,2.658,
000726.SZ,³̩A,20010912,2.658,
000726.SZ,³̩A,20010913,2.6183,
000726.SZ,³̩A,20010914,2.6435,
000726.SZ,³̩A,20010917,2.6291,
000726.SZ,³̩A,20010918,2.593,
000726.SZ,³̩A,20010919,2.6544,
000726.SZ,³̩A,20010920,2.6706,
000726.SZ,³̩A,20010921,2.6435,
000726.SZ,³̩A,20010924,2.6165,
000726.SZ,³̩A,20010925,2.6129,
000726.SZ,³̩A,20010926,2.528,
000726.SZ,³̩A,20010927,2.5443,
000726.SZ,³̩A,20010928,2.5569,
000726.SZ,³̩A,20011008,2.5262,
000726.SZ,³̩A,20011009,2.5335,
000726.SZ,³̩A,20011010,2.4198,
000726.SZ,³̩A,20011011,2.344,
000726.SZ,³̩A,20011012,2.3909,
000726.SZ,³̩A,20011015,2.3458,
000726.SZ,³̩A,20011016,2.2971,
000726.SZ,³̩A,20011017,2.2141,
000726.SZ,³̩A,20011018,2.1275,
000726.SZ,³̩A,20011019,2.0102,
000726.SZ,³̩A,20011022,1.9759,
000726.SZ,³̩A,20011023,2.1744,
000726.SZ,³̩A,20011024,2.3458,
000726.SZ,³̩A,20011025,2.3674,
000726.SZ,³̩A,20011026,2.418,
000726.SZ,³̩A,20011029,2.4541,
000726.SZ,³̩A,20011030,2.418,
