ДњТы,МђГЦ,ШеЦк,ЪеХЬМл(дЊ),
300344.SZ,ЬЋПежЧдь,20120801,4.52,
300344.SZ,ЬЋПежЧдь,20120802,4.3576,
300344.SZ,ЬЋПежЧдь,20120803,4.6203,
300344.SZ,ЬЋПежЧдь,20120806,4.7266,
300344.SZ,ЬЋПежЧдь,20120807,4.5672,
300344.SZ,ЬЋПежЧдь,20120808,4.4078,
300344.SZ,ЬЋПежЧдь,20120809,4.5052,
300344.SZ,ЬЋПежЧдь,20120810,4.4845,
300344.SZ,ЬЋПежЧдь,20120813,4.4668,
300344.SZ,ЬЋПежЧдь,20120814,4.517,
300344.SZ,ЬЋПежЧдь,20120815,4.3812,
300344.SZ,ЬЋПежЧдь,20120816,4.3487,
300344.SZ,ЬЋПежЧдь,20120817,4.3605,
300344.SZ,ЬЋПежЧдь,20120820,4.331,
300344.SZ,ЬЋПежЧдь,20120821,4.3753,
300344.SZ,ЬЋПежЧдь,20120822,4.3782,
300344.SZ,ЬЋПежЧдь,20120823,4.4639,
300344.SZ,ЬЋПежЧдь,20120824,4.3074,
300344.SZ,ЬЋПежЧдь,20120827,4.1627,
300344.SZ,ЬЋПежЧдь,20120828,4.1952,
300344.SZ,ЬЋПежЧдь,20120829,4.1952,
300344.SZ,ЬЋПежЧдь,20120830,4.1598,
300344.SZ,ЬЋПежЧдь,20120831,4.0712,
300344.SZ,ЬЋПежЧдь,20120903,4.1804,
300344.SZ,ЬЋПежЧдь,20120904,4.1303,
300344.SZ,ЬЋПежЧдь,20120905,4.1598,
300344.SZ,ЬЋПежЧдь,20120906,4.3133,
300344.SZ,ЬЋПежЧдь,20120907,4.4609,
300344.SZ,ЬЋПежЧдь,20120910,4.4727,
300344.SZ,ЬЋПежЧдь,20120911,4.4461,
300344.SZ,ЬЋПежЧдь,20120912,4.4343,
300344.SZ,ЬЋПежЧдь,20120913,4.3074,
300344.SZ,ЬЋПежЧдь,20120914,4.3782,
300344.SZ,ЬЋПежЧдь,20120917,4.576,
300344.SZ,ЬЋПежЧдь,20120918,5.0337,
300344.SZ,ЬЋПежЧдь,20120919,4.8358,
300344.SZ,ЬЋПежЧдь,20120920,4.9274,
300344.SZ,ЬЋПежЧдь,20120921,4.7355,
300344.SZ,ЬЋПежЧдь,20120924,4.6941,
300344.SZ,ЬЋПежЧдь,20120925,5.0868,
300344.SZ,ЬЋПежЧдь,20120926,4.9864,
300344.SZ,ЬЋПежЧдь,20120927,5.0484,
300344.SZ,ЬЋПежЧдь,20120928,5.2344,
300344.SZ,ЬЋПежЧдь,20121008,5.4647,
300344.SZ,ЬЋПежЧдь,20121009,5.4411,
300344.SZ,ЬЋПежЧдь,20121010,5.2787,
300344.SZ,ЬЋПежЧдь,20121011,5.0868,
300344.SZ,ЬЋПежЧдь,20121012,5.1399,
300344.SZ,ЬЋПежЧдь,20121015,4.6617,
300344.SZ,ЬЋПежЧдь,20121016,4.6558,
300344.SZ,ЬЋПежЧдь,20121017,4.8093,
300344.SZ,ЬЋПежЧдь,20121018,4.8388,
300344.SZ,ЬЋПежЧдь,20121019,4.6794,
300344.SZ,ЬЋПежЧдь,20121022,4.8801,
300344.SZ,ЬЋПежЧдь,20121023,4.7384,
300344.SZ,ЬЋПежЧдь,20121024,4.7709,
300344.SZ,ЬЋПежЧдь,20121025,4.6351,
300344.SZ,ЬЋПежЧдь,20121026,4.3635,
300344.SZ,ЬЋПежЧдь,20121029,4.4284,
300344.SZ,ЬЋПежЧдь,20121030,4.4845,
300344.SZ,ЬЋПежЧдь,20121031,4.4196,
300344.SZ,ЬЋПежЧдь,20121101,4.5701,
