����,���,����,���̼�(Ԫ),
600696.SH,STƥ͹,19931206,5.5782,
600696.SH,STƥ͹,19931207,5.4481,
600696.SH,STƥ͹,19931208,5.6902,
600696.SH,STƥ͹,19931209,5.6146,
600696.SH,STƥ͹,19931210,5.6237,
600696.SH,STƥ͹,19931213,5.4935,
600696.SH,STƥ͹,19931214,5.2968,
600696.SH,STƥ͹,19931215,5.3512,
600696.SH,STƥ͹,19931216,5.1152,
600696.SH,STƥ͹,19931217,4.8851,
600696.SH,STƥ͹,19931220,4.1406,
600696.SH,STƥ͹,19931221,4.4795,
600696.SH,STƥ͹,19931222,4.3827,
600696.SH,STƥ͹,19931223,4.3827,
600696.SH,STƥ͹,19931224,4.3252,
600696.SH,STƥ͹,19931227,4.4735,
600696.SH,STƥ͹,19931228,4.4795,
600696.SH,STƥ͹,19931229,4.3433,
600696.SH,STƥ͹,19931230,4.2707,
600696.SH,STƥ͹,19931231,4.3131,
600696.SH,STƥ͹,19940103,4.2677,
600696.SH,STƥ͹,19940104,4.1769,
600696.SH,STƥ͹,19940105,4.2314,
600696.SH,STƥ͹,19940106,4.3433,
600696.SH,STƥ͹,19940107,4.3887,
600696.SH,STƥ͹,19940110,4.5401,
600696.SH,STƥ͹,19940111,4.4341,
600696.SH,STƥ͹,19940112,4.3827,
600696.SH,STƥ͹,19940113,4.422,
600696.SH,STƥ͹,19940114,4.1163,
600696.SH,STƥ͹,19940117,4.1617,
600696.SH,STƥ͹,19940118,4.0013,
600696.SH,STƥ͹,19940119,3.8379,
600696.SH,STƥ͹,19940120,3.7229,
600696.SH,STƥ͹,19940121,3.8439,
600696.SH,STƥ͹,19940124,4.0104,
600696.SH,STƥ͹,19940125,3.8651,
600696.SH,STƥ͹,19940126,3.8591,
600696.SH,STƥ͹,19940127,3.9075,
600696.SH,STƥ͹,19940128,3.7773,
600696.SH,STƥ͹,19940131,3.6744,
600696.SH,STƥ͹,19940201,3.5715,
600696.SH,STƥ͹,19940202,3.6623,
600696.SH,STƥ͹,19940203,3.6775,
600696.SH,STƥ͹,19940204,3.7834,
600696.SH,STƥ͹,19940214,3.7834,
600696.SH,STƥ͹,19940215,3.6926,
600696.SH,STƥ͹,19940216,3.7229,
600696.SH,STƥ͹,19940217,3.6775,
600696.SH,STƥ͹,19940218,3.6775,
600696.SH,STƥ͹,19940221,3.6048,
600696.SH,STƥ͹,19940222,3.5201,
600696.SH,STƥ͹,19940223,3.3718,
600696.SH,STƥ͹,19940224,3.2537,
600696.SH,STƥ͹,19940225,3.2416,
600696.SH,STƥ͹,19940228,3.2053,
600696.SH,STƥ͹,19940301,3.0267,
600696.SH,STƥ͹,19940302,2.7937,
600696.SH,STƥ͹,19940303,2.8754,
600696.SH,STƥ͹,19940304,2.8149,
600696.SH,STƥ͹,19940307,2.7483,
600696.SH,STƥ͹,19940308,2.6393,
600696.SH,STƥ͹,19940309,2.5667,
600696.SH,STƥ͹,19940310,2.4274,
600696.SH,STƥ͹,19940311,2.5424,
600696.SH,STƥ͹,19940314,3.2023,
600696.SH,STƥ͹,19940315,2.9965,
600696.SH,STƥ͹,19940316,3.0267,
600696.SH,STƥ͹,19940317,3.1024,
600696.SH,STƥ͹,19940318,3.1781,
600696.SH,STƥ͹,19940321,2.9662,
600696.SH,STƥ͹,19940322,2.9813,
600696.SH,STƥ͹,19940323,2.8451,
600696.SH,STƥ͹,19940324,2.8118,
600696.SH,STƥ͹,19940325,2.7846,
600696.SH,STƥ͹,19940328,2.7029,
600696.SH,STƥ͹,19940329,2.7906,
600696.SH,STƥ͹,19940330,2.7422,
600696.SH,STƥ͹,19940331,2.7967,
600696.SH,STƥ͹,19940401,2.8209,
600696.SH,STƥ͹,19940404,2.9208,
600696.SH,STƥ͹,19940405,2.8149,
600696.SH,STƥ͹,19940406,2.8149,
600696.SH,STƥ͹,19940407,2.8875,
600696.SH,STƥ͹,19940408,2.8451,
600696.SH,STƥ͹,19940411,2.8088,
600696.SH,STƥ͹,19940412,2.7937,
600696.SH,STƥ͹,19940413,2.7695,
600696.SH,STƥ͹,19940414,2.6696,
600696.SH,STƥ͹,19940415,2.7695,
600696.SH,STƥ͹,19940418,2.5818,
600696.SH,STƥ͹,19940419,2.5848,
600696.SH,STƥ͹,19940420,2.4365,
600696.SH,STƥ͹,19940421,2.6302,
600696.SH,STƥ͹,19940422,2.497,
600696.SH,STƥ͹,19940425,2.4516,
600696.SH,STƥ͹,19940426,2.5303,
600696.SH,STƥ͹,19940427,2.6332,
600696.SH,STƥ͹,19940428,2.6332,
600696.SH,STƥ͹,19940429,2.5364,
600696.SH,STƥ͹,19940503,2.5273,
600696.SH,STƥ͹,19940504,2.5727,
600696.SH,STƥ͹,19940505,2.4516,
600696.SH,STƥ͹,19940506,2.4274,
600696.SH,STƥ͹,19940509,2.4819,
600696.SH,STƥ͹,19940510,2.5061,
600696.SH,STƥ͹,19940511,2.5969,
600696.SH,STƥ͹,19940512,2.5273,
600696.SH,STƥ͹,19940513,2.5969,
600696.SH,STƥ͹,19940516,2.7029,
600696.SH,STƥ͹,19940517,2.715,
600696.SH,STƥ͹,19940518,2.6908,
600696.SH,STƥ͹,19940519,2.6332,
600696.SH,STƥ͹,19940520,2.721,
600696.SH,STƥ͹,19940523,2.721,
600696.SH,STƥ͹,19940524,2.6242,
600696.SH,STƥ͹,19940525,2.5969,
600696.SH,STƥ͹,19940526,2.5152,
600696.SH,STƥ͹,19940527,2.488,
600696.SH,STƥ͹,19940530,2.3608,
600696.SH,STƥ͹,19940531,2.4365,
600696.SH,STƥ͹,19940601,2.382,
600696.SH,STƥ͹,19940602,2.3669,
600696.SH,STƥ͹,19940603,2.3639,
600696.SH,STƥ͹,19940606,2.2232,
600696.SH,STƥ͹,19940607,2.0871,
600696.SH,STƥ͹,19940608,2.1143,
600696.SH,STƥ͹,19940609,2.0644,
600696.SH,STƥ͹,19940610,2.0009,
600696.SH,STƥ͹,19940613,1.8602,
600696.SH,STƥ͹,19940614,1.8829,
600696.SH,STƥ͹,19940615,1.8965,
600696.SH,STƥ͹,19940616,1.951,
600696.SH,STƥ͹,19940617,2.0644,
600696.SH,STƥ͹,19940620,1.9056,
600696.SH,STƥ͹,19940621,1.9011,
600696.SH,STƥ͹,19940622,1.9192,
600696.SH,STƥ͹,19940623,1.9102,
600696.SH,STƥ͹,19940624,1.8739,
600696.SH,STƥ͹,19940627,1.8285,
600696.SH,STƥ͹,19940628,1.8149,
600696.SH,STƥ͹,19940629,1.8149,
600696.SH,STƥ͹,19940630,1.8149,
600696.SH,STƥ͹,19940701,1.7695,
600696.SH,STƥ͹,19940704,1.706,
600696.SH,STƥ͹,19940705,1.7332,
600696.SH,STƥ͹,19940706,1.706,
600696.SH,STƥ͹,19940707,1.6788,
600696.SH,STƥ͹,19940708,1.7014,
600696.SH,STƥ͹,19940711,1.6788,
600696.SH,STƥ͹,19940712,1.6561,
600696.SH,STƥ͹,19940713,1.6697,
600696.SH,STƥ͹,19940714,1.6878,
600696.SH,STƥ͹,19940715,1.6198,
600696.SH,STƥ͹,19940718,1.5563,
600696.SH,STƥ͹,19940719,1.5789,
600696.SH,STƥ͹,19940720,1.5608,
600696.SH,STƥ͹,19940721,1.5154,
600696.SH,STƥ͹,19940722,1.4065,
600696.SH,STƥ͹,19940725,1.4564,
600696.SH,STƥ͹,19940726,1.4927,
600696.SH,STƥ͹,19940727,1.4383,
600696.SH,STƥ͹,19940728,1.3294,
600696.SH,STƥ͹,19940729,1.2523,
600696.SH,STƥ͹,19940801,1.6788,
600696.SH,STƥ͹,19940802,1.6969,
600696.SH,STƥ͹,19940803,2.0417,
600696.SH,STƥ͹,19940804,2.5317,
600696.SH,STƥ͹,19940805,3.0853,
600696.SH,STƥ͹,19940808,3.2668,
600696.SH,STƥ͹,19940809,2.7223,
600696.SH,STƥ͹,19940810,3.3802,
600696.SH,STƥ͹,19940811,3.0172,
600696.SH,STƥ͹,19940812,2.9945,
600696.SH,STƥ͹,19940815,2.8584,
600696.SH,STƥ͹,19940816,2.9855,
600696.SH,STƥ͹,19940817,3.0127,
600696.SH,STƥ͹,19940818,3.4301,
600696.SH,STƥ͹,19940819,3.3121,
600696.SH,STƥ͹,19940822,3.1579,
600696.SH,STƥ͹,19940823,3.2849,
