´úÂë,¼ò³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ôª),
000837.SZ,ÇØ´¨»ú´²,19980928,2.0298,
000837.SZ,ÇØ´¨»ú´²,19980929,2.005,
000837.SZ,ÇØ´¨»ú´²,19980930,2.0446,
000837.SZ,ÇØ´¨»ú´²,19981005,2.005,
000837.SZ,ÇØ´¨»ú´²,19981006,1.9405,
000837.SZ,ÇØ´¨»ú´²,19981007,1.9505,
000837.SZ,ÇØ´¨»ú´²,19981008,1.9405,
000837.SZ,ÇØ´¨»ú´²,19981009,1.9306,
000837.SZ,ÇØ´¨»ú´²,19981012,1.8811,
000837.SZ,ÇØ´¨»ú´²,19981013,1.9207,
000837.SZ,ÇØ´¨»ú´²,19981014,1.9604,
000837.SZ,ÇØ´¨»ú´²,19981015,2.0025,
000837.SZ,ÇØ´¨»ú´²,19981016,1.9678,
000837.SZ,ÇØ´¨»ú´²,19981019,2.005,
000837.SZ,ÇØ´¨»ú´²,19981020,1.9579,
000837.SZ,ÇØ´¨»ú´²,19981021,1.9058,
000837.SZ,ÇØ´¨»ú´²,19981022,1.9926,
000837.SZ,ÇØ´¨»ú´²,19981023,2.0496,
000837.SZ,ÇØ´¨»ú´²,19981026,2.2553,
000837.SZ,ÇØ´¨»ú´²,19981027,2.2578,
000837.SZ,ÇØ´¨»ú´²,19981028,2.3371,
000837.SZ,ÇØ´¨»ú´²,19981029,2.3272,
000837.SZ,ÇØ´¨»ú´²,19981030,2.2702,
000837.SZ,ÇØ´¨»ú´²,19981102,2.4213,
000837.SZ,ÇØ´¨»ú´²,19981103,2.4263,
000837.SZ,ÇØ´¨»ú´²,19981104,2.3842,
000837.SZ,ÇØ´¨»ú´²,19981105,2.4189,
000837.SZ,ÇØ´¨»ú´²,19981106,2.5453,
000837.SZ,ÇØ´¨»ú´²,19981109,2.5576,
000837.SZ,ÇØ´¨»ú´²,19981110,2.5254,
000837.SZ,ÇØ´¨»ú´²,19981111,2.6171,
000837.SZ,ÇØ´¨»ú´²,19981112,2.6964,
000837.SZ,ÇØ´¨»ú´²,19981113,2.6766,
000837.SZ,ÇØ´¨»ú´²,19981116,2.6766,
000837.SZ,ÇØ´¨»ú´²,19981117,2.5973,
000837.SZ,ÇØ´¨»ú´²,19981118,2.58,
000837.SZ,ÇØ´¨»ú´²,19981119,2.4982,
000837.SZ,ÇØ´¨»ú´²,19981120,2.5775,
000837.SZ,ÇØ´¨»ú´²,19981123,2.632,
000837.SZ,ÇØ´¨»ú´²,19981124,2.5775,
000837.SZ,ÇØ´¨»ú´²,19981125,2.5155,
000837.SZ,ÇØ´¨»ú´²,19981126,2.5106,
000837.SZ,ÇØ´¨»ú´²,19981127,2.456,
000837.SZ,ÇØ´¨»ú´²,19981130,2.4412,
000837.SZ,ÇØ´¨»ú´²,19981201,2.3346,
000837.SZ,ÇØ´¨»ú´²,19981202,2.3842,
000837.SZ,ÇØ´¨»ú´²,19981203,2.3544,
000837.SZ,ÇØ´¨»ú´²,19981204,2.3296,
000837.SZ,ÇØ´¨»ú´²,19981207,2.2999,
000837.SZ,ÇØ´¨»ú´²,19981208,2.3594,
000837.SZ,ÇØ´¨»ú´²,19981209,2.4164,
000837.SZ,ÇØ´¨»ú´²,19981210,2.3792,
000837.SZ,ÇØ´¨»ú´²,19981211,2.3916,
000837.SZ,ÇØ´¨»ú´²,19981214,2.3519,
000837.SZ,ÇØ´¨»ú´²,19981215,2.3495,
000837.SZ,ÇØ´¨»ú´²,19981216,2.3247,
000837.SZ,ÇØ´¨»ú´²,19981217,2.2999,
000837.SZ,ÇØ´¨»ú´²,19981218,2.1735,
000837.SZ,ÇØ´¨»ú´²,19981221,2.0942,
000837.SZ,ÇØ´¨»ú´²,19981222,2.2925,
000837.SZ,ÇØ´¨»ú´²,19981223,2.2602,
000837.SZ,ÇØ´¨»ú´²,19981224,2.2553,
000837.SZ,ÇØ´¨»ú´²,19981225,2.2503,
000837.SZ,ÇØ´¨»ú´²,19981228,2.2602,
000837.SZ,ÇØ´¨»ú´²,19981229,2.1958,
000837.SZ,ÇØ´¨»ú´²,19981230,2.2702,
000837.SZ,ÇØ´¨»ú´²,19981231,2.2949,
000837.SZ,ÇØ´¨»ú´²,19990104,2.2949,
000837.SZ,ÇØ´¨»ú´²,19990105,2.3519,
000837.SZ,ÇØ´¨»ú´²,19990106,2.3866,
000837.SZ,ÇØ´¨»ú´²,19990107,2.3569,
000837.SZ,ÇØ´¨»ú´²,19990108,2.404,
000837.SZ,ÇØ´¨»ú´²,19990111,2.4709,
000837.SZ,ÇØ´¨»ú´²,19990112,2.4263,
000837.SZ,ÇØ´¨»ú´²,19990113,2.3718,
000837.SZ,ÇØ´¨»ú´²,19990114,2.3619,
000837.SZ,ÇØ´¨»ú´²,19990115,2.4164,
000837.SZ,ÇØ´¨»ú´²,19990118,2.4486,
000837.SZ,ÇØ´¨»ú´²,19990119,2.4982,
000837.SZ,ÇØ´¨»ú´²,19990120,2.4585,
000837.SZ,ÇØ´¨»ú´²,19990121,2.4461,
000837.SZ,ÇØ´¨»ú´²,19990122,2.3842,
000837.SZ,ÇØ´¨»ú´²,19990125,2.3594,
000837.SZ,ÇØ´¨»ú´²,19990126,2.2801,
000837.SZ,ÇØ´¨»ú´²,19990127,2.3024,
000837.SZ,ÇØ´¨»ú´²,19990128,2.2602,
000837.SZ,ÇØ´¨»ú´²,19990129,2.2875,
000837.SZ,ÇØ´¨»ú´²,19990201,2.3172,
000837.SZ,ÇØ´¨»ú´²,19990202,2.3024,
000837.SZ,ÇØ´¨»ú´²,19990203,2.2479,
000837.SZ,ÇØ´¨»ú´²,19990204,2.1834,
000837.SZ,ÇØ´¨»ú´²,19990205,2.1611,
000837.SZ,ÇØ´¨»ú´²,19990208,2.1636,
000837.SZ,ÇØ´¨»ú´²,19990209,2.2255,
000837.SZ,ÇØ´¨»ú´²,19990301,2.2454,
000837.SZ,ÇØ´¨»ú´²,19990302,2.2503,
000837.SZ,ÇØ´¨»ú´²,19990303,2.3049,
000837.SZ,ÇØ´¨»ú´²,19990304,2.2702,
