ด๚ย๋,ผ๒ณฦ,ศีฦฺ,สีลฬผÛ(ิช),
603848.SH,บรฬซฬซ,20171201,11.36,
603848.SH,บรฬซฬซ,20171204,12.5,
603848.SH,บรฬซฬซ,20171205,13.75,
603848.SH,บรฬซฬซ,20171206,15.13,
603848.SH,บรฬซฬซ,20171207,16.64,
603848.SH,บรฬซฬซ,20171208,18.3,
603848.SH,บรฬซฬซ,20171211,20.13,
603848.SH,บรฬซฬซ,20171212,22.14,
603848.SH,บรฬซฬซ,20171213,24.35,
603848.SH,บรฬซฬซ,20171214,25.54,
603848.SH,บรฬซฬซ,20171215,24.6,
603848.SH,บรฬซฬซ,20171218,22.14,
603848.SH,บรฬซฬซ,20171219,20.63,
603848.SH,บรฬซฬซ,20171220,20.2,
603848.SH,บรฬซฬซ,20171221,19.78,
603848.SH,บรฬซฬซ,20171222,19.96,
603848.SH,บรฬซฬซ,20171225,19.22,
603848.SH,บรฬซฬซ,20171226,20.42,
603848.SH,บรฬซฬซ,20171227,21.79,
603848.SH,บรฬซฬซ,20171228,23.97,
603848.SH,บรฬซฬซ,20171229,22.69,
603848.SH,บรฬซฬซ,20180102,24.32,
603848.SH,บรฬซฬซ,20180103,23.21,
603848.SH,บรฬซฬซ,20180104,22.39,
603848.SH,บรฬซฬซ,20180105,21.84,
603848.SH,บรฬซฬซ,20180108,22.32,
603848.SH,บรฬซฬซ,20180109,23.36,
603848.SH,บรฬซฬซ,20180110,22.67,
603848.SH,บรฬซฬซ,20180111,22.47,
603848.SH,บรฬซฬซ,20180112,21.06,
603848.SH,บรฬซฬซ,20180115,21.5,
603848.SH,บรฬซฬซ,20180116,22.29,
603848.SH,บรฬซฬซ,20180117,22.73,
603848.SH,บรฬซฬซ,20180118,22.03,
603848.SH,บรฬซฬซ,20180119,24.23,
603848.SH,บรฬซฬซ,20180122,23.16,
603848.SH,บรฬซฬซ,20180123,22.92,
603848.SH,บรฬซฬซ,20180124,23.4,
603848.SH,บรฬซฬซ,20180125,22.88,
603848.SH,บรฬซฬซ,20180126,21.8,
603848.SH,บรฬซฬซ,20180129,21.95,
603848.SH,บรฬซฬซ,20180130,21.57,
603848.SH,บรฬซฬซ,20180131,22.19,
603848.SH,บรฬซฬซ,20180201,19.97,
603848.SH,บรฬซฬซ,20180202,18.76,
603848.SH,บรฬซฬซ,20180205,18,
603848.SH,บรฬซฬซ,20180206,16.2,
603848.SH,บรฬซฬซ,20180207,16.43,
603848.SH,บรฬซฬซ,20180208,16.5,
603848.SH,บรฬซฬซ,20180209,15.4,
603848.SH,บรฬซฬซ,20180212,16.03,
603848.SH,บรฬซฬซ,20180213,15.9,
603848.SH,บรฬซฬซ,20180214,16.01,
603848.SH,บรฬซฬซ,20180222,16.47,
603848.SH,บรฬซฬซ,20180223,16.66,
603848.SH,บรฬซฬซ,20180226,17.24,
603848.SH,บรฬซฬซ,20180227,17.4,
603848.SH,บรฬซฬซ,20180228,16.81,
603848.SH,บรฬซฬซ,20180301,16.99,
603848.SH,บรฬซฬซ,20180302,16.62,
603848.SH,บรฬซฬซ,20180305,17.07,
603848.SH,บรฬซฬซ,20180306,17.79,
603848.SH,บรฬซฬซ,20180307,18.59,
603848.SH,บรฬซฬซ,20180308,18.61,
603848.SH,บรฬซฬซ,20180309,18.56,
603848.SH,บรฬซฬซ,20180312,18.71,
603848.SH,บรฬซฬซ,20180313,18.06,
603848.SH,บรฬซฬซ,20180314,18.38,
603848.SH,บรฬซฬซ,20180315,17.33,
603848.SH,บรฬซฬซ,20180316,17.26,
603848.SH,บรฬซฬซ,20180319,18.23,
603848.SH,บรฬซฬซ,20180320,18.17,
603848.SH,บรฬซฬซ,20180321,18.42,
603848.SH,บรฬซฬซ,20180322,18.51,
603848.SH,บรฬซฬซ,20180323,16.66,
603848.SH,บรฬซฬซ,20180326,16.85,
