´úÂë,¼ò³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ôª),
600439.SH,Èð±´¿¨,20040105,0.9525,
600439.SH,Èð±´¿¨,20040106,0.9434,
600439.SH,Èð±´¿¨,20040107,0.9505,
600439.SH,Èð±´¿¨,20040108,0.9806,
600439.SH,Èð±´¿¨,20040109,0.9662,
600439.SH,Èð±´¿¨,20040112,0.9754,
600439.SH,Èð±´¿¨,20040113,0.9904,
600439.SH,Èð±´¿¨,20040114,0.98,
600439.SH,Èð±´¿¨,20040115,0.9734,
600439.SH,Èð±´¿¨,20040116,0.9695,
600439.SH,Èð±´¿¨,20040129,1.0028,
600439.SH,Èð±´¿¨,20040130,0.978,
600439.SH,Èð±´¿¨,20040202,0.9872,
600439.SH,Èð±´¿¨,20040203,1.0859,
600439.SH,Èð±´¿¨,20040204,1.0918,
600439.SH,Èð±´¿¨,20040205,1.1068,
600439.SH,Èð±´¿¨,20040206,1.0735,
600439.SH,Èð±´¿¨,20040209,1.0918,
600439.SH,Èð±´¿¨,20040210,1.0689,
600439.SH,Èð±´¿¨,20040211,1.0728,
600439.SH,Èð±´¿¨,20040212,1.0878,
600439.SH,Èð±´¿¨,20040213,1.1153,
600439.SH,Èð±´¿¨,20040216,1.1277,
600439.SH,Èð±´¿¨,20040217,1.1735,
600439.SH,Èð±´¿¨,20040218,1.1754,
600439.SH,Èð±´¿¨,20040219,1.1761,
600439.SH,Èð±´¿¨,20040220,1.163,
600439.SH,Èð±´¿¨,20040223,1.1624,
600439.SH,Èð±´¿¨,20040224,1.1414,
600439.SH,Èð±´¿¨,20040225,1.0904,
600439.SH,Èð±´¿¨,20040226,1.1003,
600439.SH,Èð±´¿¨,20040227,1.1003,
600439.SH,Èð±´¿¨,20040301,1.0565,
600439.SH,Èð±´¿¨,20040302,1.0735,
600439.SH,Èð±´¿¨,20040303,1.0264,
600439.SH,Èð±´¿¨,20040304,1.0395,
600439.SH,Èð±´¿¨,20040305,1.0283,
600439.SH,Èð±´¿¨,20040308,1.0028,
600439.SH,Èð±´¿¨,20040309,1.0087,
600439.SH,Èð±´¿¨,20040310,1.0323,
600439.SH,Èð±´¿¨,20040311,1.0329,
600439.SH,Èð±´¿¨,20040312,1.0368,
600439.SH,Èð±´¿¨,20040315,1.061,
600439.SH,Èð±´¿¨,20040316,1.0525,
600439.SH,Èð±´¿¨,20040317,1.0571,
600439.SH,Èð±´¿¨,20040318,1.0656,
600439.SH,Èð±´¿¨,20040319,1.0695,
600439.SH,Èð±´¿¨,20040322,1.0682,
600439.SH,Èð±´¿¨,20040323,1.0525,
600439.SH,Èð±´¿¨,20040324,1.0532,
600439.SH,Èð±´¿¨,20040325,1.0538,
600439.SH,Èð±´¿¨,20040326,1.0741,
600439.SH,Èð±´¿¨,20040329,1.0885,
600439.SH,Èð±´¿¨,20040330,1.1035,
600439.SH,Èð±´¿¨,20040331,1.1251,
600439.SH,Èð±´¿¨,20040401,1.1199,
600439.SH,Èð±´¿¨,20040402,1.1231,
600439.SH,Èð±´¿¨,20040405,1.1231,
600439.SH,Èð±´¿¨,20040406,1.1571,
600439.SH,Èð±´¿¨,20040407,1.1408,
600439.SH,Èð±´¿¨,20040408,1.1388,
600439.SH,Èð±´¿¨,20040409,1.1042,
600439.SH,Èð±´¿¨,20040412,1.1081,
600439.SH,Èð±´¿¨,20040413,1.0885,
600439.SH,Èð±´¿¨,20040414,1.0617,
600439.SH,Èð±´¿¨,20040415,1.063,
600439.SH,Èð±´¿¨,20040416,1.0787,
600439.SH,Èð±´¿¨,20040419,1.1029,
600439.SH,Èð±´¿¨,20040420,1.1016,
600439.SH,Èð±´¿¨,20040421,1.0735,
600439.SH,Èð±´¿¨,20040422,1.0748,
600439.SH,Èð±´¿¨,20040423,1.0591,
600439.SH,Èð±´¿¨,20040426,1.0591,
600439.SH,Èð±´¿¨,20040427,1.0375,
