╢ЗбК,╪РЁф,хуфз,йуел╪ш(т╙),
603896.SH,йыои╧х,20171207,46.09,
603896.SH,йыои╧х,20171208,48.35,
603896.SH,йыои╧х,20171211,48.55,
603896.SH,йыои╧х,20171212,50.15,
603896.SH,йыои╧х,20171213,50.69,
603896.SH,йыои╧х,20171214,51.87,
603896.SH,йыои╧х,20171215,50.91,
603896.SH,йыои╧х,20171218,51.04,
603896.SH,йыои╧х,20171219,50.38,
603896.SH,йыои╧х,20171220,53.32,
603896.SH,йыои╧х,20171221,55.38,
603896.SH,йыои╧х,20171222,55.36,
603896.SH,йыои╧х,20171225,59.61,
603896.SH,йыои╧х,20171226,59.55,
603896.SH,йыои╧х,20171227,57.11,
603896.SH,йыои╧х,20171228,57.08,
603896.SH,йыои╧х,20171229,57.1,
603896.SH,йыои╧х,20180102,57.87,
603896.SH,йыои╧х,20180103,56.09,
603896.SH,йыои╧х,20180104,56.17,
603896.SH,йыои╧х,20180105,56.55,
603896.SH,йыои╧х,20180108,54.9,
603896.SH,йыои╧х,20180109,57.31,
603896.SH,йыои╧х,20180110,55.59,
603896.SH,йыои╧х,20180111,55.31,
603896.SH,йыои╧х,20180112,54.08,
603896.SH,йыои╧х,20180115,50.68,
603896.SH,йыои╧х,20180116,51.14,
603896.SH,йыои╧х,20180117,50.4,
603896.SH,йыои╧х,20180118,48.83,
603896.SH,йыои╧х,20180119,53.01,
603896.SH,йыои╧х,20180122,51.12,
603896.SH,йыои╧х,20180123,50.29,
603896.SH,йыои╧х,20180124,50.58,
603896.SH,йыои╧х,20180125,51.14,
603896.SH,йыои╧х,20180126,50.19,
603896.SH,йыои╧х,20180129,48.88,
603896.SH,йыои╧х,20180130,49.13,
603896.SH,йыои╧х,20180131,46.78,
603896.SH,йыои╧х,20180201,46.09,
603896.SH,йыои╧х,20180202,45.24,
603896.SH,йыои╧х,20180205,43.39,
603896.SH,йыои╧х,20180206,39.75,
603896.SH,йыои╧х,20180207,40.7,
603896.SH,йыои╧х,20180208,43.3,
603896.SH,йыои╧х,20180209,42.26,
603896.SH,йыои╧х,20180212,43.19,
603896.SH,йыои╧х,20180213,42.44,
603896.SH,йыои╧х,20180214,40.92,
603896.SH,йыои╧х,20180222,42.26,
603896.SH,йыои╧х,20180223,42.41,
603896.SH,йыои╧х,20180226,46.65,
603896.SH,йыои╧х,20180227,47.15,
603896.SH,йыои╧х,20180228,46.03,
603896.SH,йыои╧х,20180301,47.19,
603896.SH,йыои╧х,20180302,45.93,
