代码,简称,日期,收盘价(元),
600452.SH,涪陵电力,20040303,7.9263,
600452.SH,涪陵电力,20040304,8.0348,
600452.SH,涪陵电力,20040305,7.6455,
600452.SH,涪陵电力,20040308,8.1305,
600452.SH,涪陵电力,20040309,8.0412,
600452.SH,涪陵电力,20040310,8.1625,
600452.SH,涪陵电力,20040311,8.2709,
600452.SH,涪陵电力,20040312,8.1816,
600452.SH,涪陵电力,20040315,8.2327,
600452.SH,涪陵电力,20040316,8.2263,
600452.SH,涪陵电力,20040317,8.2773,
600452.SH,涪陵电力,20040318,8.0412,
600452.SH,涪陵电力,20040319,8.1433,
600452.SH,涪陵电力,20040322,8.0923,
600452.SH,涪陵电力,20040323,7.971,
600452.SH,涪陵电力,20040324,8.0284,
600452.SH,涪陵电力,20040325,8.0859,
600452.SH,涪陵电力,20040326,8.0348,
600452.SH,涪陵电力,20040329,7.837,
600452.SH,涪陵电力,20040330,8.0093,
600452.SH,涪陵电力,20040331,8.0284,
600452.SH,涪陵电力,20040401,8.1114,
600452.SH,涪陵电力,20040402,8.054,
600452.SH,涪陵电力,20040405,8.2071,
600452.SH,涪陵电力,20040406,8.2965,
600452.SH,涪陵电力,20040407,8.3348,
600452.SH,涪陵电力,20040408,8.1944,
600452.SH,涪陵电力,20040409,7.9965,
600452.SH,涪陵电力,20040412,8.0348,
600452.SH,涪陵电力,20040413,7.8625,
600452.SH,涪陵电力,20040414,8.0093,
600452.SH,涪陵电力,20040415,7.6519,
600452.SH,涪陵电力,20040416,7.6647,
600452.SH,涪陵电力,20040419,7.3264,
600452.SH,涪陵电力,20040420,7.1733,
600452.SH,涪陵电力,20040421,7.0648,
600452.SH,涪陵电力,20040422,6.6053,
600452.SH,涪陵电力,20040423,6.567,
600452.SH,涪陵电力,20040426,6.6372,
600452.SH,涪陵电力,20040427,6.4457,
600452.SH,涪陵电力,20040428,6.6244,
600452.SH,涪陵电力,20040429,6.4712,
600452.SH,涪陵电力,20040430,6.4712,
600452.SH,涪陵电力,20040510,6.5989,
600452.SH,涪陵电力,20040511,6.8861,
600452.SH,涪陵电力,20040512,7.269,
600452.SH,涪陵电力,20040513,7.1796,
600452.SH,涪陵电力,20040514,6.8733,
600452.SH,涪陵电力,20040517,6.9371,
600452.SH,涪陵电力,20040518,7.0711,
600452.SH,涪陵电力,20040519,7.0584,
600452.SH,涪陵电力,20040520,7.0073,
600452.SH,涪陵电力,20040521,6.9563,
600452.SH,涪陵电力,20040524,6.6882,
600452.SH,涪陵电力,20040525,6.5542,
600452.SH,涪陵电力,20040526,6.6372,
600452.SH,涪陵电力,20040527,6.8669,
600452.SH,涪陵电力,20040528,6.8605,
600452.SH,涪陵电力,20040531,7.0456,
600452.SH,涪陵电力,20040601,7.2115,
600452.SH,涪陵电力,20040602,7.1541,
600452.SH,涪陵电力,20040603,7.0839,
600452.SH,涪陵电力,20040604,7.052,
600452.SH,涪陵电力,20040607,7.0967,
600452.SH,涪陵电力,20040608,6.8605,
600452.SH,涪陵电力,20040609,6.701,
600452.SH,涪陵电力,20040610,6.6499,
600452.SH,涪陵电力,20040611,6.7074,
600452.SH,涪陵电力,20040614,6.6627,
600452.SH,涪陵电力,20040615,6.835,
600452.SH,涪陵电力,20040616,6.9818,
600452.SH,涪陵电力,20040617,6.7776,
600452.SH,涪陵电力,20040618,6.7776,
600452.SH,涪陵电力,20040621,6.9499,
600452.SH,涪陵电力,20040622,6.9307,
600452.SH,涪陵电力,20040623,6.8159,
600452.SH,涪陵电力,20040624,6.6755,
600452.SH,涪陵电力,20040625,6.5032,
600452.SH,涪陵电力,20040628,5.9479,
600452.SH,涪陵电力,20040629,5.9671,
600452.SH,涪陵电力,20040630,5.7948,
600452.SH,涪陵电力,20040701,5.9862,
600452.SH,涪陵电力,20040702,5.9096,
600452.SH,涪陵电力,20040705,5.8394,
600452.SH,涪陵电力,20040706,5.9798,
600452.SH,涪陵电力,20040707,5.8522,
600452.SH,涪陵电力,20040708,5.7884,
600452.SH,涪陵电力,20040709,5.6161,
600452.SH,涪陵电力,20040712,5.2523,
600452.SH,涪陵电力,20040713,5.2906,
600452.SH,涪陵电力,20040714,5.08,
600452.SH,涪陵电力,20040715,5.1438,
600452.SH,涪陵电力,20040716,5.4246,
600452.SH,涪陵电力,20040719,5.4246,
600452.SH,涪陵电力,20040720,5.3544,
600452.SH,涪陵电力,20040721,5.4501,
600452.SH,涪陵电力,20040722,5.1821,
600452.SH,涪陵电力,20040723,5.3353,
600452.SH,涪陵电力,20040726,5.2459,
600452.SH,涪陵电力,20040727,5.2204,
600452.SH,涪陵电力,20040728,5.3353,
600452.SH,涪陵电力,20040729,5.3991,
600452.SH,涪陵电力,20040730,5.2268,
600452.SH,涪陵电力,20040802,5.1885,
600452.SH,涪陵电力,20040803,5.2204,
600452.SH,涪陵电力,20040804,5.3417,
600452.SH,涪陵电力,20040805,5.2076,
600452.SH,涪陵电力,20040806,5.1821,
600452.SH,涪陵电力,20040809,5.131,
600452.SH,涪陵电力,20040810,5.1502,
600452.SH,涪陵电力,20040811,4.8311,
600452.SH,涪陵电力,20040812,4.6333,
600452.SH,涪陵电力,20040813,4.6333,
600452.SH,涪陵电力,20040816,4.6333,
600452.SH,涪陵电力,20040817,4.3333,
600452.SH,涪陵电力,20040818,4.3269,
600452.SH,涪陵电力,20040819,4.1674,
600452.SH,涪陵电力,20040820,4.244,
600452.SH,涪陵电力,20040823,4.1546,
600452.SH,涪陵电力,20040824,4.3525,
600452.SH,涪陵电力,20040825,4.4673,
600452.SH,涪陵电力,20040826,4.378,
600452.SH,涪陵电力,20040827,4.244,
600452.SH,涪陵电力,20040830,4.3014,
600452.SH,涪陵电力,20040831,4.3907,
600452.SH,涪陵电力,20040901,4.3461,
600452.SH,涪陵电力,20040902,4.4035,
600452.SH,涪陵电力,20040903,4.3461,
600452.SH,涪陵电力,20040906,4.295,
600452.SH,涪陵电力,20040907,4.3461,
600452.SH,涪陵电力,20040908,4.295,
600452.SH,涪陵电力,20040909,4.1546,
600452.SH,涪陵电力,20040910,4.1546,
600452.SH,涪陵电力,20040913,4.0334,
600452.SH,涪陵电力,20040914,4.2823,
600452.SH,涪陵电力,20040915,4.5694,
600452.SH,涪陵电力,20040916,4.6716,
600452.SH,涪陵电力,20040917,4.8758,
600452.SH,涪陵电力,20040920,5.1821,
600452.SH,涪陵电力,20040921,5.0672,
600452.SH,涪陵电力,20040922,5.0736,
600452.SH,涪陵电力,20040923,5.1821,
600452.SH,涪陵电力,20040924,4.9204,
600452.SH,涪陵电力,20040927,4.7673,
600452.SH,涪陵电力,20040928,4.7226,
600452.SH,涪陵电力,20040929,4.7609,
600452.SH,涪陵电力,20040930,4.595,
600452.SH,涪陵电力,20041008,4.7545,
600452.SH,涪陵电力,20041011,4.8439,
600452.SH,涪陵电力,20041012,4.8311,
600452.SH,涪陵电力,20041013,4.7226,
600452.SH,涪陵电力,20041014,4.4163,
600452.SH,涪陵电力,20041015,4.2376,
600452.SH,涪陵电力,20041018,4.3205,
600452.SH,涪陵电力,20041019,4.2376,
600452.SH,涪陵电力,20041020,4.1099,
600452.SH,涪陵电力,20041021,4.0717,
600452.SH,涪陵电力,20041022,4.2631,
600452.SH,涪陵电力,20041025,4.2376,
600452.SH,涪陵电力,20041026,4.3844,
600452.SH,涪陵电力,20041027,4.4354,
600452.SH,涪陵电力,20041028,4.3588,
600452.SH,涪陵电力,20041029,4.3014,
600452.SH,涪陵电力,20041101,4.2184,
600452.SH,涪陵电力,20041102,4.2312,
600452.SH,涪陵电力,20041103,4.3397,
600452.SH,涪陵电力,20041104,4.2503,
600452.SH,涪陵电力,20041105,4.2503,
600452.SH,涪陵电力,20041108,4.2184,
600452.SH,涪陵电力,20041109,4.295,
600452.SH,涪陵电力,20041110,4.4929,
600452.SH,涪陵电力,20041111,4.4099,
600452.SH,涪陵电力,20041112,4.4673,
600452.SH,涪陵电力,20041115,4.5503,
600452.SH,涪陵电力,20041116,4.5375,
600452.SH,涪陵电力,20041117,4.6014,
600452.SH,涪陵电力,20041118,4.6269,
600452.SH,涪陵电力,20041119,4.5886,
600452.SH,涪陵电力,20041122,4.6588,
600452.SH,涪陵电力,20041123,4.5886,
600452.SH,涪陵电力,20041124,4.5694,
600452.SH,涪陵电力,20041125,4.646,
600452.SH,涪陵电力,20041126,4.7226,
600452.SH,涪陵电力,20041129,4.5758,
600452.SH,涪陵电力,20041130,4.6077,
600452.SH,涪陵电力,20041201,4.5439,
600452.SH,涪陵电力,20041202,4.5375,
600452.SH,涪陵电力,20041203,4.5439,
600452.SH,涪陵电力,20041206,4.5886,
600452.SH,涪陵电力,20041207,4.5694,
600452.SH,涪陵电力,20041208,4.5056,
600452.SH,涪陵电力,20041209,4.5439,
600452.SH,涪陵电力,20041210,4.3588,
600452.SH,涪陵电力,20041213,4.3205,
600452.SH,涪陵电力,20041214,4.2248,
600452.SH,涪陵电力,20041215,4.1993,
600452.SH,涪陵电力,20041216,4.1993,
600452.SH,涪陵电力,20041217,4.1801,
600452.SH,涪陵电力,20041220,4.1865,
600452.SH,涪陵电力,20041221,4.2376,
600452.SH,涪陵电力,20041222,4.3269,
600452.SH,涪陵电力,20041223,4.2248,
600452.SH,涪陵电力,20041224,4.2184,
600452.SH,涪陵电力,20041227,4.2312,
600452.SH,涪陵电力,20041228,4.2248,
600452.SH,涪陵电力,20041229,4.2759,
600452.SH,涪陵电力,20041230,4.2759,
600452.SH,涪陵电力,20041231,4.1801,
600452.SH,涪陵电力,20050104,4.0844,
600452.SH,涪陵电力,20050105,4.1227,
600452.SH,涪陵电力,20050106,4.0461,
600452.SH,涪陵电力,20050107,4.0717,
600452.SH,涪陵电力,20050110,4.0589,
600452.SH,涪陵电力,20050111,4.027,
600452.SH,涪陵电力,20050112,4.078,
600452.SH,涪陵电力,20050113,4.0461,
600452.SH,涪陵电力,20050114,3.9632,
600452.SH,涪陵电力,20050117,3.5675,
600452.SH,涪陵电力,20050118,3.6058,
600452.SH,涪陵电力,20050119,3.5547,
600452.SH,涪陵电力,20050120,3.3314,
600452.SH,涪陵电力,20050121,3.4781,
600452.SH,涪陵电力,20050124,3.5547,
600452.SH,涪陵电力,20050125,3.459,
600452.SH,涪陵电力,20050126,3.4079,
600452.SH,涪陵电力,20050127,3.3888,
600452.SH,涪陵电力,20050128,3.3058,
600452.SH,涪陵电力,20050131,3.2229,
600452.SH,涪陵电力,20050201,3.3952,
600452.SH,涪陵电力,20050202,3.5802,
600452.SH,涪陵电力,20050203,3.4526,
600452.SH,涪陵电力,20050204,3.4845,
600452.SH,涪陵电力,20050216,3.51,
600452.SH,涪陵电力,20050217,3.5675,
600452.SH,涪陵电力,20050218,3.542,
600452.SH,涪陵电力,20050221,3.6185,
600452.SH,涪陵电力,20050222,3.7079,
600452.SH,涪陵电力,20050223,3.7206,
600452.SH,涪陵电力,20050224,3.676,
600452.SH,涪陵电力,20050225,3.7015,
600452.SH,涪陵电力,20050228,3.6951,
600452.SH,涪陵电力,20050301,3.7972,
600452.SH,涪陵电力,20050302,3.7334,
600452.SH,涪陵电力,20050303,3.6632,
600452.SH,涪陵电力,20050304,3.6632,
600452.SH,涪陵电力,20050307,3.6632,
600452.SH,涪陵电力,20050308,3.7398,
600452.SH,涪陵电力,20050309,3.7526,
600452.SH,涪陵电力,20050310,3.6504,
600452.SH,涪陵电力,20050311,3.6122,
600452.SH,涪陵电力,20050314,3.4909,
600452.SH,涪陵电力,20050315,3.4207,
600452.SH,涪陵电力,20050316,3.4143,
600452.SH,涪陵电力,20050317,3.4271,
600452.SH,涪陵电力,20050318,3.325,
600452.SH,涪陵电力,20050321,3.3377,
600452.SH,涪陵电力,20050322,3.1335,
600452.SH,涪陵电力,20050323,3.1144,
600452.SH,涪陵电力,20050324,3.1463,
600452.SH,涪陵电力,20050325,3.2101,
600452.SH,涪陵电力,20050328,3.1463,
600452.SH,涪陵电力,20050329,3.108,
600452.SH,涪陵电力,20050330,2.9165,
600452.SH,涪陵电力,20050331,2.9038,
600452.SH,涪陵电力,20050401,3.0952,
600452.SH,涪陵电力,20050404,3.1846,
600452.SH,涪陵电力,20050405,3.0825,
600452.SH,涪陵电力,20050406,3.2612,
600452.SH,涪陵电力,20050407,3.242,
600452.SH,涪陵电力,20050408,3.2612,
600452.SH,涪陵电力,20050411,3.2229,
600452.SH,涪陵电力,20050412,3.1973,
600452.SH,涪陵电力,20050413,3.2675,
600452.SH,涪陵电力,20050414,3.1335,
600452.SH,涪陵电力,20050415,2.9931,
600452.SH,涪陵电力,20050418,2.9229,
600452.SH,涪陵电力,20050419,2.9867,
600452.SH,涪陵电力,20050420,2.9357,
600452.SH,涪陵电力,20050421,2.8463,
600452.SH,涪陵电力,20050422,2.8144,
600452.SH,涪陵电力,20050425,2.7889,
600452.SH,涪陵电力,20050426,2.9165,
600452.SH,涪陵电力,20050427,2.8463,
600452.SH,涪陵电力,20050428,2.9293,
600452.SH,涪陵电力,20050429,2.9101,
600452.SH,涪陵电力,20050509,2.808,
600452.SH,涪陵电力,20050510,2.891,
600452.SH,涪陵电力,20050511,2.8527,
600452.SH,涪陵电力,20050512,2.8527,
600452.SH,涪陵电力,20050513,2.8655,
600452.SH,涪陵电力,20050516,2.8144,
600452.SH,涪陵电力,20050517,2.8655,
600452.SH,涪陵电力,20050518,2.8782,
600452.SH,涪陵电力,20050519,2.9165,
600452.SH,涪陵电力,20050520,2.9101,
600452.SH,涪陵电力,20050523,2.8208,
600452.SH,涪陵电力,20050524,2.9038,
600452.SH,涪陵电力,20050525,2.9038,
600452.SH,涪陵电力,20050526,2.8837,
600452.SH,涪陵电力,20050527,2.8704,
600452.SH,涪陵电力,20050530,2.9505,
600452.SH,涪陵电力,20050531,2.9705,
600452.SH,涪陵电力,20050601,3.0172,
600452.SH,涪陵电力,20050602,2.9572,
600452.SH,涪陵电力,20050603,2.9572,
600452.SH,涪陵电力,20050606,2.9572,
600452.SH,涪陵电力,20050607,2.9905,
600452.SH,涪陵电力,20050608,3.1975,
600452.SH,涪陵电力,20050609,3.2442,
600452.SH,涪陵电力,20050610,3.1574,
600452.SH,涪陵电力,20050613,3.1508,
600452.SH,涪陵电力,20050614,3.064,
600452.SH,涪陵电力,20050615,3.0306,
600452.SH,涪陵电力,20050616,3.064,
600452.SH,涪陵电力,20050617,3.0306,
600452.SH,涪陵电力,20050620,3.1441,
600452.SH,涪陵电力,20050621,3.084,
600452.SH,涪陵电力,20050622,3.0907,
600452.SH,涪陵电力,20050623,3.0907,
600452.SH,涪陵电力,20050624,3.104,
600452.SH,涪陵电力,20050627,3.1908,
600452.SH,涪陵电力,20050628,3.0973,
600452.SH,涪陵电力,20050629,3.084,
600452.SH,涪陵电力,20050630,2.9638,
600452.SH,涪陵电力,20050701,2.8837,
