測鎢,潠備,�梪�,彶攫歎(啋),
600449.SH,譴狦膘第,20030829,2.2573,
600449.SH,譴狦膘第,20030901,2.407,
600449.SH,譴狦膘第,20030902,2.3379,
600449.SH,譴狦膘第,20030903,2.3062,
600449.SH,譴狦膘第,20030904,2.3091,
600449.SH,譴狦膘第,20030905,2.2515,
600449.SH,譴狦膘第,20030908,2.2573,
600449.SH,譴狦膘第,20030909,2.2227,
600449.SH,譴狦膘第,20030910,2.2342,
600449.SH,譴狦膘第,20030911,2.2342,
600449.SH,譴狦膘第,20030912,2.1421,
600449.SH,譴狦膘第,20030915,2.1162,
600449.SH,譴狦膘第,20030916,2.1565,
600449.SH,譴狦膘第,20030917,2.0787,
600449.SH,譴狦膘第,20030918,2.0845,
600449.SH,譴狦膘第,20030919,2.1018,
600449.SH,譴狦膘第,20030922,2.1133,
600449.SH,譴狦膘第,20030923,2.1248,
600449.SH,譴狦膘第,20030924,2.1219,
600449.SH,譴狦膘第,20030925,2.0759,
600449.SH,譴狦膘第,20030926,2.0903,
600449.SH,譴狦膘第,20030929,2.0442,
600449.SH,譴狦膘第,20030930,2.0528,
600449.SH,譴狦膘第,20031008,2.0586,
600449.SH,譴狦膘第,20031009,2.0413,
600449.SH,譴狦膘第,20031010,2.1162,
600449.SH,譴狦膘第,20031013,2.1306,
600449.SH,譴狦膘第,20031014,2.1191,
600449.SH,譴狦膘第,20031015,2.1075,
600449.SH,譴狦膘第,20031016,2.0903,
600449.SH,譴狦膘第,20031017,2.1219,
600449.SH,譴狦膘第,20031020,2.145,
600449.SH,譴狦膘第,20031021,2.1565,
600449.SH,譴狦膘第,20031022,2.24,
600449.SH,譴狦膘第,20031023,2.2457,
600449.SH,譴狦膘第,20031024,2.2457,
600449.SH,譴狦膘第,20031027,2.2832,
600449.SH,譴狦膘第,20031028,2.2659,
600449.SH,譴狦膘第,20031029,2.2342,
600449.SH,譴狦膘第,20031030,2.3033,
600449.SH,譴狦膘第,20031031,2.335,
600449.SH,譴狦膘第,20031103,2.3695,
600449.SH,譴狦膘第,20031104,2.3638,
600449.SH,譴狦膘第,20031105,2.3753,
600449.SH,譴狦膘第,20031106,2.2832,
600449.SH,譴狦膘第,20031107,2.2342,
600449.SH,譴狦膘第,20031110,2.2803,
600449.SH,譴狦膘第,20031111,2.2745,
