ด๚ย๋,ผ๒ณฦ,ศีฦฺ,สีลฬผÛ(ิช),
002334.SZ,ำขอþฬฺ,20100113,5.9586,
002334.SZ,ำขอþฬฺ,20100114,6.1551,
002334.SZ,ำขอþฬฺ,20100115,6.2243,
002334.SZ,ำขอþฬฺ,20100118,6.1897,
002334.SZ,ำขอþฬฺ,20100119,6.8087,
002334.SZ,ำขอþฬฺ,20100120,6.826,
002334.SZ,ำขอþฬฺ,20100121,6.3801,
002334.SZ,ำขอþฬฺ,20100122,5.8789,
002334.SZ,ำขอþฬฺ,20100125,5.859,
002334.SZ,ำขอþฬฺ,20100126,5.936,
002334.SZ,ำขอþฬฺ,20100127,5.9629,
002334.SZ,ำขอþฬฺ,20100128,5.672,
002334.SZ,ำขอþฬฺ,20100129,5.9733,
002334.SZ,ำขอþฬฺ,20100201,6.0339,
002334.SZ,ำขอþฬฺ,20100202,5.9733,
002334.SZ,ำขอþฬฺ,20100203,5.8097,
002334.SZ,ำขอþฬฺ,20100204,5.6703,
002334.SZ,ำขอþฬฺ,20100205,5.3257,
002334.SZ,ำขอþฬฺ,20100208,5.3872,
002334.SZ,ำขอþฬฺ,20100209,5.2296,
002334.SZ,ำขอþฬฺ,20100210,5.4764,
002334.SZ,ำขอþฬฺ,20100211,5.4738,
002334.SZ,ำขอþฬฺ,20100212,5.6434,
002334.SZ,ำขอþฬฺ,20100222,5.5751,
002334.SZ,ำขอþฬฺ,20100223,5.6357,
002334.SZ,ำขอþฬฺ,20100224,6.0382,
002334.SZ,ำขอþฬฺ,20100225,6.0841,
002334.SZ,ำขอþฬฺ,20100226,6.1005,
002334.SZ,ำขอþฬฺ,20100301,6.194,
002334.SZ,ำขอþฬฺ,20100302,6.2624,
002334.SZ,ำขอþฬฺ,20100303,6.207,
002334.SZ,ำขอþฬฺ,20100304,6.0598,
002334.SZ,ำขอþฬฺ,20100305,6.0278,
002334.SZ,ำขอþฬฺ,20100308,6.0391,
002334.SZ,ำขอþฬฺ,20100309,5.904,
002334.SZ,ำขอþฬฺ,20100310,5.7655,
002334.SZ,ำขอþฬฺ,20100311,5.814,
002334.SZ,ำขอþฬฺ,20100312,5.8607,
002334.SZ,ำขอþฬฺ,20100315,5.8607,
002334.SZ,ำขอþฬฺ,20100316,5.8174,
002334.SZ,ำขอþฬฺ,20100317,5.9733,
002334.SZ,ำขอþฬฺ,20100318,5.9906,
002334.SZ,ำขอþฬฺ,20100319,5.9568,
002334.SZ,ำขอþฬฺ,20100322,5.9153,
002334.SZ,ำขอþฬฺ,20100323,5.878,
002334.SZ,ำขอþฬฺ,20100324,6.1014,
002334.SZ,ำขอþฬฺ,20100325,6.1507,
002334.SZ,ำขอþฬฺ,20100326,6.0607,
002334.SZ,ำขอþฬฺ,20100329,6.0607,
002334.SZ,ำขอþฬฺ,20100330,6.2849,
002334.SZ,ำขอþฬฺ,20100331,6.5368,
002334.SZ,ำขอþฬฺ,20100401,6.4191,
002334.SZ,ำขอþฬฺ,20100402,6.2503,
002334.SZ,ำขอþฬฺ,20100406,6.3628,
002334.SZ,ำขอþฬฺ,20100407,6.4927,
002334.SZ,ำขอþฬฺ,20100408,6.6485,
002334.SZ,ำขอþฬฺ,20100409,6.7091,
002334.SZ,ำขอþฬฺ,20100412,6.9255,
002334.SZ,ำขอþฬฺ,20100413,6.2754,
002334.SZ,ำขอþฬฺ,20100414,6.3282,
002334.SZ,ำขอþฬฺ,20100415,6.0789,
002334.SZ,ำขอþฬฺ,20100416,6.0824,
002334.SZ,ำขอþฬฺ,20100419,6.326,
002334.SZ,ำขอþฬฺ,20100420,6.5137,
002334.SZ,ำขอþฬฺ,20100421,6.9564,
002334.SZ,ำขอþฬฺ,20100422,7.1162,
002334.SZ,ำขอþฬฺ,20100423,7.0027,
002334.SZ,ำขอþฬฺ,20100426,7.2646,
002334.SZ,ำขอþฬฺ,20100427,6.8979,
002334.SZ,ำขอþฬฺ,20100428,6.9747,
002334.SZ,ำขอþฬฺ,20100429,6.7748,
002334.SZ,ำขอþฬฺ,20100430,6.5836,
002334.SZ,ำขอþฬฺ,20100504,6.636,
002334.SZ,ำขอþฬฺ,20100505,6.9669,
002334.SZ,ำขอþฬฺ,20100506,7.1136,
002334.SZ,ำขอþฬฺ,20100507,7.338,
002334.SZ,ำขอþฬฺ,20100510,6.7608,
002334.SZ,ำขอþฬฺ,20100511,6.9678,
002334.SZ,ำขอþฬฺ,20100512,6.7303,
002334.SZ,ำขอþฬฺ,20100513,6.8979,
002334.SZ,ำขอþฬฺ,20100514,7.262,
002334.SZ,ำขอþฬฺ,20100517,7.1598,
002334.SZ,ำขอþฬฺ,20100518,7.1345,
002334.SZ,ำขอþฬฺ,20100519,7.4916,
002334.SZ,ำขอþฬฺ,20100520,7.1529,
002334.SZ,ำขอþฬฺ,20100521,7.868,
