ґъВл,јтіЖ,ИХЖЪ,КХЕМјЫ(ФЄ),
300618.SZ,є®ИсоЬТµ,20170306,17.93,
300618.SZ,є®ИсоЬТµ,20170307,19.72,
300618.SZ,є®ИсоЬТµ,20170308,21.69,
300618.SZ,є®ИсоЬТµ,20170309,23.86,
300618.SZ,є®ИсоЬТµ,20170310,26.25,
300618.SZ,є®ИсоЬТµ,20170313,28.88,
300618.SZ,є®ИсоЬТµ,20170314,31.77,
300618.SZ,є®ИсоЬТµ,20170315,34.95,
300618.SZ,є®ИсоЬТµ,20170316,38.45,
300618.SZ,є®ИсоЬТµ,20170317,42.3,
300618.SZ,є®ИсоЬТµ,20170320,46.53,
300618.SZ,є®ИсоЬТµ,20170321,51.18,
300618.SZ,є®ИсоЬТµ,20170322,56.3,
300618.SZ,є®ИсоЬТµ,20170323,61.93,
300618.SZ,є®ИсоЬТµ,20170324,68.12,
300618.SZ,є®ИсоЬТµ,20170327,74.93,
300618.SZ,є®ИсоЬТµ,20170328,82.42,
300618.SZ,є®ИсоЬТµ,20170329,90.66,
300618.SZ,є®ИсоЬТµ,20170330,99.73,
300618.SZ,є®ИсоЬТµ,20170331,107.84,
300618.SZ,є®ИсоЬТµ,20170405,102.91,
300618.SZ,є®ИсоЬТµ,20170406,100.07,
300618.SZ,є®ИсоЬТµ,20170407,102.46,
300618.SZ,є®ИсоЬТµ,20170410,92.21,
300618.SZ,є®ИсоЬТµ,20170411,87.78,
300618.SZ,є®ИсоЬТµ,20170412,87.9,
300618.SZ,є®ИсоЬТµ,20170413,86.4,
300618.SZ,є®ИсоЬТµ,20170414,86.8,
300618.SZ,є®ИсоЬТµ,20170417,79.3,
300618.SZ,є®ИсоЬТµ,20170418,79.26,
300618.SZ,є®ИсоЬТµ,20170419,79.98,
300618.SZ,є®ИсоЬТµ,20170420,76.4,
300618.SZ,є®ИсоЬТµ,20170421,74,
300618.SZ,є®ИсоЬТµ,20170424,68.63,
300618.SZ,є®ИсоЬТµ,20170425,70.65,
300618.SZ,є®ИсоЬТµ,20170426,77.72,
300618.SZ,є®ИсоЬТµ,20170427,79.5,
300618.SZ,є®ИсоЬТµ,20170428,79.4,
300618.SZ,є®ИсоЬТµ,20170502,79.61,
300618.SZ,є®ИсоЬТµ,20170503,80.54,
300618.SZ,є®ИсоЬТµ,20170504,79.38,
300618.SZ,є®ИсоЬТµ,20170505,76.29,
300618.SZ,є®ИсоЬТµ,20170508,74.64,
300618.SZ,є®ИсоЬТµ,20170509,76.68,
300618.SZ,є®ИсоЬТµ,20170510,74.67,
300618.SZ,є®ИсоЬТµ,20170511,76.58,
300618.SZ,є®ИсоЬТµ,20170512,80.18,
300618.SZ,є®ИсоЬТµ,20170515,79.44,
300618.SZ,є®ИсоЬТµ,20170516,84.2,
300618.SZ,є®ИсоЬТµ,20170517,83.06,
300618.SZ,є®ИсоЬТµ,20170518,82.8,
300618.SZ,є®ИсоЬТµ,20170519,83.3,
300618.SZ,є®ИсоЬТµ,20170522,74.97,
300618.SZ,є®ИсоЬТµ,20170523,73.2,
300618.SZ,є®ИсоЬТµ,20170524,72.08,
300618.SZ,є®ИсоЬТµ,20170525,73.62,
300618.SZ,є®ИсоЬТµ,20170526,74.72,
300618.SZ,є®ИсоЬТµ,20170531,72.28,
300618.SZ,є®ИсоЬТµ,20170601,68.76,
300618.SZ,є®ИсоЬТµ,20170602,73.5,
300618.SZ,є®ИсоЬТµ,20170605,74.99,
300618.SZ,є®ИсоЬТµ,20170606,76.49,
300618.SZ,є®ИсоЬТµ,20170607,78.05,
300618.SZ,є®ИсоЬТµ,20170608,75.75,
300618.SZ,є®ИсоЬТµ,20170609,80.06,
300618.SZ,є®ИсоЬТµ,20170612,79.41,
300618.SZ,є®ИсоЬТµ,20170613,87.35,
300618.SZ,є®ИсоЬТµ,20170614,89.12,
300618.SZ,є®ИсоЬТµ,20170615,93.05,
300618.SZ,є®ИсоЬТµ,20170616,96.6,
300618.SZ,є®ИсоЬТµ,20170619,96.68,
300618.SZ,є®ИсоЬТµ,20170620,95.64,
300618.SZ,є®ИсоЬТµ,20170621,98,
300618.SZ,є®ИсоЬТµ,20170622,93.89,
300618.SZ,є®ИсоЬТµ,20170623,95.77,
300618.SZ,є®ИсоЬТµ,20170626,96.76,
300618.SZ,є®ИсоЬТµ,20170627,97.24,
300618.SZ,є®ИсоЬТµ,20170628,91.35,
300618.SZ,є®ИсоЬТµ,20170629,91.12,
300618.SZ,є®ИсоЬТµ,20170630,94.3,
300618.SZ,є®ИсоЬТµ,20170703,94.98,
300618.SZ,є®ИсоЬТµ,20170704,93.22,
300618.SZ,є®ИсоЬТµ,20170705,102.54,
300618.SZ,є®ИсоЬТµ,20170706,104.66,
300618.SZ,є®ИсоЬТµ,20170707,115.13,
300618.SZ,є®ИсоЬТµ,20170710,118,
300618.SZ,є®ИсоЬТµ,20170711,106.2,
300618.SZ,є®ИсоЬТµ,20170712,112.6,
300618.SZ,є®ИсоЬТµ,20170713,110.19,
300618.SZ,є®ИсоЬТµ,20170714,109.01,
300618.SZ,є®ИсоЬТµ,20170717,102.28,
300618.SZ,є®ИсоЬТµ,20170718,106.2,
300618.SZ,є®ИсоЬТµ,20170719,111.05,
300618.SZ,є®ИсоЬТµ,20170720,110.54,
300618.SZ,є®ИсоЬТµ,20170721,108.83,
300618.SZ,є®ИсоЬТµ,20170724,100.66,
300618.SZ,є®ИсоЬТµ,20170725,100,
300618.SZ,є®ИсоЬТµ,20170726,100,
300618.SZ,є®ИсоЬТµ,20170727,98.01,
300618.SZ,є®ИсоЬТµ,20170728,101.5,
300618.SZ,є®ИсоЬТµ,20170731,102.98,
300618.SZ,є®ИсоЬТµ,20170801,102.55,
300618.SZ,є®ИсоЬТµ,20170802,107.21,
300618.SZ,є®ИсоЬТµ,20170803,108,
300618.SZ,є®ИсоЬТµ,20170804,100.65,
300618.SZ,є®ИсоЬТµ,20170807,105.54,
300618.SZ,є®ИсоЬТµ,20170808,103.1,
300618.SZ,є®ИсоЬТµ,20170809,102.83,
300618.SZ,є®ИсоЬТµ,20170810,99.01,
300618.SZ,є®ИсоЬТµ,20170811,96.1,
300618.SZ,є®ИсоЬТµ,20170814,99.85,
300618.SZ,є®ИсоЬТµ,20170815,97.78,
300618.SZ,є®ИсоЬТµ,20170816,98,
300618.SZ,є®ИсоЬТµ,20170817,98.23,
300618.SZ,є®ИсоЬТµ,20170818,95.25,
300618.SZ,є®ИсоЬТµ,20170821,98.1,
