測鎢,潠備,�梪�,彶攫歎(啋),
002130.SZ,挋嫌瞄第,20070420,2.5944,
002130.SZ,挋嫌瞄第,20070423,2.4966,
002130.SZ,挋嫌瞄第,20070424,2.4388,
002130.SZ,挋嫌瞄第,20070425,2.4694,
002130.SZ,挋嫌瞄第,20070426,2.4363,
002130.SZ,挋嫌瞄第,20070427,2.3523,
002130.SZ,挋嫌瞄第,20070430,2.2806,
002130.SZ,挋嫌瞄第,20070508,2.3108,
002130.SZ,挋嫌瞄第,20070509,2.3478,
002130.SZ,挋嫌瞄第,20070510,2.3231,
002130.SZ,挋嫌瞄第,20070511,2.2777,
002130.SZ,挋嫌瞄第,20070514,2.2638,
002130.SZ,挋嫌瞄第,20070515,2.2732,
002130.SZ,挋嫌瞄第,20070516,2.3128,
002130.SZ,挋嫌瞄第,20070517,2.3315,
002130.SZ,挋嫌瞄第,20070518,2.3207,
002130.SZ,挋嫌瞄第,20070521,2.4066,
002130.SZ,挋嫌瞄第,20070522,2.3765,
002130.SZ,挋嫌瞄第,20070523,2.3834,
002130.SZ,挋嫌瞄第,20070524,2.3128,
002130.SZ,挋嫌瞄第,20070525,2.4032,
002130.SZ,挋嫌瞄第,20070528,2.4032,
002130.SZ,挋嫌瞄第,20070529,2.419,
002130.SZ,挋嫌瞄第,20070530,2.3078,
002130.SZ,挋嫌瞄第,20070531,2.4225,
002130.SZ,挋嫌瞄第,20070601,2.4363,
002130.SZ,挋嫌瞄第,20070604,2.2485,
002130.SZ,挋嫌瞄第,20070605,2.2179,
002130.SZ,挋嫌瞄第,20070606,2.2436,
002130.SZ,挋嫌瞄第,20070607,2.3503,
002130.SZ,挋嫌瞄第,20070608,2.4447,
002130.SZ,挋嫌瞄第,20070611,2.5618,
002130.SZ,挋嫌瞄第,20070612,2.5841,
002130.SZ,挋嫌瞄第,20070613,2.718,
002130.SZ,挋嫌瞄第,20070614,2.7674,
002130.SZ,挋嫌瞄第,20070615,2.8079,
002130.SZ,挋嫌瞄第,20070618,2.8559,
002130.SZ,挋嫌瞄第,20070619,2.8559,
002130.SZ,挋嫌瞄第,20070620,2.6715,
002130.SZ,挋嫌瞄第,20070621,2.6943,
002130.SZ,挋嫌瞄第,20070622,2.5653,
002130.SZ,挋嫌瞄第,20070625,2.4659,
002130.SZ,挋嫌瞄第,20070626,2.586,
002130.SZ,挋嫌瞄第,20070627,2.6908,
002130.SZ,挋嫌瞄第,20070628,2.5089,
002130.SZ,挋嫌瞄第,20070629,2.4141,
002130.SZ,挋嫌瞄第,20070702,2.4363,
002130.SZ,挋嫌瞄第,20070703,2.4472,
002130.SZ,挋嫌瞄第,20070704,2.3696,
002130.SZ,挋嫌瞄第,20070705,2.2638,
002130.SZ,挋嫌瞄第,20070706,2.3968,
002130.SZ,挋嫌瞄第,20070709,2.4407,
002130.SZ,挋嫌瞄第,20070710,2.3355,
002130.SZ,挋嫌瞄第,20070711,2.4155,
002130.SZ,挋嫌瞄第,20070712,2.4017,
002130.SZ,挋嫌瞄第,20070713,2.4205,
002130.SZ,挋嫌瞄第,20070716,2.4304,
002130.SZ,挋嫌瞄第,20070717,2.5826,
002130.SZ,挋嫌瞄第,20070718,2.5895,
002130.SZ,挋嫌瞄第,20070719,2.5969,
002130.SZ,挋嫌瞄第,20070720,2.6537,
002130.SZ,挋嫌瞄第,20070723,2.718,
002130.SZ,挋嫌瞄第,20070724,2.6518,
002130.SZ,挋嫌瞄第,20070725,2.7081,
002130.SZ,挋嫌瞄第,20070726,2.6439,
002130.SZ,挋嫌瞄第,20070727,2.8292,
002130.SZ,挋嫌瞄第,20070730,2.8267,
002130.SZ,挋嫌瞄第,20070731,2.7926,
002130.SZ,挋嫌瞄第,20070801,2.6157,
002130.SZ,挋嫌瞄第,20070802,2.7664,
002130.SZ,挋嫌瞄第,20070803,2.8662,
002130.SZ,挋嫌瞄第,20070806,2.8252,
002130.SZ,挋嫌瞄第,20070807,2.8045,
002130.SZ,挋嫌瞄第,20070808,2.7328,
002130.SZ,挋嫌瞄第,20070809,2.7397,
002130.SZ,挋嫌瞄第,20070810,2.6117,
002130.SZ,挋嫌瞄第,20070813,2.6355,
002130.SZ,挋嫌瞄第,20070814,2.6597,
002130.SZ,挋嫌瞄第,20070815,2.6043,
002130.SZ,挋嫌瞄第,20070816,2.591,
002130.SZ,挋嫌瞄第,20070817,2.6186,
002130.SZ,挋嫌瞄第,20070820,2.6784,
002130.SZ,挋嫌瞄第,20070821,2.6636,
002130.SZ,挋嫌瞄第,20070822,2.6439,
002130.SZ,挋嫌瞄第,20070823,2.631,
002130.SZ,挋嫌瞄第,20070824,2.671,
002130.SZ,挋嫌瞄第,20070827,2.6058,
002130.SZ,挋嫌瞄第,20070828,2.5104,
002130.SZ,挋嫌瞄第,20070829,2.5005,
002130.SZ,挋嫌瞄第,20070830,2.5401,
002130.SZ,挋嫌瞄第,20070831,2.5589,
002130.SZ,挋嫌瞄第,20070903,2.548,
002130.SZ,挋嫌瞄第,20070904,2.5134,
002130.SZ,挋嫌瞄第,20070905,2.5475,
002130.SZ,挋嫌瞄第,20070906,2.5598,
002130.SZ,挋嫌瞄第,20070907,2.4748,
002130.SZ,挋嫌瞄第,20070910,2.5094,
002130.SZ,挋嫌瞄第,20070911,2.3478,
002130.SZ,挋嫌瞄第,20070912,2.3849,
002130.SZ,挋嫌瞄第,20070913,2.4062,
002130.SZ,挋嫌瞄第,20070914,2.5154,
002130.SZ,挋嫌瞄第,20070917,2.4739,
002130.SZ,挋嫌瞄第,20070918,2.4314,
002130.SZ,挋嫌瞄第,20070919,2.3874,
002130.SZ,挋嫌瞄第,20070920,2.4017,
002130.SZ,挋嫌瞄第,20070921,2.3399,
002130.SZ,挋嫌瞄第,20070924,2.3691,
002130.SZ,挋嫌瞄第,20070925,2.331,
002130.SZ,挋嫌瞄第,20070926,2.3543,
002130.SZ,挋嫌瞄第,20070927,2.4417,
002130.SZ,挋嫌瞄第,20070928,2.4516,
002130.SZ,挋嫌瞄第,20071008,2.4501,
002130.SZ,挋嫌瞄第,20071009,2.5252,
002130.SZ,挋嫌瞄第,20071010,2.4818,
002130.SZ,挋嫌瞄第,20071011,2.5391,
002130.SZ,挋嫌瞄第,20071012,2.5188,
002130.SZ,挋嫌瞄第,20071015,2.6048,
002130.SZ,挋嫌瞄第,20071016,2.5791,
002130.SZ,挋嫌瞄第,20071017,2.5178,
002130.SZ,挋嫌瞄第,20071018,2.4318,
002130.SZ,挋嫌瞄第,20071019,2.4309,
002130.SZ,挋嫌瞄第,20071022,2.3869,
002130.SZ,挋嫌瞄第,20071023,2.4294,
002130.SZ,挋嫌瞄第,20071024,2.3829,
002130.SZ,挋嫌瞄第,20071025,2.2322,
002130.SZ,挋嫌瞄第,20071026,2.247,
002130.SZ,挋嫌瞄第,20071029,2.124,
002130.SZ,挋嫌瞄第,20071030,2.1363,
002130.SZ,挋嫌瞄第,20071031,2.2129,
002130.SZ,挋嫌瞄第,20071101,2.0919,
002130.SZ,挋嫌瞄第,20071102,2.0973,
002130.SZ,挋嫌瞄第,20071105,2.1719,
002130.SZ,挋嫌瞄第,20071106,2.1368,
002130.SZ,挋嫌瞄第,20071107,2.1012,
002130.SZ,挋嫌瞄第,20071108,2.0449,
002130.SZ,挋嫌瞄第,20071109,2.0108,
002130.SZ,挋嫌瞄第,20071112,1.9224,
002130.SZ,挋嫌瞄第,20071113,1.952,
002130.SZ,挋嫌瞄第,20071114,2.035,
002130.SZ,挋嫌瞄第,20071115,2.035,
002130.SZ,挋嫌瞄第,20071116,1.9985,
002130.SZ,挋嫌瞄第,20071119,2.076,
002130.SZ,挋嫌瞄第,20071120,2.0978,
002130.SZ,挋嫌瞄第,20071121,2.12,
002130.SZ,挋嫌瞄第,20071122,1.9767,
002130.SZ,挋嫌瞄第,20071123,1.994,
002130.SZ,挋嫌瞄第,20071126,1.9782,
002130.SZ,挋嫌瞄第,20071127,1.9762,
002130.SZ,挋嫌瞄第,20071128,1.9713,
002130.SZ,挋嫌瞄第,20071129,2.0365,
002130.SZ,挋嫌瞄第,20071130,1.997,
002130.SZ,挋嫌瞄第,20071203,2.0014,
