測鎢,潠備,�梪�,彶攫歎(啋),
603167.SH,眾漆謫傾,20120906,10.7321,
603167.SH,眾漆謫傾,20120907,10.7229,
603167.SH,眾漆謫傾,20120910,10.9237,
603167.SH,眾漆謫傾,20120911,10.5952,
603167.SH,眾漆謫傾,20120912,10.3579,
603167.SH,眾漆謫傾,20120913,10.2666,
603167.SH,眾漆謫傾,20120914,10.0476,
603167.SH,眾漆謫傾,20120917,9.1442,
603167.SH,眾漆謫傾,20120918,9.1168,
603167.SH,眾漆謫傾,20120919,9.135,
603167.SH,眾漆謫傾,20120920,8.5784,
603167.SH,眾漆謫傾,20120921,8.3867,
603167.SH,眾漆謫傾,20120924,8.3867,
603167.SH,眾漆謫傾,20120925,8.1403,
603167.SH,眾漆謫傾,20120926,7.7296,
603167.SH,眾漆謫傾,20120927,7.903,
603167.SH,眾漆謫傾,20120928,7.9852,
603167.SH,眾漆謫傾,20121008,7.9395,
603167.SH,眾漆謫傾,20121009,8.4232,
603167.SH,眾漆謫傾,20121010,8.4141,
603167.SH,眾漆謫傾,20121011,8.0764,
603167.SH,眾漆謫傾,20121012,8.1129,
603167.SH,眾漆謫傾,20121015,8.0673,
603167.SH,眾漆謫傾,20121016,7.9943,
603167.SH,眾漆謫傾,20121017,7.9578,
603167.SH,眾漆謫傾,20121018,8.1403,
603167.SH,眾漆謫傾,20121019,8.0764,
603167.SH,眾漆謫傾,20121022,8.0308,
603167.SH,眾漆謫傾,20121023,7.9669,
603167.SH,眾漆謫傾,20121024,7.8848,
603167.SH,眾漆謫傾,20121025,7.7844,
603167.SH,眾漆謫傾,20121026,7.4741,
603167.SH,眾漆謫傾,20121029,7.4832,
603167.SH,眾漆謫傾,20121030,7.5198,
603167.SH,眾漆謫傾,20121031,7.4741,
603167.SH,眾漆謫傾,20121101,7.5836,
603167.SH,眾漆謫傾,20121102,7.6201,
603167.SH,眾漆謫傾,20121105,7.611,
603167.SH,眾漆謫傾,20121106,7.4741,
603167.SH,眾漆謫傾,20121107,7.5563,
603167.SH,眾漆謫傾,20121108,7.3464,
603167.SH,眾漆謫傾,20121109,7.1638,
603167.SH,眾漆謫傾,20121112,7.1821,
603167.SH,眾漆謫傾,20121113,7.0361,
603167.SH,眾漆謫傾,20121114,7.2095,
603167.SH,眾漆謫傾,20121115,6.9539,
603167.SH,眾漆謫傾,20121116,7.0361,
603167.SH,眾漆謫傾,20121119,7.1182,
603167.SH,眾漆謫傾,20121120,7.0543,
603167.SH,眾漆謫傾,20121121,7.2916,
603167.SH,眾漆謫傾,20121122,7.2734,
603167.SH,眾漆謫傾,20121123,7.2368,
603167.SH,眾漆謫傾,20121126,7.0361,
603167.SH,眾漆謫傾,20121127,6.5889,
603167.SH,眾漆謫傾,20121128,6.4976,
603167.SH,眾漆謫傾,20121129,6.3516,
603167.SH,眾漆謫傾,20121130,6.3973,
603167.SH,眾漆謫傾,20121203,6.2147,
603167.SH,眾漆謫傾,20121204,6.3151,
603167.SH,眾漆謫傾,20121205,6.5342,
603167.SH,眾漆謫傾,20121206,6.5524,
603167.SH,眾漆謫傾,20121207,6.7258,
603167.SH,眾漆謫傾,20121210,6.8353,
603167.SH,眾漆謫傾,20121211,6.7075,
603167.SH,眾漆謫傾,20121212,6.6802,
603167.SH,眾漆謫傾,20121213,6.7532,
603167.SH,眾漆謫傾,20121214,7.1182,
603167.SH,眾漆謫傾,20121217,7.1182,
603167.SH,眾漆謫傾,20121218,7.0087,
603167.SH,眾漆謫傾,20121219,7.0087,
603167.SH,眾漆謫傾,20121220,7.1547,
603167.SH,眾漆謫傾,20121221,7.3281,
603167.SH,眾漆謫傾,20121224,7.2734,
603167.SH,眾漆謫傾,20121225,8.0034,
603167.SH,眾漆謫傾,20121226,8.8065,
603167.SH,眾漆謫傾,20121227,8.6057,
603167.SH,眾漆謫傾,20121228,8.6149,
603167.SH,眾漆謫傾,20121231,8.405,
603167.SH,眾漆謫傾,20130104,8.4232,
603167.SH,眾漆謫傾,20130107,8.5601,
603167.SH,眾漆謫傾,20130108,8.5875,
603167.SH,眾漆謫傾,20130109,8.6057,
603167.SH,眾漆謫傾,20130110,8.5784,
603167.SH,眾漆謫傾,20130111,8.2407,
603167.SH,眾漆謫傾,20130114,8.478,
603167.SH,眾漆謫傾,20130115,8.6514,
603167.SH,眾漆謫傾,20130116,8.9525,
603167.SH,眾漆謫傾,20130117,8.551,
603167.SH,眾漆謫傾,20130118,8.7609,
603167.SH,眾漆謫傾,20130121,9.0438,
603167.SH,眾漆謫傾,20130122,9.3084,
603167.SH,眾漆謫傾,20130123,9.6826,
603167.SH,眾漆謫傾,20130124,9.1168,
603167.SH,眾漆謫傾,20130125,9.1533,
603167.SH,眾漆謫傾,20130128,9.2993,
603167.SH,眾漆謫傾,20130129,9.1807,
603167.SH,眾漆謫傾,20130130,8.989,
603167.SH,眾漆謫傾,20130131,9.3176,
603167.SH,眾漆謫傾,20130201,9.2354,
603167.SH,眾漆謫傾,20130204,9.0255,
603167.SH,眾漆謫傾,20130205,9.0347,
603167.SH,眾漆謫傾,20130206,8.7061,
603167.SH,眾漆謫傾,20130207,8.6696,
603167.SH,眾漆謫傾,20130208,8.7244,
