¥˙¬Î,ºÚ≥∆,»’∆⁄, ’≈Ãº€(‘™),
300616.SZ,…–∆∑’¨≈‰,20170307,78.26,
300616.SZ,…–∆∑’¨≈‰,20170308,86.09,
300616.SZ,…–∆∑’¨≈‰,20170309,94.7,
300616.SZ,…–∆∑’¨≈‰,20170310,104.17,
300616.SZ,…–∆∑’¨≈‰,20170313,114.59,
300616.SZ,…–∆∑’¨≈‰,20170314,126.05,
300616.SZ,…–∆∑’¨≈‰,20170315,138.66,
300616.SZ,…–∆∑’¨≈‰,20170316,152.53,
300616.SZ,…–∆∑’¨≈‰,20170317,167.78,
300616.SZ,…–∆∑’¨≈‰,20170320,184.56,
300616.SZ,…–∆∑’¨≈‰,20170321,182.73,
300616.SZ,…–∆∑’¨≈‰,20170322,201,
300616.SZ,…–∆∑’¨≈‰,20170323,186.93,
300616.SZ,…–∆∑’¨≈‰,20170324,183.99,
300616.SZ,…–∆∑’¨≈‰,20170327,186.02,
300616.SZ,…–∆∑’¨≈‰,20170328,170.74,
300616.SZ,…–∆∑’¨≈‰,20170329,167,
300616.SZ,…–∆∑’¨≈‰,20170330,163.08,
300616.SZ,…–∆∑’¨≈‰,20170331,154,
300616.SZ,…–∆∑’¨≈‰,20170405,153.25,
300616.SZ,…–∆∑’¨≈‰,20170406,158,
300616.SZ,…–∆∑’¨≈‰,20170407,151.9,
300616.SZ,…–∆∑’¨≈‰,20170410,150.41,
300616.SZ,…–∆∑’¨≈‰,20170411,149.43,
300616.SZ,…–∆∑’¨≈‰,20170412,144.16,
300616.SZ,…–∆∑’¨≈‰,20170413,143.8,
300616.SZ,…–∆∑’¨≈‰,20170414,140,
300616.SZ,…–∆∑’¨≈‰,20170417,134.3,
300616.SZ,…–∆∑’¨≈‰,20170418,136.36,
300616.SZ,…–∆∑’¨≈‰,20170419,141.15,
300616.SZ,…–∆∑’¨≈‰,20170420,142.98,
300616.SZ,…–∆∑’¨≈‰,20170421,140.28,
300616.SZ,…–∆∑’¨≈‰,20170424,140.42,
300616.SZ,…–∆∑’¨≈‰,20170425,140.47,
300616.SZ,…–∆∑’¨≈‰,20170426,135,
300616.SZ,…–∆∑’¨≈‰,20170427,138.28,
300616.SZ,…–∆∑’¨≈‰,20170428,133.65,
300616.SZ,…–∆∑’¨≈‰,20170502,133.9,
300616.SZ,…–∆∑’¨≈‰,20170503,130.9,
300616.SZ,…–∆∑’¨≈‰,20170504,131.27,
300616.SZ,…–∆∑’¨≈‰,20170505,130.2,
300616.SZ,…–∆∑’¨≈‰,20170508,129.32,
300616.SZ,…–∆∑’¨≈‰,20170509,130.13,
300616.SZ,…–∆∑’¨≈‰,20170510,127.67,
