´úÂë,¼ò³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ôª),
600196.SH,¸´ÐÇÒ½Ò©,19980807,1.8172,
600196.SH,¸´ÐÇÒ½Ò©,19980810,1.7951,
600196.SH,¸´ÐÇÒ½Ò©,19980811,1.6259,
600196.SH,¸´ÐÇÒ½Ò©,19980812,1.7032,
600196.SH,¸´ÐÇÒ½Ò©,19980813,1.698,
600196.SH,¸´ÐÇÒ½Ò©,19980814,1.6097,
600196.SH,¸´ÐÇÒ½Ò©,19980817,1.5141,
600196.SH,¸´ÐÇÒ½Ò©,19980818,1.648,
600196.SH,¸´ÐÇÒ½Ò©,19980819,1.6627,
600196.SH,¸´ÐÇÒ½Ò©,19980820,1.6473,
600196.SH,¸´ÐÇÒ½Ò©,19980821,1.6553,
600196.SH,¸´ÐÇÒ½Ò©,19980824,1.6988,
600196.SH,¸´ÐÇÒ½Ò©,19980825,1.7083,
600196.SH,¸´ÐÇÒ½Ò©,19980826,1.6899,
600196.SH,¸´ÐÇÒ½Ò©,19980827,1.645,
600196.SH,¸´ÐÇÒ½Ò©,19980828,1.6465,
600196.SH,¸´ÐÇÒ½Ò©,19980831,1.6686,
600196.SH,¸´ÐÇÒ½Ò©,19980901,1.6539,
600196.SH,¸´ÐÇÒ½Ò©,19980902,1.7054,
600196.SH,¸´ÐÇÒ½Ò©,19980903,1.7804,
600196.SH,¸´ÐÇÒ½Ò©,19980904,1.7657,
600196.SH,¸´ÐÇÒ½Ò©,19980907,1.7988,
600196.SH,¸´ÐÇÒ½Ò©,19980908,1.8319,
600196.SH,¸´ÐÇÒ½Ò©,19980909,1.9997,
600196.SH,¸´ÐÇÒ½Ò©,19980910,1.9791,
600196.SH,¸´ÐÇÒ½Ò©,19980911,2.0342,
600196.SH,¸´ÐÇÒ½Ò©,19980914,1.9629,
600196.SH,¸´ÐÇÒ½Ò©,19980915,1.9489,
600196.SH,¸´ÐÇÒ½Ò©,19980916,2.0673,
600196.SH,¸´ÐÇÒ½Ò©,19980917,1.9732,
600196.SH,¸´ÐÇÒ½Ò©,19980918,1.9415,
600196.SH,¸´ÐÇÒ½Ò©,19980921,1.9423,
600196.SH,¸´ÐÇÒ½Ò©,19980922,1.9268,
600196.SH,¸´ÐÇÒ½Ò©,19980923,1.9386,
600196.SH,¸´ÐÇÒ½Ò©,19980924,1.8967,
600196.SH,¸´ÐÇÒ½Ò©,19980925,1.9482,
600196.SH,¸´ÐÇÒ½Ò©,19980928,1.9143,
600196.SH,¸´ÐÇÒ½Ò©,19980929,1.9857,
600196.SH,¸´ÐÇÒ½Ò©,19980930,1.957,
600196.SH,¸´ÐÇÒ½Ò©,19981005,1.9165,
600196.SH,¸´ÐÇÒ½Ò©,19981006,1.8967,
600196.SH,¸´ÐÇÒ½Ò©,19981007,1.904,
600196.SH,¸´ÐÇÒ½Ò©,19981008,1.9062,
600196.SH,¸´ÐÇÒ½Ò©,19981009,1.9202,
600196.SH,¸´ÐÇÒ½Ò©,19981012,1.904,
600196.SH,¸´ÐÇÒ½Ò©,19981013,1.9128,
600196.SH,¸´ÐÇÒ½Ò©,19981014,1.9011,
600196.SH,¸´ÐÇÒ½Ò©,19981015,1.8915,
600196.SH,¸´ÐÇÒ½Ò©,19981016,1.9048,
600196.SH,¸´ÐÇÒ½Ò©,19981019,1.9415,
600196.SH,¸´ÐÇÒ½Ò©,19981020,1.9357,
600196.SH,¸´ÐÇÒ½Ò©,19981021,1.943,
600196.SH,¸´ÐÇÒ½Ò©,19981022,2.0585,
600196.SH,¸´ÐÇÒ½Ò©,19981023,2.0379,
600196.SH,¸´ÐÇÒ½Ò©,19981026,2.0585,
600196.SH,¸´ÐÇÒ½Ò©,19981027,2.085,
600196.SH,¸´ÐÇÒ½Ò©,19981028,2.071,
600196.SH,¸´ÐÇÒ½Ò©,19981029,2.0931,
600196.SH,¸´ÐÇÒ½Ò©,19981030,2.0843,
600196.SH,¸´ÐÇÒ½Ò©,19981102,2.2292,
600196.SH,¸´ÐÇÒ½Ò©,19981103,2.1983,
600196.SH,¸´ÐÇÒ½Ò©,19981104,2.2285,
600196.SH,¸´ÐÇÒ½Ò©,19981105,2.3042,
