����,���,����,���̼�(Ԫ),
600567.SH,ɽӥֽҵ,20011218,2.8931,
600567.SH,ɽӥֽҵ,20011219,2.8231,
600567.SH,ɽӥֽҵ,20011220,2.6881,
600567.SH,ɽӥֽҵ,20011221,2.7115,
600567.SH,ɽӥֽҵ,20011224,2.6077,
600567.SH,ɽӥֽҵ,20011225,2.657,
600567.SH,ɽӥֽҵ,20011226,2.6752,
600567.SH,ɽӥֽҵ,20011227,2.6778,
600567.SH,ɽӥֽҵ,20011228,2.7426,
600567.SH,ɽӥֽҵ,20011231,2.7374,
600567.SH,ɽӥֽҵ,20020104,2.6466,
600567.SH,ɽӥֽҵ,20020107,2.6752,
600567.SH,ɽӥֽҵ,20020108,2.6259,
600567.SH,ɽӥֽҵ,20020109,2.6596,
600567.SH,ɽӥֽҵ,20020110,2.7478,
600567.SH,ɽӥֽҵ,20020111,2.6778,
600567.SH,ɽӥֽҵ,20020114,2.7011,
600567.SH,ɽӥֽҵ,20020115,2.7141,
600567.SH,ɽӥֽҵ,20020116,2.7712,
600567.SH,ɽӥֽҵ,20020117,2.6466,
600567.SH,ɽӥֽҵ,20020118,2.6778,
600567.SH,ɽӥֽҵ,20020121,2.7063,
600567.SH,ɽӥֽҵ,20020122,2.7297,
600567.SH,ɽӥֽҵ,20020123,2.9165,
600567.SH,ɽӥֽҵ,20020124,2.9165,
600567.SH,ɽӥֽҵ,20020125,2.8983,
600567.SH,ɽӥֽҵ,20020128,2.657,
600567.SH,ɽӥֽҵ,20020129,2.7141,
600567.SH,ɽӥֽҵ,20020130,2.7193,
600567.SH,ɽӥֽҵ,20020131,2.9372,
600567.SH,ɽӥֽҵ,20020201,2.8776,
600567.SH,ɽӥֽҵ,20020204,2.9528,
600567.SH,ɽӥֽҵ,20020205,2.958,
600567.SH,ɽӥֽҵ,20020206,2.8853,
600567.SH,ɽӥֽҵ,20020207,2.9269,
600567.SH,ɽӥֽҵ,20020208,2.9087,
600567.SH,ɽӥֽҵ,20020225,2.9554,
600567.SH,ɽӥֽҵ,20020226,2.9736,
600567.SH,ɽӥֽҵ,20020227,2.9891,
600567.SH,ɽӥֽҵ,20020228,2.9476,
600567.SH,ɽӥֽҵ,20020301,2.9035,
600567.SH,ɽӥֽҵ,20020304,2.9632,
600567.SH,ɽӥֽҵ,20020305,3.0047,
600567.SH,ɽӥֽҵ,20020306,2.9839,
600567.SH,ɽӥֽҵ,20020307,3.1007,
600567.SH,ɽӥֽҵ,20020308,3.1033,
600567.SH,ɽӥֽҵ,20020311,3.1292,
600567.SH,ɽӥֽҵ,20020312,3.0384,
600567.SH,ɽӥֽҵ,20020313,3.0255,
600567.SH,ɽӥֽҵ,20020314,3.0877,
600567.SH,ɽӥֽҵ,20020315,2.9684,
600567.SH,ɽӥֽҵ,20020318,2.9839,
600567.SH,ɽӥֽҵ,20020319,3.1811,
600567.SH,ɽӥֽҵ,20020320,3.2019,
600567.SH,ɽӥֽҵ,20020321,3.1759,
600567.SH,ɽӥֽҵ,20020322,3.2252,
600567.SH,ɽӥֽҵ,20020325,3.2849,
600567.SH,ɽӥֽҵ,20020326,3.2252,
600567.SH,ɽӥֽҵ,20020327,3.2356,
600567.SH,ɽӥֽҵ,20020328,3.2252,
600567.SH,ɽӥֽҵ,20020329,3.1111,
600567.SH,ɽӥֽҵ,20020401,3.1656,
600567.SH,ɽӥֽҵ,20020402,3.1033,
600567.SH,ɽӥֽҵ,20020403,3.1059,
600567.SH,ɽӥֽҵ,20020404,3.1811,
600567.SH,ɽӥֽҵ,20020405,3.1266,
600567.SH,ɽӥֽҵ,20020408,3.1033,
600567.SH,ɽӥֽҵ,20020409,3.2019,
600567.SH,ɽӥֽҵ,20020410,3.2252,
600567.SH,ɽӥֽҵ,20020411,3.1422,
600567.SH,ɽӥֽҵ,20020412,3.1552,
600567.SH,ɽӥֽҵ,20020415,3.1137,
600567.SH,ɽӥֽҵ,20020416,3.0618,
600567.SH,ɽӥֽҵ,20020417,3.0799,
600567.SH,ɽӥֽҵ,20020418,3.0255,
600567.SH,ɽӥֽҵ,20020419,3.0851,
600567.SH,ɽӥֽҵ,20020422,3.0151,
600567.SH,ɽӥֽҵ,20020423,3.0332,
600567.SH,ɽӥֽҵ,20020424,3.0203,
600567.SH,ɽӥֽҵ,20020425,2.9554,
600567.SH,ɽӥֽҵ,20020426,3.0021,
600567.SH,ɽӥֽҵ,20020429,3.0332,
600567.SH,ɽӥֽҵ,20020430,3.0332,
600567.SH,ɽӥֽҵ,20020508,3.0306,
600567.SH,ɽӥֽҵ,20020509,2.9865,
600567.SH,ɽӥֽҵ,20020510,2.945,
600567.SH,ɽӥֽҵ,20020513,2.9061,
600567.SH,ɽӥֽҵ,20020514,2.9009,
600567.SH,ɽӥֽҵ,20020515,2.8568,
600567.SH,ɽӥֽҵ,20020516,2.8412,
600567.SH,ɽӥֽҵ,20020517,2.8127,
600567.SH,ɽӥֽҵ,20020520,2.74,
600567.SH,ɽӥֽҵ,20020521,2.74,
600567.SH,ɽӥֽҵ,20020522,2.779,
600567.SH,ɽӥֽҵ,20020523,2.745,
600567.SH,ɽӥֽҵ,20020524,2.779,
600567.SH,ɽӥֽҵ,20020527,2.8129,
600567.SH,ɽӥֽҵ,20020528,2.8233,
600567.SH,ɽӥֽҵ,20020529,2.6798,
600567.SH,ɽӥֽҵ,20020530,2.7085,
600567.SH,ɽӥֽҵ,20020531,2.6641,
600567.SH,ɽӥֽҵ,20020603,2.6328,
600567.SH,ɽӥֽҵ,20020604,2.6407,
600567.SH,ɽӥֽҵ,20020605,2.6093,
600567.SH,ɽӥֽҵ,20020606,2.7555,
600567.SH,ɽӥֽҵ,20020607,2.7555,
600567.SH,ɽӥֽҵ,20020610,2.779,
600567.SH,ɽӥֽҵ,20020611,2.7946,
600567.SH,ɽӥֽҵ,20020612,2.7529,
600567.SH,ɽӥֽҵ,20020613,2.7085,
600567.SH,ɽӥֽҵ,20020614,2.6511,
600567.SH,ɽӥֽҵ,20020617,2.6563,
600567.SH,ɽӥֽҵ,20020618,2.7398,
600567.SH,ɽӥֽҵ,20020619,2.6955,
600567.SH,ɽӥֽҵ,20020620,2.7215,
600567.SH,ɽӥֽҵ,20020621,2.8129,
600567.SH,ɽӥֽҵ,20020624,3.0947,
600567.SH,ɽӥֽҵ,20020625,2.9825,
600567.SH,ɽӥֽҵ,20020626,2.9825,
600567.SH,ɽӥֽҵ,20020627,2.946,
600567.SH,ɽӥֽҵ,20020628,3.0242,
600567.SH,ɽӥֽҵ,20020701,2.9642,
600567.SH,ɽӥֽҵ,20020702,2.9955,
600567.SH,ɽӥֽҵ,20020703,3.0477,
600567.SH,ɽӥֽҵ,20020704,2.9955,
600567.SH,ɽӥֽҵ,20020705,2.9877,
600567.SH,ɽӥֽҵ,20020708,3.0164,
600567.SH,ɽӥֽҵ,20020709,2.9851,
600567.SH,ɽӥֽҵ,20020710,2.9329,
600567.SH,ɽӥֽҵ,20020711,2.9225,
600567.SH,ɽӥֽҵ,20020712,2.9172,
600567.SH,ɽӥֽҵ,20020715,2.8729,
600567.SH,ɽӥֽҵ,20020716,2.8859,
600567.SH,ɽӥֽҵ,20020717,2.9172,
600567.SH,ɽӥֽҵ,20020718,2.9068,
600567.SH,ɽӥֽҵ,20020719,2.9303,
600567.SH,ɽӥֽҵ,20020722,2.8442,
600567.SH,ɽӥֽҵ,20020723,2.7972,
600567.SH,ɽӥֽҵ,20020724,2.8077,
600567.SH,ɽӥֽҵ,20020725,2.792,
600567.SH,ɽӥֽҵ,20020726,2.7972,
600567.SH,ɽӥֽҵ,20020729,2.839,
600567.SH,ɽӥֽҵ,20020730,2.8337,
600567.SH,ɽӥֽҵ,20020731,2.7816,
600567.SH,ɽӥֽҵ,20020801,2.779,
600567.SH,ɽӥֽҵ,20020802,2.779,
600567.SH,ɽӥֽҵ,20020805,2.7998,
600567.SH,ɽӥֽҵ,20020806,2.8181,
600567.SH,ɽӥֽҵ,20020807,2.8129,
600567.SH,ɽӥֽҵ,20020808,2.7946,
600567.SH,ɽӥֽҵ,20020809,2.7685,
600567.SH,ɽӥֽҵ,20020812,2.7294,
600567.SH,ɽӥֽҵ,20020813,2.7294,
600567.SH,ɽӥֽҵ,20020814,2.7633,
600567.SH,ɽӥֽҵ,20020815,2.7424,
600567.SH,ɽӥֽҵ,20020816,2.7737,
600567.SH,ɽӥֽҵ,20020819,2.7607,
600567.SH,ɽӥֽҵ,20020820,2.8024,
600567.SH,ɽӥֽҵ,20020821,2.8103,
600567.SH,ɽӥֽҵ,20020822,2.8311,
600567.SH,ɽӥֽҵ,20020823,2.8155,
600567.SH,ɽӥֽҵ,20020826,2.7816,
600567.SH,ɽӥֽҵ,20020827,2.8077,
600567.SH,ɽӥֽҵ,20020828,2.8155,
600567.SH,ɽӥֽҵ,20020829,2.8285,
600567.SH,ɽӥֽҵ,20020830,2.7972,
600567.SH,ɽӥֽҵ,20020902,2.7763,
600567.SH,ɽӥֽҵ,20020903,2.7842,
600567.SH,ɽӥֽҵ,20020904,2.7607,
600567.SH,ɽӥֽҵ,20020905,2.7268,
600567.SH,ɽӥֽҵ,20020906,2.7215,
600567.SH,ɽӥֽҵ,20020909,2.7007,
600567.SH,ɽӥֽҵ,20020910,2.7111,
600567.SH,ɽӥֽҵ,20020911,2.7111,
600567.SH,ɽӥֽҵ,20020912,2.7242,
600567.SH,ɽӥֽҵ,20020913,2.7189,
600567.SH,ɽӥֽҵ,20020916,2.6694,
600567.SH,ɽӥֽҵ,20020917,2.6746,
600567.SH,ɽӥֽҵ,20020918,2.6772,
600567.SH,ɽӥֽҵ,20020919,2.7111,
600567.SH,ɽӥֽҵ,20020920,2.6928,
600567.SH,ɽӥֽҵ,20020923,2.7059,
600567.SH,ɽӥֽҵ,20020924,2.6772,
600567.SH,ɽӥֽҵ,20020925,2.6876,
600567.SH,ɽӥֽҵ,20020926,2.6615,
600567.SH,ɽӥֽҵ,20020927,2.672,
600567.SH,ɽӥֽҵ,20021008,2.6511,
600567.SH,ɽӥֽҵ,20021009,2.6198,
600567.SH,ɽӥֽҵ,20021010,2.6172,
600567.SH,ɽӥֽҵ,20021011,2.4945,
600567.SH,ɽӥֽҵ,20021014,2.4371,
600567.SH,ɽӥֽҵ,20021015,2.4006,
600567.SH,ɽӥֽҵ,20021016,2.4345,
600567.SH,ɽӥֽҵ,20021017,2.3823,
600567.SH,ɽӥֽҵ,20021018,2.3902,
600567.SH,ɽӥֽҵ,20021021,2.4058,
600567.SH,ɽӥֽҵ,20021022,2.4502,
600567.SH,ɽӥֽҵ,20021023,2.4554,
600567.SH,ɽӥֽҵ,20021024,2.4136,
600567.SH,ɽӥֽҵ,20021025,2.4006,
600567.SH,ɽӥֽҵ,20021028,2.3719,
600567.SH,ɽӥֽҵ,20021029,2.3849,
