¥˙¬Î,ºÚ≥∆,»’∆⁄, ’≈Ãº€(‘™),
300043.SZ,–«ª‘”È¿÷,20100120,2.4272,
300043.SZ,–«ª‘”È¿÷,20100121,2.3602,
300043.SZ,–«ª‘”È¿÷,20100122,2.2239,
300043.SZ,–«ª‘”È¿÷,20100125,2.1787,
300043.SZ,–«ª‘”È¿÷,20100126,2.1618,
300043.SZ,–«ª‘”È¿÷,20100127,2.1642,
300043.SZ,–«ª‘”È¿÷,20100128,2.0788,
300043.SZ,–«ª‘”È¿÷,20100129,2.0657,
300043.SZ,–«ª‘”È¿÷,20100201,1.9943,
300043.SZ,–«ª‘”È¿÷,20100202,1.9691,
300043.SZ,–«ª‘”È¿÷,20100203,1.9293,
300043.SZ,–«ª‘”È¿÷,20100204,1.9429,
300043.SZ,–«ª‘”È¿÷,20100205,1.9303,
300043.SZ,–«ª‘”È¿÷,20100208,1.9419,
300043.SZ,–«ª‘”È¿÷,20100209,1.9191,
300043.SZ,–«ª‘”È¿÷,20100210,1.9788,
300043.SZ,–«ª‘”È¿÷,20100211,1.9953,
300043.SZ,–«ª‘”È¿÷,20100212,2.0186,
300043.SZ,–«ª‘”È¿÷,20100222,1.9982,
300043.SZ,–«ª‘”È¿÷,20100223,1.9958,
300043.SZ,–«ª‘”È¿÷,20100224,2.0652,
300043.SZ,–«ª‘”È¿÷,20100225,2.1157,
300043.SZ,–«ª‘”È¿÷,20100226,2.0865,
300043.SZ,–«ª‘”È¿÷,20100301,2.1229,
300043.SZ,–«ª‘”È¿÷,20100302,2.1205,
300043.SZ,–«ª‘”È¿÷,20100303,2.0924,
300043.SZ,–«ª‘”È¿÷,20100304,2.023,
300043.SZ,–«ª‘”È¿÷,20100305,2.0497,
300043.SZ,–«ª‘”È¿÷,20100308,2.1006,
300043.SZ,–«ª‘”È¿÷,20100309,2.1229,
300043.SZ,–«ª‘”È¿÷,20100310,2.1292,
300043.SZ,–«ª‘”È¿÷,20100311,2.1729,
300043.SZ,–«ª‘”È¿÷,20100312,2.1511,
300043.SZ,–«ª‘”È¿÷,20100315,2.1632,
300043.SZ,–«ª‘”È¿÷,20100316,2.1443,
300043.SZ,–«ª‘”È¿÷,20100317,2.1729,
300043.SZ,–«ª‘”È¿÷,20100318,2.1884,
300043.SZ,–«ª‘”È¿÷,20100319,2.1783,
300043.SZ,–«ª‘”È¿÷,20100322,2.1511,
300043.SZ,–«ª‘”È¿÷,20100323,2.17,
300043.SZ,–«ª‘”È¿÷,20100324,2.2045,
300043.SZ,–«ª‘”È¿÷,20100325,2.2612,
300043.SZ,–«ª‘”È¿÷,20100326,2.2321,
300043.SZ,–«ª‘”È¿÷,20100329,2.2758,
300043.SZ,–«ª‘”È¿÷,20100330,2.3093,
300043.SZ,–«ª‘”È¿÷,20100331,2.2748,
300043.SZ,–«ª‘”È¿÷,20100401,2.2724,
300043.SZ,–«ª‘”È¿÷,20100402,2.2491,
300043.SZ,–«ª‘”È¿÷,20100406,2.2879,
300043.SZ,–«ª‘”È¿÷,20100407,2.3287,
300043.SZ,–«ª‘”È¿÷,20100408,2.3195,
300043.SZ,–«ª‘”È¿÷,20100409,2.3675,
300043.SZ,–«ª‘”È¿÷,20100412,2.4257,
300043.SZ,–«ª‘”È¿÷,20100413,2.2535,
300043.SZ,–«ª‘”È¿÷,20100414,2.2399,
300043.SZ,–«ª‘”È¿÷,20100415,2.1487,
300043.SZ,–«ª‘”È¿÷,20100416,2.1836,
300043.SZ,–«ª‘”È¿÷,20100419,2.1448,
300043.SZ,–«ª‘”È¿÷,20100420,2.0856,
300043.SZ,–«ª‘”È¿÷,20100421,2.1516,
300043.SZ,–«ª‘”È¿÷,20100422,2.186,
300043.SZ,–«ª‘”È¿÷,20100423,2.2025,
300043.SZ,–«ª‘”È¿÷,20100426,2.1132,
300043.SZ,–«ª‘”È¿÷,20100427,2.0375,
300043.SZ,–«ª‘”È¿÷,20100428,2.0332,
300043.SZ,–«ª‘”È¿÷,20100429,1.9953,
300043.SZ,–«ª‘”È¿÷,20100430,1.9968,
300043.SZ,–«ª‘”È¿÷,20100504,2.022,
300043.SZ,–«ª‘”È¿÷,20100505,2.0613,
300043.SZ,–«ª‘”È¿÷,20100506,1.9754,
300043.SZ,–«ª‘”È¿÷,20100507,1.9604,
300043.SZ,–«ª‘”È¿÷,20100510,1.8915,
300043.SZ,–«ª‘”È¿÷,20100511,1.8517,
300043.SZ,–«ª‘”È¿÷,20100512,1.7935,
300043.SZ,–«ª‘”È¿÷,20100513,1.9299,
300043.SZ,–«ª‘”È¿÷,20100514,1.9079,
300043.SZ,–«ª‘”È¿÷,20100517,1.8213,
300043.SZ,–«ª‘”È¿÷,20100518,1.8551,
300043.SZ,–«ª‘”È¿÷,20100519,1.8913,
300043.SZ,–«ª‘”È¿÷,20100520,1.8463,
300043.SZ,–«ª‘”È¿÷,20100521,1.8972,
300043.SZ,–«ª‘”È¿÷,20100524,1.9598,
300043.SZ,–«ª‘”È¿÷,20100525,1.9182,
300043.SZ,–«ª‘”È¿÷,20100526,1.903,
300043.SZ,–«ª‘”È¿÷,20100527,1.9569,
300043.SZ,–«ª‘”È¿÷,20100528,2.0009,
300043.SZ,–«ª‘”È¿÷,20100531,1.9794,
300043.SZ,–«ª‘”È¿÷,20100601,1.9378,
300043.SZ,–«ª‘”È¿÷,20100602,1.952,
300043.SZ,–«ª‘”È¿÷,20100603,1.9569,
300043.SZ,–«ª‘”È¿÷,20100604,1.9808,
300043.SZ,–«ª‘”È¿÷,20100607,2.0361,
300043.SZ,–«ª‘”È¿÷,20100608,2.0165,
300043.SZ,–«ª‘”È¿÷,20100609,2.0253,
