����,���,����,���̼�(Ԫ),
002557.SZ,ǢǢʳƷ,20110302,12.5156,
002557.SZ,ǢǢʳƷ,20110303,12.329,
002557.SZ,ǢǢʳƷ,20110304,12.3748,
002557.SZ,ǢǢʳƷ,20110307,12.437,
002557.SZ,ǢǢʳƷ,20110308,12.3486,
002557.SZ,ǢǢʳƷ,20110309,12.3519,
002557.SZ,ǢǢʳƷ,20110310,12.3126,
002557.SZ,ǢǢʳƷ,20110311,12.2864,
002557.SZ,ǢǢʳƷ,20110314,12.3224,
002557.SZ,ǢǢʳƷ,20110315,12.1882,
002557.SZ,ǢǢʳƷ,20110316,12.1914,
002557.SZ,ǢǢʳƷ,20110317,12.0899,
002557.SZ,ǢǢʳƷ,20110318,12.1194,
002557.SZ,ǢǢʳƷ,20110321,12.0735,
002557.SZ,ǢǢʳƷ,20110322,12.2864,
002557.SZ,ǢǢʳƷ,20110323,12.1882,
002557.SZ,ǢǢʳƷ,20110324,12.1096,
002557.SZ,ǢǢʳƷ,20110325,12.162,
002557.SZ,ǢǢʳƷ,20110328,12.1161,
002557.SZ,ǢǢʳƷ,20110329,12.0179,
002557.SZ,ǢǢʳƷ,20110330,11.9851,
002557.SZ,ǢǢʳƷ,20110331,11.8705,
002557.SZ,ǢǢʳƷ,20110401,11.9262,
002557.SZ,ǢǢʳƷ,20110406,11.9262,
002557.SZ,ǢǢʳƷ,20110407,11.9786,
002557.SZ,ǢǢʳƷ,20110408,11.972,
002557.SZ,ǢǢʳƷ,20110411,11.9524,
002557.SZ,ǢǢʳƷ,20110412,11.9819,
002557.SZ,ǢǢʳƷ,20110413,12.0342,
002557.SZ,ǢǢʳƷ,20110414,12.0244,
002557.SZ,ǢǢʳƷ,20110415,11.7985,
002557.SZ,ǢǢʳƷ,20110418,11.7461,
002557.SZ,ǢǢʳƷ,20110419,11.6511,
002557.SZ,ǢǢʳƷ,20110420,11.6773,
002557.SZ,ǢǢʳƷ,20110421,11.6413,
002557.SZ,ǢǢʳƷ,20110422,11.6249,
002557.SZ,ǢǢʳƷ,20110425,11.4677,
002557.SZ,ǢǢʳƷ,20110426,11.304,
002557.SZ,ǢǢʳƷ,20110427,11.2549,
002557.SZ,ǢǢʳƷ,20110428,11.1337,
002557.SZ,ǢǢʳƷ,20110429,11.1468,
002557.SZ,ǢǢʳƷ,20110503,11.1632,
002557.SZ,ǢǢʳƷ,20110504,11.1665,
002557.SZ,ǢǢʳƷ,20110505,11.3007,
002557.SZ,ǢǢʳƷ,20110506,11.2483,
002557.SZ,ǢǢʳƷ,20110509,11.2811,
002557.SZ,ǢǢʳƷ,20110510,11.1763,
002557.SZ,ǢǢʳƷ,20110511,11.1665,
002557.SZ,ǢǢʳƷ,20110512,11.0289,
002557.SZ,ǢǢʳƷ,20110513,10.9831,
002557.SZ,ǢǢʳƷ,20110516,10.9503,
002557.SZ,ǢǢʳƷ,20110517,10.8947,
002557.SZ,ǢǢʳƷ,20110518,11.0191,
002557.SZ,ǢǢʳƷ,20110519,10.9929,
002557.SZ,ǢǢʳƷ,20110520,10.9143,
002557.SZ,ǢǢʳƷ,20110523,10.4362,
002557.SZ,ǢǢʳƷ,20110524,10.4068,
002557.SZ,ǢǢʳƷ,20110525,10.1743,
002557.SZ,ǢǢʳƷ,20110526,10.0858,
002557.SZ,ǢǢʳƷ,20110527,9.7125,
002557.SZ,ǢǢʳƷ,20110530,9.6405,
002557.SZ,ǢǢʳƷ,20110531,9.7158,
002557.SZ,ǢǢʳƷ,20110601,9.7879,
002557.SZ,ǢǢʳƷ,20110602,9.4997,
002557.SZ,ǢǢʳƷ,20110603,9.5062,
002557.SZ,ǢǢʳƷ,20110607,9.4637,
002557.SZ,ǢǢʳƷ,20110608,9.3327,
002557.SZ,ǢǢʳƷ,20110609,9.5324,
002557.SZ,ǢǢʳƷ,20110610,9.8206,
002557.SZ,ǢǢʳƷ,20110613,9.873,
002557.SZ,ǢǢʳƷ,20110614,9.9188,
002557.SZ,ǢǢʳƷ,20110615,9.6667,
002557.SZ,ǢǢʳƷ,20110616,9.372,
002557.SZ,ǢǢʳƷ,20110617,9.0347,
002557.SZ,ǢǢʳƷ,20110620,9.2017,
002557.SZ,ǢǢʳƷ,20110621,9.3654,
