ด๚ย๋,ผ๒ณฦ,ศีฦฺ,สีลฬผÛ(ิช),
600711.SH,สขออฟ๓าต,19960531,1.1385,
600711.SH,สขออฟ๓าต,19960603,1.0545,
600711.SH,สขออฟ๓าต,19960604,1.0238,
600711.SH,สขออฟ๓าต,19960605,1.0586,
600711.SH,สขออฟ๓าต,19960606,1.0115,
600711.SH,สขออฟ๓าต,19960607,0.9849,
600711.SH,สขออฟ๓าต,19960610,0.9194,
600711.SH,สขออฟ๓าต,19960611,0.9214,
600711.SH,สขออฟ๓าต,19960612,0.9562,
600711.SH,สขออฟ๓าต,19960613,0.9439,
600711.SH,สขออฟ๓าต,19960614,0.9296,
600711.SH,สขออฟ๓าต,19960617,0.9204,
600711.SH,สขออฟ๓าต,19960618,0.9296,
600711.SH,สขออฟ๓าต,19960619,0.9521,
600711.SH,สขออฟ๓าต,19960620,0.9542,
600711.SH,สขออฟ๓าต,19960621,0.9921,
600711.SH,สขออฟ๓าต,19960624,0.9828,
600711.SH,สขออฟ๓าต,19960625,0.988,
600711.SH,สขออฟ๓าต,19960626,0.988,
600711.SH,สขออฟ๓าต,19960627,0.9716,
600711.SH,สขออฟ๓าต,19960628,0.9982,
600711.SH,สขออฟ๓าต,19960701,1.0115,
600711.SH,สขออฟ๓าต,19960702,1.0033,
600711.SH,สขออฟ๓าต,19960703,1.1374,
600711.SH,สขออฟ๓าต,19960704,1.1774,
600711.SH,สขออฟ๓าต,19960705,1.1159,
600711.SH,สขออฟ๓าต,19960708,1.1651,
600711.SH,สขออฟ๓าต,19960709,1.1354,
600711.SH,สขออฟ๓าต,19960710,1.1221,
600711.SH,สขออฟ๓าต,19960711,1.1211,
600711.SH,สขออฟ๓าต,19960712,1.1108,
600711.SH,สขออฟ๓าต,19960715,0.9491,
600711.SH,สขออฟ๓าต,19960716,0.9265,
600711.SH,สขออฟ๓าต,19960717,0.9102,
600711.SH,สขออฟ๓าต,19960718,0.9634,
600711.SH,สขออฟ๓าต,19960719,0.9777,
600711.SH,สขออฟ๓าต,19960722,0.9828,
600711.SH,สขออฟ๓าต,19960723,1.032,
600711.SH,สขออฟ๓าต,19960724,1.075,
600711.SH,สขออฟ๓าต,19960725,1.075,
600711.SH,สขออฟ๓าต,19960726,1.1057,
600711.SH,สขออฟ๓าต,19960729,1.1446,
600711.SH,สขออฟ๓าต,19960730,1.1446,
600711.SH,สขออฟ๓าต,19960731,1.0801,
600711.SH,สขออฟ๓าต,19960801,1.0504,
600711.SH,สขออฟ๓าต,19960802,0.9982,
600711.SH,สขออฟ๓าต,19960805,0.9624,
600711.SH,สขออฟ๓าต,19960806,1.0033,
600711.SH,สขออฟ๓าต,19960807,0.988,
600711.SH,สขออฟ๓าต,19960808,0.9849,
600711.SH,สขออฟ๓าต,19960809,0.989,
600711.SH,สขออฟ๓าต,19960812,1.0115,
600711.SH,สขออฟ๓าต,19960813,0.9941,
600711.SH,สขออฟ๓าต,19960814,0.9828,
600711.SH,สขออฟ๓าต,19960815,0.9224,
600711.SH,สขออฟ๓าต,19960816,0.9542,
600711.SH,สขออฟ๓าต,19960819,0.9624,
600711.SH,สขออฟ๓าต,19960820,0.9419,
600711.SH,สขออฟ๓าต,19960821,0.945,
600711.SH,สขออฟ๓าต,19960822,0.9112,
600711.SH,สขออฟ๓าต,19960823,0.8764,
600711.SH,สขออฟ๓าต,19960826,0.7996,
600711.SH,สขออฟ๓าต,19960827,0.7781,
600711.SH,สขออฟ๓าต,19960828,0.819,
600711.SH,สขออฟ๓าต,19960829,0.8282,
600711.SH,สขออฟ๓าต,19960830,0.8846,
600711.SH,สขออฟ๓าต,19960902,0.86,
600711.SH,สขออฟ๓าต,19960903,0.8579,
