測鎢,潠備,�梪�,彶攫歎(啋),
603566.SH,ぱ應螞,20151130,27.9216,
603566.SH,ぱ應螞,20151201,28.3943,
603566.SH,ぱ應螞,20151202,27.5769,
603566.SH,ぱ應螞,20151203,28.808,
603566.SH,ぱ應螞,20151204,28.5076,
603566.SH,ぱ應螞,20151207,27.9019,
603566.SH,ぱ應螞,20151208,28.0004,
603566.SH,ぱ應螞,20151209,26.9465,
603566.SH,ぱ應螞,20151210,26.198,
603566.SH,ぱ應螞,20151211,26.1439,
603566.SH,ぱ應螞,20151214,27.1386,
603566.SH,ぱ應螞,20151215,27.3996,
603566.SH,ぱ應螞,20151216,27.4685,
603566.SH,ぱ應螞,20151217,30.2164,
603566.SH,ぱ應螞,20151218,29.98,
603566.SH,ぱ應螞,20151221,30.0588,
603566.SH,ぱ應螞,20151222,29.7141,
603566.SH,ぱ應螞,20151223,28.6159,
603566.SH,ぱ應螞,20151224,29.2463,
603566.SH,ぱ應螞,20151225,29.0936,
603566.SH,ぱ應螞,20151228,27.9561,
603566.SH,ぱ應螞,20151229,28.5618,
603566.SH,ぱ應螞,20151230,29.0542,
603566.SH,ぱ應螞,20151231,28.222,
603566.SH,ぱ應螞,20160104,25.4003,
603566.SH,ぱ應螞,20160105,24.312,
603566.SH,ぱ應螞,20160106,24.8684,
603566.SH,ぱ應螞,20160107,22.3816,
603566.SH,ぱ應螞,20160108,22.5441,
603566.SH,ぱ應螞,20160111,20.2887,
603566.SH,ぱ應螞,20160112,20.7565,
603566.SH,ぱ應螞,20160113,19.9144,
603566.SH,ぱ應螞,20160114,21.1012,
603566.SH,ぱ應螞,20160115,20.5398,
603566.SH,ぱ應螞,20160118,21.1259,
603566.SH,ぱ應螞,20160119,22.0467,
603566.SH,ぱ應螞,20160120,21.6675,
603566.SH,ぱ應螞,20160121,20.8058,
603566.SH,ぱ應螞,20160122,21.2539,
603566.SH,ぱ應螞,20160125,21.4607,
603566.SH,ぱ應螞,20160126,19.5353,
603566.SH,ぱ應螞,20160127,19.8209,
603566.SH,ぱ應螞,20160128,18.8852,
603566.SH,ぱ應螞,20160129,19.5845,
603566.SH,ぱ應螞,20160201,19.5697,
603566.SH,ぱ應螞,20160202,20.4118,
603566.SH,ぱ應螞,20160203,20.3133,
603566.SH,ぱ應螞,20160204,20.663,
603566.SH,ぱ應螞,20160205,20.5251,
603566.SH,ぱ應螞,20160215,20.6679,
603566.SH,ぱ應螞,20160216,21.2982,
603566.SH,ぱ應螞,20160217,21.3869,
603566.SH,ぱ應螞,20160218,21.5691,
603566.SH,ぱ應螞,20160219,21.5592,
603566.SH,ぱ應螞,20160222,22.0812,
603566.SH,ぱ應螞,20160223,21.8793,
603566.SH,ぱ應螞,20160224,21.5789,
