╢ЗбК,╪РЁф,хуфз,йуел╪ш(т╙),
601566.SH,╬едамУ,20110530,14.953,
601566.SH,╬едамУ,20110531,15.6722,
601566.SH,╬едамУ,20110601,16.274,
601566.SH,╬едамУ,20110602,16.8525,
601566.SH,╬едамУ,20110603,16.7118,
601566.SH,╬едамУ,20110607,16.5007,
601566.SH,╬едамУ,20110608,16.6649,
601566.SH,╬едамУ,20110609,15.8676,
601566.SH,╬едамУ,20110610,16.1333,
601566.SH,╬едамУ,20110613,15.8129,
601566.SH,╬едамУ,20110614,15.7503,
601566.SH,╬едамУ,20110615,15.4611,
601566.SH,╬едамУ,20110616,15.6878,
601566.SH,╬едамУ,20110617,15.1641,
601566.SH,╬едамУ,20110620,14.9687,
601566.SH,╬едамУ,20110621,15.4768,
601566.SH,╬едамУ,20110622,15.383,
601566.SH,╬едамУ,20110623,15.805,
601566.SH,╬едамУ,20110624,15.9457,
601566.SH,╬едамУ,20110627,16.3913,
601566.SH,╬едамУ,20110628,16.4147,
601566.SH,╬едамУ,20110629,16.4147,
601566.SH,╬едамУ,20110630,16.8915,
601566.SH,╬едамУ,20110701,16.7196,
601566.SH,╬едамУ,20110704,16.7665,
601566.SH,╬едамУ,20110705,16.5398,
601566.SH,╬едамУ,20110706,16.4851,
601566.SH,╬едамУ,20110707,16.9306,
601566.SH,╬едамУ,20110708,16.7899,
601566.SH,╬едамУ,20110711,17.2277,
601566.SH,╬едамУ,20110712,17.2277,
601566.SH,╬едамУ,20110713,17.384,
601566.SH,╬едамУ,20110714,17.3527,
601566.SH,╬едамУ,20110715,17.3293,
601566.SH,╬едамУ,20110718,18.3689,
601566.SH,╬едамУ,20110719,18.5565,
601566.SH,╬едамУ,20110720,18.3767,
601566.SH,╬едамУ,20110721,18.236,
601566.SH,╬едамУ,20110722,18.0797,
601566.SH,╬едамУ,20110725,17.9233,
601566.SH,╬едамУ,20110726,18.2047,
601566.SH,╬едамУ,20110727,19.0567,
601566.SH,╬едамУ,20110728,19.5335,
601566.SH,╬едамУ,20110729,19.5648,
601566.SH,╬едамУ,20110801,19.4319,
601566.SH,╬едамУ,20110802,19.768,
601566.SH,╬едамУ,20110803,19.8775,
601566.SH,╬едамУ,20110804,19.557,
601566.SH,╬едамУ,20110805,19.6508,
601566.SH,╬едамУ,20110808,19.4085,
601566.SH,╬едамУ,20110809,19.0645,
601566.SH,╬едамУ,20110810,19.7915,
601566.SH,╬едамУ,20110811,21.1672,
601566.SH,╬едамУ,20110812,20.9562,
601566.SH,╬едамУ,20110815,20.9093,
601566.SH,╬едамУ,20110816,20.5341,
601566.SH,╬едамУ,20110817,21.089,
601566.SH,╬едамУ,20110818,20.5653,
601566.SH,╬едамУ,20110819,20.7842,
601566.SH,╬едамУ,20110822,20.5028,
601566.SH,╬едамУ,20110823,21.2297,
601566.SH,╬едамУ,20110824,21.6362,
601566.SH,╬едамУ,20110825,21.7534,
601566.SH,╬едамУ,20110826,21.5424,
601566.SH,╬едамУ,20110829,21.1828,
601566.SH,╬едамУ,20110830,20.8311,
601566.SH,╬едамУ,20110831,20.9874,
601566.SH,╬едамУ,20110901,20.5341,
601566.SH,╬едамУ,20110902,19.9322,
601566.SH,╬едамУ,20110905,19.5804,
601566.SH,╬едамУ,20110906,19.7055,
601566.SH,╬едамУ,20110907,20.2527,
601566.SH,╬едамУ,20110908,19.7837,
601566.SH,╬едамУ,20110909,19.729,
601566.SH,╬едамУ,20110913,19.7055,
601566.SH,╬едамУ,20110914,19.5648,
601566.SH,╬едамУ,20110915,19.643,
601566.SH,╬едамУ,20110916,19.7993,
601566.SH,╬едамУ,20110919,19.94,
601566.SH,╬едамУ,20110920,20.0416,
601566.SH,╬едамУ,20110921,20.4403,
601566.SH,╬едамУ,20110922,19.7915,
601566.SH,╬едамУ,20110923,20.409,
601566.SH,╬едамУ,20110926,19.4241,
601566.SH,╬едамУ,20110927,18.6737,
601566.SH,╬едамУ,20110928,18.533,
601566.SH,╬едамУ,20110929,18.447,
601566.SH,╬едамУ,20110930,18.8535,
601566.SH,╬едамУ,20111010,18.6425,
601566.SH,╬едамУ,20111011,18.5877,
601566.SH,╬едамУ,20111012,18.9942,
601566.SH,╬едамУ,20111013,19.0411,
601566.SH,╬едамУ,20111014,18.8926,
601566.SH,╬едамУ,20111017,19.1896,
601566.SH,╬едамУ,20111018,19.0567,
601566.SH,╬едамУ,20111019,18.6425,
601566.SH,╬едамУ,20111020,18.2125,
601566.SH,╬едамУ,20111021,17.9937,
601566.SH,╬едамУ,20111024,18.447,
601566.SH,╬едамУ,20111025,19.3538,
601566.SH,╬едамУ,20111026,19.5414,
601566.SH,╬едамУ,20111027,19.5726,
601566.SH,╬едамУ,20111028,19.8071,
601566.SH,╬едамУ,20111031,20.1198,
601566.SH,╬едамУ,20111101,20.5341,
601566.SH,╬едамУ,20111102,21.1672,
601566.SH,╬едамУ,20111103,20.6826,
601566.SH,╬едамУ,20111104,20.581,
601566.SH,╬едамУ,20111107,20.3386,
601566.SH,╬едамУ,20111108,20.6279,
601566.SH,╬едамУ,20111109,20.7686,
601566.SH,╬едамУ,20111110,20.5419,
601566.SH,╬едамУ,20111111,20.706,
601566.SH,╬едамУ,20111114,21.0187,
601566.SH,╬едамУ,20111115,20.7842,
601566.SH,╬едамУ,20111116,20.2761,
601566.SH,╬едамУ,20111117,20.1354,
601566.SH,╬едамУ,20111118,19.7133,
601566.SH,╬едамУ,20111121,20.3386,
601566.SH,╬едамУ,20111122,20.7138,
601566.SH,╬едамУ,20111123,20.6826,
601566.SH,╬едамУ,20111124,20.9405,
601566.SH,╬едамУ,20111125,20.7295,
601566.SH,╬едамУ,20111128,20.5184,
601566.SH,╬едамУ,20111129,20.7451,
601566.SH,╬едамУ,20111130,20.4012,
601566.SH,╬едамУ,20111201,21.1047,
601566.SH,╬едамУ,20111202,20.7138,
601566.SH,╬едамУ,20111205,19.557,
601566.SH,╬едамУ,20111206,19.5414,
601566.SH,╬едамУ,20111207,19.2131,
601566.SH,╬едамУ,20111208,19.3069,
601566.SH,╬едамУ,20111209,19.385,
601566.SH,╬едамУ,20111212,18.9942,
601566.SH,╬едамУ,20111213,18.7597,
601566.SH,╬едамУ,20111214,18.6346,
601566.SH,╬едамУ,20111215,18.9473,
601566.SH,╬едамУ,20111216,19.729,
601566.SH,╬едамУ,20111219,19.6117,
601566.SH,╬едамУ,20111220,18.7832,
601566.SH,╬едамУ,20111221,18.2751,
601566.SH,╬едамУ,20111222,17.7357,
601566.SH,╬едамУ,20111223,17.8764,
601566.SH,╬едамУ,20111226,17.5794,
601566.SH,╬едамУ,20111227,16.7978,
601566.SH,╬едамУ,20111228,16.5711,
601566.SH,╬едамУ,20111229,16.3444,
601566.SH,╬едамУ,20111230,16.7352,
601566.SH,╬едамУ,20120104,16.829,
601566.SH,╬едамУ,20120105,16.2897,
601566.SH,╬едамУ,20120106,16.704,
601566.SH,╬едамУ,20120109,17.47,
601566.SH,╬едамУ,20120110,17.7045,
601566.SH,╬едамУ,20120111,17.2667,
601566.SH,╬едамУ,20120112,16.6649,
601566.SH,╬едамУ,20120113,16.1099,
601566.SH,╬едамУ,20120116,15.5471,
601566.SH,╬едамУ,20120117,15.9379,
601566.SH,╬едамУ,20120118,14.7029,
601566.SH,╬едамУ,20120119,15.0547,
601566.SH,╬едамУ,20120120,16.0161,
601566.SH,╬едамУ,20120130,15.891,
601566.SH,╬едамУ,20120131,15.8754,
601566.SH,╬едамУ,20120201,15.9223,
601566.SH,╬едамУ,20120202,15.977,
601566.SH,╬едамУ,20120203,15.977,
601566.SH,╬едамУ,20120206,15.977,
601566.SH,╬едамУ,20120207,16.4851,
601566.SH,╬едамУ,20120208,16.5867,
601566.SH,╬едамУ,20120209,16.8525,
601566.SH,╬едамУ,20120210,16.8759,
601566.SH,╬едамУ,20120213,17.1886,
601566.SH,╬едамУ,20120214,17.2667,
601566.SH,╬едамУ,20120215,17.2355,
601566.SH,╬едамУ,20120216,17.0635,
601566.SH,╬едамУ,20120217,16.7743,
601566.SH,╬едамУ,20120220,16.7665,
601566.SH,╬едамУ,20120221,17.2277,
