旗鷹,酒各,晩豚,辺徒勺(圷),
002913.SZ,安平慎,20171201,43.75,
002913.SZ,安平慎,20171204,48.13,
002913.SZ,安平慎,20171205,52.94,
002913.SZ,安平慎,20171206,58.23,
002913.SZ,安平慎,20171207,53.58,
002913.SZ,安平慎,20171208,55.6,
002913.SZ,安平慎,20171211,54.13,
002913.SZ,安平慎,20171212,49,
002913.SZ,安平慎,20171213,48.38,
002913.SZ,安平慎,20171214,49.24,
002913.SZ,安平慎,20171215,46.84,
002913.SZ,安平慎,20171218,45.77,
002913.SZ,安平慎,20171219,45.46,
002913.SZ,安平慎,20171220,45.87,
002913.SZ,安平慎,20171221,44.77,
002913.SZ,安平慎,20171222,45.21,
002913.SZ,安平慎,20171225,44.35,
002913.SZ,安平慎,20171226,46.4,
002913.SZ,安平慎,20171227,48.3,
002913.SZ,安平慎,20171228,48.95,
002913.SZ,安平慎,20171229,47.97,
002913.SZ,安平慎,20180102,48.85,
002913.SZ,安平慎,20180103,46.09,
002913.SZ,安平慎,20180104,45.83,
002913.SZ,安平慎,20180105,45.43,
002913.SZ,安平慎,20180108,47.6,
002913.SZ,安平慎,20180109,47.38,
002913.SZ,安平慎,20180110,46.25,
002913.SZ,安平慎,20180111,46.86,
002913.SZ,安平慎,20180112,45.69,
002913.SZ,安平慎,20180115,43.81,
002913.SZ,安平慎,20180116,44.42,
002913.SZ,安平慎,20180117,45.42,
002913.SZ,安平慎,20180118,44.84,
002913.SZ,安平慎,20180119,45.42,
002913.SZ,安平慎,20180122,44.32,
002913.SZ,安平慎,20180123,44.53,
002913.SZ,安平慎,20180124,44.89,
002913.SZ,安平慎,20180125,44.17,
002913.SZ,安平慎,20180126,43.22,
002913.SZ,安平慎,20180129,43.41,
002913.SZ,安平慎,20180130,43.32,
002913.SZ,安平慎,20180131,40.86,
002913.SZ,安平慎,20180201,37.78,
002913.SZ,安平慎,20180202,37.72,
002913.SZ,安平慎,20180205,37.22,
002913.SZ,安平慎,20180206,33.5,
002913.SZ,安平慎,20180207,34.19,
002913.SZ,安平慎,20180208,34.37,
002913.SZ,安平慎,20180209,33.08,
002913.SZ,安平慎,20180212,34.05,
002913.SZ,安平慎,20180213,33.77,
002913.SZ,安平慎,20180214,33.61,
002913.SZ,安平慎,20180222,34.22,
002913.SZ,安平慎,20180223,34.83,
002913.SZ,安平慎,20180226,36.35,
002913.SZ,安平慎,20180227,36.02,
002913.SZ,安平慎,20180228,35.4,
002913.SZ,安平慎,20180301,35.99,
002913.SZ,安平慎,20180302,35.13,
002913.SZ,安平慎,20180305,37.19,
002913.SZ,安平慎,20180306,37.05,
002913.SZ,安平慎,20180307,40.76,
002913.SZ,安平慎,20180308,44.84,
002913.SZ,安平慎,20180309,45.38,
002913.SZ,安平慎,20180312,46.79,
002913.SZ,安平慎,20180313,44.66,
002913.SZ,安平慎,20180314,43.88,
002913.SZ,安平慎,20180315,40.92,
002913.SZ,安平慎,20180316,43.4,
002913.SZ,安平慎,20180319,43.5,
002913.SZ,安平慎,20180320,43.4,
002913.SZ,安平慎,20180321,42.13,
002913.SZ,安平慎,20180322,42.7,
002913.SZ,安平慎,20180323,38.43,
002913.SZ,安平慎,20180326,39.37,
