ґъВл,јтіЖ,ИХЖЪ,КХЕМјЫ(ФЄ),
002081.SZ,Ѕру«тл,20061120,0.7162,
002081.SZ,Ѕру«тл,20061121,0.7877,
002081.SZ,Ѕру«тл,20061122,0.8664,
002081.SZ,Ѕру«тл,20061123,0.8834,
002081.SZ,Ѕру«тл,20061124,0.8628,
002081.SZ,Ѕру«тл,20061127,0.87,
002081.SZ,Ѕру«тл,20061128,0.8249,
002081.SZ,Ѕру«тл,20061129,0.8231,
002081.SZ,Ѕру«тл,20061130,0.8227,
002081.SZ,Ѕру«тл,20061201,0.8545,
002081.SZ,Ѕру«тл,20061204,0.8917,
002081.SZ,Ѕру«тл,20061205,0.8848,
002081.SZ,Ѕру«тл,20061206,0.8585,
002081.SZ,Ѕру«тл,20061207,0.8433,
002081.SZ,Ѕру«тл,20061208,0.8123,
002081.SZ,Ѕру«тл,20061211,0.8296,
002081.SZ,Ѕру«тл,20061212,0.8267,
002081.SZ,Ѕру«тл,20061213,0.8596,
002081.SZ,Ѕру«тл,20061214,0.8646,
002081.SZ,Ѕру«тл,20061215,0.8664,
002081.SZ,Ѕру«тл,20061218,0.8935,
002081.SZ,Ѕру«тл,20061219,0.9271,
002081.SZ,Ѕру«тл,20061220,0.9274,
002081.SZ,Ѕру«тл,20061221,0.8881,
002081.SZ,Ѕру«тл,20061222,0.8682,
002081.SZ,Ѕру«тл,20061225,0.8725,
002081.SZ,Ѕру«тл,20061226,0.8487,
002081.SZ,Ѕру«тл,20061227,0.8469,
002081.SZ,Ѕру«тл,20061228,0.8429,
002081.SZ,Ѕру«тл,20061229,0.8664,
002081.SZ,Ѕру«тл,20070104,0.8487,
002081.SZ,Ѕру«тл,20070105,0.9133,
002081.SZ,Ѕру«тл,20070108,0.9256,
002081.SZ,Ѕру«тл,20070109,0.9292,
002081.SZ,Ѕру«тл,20070110,0.9386,
002081.SZ,Ѕру«тл,20070111,0.9711,
002081.SZ,Ѕру«тл,20070112,0.9711,
002081.SZ,Ѕру«тл,20070115,1.0484,
002081.SZ,Ѕру«тл,20070116,1.1516,
002081.SZ,Ѕру«тл,20070117,1.0798,
002081.SZ,Ѕру«тл,20070118,1.0866,
002081.SZ,Ѕру«тл,20070119,1.1408,
002081.SZ,Ѕру«тл,20070122,1.2061,
002081.SZ,Ѕру«тл,20070123,1.1985,
002081.SZ,Ѕру«тл,20070124,1.1841,
002081.SZ,Ѕру«тл,20070125,1.1101,
002081.SZ,Ѕру«тл,20070126,1.1011,
002081.SZ,Ѕру«тл,20070129,1.1552,
002081.SZ,Ѕру«тл,20070130,1.1841,
002081.SZ,Ѕру«тл,20070131,1.0902,
002081.SZ,Ѕру«тл,20070201,1.0852,
002081.SZ,Ѕру«тл,20070202,1.0397,
002081.SZ,Ѕру«тл,20070205,1.0614,
002081.SZ,Ѕру«тл,20070206,1.1079,
002081.SZ,Ѕру«тл,20070207,1.0902,
002081.SZ,Ѕру«тл,20070208,1.1841,
002081.SZ,Ѕру«тл,20070209,1.1556,
002081.SZ,Ѕру«тл,20070212,1.1798,
002081.SZ,Ѕру«тл,20070213,1.1516,
002081.SZ,Ѕру«тл,20070214,1.1588,
002081.SZ,Ѕру«тл,20070215,1.1942,
002081.SZ,Ѕру«тл,20070216,1.1913,
002081.SZ,Ѕру«тл,20070226,1.1545,
002081.SZ,Ѕру«тл,20070227,1.0469,
002081.SZ,Ѕру«тл,20070228,1.0704,
002081.SZ,Ѕру«тл,20070301,1.0289,
002081.SZ,Ѕру«тл,20070302,1.065,
002081.SZ,Ѕру«тл,20070305,1.0527,
002081.SZ,Ѕру«тл,20070306,1.0462,
002081.SZ,Ѕру«тл,20070307,1.0758,
002081.SZ,Ѕру«тл,20070308,1.0754,
002081.SZ,Ѕру«тл,20070309,1.083,
002081.SZ,Ѕру«тл,20070312,1.0899,
002081.SZ,Ѕру«тл,20070313,1.0794,
002081.SZ,Ѕру«тл,20070314,1.1292,
002081.SZ,Ѕру«тл,20070315,1.1473,
002081.SZ,Ѕру«тл,20070316,1.144,
002081.SZ,Ѕру«тл,20070319,1.1581,
002081.SZ,Ѕру«тл,20070320,1.1552,
002081.SZ,Ѕру«тл,20070321,1.1516,
002081.SZ,Ѕру«тл,20070322,1.1549,
002081.SZ,Ѕру«тл,20070323,1.1408,
002081.SZ,Ѕру«тл,20070326,1.1411,
002081.SZ,Ѕру«тл,20070327,1.1906,
002081.SZ,Ѕру«тл,20070328,1.3097,
002081.SZ,Ѕру«тл,20070329,1.2097,
002081.SZ,Ѕру«тл,20070330,1.2588,
002081.SZ,Ѕру«тл,20070402,1.2996,
002081.SZ,Ѕру«тл,20070403,1.2765,
002081.SZ,Ѕру«тл,20070404,1.2419,
002081.SZ,Ѕру«тл,20070405,1.2635,
002081.SZ,Ѕру«тл,20070406,1.2556,
002081.SZ,Ѕру«тл,20070409,1.2563,
