ДњТы,МђГЦ,ШеЦк,ЪеХЬМл(дЊ),
603127.SH,еббмаТвЉ,20180306,54.56,
603127.SH,еббмаТвЉ,20180307,54.43,
603127.SH,еббмаТвЉ,20180308,59.87,
603127.SH,еббмаТвЉ,20180309,60.88,
603127.SH,еббмаТвЉ,20180312,61.77,
603127.SH,еббмаТвЉ,20180313,60.23,
603127.SH,еббмаТвЉ,20180314,58.87,
603127.SH,еббмаТвЉ,20180315,56.9,
603127.SH,еббмаТвЉ,20180316,56.83,
603127.SH,еббмаТвЉ,20180319,62.51,
603127.SH,еббмаТвЉ,20180320,64.88,
603127.SH,еббмаТвЉ,20180321,63.52,
603127.SH,еббмаТвЉ,20180322,62.17,
603127.SH,еббмаТвЉ,20180323,64,
603127.SH,еббмаТвЉ,20180326,70.4,
