덜쯤,숌냔,휑퍅,澗턍송(禱),
002490.SZ,*ST카질,20110516,8.4338,
002490.SZ,*ST카질,20110517,8.4631,
002490.SZ,*ST카질,20110518,8.6686,
002490.SZ,*ST카질,20110519,8.4631,
002490.SZ,*ST카질,20110520,8.4631,
002490.SZ,*ST카질,20110523,7.9592,
002490.SZ,*ST카질,20110524,7.8565,
002490.SZ,*ST카질,20110525,7.7636,
002490.SZ,*ST카질,20110526,7.6608,
002490.SZ,*ST카질,20110527,7.4652,
002490.SZ,*ST카질,20110530,7.4554,
002490.SZ,*ST카질,20110531,7.6266,
002490.SZ,*ST카질,20110601,7.6755,
002490.SZ,*ST카질,20110602,7.5923,
002490.SZ,*ST카질,20110603,7.6902,
002490.SZ,*ST카질,20110607,7.7587,
002490.SZ,*ST카질,20110608,7.6608,
002490.SZ,*ST카질,20110609,7.4798,
002490.SZ,*ST카질,20110610,7.4211,
002490.SZ,*ST카질,20110613,7.4557,
002490.SZ,*ST카질,20110614,7.5891,
002490.SZ,*ST카질,20110615,7.4804,
002490.SZ,*ST카질,20110616,7.4705,
002490.SZ,*ST카질,20110617,7.4112,
002490.SZ,*ST카질,20110620,7.2433,
002490.SZ,*ST카질,20110621,7.3223,
002490.SZ,*ST카질,20110622,7.3174,
002490.SZ,*ST카질,20110623,7.5496,
002490.SZ,*ST카질,20110624,7.7373,
002490.SZ,*ST카질,20110627,7.7818,
002490.SZ,*ST카질,20110628,8.5625,
002490.SZ,*ST카질,20110629,8.1721,
002490.SZ,*ST카질,20110630,8.271,
002490.SZ,*ST카질,20110701,8.1721,
002490.SZ,*ST카질,20110704,8.2561,
002490.SZ,*ST카질,20110705,8.2462,
002490.SZ,*ST카질,20110706,8.4587,
002490.SZ,*ST카질,20110707,8.3648,
002490.SZ,*ST카질,20110708,8.2314,
002490.SZ,*ST카질,20110711,8.2215,
002490.SZ,*ST카질,20110712,7.9399,
002490.SZ,*ST카질,20110713,8.1227,
002490.SZ,*ST카질,20110714,8.4982,
002490.SZ,*ST카질,20110715,8.4389,
002490.SZ,*ST카질,20110718,8.3846,
002490.SZ,*ST카질,20110719,8.2018,
002490.SZ,*ST카질,20110720,8.4982,
002490.SZ,*ST카질,20110721,8.3352,
002490.SZ,*ST카질,20110722,8.7552,
002490.SZ,*ST카질,20110725,8.3352,
002490.SZ,*ST카질,20110726,8.4982,
002490.SZ,*ST카질,20110727,8.6218,
002490.SZ,*ST카질,20110728,8.8243,
002490.SZ,*ST카질,20110729,8.5822,
002490.SZ,*ST카질,20110801,8.5378,
002490.SZ,*ST카질,20110802,8.2858,
002490.SZ,*ST카질,20110803,8.2561,
002490.SZ,*ST카질,20110804,8.2314,
002490.SZ,*ST카질,20110805,7.9498,
002490.SZ,*ST카질,20110808,7.2235,
002490.SZ,*ST카질,20110809,7.095,
002490.SZ,*ST카질,20110810,7.1346,
002490.SZ,*ST카질,20110811,7.1988,
002490.SZ,*ST카질,20110812,7.4261,
002490.SZ,*ST카질,20110815,7.7769,
002490.SZ,*ST카질,20110816,7.7126,
002490.SZ,*ST카질,20110817,7.6929,
002490.SZ,*ST카질,20110818,7.4804,
002490.SZ,*ST카질,20110819,7.2877,
002490.SZ,*ST카질,20110822,7.3124,
002490.SZ,*ST카질,20110823,7.4804,
002490.SZ,*ST카질,20110824,7.5644,
002490.SZ,*ST카질,20110825,7.6879,
002490.SZ,*ST카질,20110826,7.7126,
002490.SZ,*ST카질,20110829,7.436,
002490.SZ,*ST카질,20110830,7.5348,
002490.SZ,*ST카질,20110831,7.4952,
002490.SZ,*ST카질,20110901,7.4162,
002490.SZ,*ST카질,20110902,7.2186,
002490.SZ,*ST카질,20110905,7.0456,
002490.SZ,*ST카질,20110906,7.0555,
002490.SZ,*ST카질,20110907,7.3025,
002490.SZ,*ST카질,20110908,7.1642,
002490.SZ,*ST카질,20110909,7.1395,
002490.SZ,*ST카질,20110913,6.9666,
002490.SZ,*ST카질,20110914,7.0308,
002490.SZ,*ST카질,20110915,7.0456,
002490.SZ,*ST카질,20110916,7.0654,
002490.SZ,*ST카질,20110919,7.0753,
002490.SZ,*ST카질,20110920,7.0061,
002490.SZ,*ST카질,20110921,7.3964,
002490.SZ,*ST카질,20110922,7.0703,
002490.SZ,*ST카질,20110923,7.0901,
002490.SZ,*ST카질,20110926,6.9913,
002490.SZ,*ST카질,20110927,7.0061,
002490.SZ,*ST카질,20110928,6.927,
002490.SZ,*ST카질,20110929,6.68,
002490.SZ,*ST카질,20110930,6.6454,
002490.SZ,*ST카질,20111010,6.601,
002490.SZ,*ST카질,20111011,6.5812,
002490.SZ,*ST카질,20111012,6.8727,
002490.SZ,*ST카질,20111013,6.9172,
002490.SZ,*ST카질,20111014,6.8183,
002490.SZ,*ST카질,20111017,6.8035,
002490.SZ,*ST카질,20111018,6.5812,
002490.SZ,*ST카질,20111019,6.5071,
002490.SZ,*ST카질,20111020,6.601,
002490.SZ,*ST카질,20111021,6.6207,
002490.SZ,*ST카질,20111024,7.0604,
002490.SZ,*ST카질,20111025,7.1197,
002490.SZ,*ST카질,20111026,7.0308,
002490.SZ,*ST카질,20111027,7.0209,
002490.SZ,*ST카질,20111028,7.1197,
002490.SZ,*ST카질,20111031,7.1296,
002490.SZ,*ST카질,20111101,7.1741,
002490.SZ,*ST카질,20111102,7.3717,
002490.SZ,*ST카질,20111103,7.263,
002490.SZ,*ST카질,20111104,7.3371,
002490.SZ,*ST카질,20111107,7.3618,
002490.SZ,*ST카질,20111108,7.352,
002490.SZ,*ST카질,20111109,7.4607,
002490.SZ,*ST카질,20111110,7.2729,
002490.SZ,*ST카질,20111111,7.184,
002490.SZ,*ST카질,20111114,7.3421,
002490.SZ,*ST카질,20111115,7.352,
002490.SZ,*ST카질,20111116,7.095,
002490.SZ,*ST카질,20111117,7.0802,
002490.SZ,*ST카질,20111118,6.7344,
002490.SZ,*ST카질,20111121,6.7096,
002490.SZ,*ST카질,20111122,6.7591,
002490.SZ,*ST카질,20111123,6.6849,
002490.SZ,*ST카질,20111124,6.5861,
002490.SZ,*ST카질,20111125,6.512,
002490.SZ,*ST카질,20111128,6.5812,
002490.SZ,*ST카질,20111129,6.8678,
002490.SZ,*ST카질,20111130,6.5318,
002490.SZ,*ST카질,20111201,6.6652,
002490.SZ,*ST카질,20111202,6.5268,
002490.SZ,*ST카질,20111205,6.2353,
002490.SZ,*ST카질,20111206,6.2403,
002490.SZ,*ST카질,20111207,6.2996,
002490.SZ,*ST카질,20111208,6.2304,
002490.SZ,*ST카질,20111209,6.1217,
002490.SZ,*ST카질,20111212,6.1365,
002490.SZ,*ST카질,20111213,5.8055,
002490.SZ,*ST카질,20111214,5.5831,
002490.SZ,*ST카질,20111215,5.341,
002490.SZ,*ST카질,20111216,5.5041,
002490.SZ,*ST카질,20111219,5.5387,
002490.SZ,*ST카질,20111220,5.4843,
002490.SZ,*ST카질,20111221,5.2422,
002490.SZ,*ST카질,20111222,5.1434,
002490.SZ,*ST카질,20111223,5.1385,
002490.SZ,*ST카질,20111226,5.0545,
002490.SZ,*ST카질,20111227,4.8914,
002490.SZ,*ST카질,20111228,4.8025,
002490.SZ,*ST카질,20111229,4.8173,
002490.SZ,*ST카질,20111230,4.8568,
002490.SZ,*ST카질,20120104,4.7432,
002490.SZ,*ST카질,20120105,4.4566,
002490.SZ,*ST카질,20120106,4.4517,
002490.SZ,*ST카질,20120109,4.7531,
002490.SZ,*ST카질,20120110,4.9408,
002490.SZ,*ST카질,20120111,4.9062,
002490.SZ,*ST카질,20120112,4.9062,
002490.SZ,*ST카질,20120113,4.6197,
002490.SZ,*ST카질,20120116,4.4665,
002490.SZ,*ST카질,20120117,4.7284,
002490.SZ,*ST카질,20120118,4.595,
002490.SZ,*ST카질,20120119,4.674,
002490.SZ,*ST카질,20120120,4.758,
002490.SZ,*ST카질,20120130,4.842,
002490.SZ,*ST카질,20120131,4.7827,
002490.SZ,*ST카질,20120201,4.7333,
002490.SZ,*ST카질,20120202,4.8173,
002490.SZ,*ST카질,20120203,4.9902,
002490.SZ,*ST카질,20120206,5.0001,
002490.SZ,*ST카질,20120207,5.1088,
002490.SZ,*ST카질,20120208,5.1533,
002490.SZ,*ST카질,20120209,5.2422,
002490.SZ,*ST카질,20120210,5.2076,
002490.SZ,*ST카질,20120213,5.2373,
002490.SZ,*ST카질,20120214,5.262,
002490.SZ,*ST카질,20120215,5.3312,
002490.SZ,*ST카질,20120216,5.3756,
002490.SZ,*ST카질,20120217,5.262,
002490.SZ,*ST카질,20120220,5.2669,
002490.SZ,*ST카질,20120221,5.2916,
002490.SZ,*ST카질,20120222,5.4201,
002490.SZ,*ST카질,20120223,5.5189,
002490.SZ,*ST카질,20120224,5.5634,
002490.SZ,*ST카질,20120227,5.5288,
002490.SZ,*ST카질,20120228,5.4547,
002490.SZ,*ST카질,20120229,5.346,
002490.SZ,*ST카질,20120301,5.3608,
002490.SZ,*ST카질,20120302,5.5881,
002490.SZ,*ST카질,20120305,5.6029,
002490.SZ,*ST카질,20120306,5.5634,
002490.SZ,*ST카질,20120307,5.7264,
002490.SZ,*ST카질,20120308,5.7264,
002490.SZ,*ST카질,20120309,5.7314,
002490.SZ,*ST카질,20120312,5.7363,
002490.SZ,*ST카질,20120313,5.845,
002490.SZ,*ST카질,20120314,5.4695,
002490.SZ,*ST카질,20120315,5.6177,
002490.SZ,*ST카질,20120316,6.176,
002490.SZ,*ST카질,20120319,6.2749,
002490.SZ,*ST카질,20120320,6.5219,
002490.SZ,*ST카질,20120321,6.7393,
002490.SZ,*ST카질,20120322,6.5021,
002490.SZ,*ST카질,20120323,6.3687,
002490.SZ,*ST카질,20120326,6.2452,
002490.SZ,*ST카질,20120327,6.26,
002490.SZ,*ST카질,20120328,5.7264,
002490.SZ,*ST카질,20120329,5.5782,
002490.SZ,*ST카질,20120330,6.1365,
002490.SZ,*ST카질,20120405,6.7492,
002490.SZ,*ST카질,20120406,6.6948,
002490.SZ,*ST카질,20120409,6.9369,
002490.SZ,*ST카질,20120410,7.0654,
002490.SZ,*ST카질,20120411,6.8183,
002490.SZ,*ST카질,20120412,7.5002,
002490.SZ,*ST카질,20120413,7.2976,
002490.SZ,*ST카질,20120416,7.3668,
002490.SZ,*ST카질,20120417,6.9666,
002490.SZ,*ST카질,20120418,7.1642,
002490.SZ,*ST카질,20120419,7.3223,
002490.SZ,*ST카질,20120420,7.3865,
002490.SZ,*ST카질,20120423,7.1148,
002490.SZ,*ST카질,20120424,7.1988,
002490.SZ,*ST카질,20120425,7.3421,
002490.SZ,*ST카질,20120426,7.1049,
002490.SZ,*ST카질,20120427,7.1642,
002490.SZ,*ST카질,20120502,7.6336,
002490.SZ,*ST카질,20120503,7.5792,
002490.SZ,*ST카질,20120504,7.6089,
002490.SZ,*ST카질,20120507,7.8213,
002490.SZ,*ST카질,20120508,8.602,
002490.SZ,*ST카질,20120509,8.1721,
002490.SZ,*ST카질,20120510,8.6613,
002490.SZ,*ST카질,20120511,7.9992,
002490.SZ,*ST카질,20120514,7.9646,
002490.SZ,*ST카질,20120515,8.2413,
002490.SZ,*ST카질,20120516,8.2907,
002490.SZ,*ST카질,20120517,8.2907,
002490.SZ,*ST카질,20120518,8.1227,
002490.SZ,*ST카질,20120521,8.3006,
002490.SZ,*ST카질,20120522,8.2957,
002490.SZ,*ST카질,20120523,8.3648,
002490.SZ,*ST카질,20120524,8.0536,
002490.SZ,*ST카질,20120525,8.0536,
002490.SZ,*ST카질,20120528,7.7571,
002490.SZ,*ST카질,20120529,7.7769,
002490.SZ,*ST카질,20120530,7.8115,
002490.SZ,*ST카질,20120531,7.8707,
002490.SZ,*ST카질,20120601,7.9103,
002490.SZ,*ST카질,20120604,7.3174,
002490.SZ,*ST카질,20120605,7.2284,
002490.SZ,*ST카질,20120606,7.1889,
002490.SZ,*ST카질,20120607,7.5743,
002490.SZ,*ST카질,20120608,7.6682,
002490.SZ,*ST카질,20120611,8.3105,
002490.SZ,*ST카질,20120612,8.1277,
002490.SZ,*ST카질,20120613,8.3401,
002490.SZ,*ST카질,20120614,8.182,
002490.SZ,*ST카질,20120615,8.0733,
002490.SZ,*ST카질,20120618,8.4834,
002490.SZ,*ST카질,20120619,8.5032,
002490.SZ,*ST카질,20120620,8.3648,
002490.SZ,*ST카질,20120621,8.1524,
002490.SZ,*ST카질,20120625,7.935,
002490.SZ,*ST카질,20120626,8.103,
002490.SZ,*ST카질,20120627,8.681,
002490.SZ,*ST카질,20120628,8.2759,
002490.SZ,*ST카질,20120629,8.0733,
002490.SZ,*ST카질,20120702,8.6119,
002490.SZ,*ST카질,20120703,8.8935,
002490.SZ,*ST카질,20120704,9.0269,
002490.SZ,*ST카질,20120705,8.8836,
002490.SZ,*ST카질,20120706,9.269,
002490.SZ,*ST카질,20120709,8.7947,
002490.SZ,*ST카질,20120710,8.6415,
002490.SZ,*ST카질,20120711,8.8688,
002490.SZ,*ST카질,20120712,9.0121,
002490.SZ,*ST카질,20120713,8.9528,
002490.SZ,*ST카질,20120716,8.1919,
002490.SZ,*ST카질,20120717,8.3698,
002490.SZ,*ST카질,20120718,8.3994,
002490.SZ,*ST카질,20120719,8.0536,
002490.SZ,*ST카질,20120720,8.0536,
002490.SZ,*ST카질,20120723,7.5365,
002490.SZ,*ST카질,20120724,7.6061,
002490.SZ,*ST카질,20120725,7.795,
002490.SZ,*ST카질,20120726,7.7354,
002490.SZ,*ST카질,20120727,7.3874,
002490.SZ,*ST카질,20120730,6.8704,
002490.SZ,*ST카질,20120731,6.423,
002490.SZ,*ST카질,20120801,6.6218,
002490.SZ,*ST카질,20120802,6.592,
002490.SZ,*ST카질,20120803,6.7014,
002490.SZ,*ST카질,20120806,6.9599,
002490.SZ,*ST카질,20120807,7.6558,
002490.SZ,*ST카질,20120808,8.1629,
002490.SZ,*ST카질,20120809,8.9782,
002490.SZ,*ST카질,20120810,9.8731,
002490.SZ,*ST카질,20120813,9.4356,
002490.SZ,*ST카질,20120814,10.3801,
002490.SZ,*ST카질,20120815,10.4299,
002490.SZ,*ST카질,20120816,9.7438,
002490.SZ,*ST카질,20120817,10.4,
002490.SZ,*ST카질,20120820,11.444,
002490.SZ,*ST카질,20120821,11.8318,
002490.SZ,*ST카질,20120822,13.0149,
002490.SZ,*ST카질,20120823,13.0448,
002490.SZ,*ST카질,20120824,12.2792,
002490.SZ,*ST카질,20120827,12.5476,
002490.SZ,*ST카질,20120828,12.319,
002490.SZ,*ST카질,20120829,11.9908,
002490.SZ,*ST카질,20120830,10.7878,
002490.SZ,*ST카질,20120831,11.8715,
002490.SZ,*ST카질,20120903,12.0803,
002490.SZ,*ST카질,20120904,12.5079,
002490.SZ,*ST카질,20120905,12.1599,
002490.SZ,*ST카질,20120906,12.5476,
002490.SZ,*ST카질,20120907,12.5079,
002490.SZ,*ST카질,20120910,13.7109,
002490.SZ,*ST카질,20120911,13.7706,
002490.SZ,*ST카질,20120912,13.8601,
002490.SZ,*ST카질,20120913,13.6612,
002490.SZ,*ST카질,20120914,13.0945,
002490.SZ,*ST카질,20120917,13.0945,
002490.SZ,*ST카질,20120918,12.3985,
002490.SZ,*ST카질,20120919,12.3388,
002490.SZ,*ST카질,20120920,11.7125,
002490.SZ,*ST카질,20120921,11.0463,
002490.SZ,*ST카질,20120924,11.2054,
002490.SZ,*ST카질,20120925,11.7821,
002490.SZ,*ST카질,20120926,11.1159,
002490.SZ,*ST카질,20120927,11.5136,
002490.SZ,*ST카질,20120928,11.6528,
002490.SZ,*ST카질,20121008,11.9908,
002490.SZ,*ST카질,20121009,12.9155,
002490.SZ,*ST카질,20121010,13.0348,
002490.SZ,*ST카질,20121011,12.657,
002490.SZ,*ST카질,20121012,12.478,
002490.SZ,*ST카질,20121015,12.1102,
002490.SZ,*ST카질,20121016,12.1599,
002490.SZ,*ST카질,20121017,12.0406,
002490.SZ,*ST카질,20121018,12.7465,
002490.SZ,*ST카질,20121019,12.5775,
002490.SZ,*ST카질,20121022,13.3033,
002490.SZ,*ST카질,20121023,12.9851,
002490.SZ,*ST카질,20121024,12.3587,
002490.SZ,*ST카질,20121025,12.0306,
002490.SZ,*ST카질,20121026,11.7224,
002490.SZ,*ST카질,20121029,11.8318,
002490.SZ,*ST카질,20121030,12.2195,
002490.SZ,*ST카질,20121031,12.0803,
002490.SZ,*ST카질,20121101,12.1698,
002490.SZ,*ST카질,20121102,12.2991,
002490.SZ,*ST카질,20121105,12.0107,
002490.SZ,*ST카질,20121106,12.0803,
002490.SZ,*ST카질,20121107,11.6528,
002490.SZ,*ST카질,20121108,10.9668,
002490.SZ,*ST카질,20121109,11.0165,
002490.SZ,*ST카질,20121112,11.3247,
002490.SZ,*ST카질,20121113,10.8077,
002490.SZ,*ST카질,20121114,10.5094,
002490.SZ,*ST카질,20121115,10.5492,
002490.SZ,*ST카질,20121116,10.5094,
002490.SZ,*ST카질,20121119,10.5591,
002490.SZ,*ST카질,20121120,10.3901,
002490.SZ,*ST카질,20121121,10.4199,
002490.SZ,*ST카질,20121122,10.1117,
002490.SZ,*ST카질,20121123,10.0719,
002490.SZ,*ST카질,20121126,9.6842,
002490.SZ,*ST카질,20121127,8.9484,
002490.SZ,*ST카질,20121128,9.0876,
002490.SZ,*ST카질,20121129,8.7098,
002490.SZ,*ST카질,20121130,8.8689,
002490.SZ,*ST카질,20121203,8.332,
002490.SZ,*ST카질,20121204,8.9782,
002490.SZ,*ST카질,20121205,9.2168,
002490.SZ,*ST카질,20121206,9.4654,
002490.SZ,*ST카질,20121207,9.5151,
002490.SZ,*ST카질,20121210,10.2211,
002490.SZ,*ST카질,20121211,9.9725,
002490.SZ,*ST카질,20121212,10.0023,
002490.SZ,*ST카질,20121213,9.6344,
002490.SZ,*ST카질,20121214,10.0123,
002490.SZ,*ST카질,20121217,10.3006,
002490.SZ,*ST카질,20121218,10.0719,
002490.SZ,*ST카질,20121219,10.4497,
002490.SZ,*ST카질,20121220,10.2708,
002490.SZ,*ST카질,20121221,10.1415,
002490.SZ,*ST카질,20121224,10.1713,
002490.SZ,*ST카질,20121225,10.4299,
002490.SZ,*ST카질,20121226,10.6983,
002490.SZ,*ST카질,20121227,10.8972,
002490.SZ,*ST카질,20121228,10.9866,
002490.SZ,*ST카질,20121231,10.8972,
002490.SZ,*ST카질,20130104,10.6486,
002490.SZ,*ST카질,20130107,10.8375,
002490.SZ,*ST카질,20130108,11.1954,
002490.SZ,*ST카질,20130109,11.0562,
002490.SZ,*ST카질,20130110,11.096,
002490.SZ,*ST카질,20130111,10.5591,
002490.SZ,*ST카질,20130114,11.613,
002490.SZ,*ST카질,20130115,12.2991,
002490.SZ,*ST카질,20130116,11.8715,
002490.SZ,*ST카질,20130117,12.0803,
002490.SZ,*ST카질,20130118,12.1102,
002490.SZ,*ST카질,20130121,12.2692,
002490.SZ,*ST카질,20130122,12.0107,
002490.SZ,*ST카질,20130123,11.8218,
002490.SZ,*ST카질,20130124,11.3147,
002490.SZ,*ST카질,20130125,11.265,
002490.SZ,*ST카질,20130128,11.4937,
002490.SZ,*ST카질,20130129,11.8218,
002490.SZ,*ST카질,20130130,11.6627,
002490.SZ,*ST카질,20130131,11.7125,
002490.SZ,*ST카질,20130201,11.5733,
002490.SZ,*ST카질,20130204,11.2949,
002490.SZ,*ST카질,20130205,11.4042,
002490.SZ,*ST카질,20130206,11.4341,
002490.SZ,*ST카질,20130207,11.5931,
