ด๚ย๋,ผ๒ณฦ,ศีฦฺ,สีลฬผÛ(ิช),
300455.SZ,ฟตอุบ์อโ,20150515,3.5201,
300455.SZ,ฟตอุบ์อโ,20150518,3.8717,
300455.SZ,ฟตอุบ์อโ,20150519,4.2589,
300455.SZ,ฟตอุบ์อโ,20150520,4.6851,
300455.SZ,ฟตอุบ์อโ,20150521,5.154,
300455.SZ,ฟตอุบ์อโ,20150522,5.669,
300455.SZ,ฟตอุบ์อโ,20150525,6.2374,
300455.SZ,ฟตอุบ์อโ,20150526,6.8625,
300455.SZ,ฟตอุบ์อโ,20150527,7.5481,
300455.SZ,ฟตอุบ์อโ,20150528,8.3046,
300455.SZ,ฟตอุบ์อโ,20150529,9.1358,
300455.SZ,ฟตอุบ์อโ,20150601,10.0487,
300455.SZ,ฟตอุบ์อโ,20150602,11.0539,
300455.SZ,ฟตอุบ์อโ,20150603,12.1586,
300455.SZ,ฟตอุบ์อโ,20150604,13.3734,
300455.SZ,ฟตอุบ์อโ,20150605,14.7125,
300455.SZ,ฟตอุบ์อโ,20150608,16.183,
300455.SZ,ฟตอุบ์อโ,20150609,17.8028,
300455.SZ,ฟตอุบ์อโ,20150610,19.5823,
300455.SZ,ฟตอุบ์อโ,20150611,21.5395,
300455.SZ,ฟตอุบ์อโ,20150612,23.692,
300455.SZ,ฟตอุบ์อโ,20150615,26.0612,
300455.SZ,ฟตอุบ์อโ,20150616,27.3577,
300455.SZ,ฟตอุบ์อโ,20150617,24.6511,
300455.SZ,ฟตอุบ์อโ,20150618,22.186,
300455.SZ,ฟตอุบ์อโ,20150619,19.966,
300455.SZ,ฟตอุบ์อโ,20150623,21.9622,
300455.SZ,ฟตอุบ์อโ,20150624,21.2696,
300455.SZ,ฟตอุบ์อโ,20150625,20.211,
300455.SZ,ฟตอุบ์อโ,20150626,18.1899,
300455.SZ,ฟตอุบ์อโ,20150629,16.3713,
300455.SZ,ฟตอุบ์อโ,20150630,17.4405,
300455.SZ,ฟตอุบ์อโ,20150701,15.6964,
300455.SZ,ฟตอุบ์อโ,20150702,14.1264,
300455.SZ,ฟตอุบ์อโ,20150703,12.7127,
300455.SZ,ฟตอุบ์อโ,20150706,12.2545,
300455.SZ,ฟตอุบ์อโ,20150707,11.0291,
300455.SZ,ฟตอุบ์อโ,20150708,9.9279,
300455.SZ,ฟตอุบ์อโ,20150709,10.9225,
300455.SZ,ฟตอุบ์อโ,20150710,12.0165,
300455.SZ,ฟตอุบ์อโ,20150713,13.2171,
300455.SZ,ฟตอุบ์อโ,20150714,14.5385,
300455.SZ,ฟตอุบ์อโ,20150715,13.0857,
300455.SZ,ฟตอุบ์อโ,20150716,13.3769,
