¥˙¬Î,ºÚ≥∆,»’∆⁄, ’≈Ãº€(‘™),
601933.SH,”¿ª‘≥¨ –,20101215,3.7014,
601933.SH,”¿ª‘≥¨ –,20101216,3.9295,
601933.SH,”¿ª‘≥¨ –,20101217,4.3227,
601933.SH,”¿ª‘≥¨ –,20101220,4.153,
601933.SH,”¿ª‘≥¨ –,20101221,4.1576,
601933.SH,”¿ª‘≥¨ –,20101222,3.9834,
601933.SH,”¿ª‘≥¨ –,20101223,3.9444,
601933.SH,”¿ª‘≥¨ –,20101224,3.792,
601933.SH,”¿ª‘≥¨ –,20101227,3.7897,
601933.SH,”¿ª‘≥¨ –,20101228,3.5249,
601933.SH,”¿ª‘≥¨ –,20101229,3.5776,
601933.SH,”¿ª‘≥¨ –,20101230,3.5386,
601933.SH,”¿ª‘≥¨ –,20101231,3.581,
601933.SH,”¿ª‘≥¨ –,20110104,3.8561,
601933.SH,”¿ª‘≥¨ –,20110105,3.792,
601933.SH,”¿ª‘≥¨ –,20110106,3.7977,
601933.SH,”¿ª‘≥¨ –,20110107,3.6945,
601933.SH,”¿ª‘≥¨ –,20110110,3.6647,
601933.SH,”¿ª‘≥¨ –,20110111,3.5753,
601933.SH,”¿ª‘≥¨ –,20110112,3.6235,
601933.SH,”¿ª‘≥¨ –,20110113,3.6005,
601933.SH,”¿ª‘≥¨ –,20110114,3.4377,
601933.SH,”¿ª‘≥¨ –,20110117,3.2887,
601933.SH,”¿ª‘≥¨ –,20110118,3.3655,
601933.SH,”¿ª‘≥¨ –,20110119,3.3804,
601933.SH,”¿ª‘≥¨ –,20110120,3.1695,
601933.SH,”¿ª‘≥¨ –,20110121,3.1936,
601933.SH,”¿ª‘≥¨ –,20110124,3.1982,
601933.SH,”¿ª‘≥¨ –,20110125,3.1454,
601933.SH,”¿ª‘≥¨ –,20110126,3.1764,
601933.SH,”¿ª‘≥¨ –,20110127,3.236,
601933.SH,”¿ª‘≥¨ –,20110128,3.1661,
601933.SH,”¿ª‘≥¨ –,20110131,3.1993,
601933.SH,”¿ª‘≥¨ –,20110201,3.2486,
601933.SH,”¿ª‘≥¨ –,20110209,3.1615,
601933.SH,”¿ª‘≥¨ –,20110210,3.3002,
601933.SH,”¿ª‘≥¨ –,20110211,3.2979,
601933.SH,”¿ª‘≥¨ –,20110214,3.3449,
601933.SH,”¿ª‘≥¨ –,20110215,3.2841,
601933.SH,”¿ª‘≥¨ –,20110216,3.33,
601933.SH,”¿ª‘≥¨ –,20110217,3.3139,
601933.SH,”¿ª‘≥¨ –,20110218,3.3243,
601933.SH,”¿ª‘≥¨ –,20110221,3.4309,
601933.SH,”¿ª‘≥¨ –,20110222,3.2291,
601933.SH,”¿ª‘≥¨ –,20110223,3.2555,
601933.SH,”¿ª‘≥¨ –,20110224,3.2601,
601933.SH,”¿ª‘≥¨ –,20110225,3.2429,
601933.SH,”¿ª‘≥¨ –,20110228,3.3346,
601933.SH,”¿ª‘≥¨ –,20110301,3.3334,
601933.SH,”¿ª‘≥¨ –,20110302,3.3919,
601933.SH,”¿ª‘≥¨ –,20110303,3.3289,
601933.SH,”¿ª‘≥¨ –,20110304,3.3472,
601933.SH,”¿ª‘≥¨ –,20110307,3.3403,
601933.SH,”¿ª‘≥¨ –,20110308,3.3449,
601933.SH,”¿ª‘≥¨ –,20110309,3.3357,
601933.SH,”¿ª‘≥¨ –,20110310,3.3243,
601933.SH,”¿ª‘≥¨ –,20110311,3.3208,
601933.SH,”¿ª‘≥¨ –,20110314,3.3013,
601933.SH,”¿ª‘≥¨ –,20110315,3.1546,
601933.SH,”¿ª‘≥¨ –,20110316,3.1775,
601933.SH,”¿ª‘≥¨ –,20110317,3.1787,
601933.SH,”¿ª‘≥¨ –,20110318,3.1603,
601933.SH,”¿ª‘≥¨ –,20110321,3.2154,
601933.SH,”¿ª‘≥¨ –,20110322,3.1695,
601933.SH,”¿ª‘≥¨ –,20110323,3.1959,
601933.SH,”¿ª‘≥¨ –,20110324,3.1752,
601933.SH,”¿ª‘≥¨ –,20110325,3.1649,
601933.SH,”¿ª‘≥¨ –,20110328,3.1363,
601933.SH,”¿ª‘≥¨ –,20110329,3.095,
601933.SH,”¿ª‘≥¨ –,20110330,3.009,
601933.SH,”¿ª‘≥¨ –,20110331,3.2096,
601933.SH,”¿ª‘≥¨ –,20110401,3.1386,
601933.SH,”¿ª‘≥¨ –,20110406,3.0732,
601933.SH,”¿ª‘≥¨ –,20110407,3.0595,
601933.SH,”¿ª‘≥¨ –,20110408,3.0721,
601933.SH,”¿ª‘≥¨ –,20110411,3.0583,
601933.SH,”¿ª‘≥¨ –,20110412,3.103,
601933.SH,”¿ª‘≥¨ –,20110413,3.1179,
601933.SH,”¿ª‘≥¨ –,20110414,3.1856,
601933.SH,”¿ª‘≥¨ –,20110415,3.2096,
601933.SH,”¿ª‘≥¨ –,20110418,3.2154,
601933.SH,”¿ª‘≥¨ –,20110419,3.142,
601933.SH,”¿ª‘≥¨ –,20110420,3.2463,
601933.SH,”¿ª‘≥¨ –,20110421,3.2555,
601933.SH,”¿ª‘≥¨ –,20110422,3.1947,
601933.SH,”¿ª‘≥¨ –,20110425,3.2234,
601933.SH,”¿ª‘≥¨ –,20110426,3.2715,
601933.SH,”¿ª‘≥¨ –,20110427,3.197,
601933.SH,”¿ª‘≥¨ –,20110428,3.228,
601933.SH,”¿ª‘≥¨ –,20110429,3.0916,
601933.SH,”¿ª‘≥¨ –,20110503,3.103,
601933.SH,”¿ª‘≥¨ –,20110504,3.087,
601933.SH,”¿ª‘≥¨ –,20110505,3.1145,
601933.SH,”¿ª‘≥¨ –,20110506,3.1156,
601933.SH,”¿ª‘≥¨ –,20110509,3.0893,
601933.SH,”¿ª‘≥¨ –,20110510,3.0297,
601933.SH,”¿ª‘≥¨ –,20110511,3.0354,
601933.SH,”¿ª‘≥¨ –,20110512,3.0102,
601933.SH,”¿ª‘≥¨ –,20110513,3.0228,
601933.SH,”¿ª‘≥¨ –,20110516,2.9976,
601933.SH,”¿ª‘≥¨ –,20110517,3.0113,
601933.SH,”¿ª‘≥¨ –,20110518,3.0113,
601933.SH,”¿ª‘≥¨ –,20110519,3.0239,
601933.SH,”¿ª‘≥¨ –,20110520,3.0251,
601933.SH,”¿ª‘≥¨ –,20110523,2.8749,
601933.SH,”¿ª‘≥¨ –,20110524,2.8772,
601933.SH,”¿ª‘≥¨ –,20110525,2.8187,
601933.SH,”¿ª‘≥¨ –,20110526,2.7832,
601933.SH,”¿ª‘≥¨ –,20110527,2.7293,
601933.SH,”¿ª‘≥¨ –,20110530,2.7339,
601933.SH,”¿ª‘≥¨ –,20110531,2.774,
601933.SH,”¿ª‘≥¨ –,20110601,2.797,
601933.SH,”¿ª‘≥¨ –,20110602,2.7351,
601933.SH,”¿ª‘≥¨ –,20110603,2.7431,
601933.SH,”¿ª‘≥¨ –,20110607,2.766,
601933.SH,”¿ª‘≥¨ –,20110608,2.7523,
601933.SH,”¿ª‘≥¨ –,20110609,2.7062,
601933.SH,”¿ª‘≥¨ –,20110610,2.6498,
601933.SH,”¿ª‘≥¨ –,20110613,2.651,
601933.SH,”¿ª‘≥¨ –,20110614,2.6717,
601933.SH,”¿ª‘≥¨ –,20110615,2.6291,
601933.SH,”¿ª‘≥¨ –,20110616,2.5451,
601933.SH,”¿ª‘≥¨ –,20110617,2.5485,
601933.SH,”¿ª‘≥¨ –,20110620,2.5439,
601933.SH,”¿ª‘≥¨ –,20110621,2.5669,
601933.SH,”¿ª‘≥¨ –,20110622,2.5784,
601933.SH,”¿ª‘≥¨ –,20110623,2.6705,
601933.SH,”¿ª‘≥¨ –,20110624,2.7039,
601933.SH,”¿ª‘≥¨ –,20110627,2.72,
601933.SH,”¿ª‘≥¨ –,20110628,2.7672,
601933.SH,”¿ª‘≥¨ –,20110629,2.7408,
601933.SH,”¿ª‘≥¨ –,20110630,2.7845,
601933.SH,”¿ª‘≥¨ –,20110701,2.7741,
601933.SH,”¿ª‘≥¨ –,20110704,2.842,
601933.SH,”¿ª‘≥¨ –,20110705,2.8731,
601933.SH,”¿ª‘≥¨ –,20110706,2.8766,
601933.SH,”¿ª‘≥¨ –,20110707,2.8559,
601933.SH,”¿ª‘≥¨ –,20110708,2.8996,
601933.SH,”¿ª‘≥¨ –,20110711,3.0331,
601933.SH,”¿ª‘≥¨ –,20110712,3.0078,
601933.SH,”¿ª‘≥¨ –,20110713,3.0711,
601933.SH,”¿ª‘≥¨ –,20110714,3.1413,
601933.SH,”¿ª‘≥¨ –,20110715,3.139,
601933.SH,”¿ª‘≥¨ –,20110718,3.0746,
601933.SH,”¿ª‘≥¨ –,20110719,3.0147,
601933.SH,”¿ª‘≥¨ –,20110720,3.0734,
601933.SH,”¿ª‘≥¨ –,20110721,3.0976,
601933.SH,”¿ª‘≥¨ –,20110722,3.0884,
601933.SH,”¿ª‘≥¨ –,20110725,3.0055,
601933.SH,”¿ª‘≥¨ –,20110726,3.0113,
601933.SH,”¿ª‘≥¨ –,20110727,3.0504,
601933.SH,”¿ª‘≥¨ –,20110728,3.0964,
601933.SH,”¿ª‘≥¨ –,20110729,3.078,
601933.SH,”¿ª‘≥¨ –,20110801,3.2311,
601933.SH,”¿ª‘≥¨ –,20110802,3.2714,
601933.SH,”¿ª‘≥¨ –,20110803,3.2714,
601933.SH,”¿ª‘≥¨ –,20110804,3.3071,
601933.SH,”¿ª‘≥¨ –,20110805,3.3036,
601933.SH,”¿ª‘≥¨ –,20110808,3.2288,
601933.SH,”¿ª‘≥¨ –,20110809,3.2737,
601933.SH,”¿ª‘≥¨ –,20110810,3.3301,
601933.SH,”¿ª‘≥¨ –,20110811,3.3301,
601933.SH,”¿ª‘≥¨ –,20110812,3.5246,
601933.SH,”¿ª‘≥¨ –,20110815,3.5246,
601933.SH,”¿ª‘≥¨ –,20110816,3.4867,
601933.SH,”¿ª‘≥¨ –,20110817,3.5223,
601933.SH,”¿ª‘≥¨ –,20110818,3.4567,
601933.SH,”¿ª‘≥¨ –,20110819,3.4556,
601933.SH,”¿ª‘≥¨ –,20110822,3.3577,
601933.SH,”¿ª‘≥¨ –,20110823,3.4233,
601933.SH,”¿ª‘≥¨ –,20110824,3.4567,
601933.SH,”¿ª‘≥¨ –,20110825,3.4993,
601933.SH,”¿ª‘≥¨ –,20110826,3.5085,
601933.SH,”¿ª‘≥¨ –,20110829,3.4372,
601933.SH,”¿ª‘≥¨ –,20110830,3.4487,
601933.SH,”¿ª‘≥¨ –,20110831,3.3416,
601933.SH,”¿ª‘≥¨ –,20110901,3.2703,
601933.SH,”¿ª‘≥¨ –,20110902,3.238,
601933.SH,”¿ª‘≥¨ –,20110905,3.2162,
601933.SH,”¿ª‘≥¨ –,20110906,3.2415,
601933.SH,”¿ª‘≥¨ –,20110907,3.3485,
601933.SH,”¿ª‘≥¨ –,20110908,3.3244,
601933.SH,”¿ª‘≥¨ –,20110909,3.3255,
601933.SH,”¿ª‘≥¨ –,20110913,3.2726,
601933.SH,”¿ª‘≥¨ –,20110914,3.2726,
601933.SH,”¿ª‘≥¨ –,20110915,3.2518,
601933.SH,”¿ª‘≥¨ –,20110916,3.2541,
601933.SH,”¿ª‘≥¨ –,20110919,3.1793,
601933.SH,”¿ª‘≥¨ –,20110920,3.2472,
601933.SH,”¿ª‘≥¨ –,20110921,3.3347,
601933.SH,”¿ª‘≥¨ –,20110922,3.2173,
601933.SH,”¿ª‘≥¨ –,20110923,3.1759,
601933.SH,”¿ª‘≥¨ –,20110926,3.1759,
601933.SH,”¿ª‘≥¨ –,20110927,3.1126,
601933.SH,”¿ª‘≥¨ –,20110928,3.0262,
601933.SH,”¿ª‘≥¨ –,20110929,2.994,
601933.SH,”¿ª‘≥¨ –,20110930,2.9813,
601933.SH,”¿ª‘≥¨ –,20111010,3.0654,
601933.SH,”¿ª‘≥¨ –,20111011,3.0884,
601933.SH,”¿ª‘≥¨ –,20111012,3.2092,
601933.SH,”¿ª‘≥¨ –,20111013,3.2449,
601933.SH,”¿ª‘≥¨ –,20111014,3.2449,
601933.SH,”¿ª‘≥¨ –,20111017,3.2875,
601933.SH,”¿ª‘≥¨ –,20111018,3.268,
601933.SH,”¿ª‘≥¨ –,20111019,3.3324,
601933.SH,”¿ª‘≥¨ –,20111020,3.2587,
601933.SH,”¿ª‘≥¨ –,20111021,3.276,
601933.SH,”¿ª‘≥¨ –,20111024,3.3059,
601933.SH,”¿ª‘≥¨ –,20111025,3.5868,
601933.SH,”¿ª‘≥¨ –,20111026,3.5626,
601933.SH,”¿ª‘≥¨ –,20111027,3.5016,
601933.SH,”¿ª‘≥¨ –,20111028,3.5281,
601933.SH,”¿ª‘≥¨ –,20111031,3.6536,
601933.SH,”¿ª‘≥¨ –,20111101,3.7215,
601933.SH,”¿ª‘≥¨ –,20111102,3.8216,
601933.SH,”¿ª‘≥¨ –,20111103,3.7468,
601933.SH,”¿ª‘≥¨ –,20111104,3.7054,
601933.SH,”¿ª‘≥¨ –,20111107,3.7836,
601933.SH,”¿ª‘≥¨ –,20111108,3.7503,
601933.SH,”¿ª‘≥¨ –,20111109,3.7595,
601933.SH,”¿ª‘≥¨ –,20111110,3.7595,
601933.SH,”¿ª‘≥¨ –,20111111,3.6651,
601933.SH,”¿ª‘≥¨ –,20111114,3.6996,
601933.SH,”¿ª‘≥¨ –,20111115,3.7284,
601933.SH,”¿ª‘≥¨ –,20111116,3.6294,
601933.SH,”¿ª‘≥¨ –,20111117,3.6962,
601933.SH,”¿ª‘≥¨ –,20111118,3.657,
601933.SH,”¿ª‘≥¨ –,20111121,3.8021,
601933.SH,”¿ª‘≥¨ –,20111122,3.7836,
601933.SH,”¿ª‘≥¨ –,20111123,3.8297,
601933.SH,”¿ª‘≥¨ –,20111124,3.832,
601933.SH,”¿ª‘≥¨ –,20111125,3.7848,
601933.SH,”¿ª‘≥¨ –,20111128,3.6616,
601933.SH,”¿ª‘≥¨ –,20111129,3.7215,
601933.SH,”¿ª‘≥¨ –,20111130,3.5822,
601933.SH,”¿ª‘≥¨ –,20111201,3.6444,
601933.SH,”¿ª‘≥¨ –,20111202,3.6916,
601933.SH,”¿ª‘≥¨ –,20111205,3.619,
601933.SH,”¿ª‘≥¨ –,20111206,3.5569,
601933.SH,”¿ª‘≥¨ –,20111207,3.4291,
601933.SH,”¿ª‘≥¨ –,20111208,3.3612,
601933.SH,”¿ª‘≥¨ –,20111209,3.3198,
601933.SH,”¿ª‘≥¨ –,20111212,3.3531,
601933.SH,”¿ª‘≥¨ –,20111213,3.3382,
601933.SH,”¿ª‘≥¨ –,20111214,3.3543,
601933.SH,”¿ª‘≥¨ –,20111215,3.3923,
601933.SH,”¿ª‘≥¨ –,20111216,3.4936,
601933.SH,”¿ª‘≥¨ –,20111219,3.5223,
