代码,简称,日期,收盘价(元),
603156.SH,养元饮品,20180212,113.37,
603156.SH,养元饮品,20180213,102.03,
603156.SH,养元饮品,20180214,96.15,
603156.SH,养元饮品,20180222,91.08,
603156.SH,养元饮品,20180223,90.28,
603156.SH,养元饮品,20180226,91.39,
603156.SH,养元饮品,20180227,88.53,
603156.SH,养元饮品,20180228,81.91,
603156.SH,养元饮品,20180301,82.31,
603156.SH,养元饮品,20180302,80.89,
603156.SH,养元饮品,20180305,81.12,
603156.SH,养元饮品,20180306,82.05,
603156.SH,养元饮品,20180307,80.78,
603156.SH,养元饮品,20180308,80.98,
603156.SH,养元饮品,20180309,82.44,
603156.SH,养元饮品,20180312,85.02,
603156.SH,养元饮品,20180313,82.53,
603156.SH,养元饮品,20180314,82.96,
603156.SH,养元饮品,20180315,80.09,
603156.SH,养元饮品,20180316,79.86,
603156.SH,养元饮品,20180319,80.69,
603156.SH,养元饮品,20180320,79.79,
603156.SH,养元饮品,20180321,79.04,
603156.SH,养元饮品,20180322,77.97,
603156.SH,养元饮品,20180323,70.18,
603156.SH,养元饮品,20180326,68.93,
