ДњТы,МђГЦ,ШеЦк,ЪеХЬМл(дЊ),
600275.SH,*STВ§гу,20000810,6.2633,
600275.SH,*STВ§гу,20000811,6.2343,
600275.SH,*STВ§гу,20000814,6.3504,
600275.SH,*STВ§гу,20000815,6.5319,
600275.SH,*STВ§гу,20000816,6.4956,
600275.SH,*STВ§гу,20000817,6.452,
600275.SH,*STВ§гу,20000818,6.4811,
600275.SH,*STВ§гу,20000821,6.3867,
600275.SH,*STВ§гу,20000822,6.2815,
600275.SH,*STВ§гу,20000823,6.325,
600275.SH,*STВ§гу,20000824,6.2633,
600275.SH,*STВ§гу,20000825,6.3577,
600275.SH,*STВ§гу,20000828,6.3577,
600275.SH,*STВ§гу,20000829,6.4412,
600275.SH,*STВ§гу,20000830,6.3141,
600275.SH,*STВ§гу,20000831,6.1508,
600275.SH,*STВ§гу,20000901,6.1254,
600275.SH,*STВ§гу,20000904,6.169,
600275.SH,*STВ§гу,20000905,6.0057,
600275.SH,*STВ§гу,20000906,5.8605,
600275.SH,*STВ§гу,20000907,5.9077,
600275.SH,*STВ§гу,20000908,5.846,
600275.SH,*STВ§гу,20000911,5.915,
600275.SH,*STВ§гу,20000912,5.9077,
600275.SH,*STВ§гу,20000913,5.9077,
600275.SH,*STВ§гу,20000914,5.973,
600275.SH,*STВ§гу,20000915,5.9331,
600275.SH,*STВ§гу,20000918,5.817,
600275.SH,*STВ§гу,20000919,5.5739,
600275.SH,*STВ§гу,20000920,5.6029,
600275.SH,*STВ§гу,20000921,5.4868,
600275.SH,*STВ§гу,20000922,5.4577,
600275.SH,*STВ§гу,20000925,5.4396,
600275.SH,*STВ§гу,20000926,5.3961,
600275.SH,*STВ§гу,20000927,5.5158,
600275.SH,*STВ§гу,20000928,5.4251,
600275.SH,*STВ§гу,20000929,5.4868,
600275.SH,*STВ§гу,20001009,5.4759,
600275.SH,*STВ§гу,20001010,5.5666,
600275.SH,*STВ§гу,20001011,5.5339,
600275.SH,*STВ§гу,20001012,5.4287,
600275.SH,*STВ§гу,20001013,5.4723,
600275.SH,*STВ§гу,20001016,5.4723,
600275.SH,*STВ§гу,20001017,5.4142,
600275.SH,*STВ§гу,20001018,5.4577,
600275.SH,*STВ§гу,20001019,5.4287,
600275.SH,*STВ§гу,20001020,5.5847,
600275.SH,*STВ§гу,20001023,5.7081,
600275.SH,*STВ§гу,20001024,5.7299,
600275.SH,*STВ§гу,20001025,5.8388,
600275.SH,*STВ§гу,20001026,5.7299,
600275.SH,*STВ§гу,20001027,5.661,
600275.SH,*STВ§гу,20001030,5.6972,
600275.SH,*STВ§гу,20001031,5.5884,
600275.SH,*STВ§гу,20001101,5.6537,
600275.SH,*STВ§гу,20001102,5.6247,
600275.SH,*STВ§гу,20001103,5.6029,
600275.SH,*STВ§гу,20001106,5.7081,
600275.SH,*STВ§гу,20001107,5.7698,
600275.SH,*STВ§гу,20001108,5.7734,
600275.SH,*STВ§гу,20001109,5.7807,
600275.SH,*STВ§гу,20001110,5.788,
600275.SH,*STВ§гу,20001113,5.8351,
600275.SH,*STВ§гу,20001114,5.8569,
600275.SH,*STВ§гу,20001115,5.7734,
600275.SH,*STВ§гу,20001116,5.788,
600275.SH,*STВ§гу,20001117,5.8134,
600275.SH,*STВ§гу,20001120,5.7517,
600275.SH,*STВ§гу,20001121,5.7444,
600275.SH,*STВ§гу,20001122,5.8025,
600275.SH,*STВ§гу,20001123,5.9077,
600275.SH,*STВ§гу,20001124,5.7553,
600275.SH,*STВ§гу,20001127,5.6682,
600275.SH,*STВ§гу,20001128,5.7408,
600275.SH,*STВ§гу,20001129,5.6755,
600275.SH,*STВ§гу,20001130,5.7009,
600275.SH,*STВ§гу,20001201,5.8279,
600275.SH,*STВ§гу,20001204,5.846,
600275.SH,*STВ§гу,20001205,5.8968,
600275.SH,*STВ§гу,20001206,5.7807,
600275.SH,*STВ§гу,20001207,5.7226,
600275.SH,*STВ§гу,20001208,5.7626,
600275.SH,*STВ§гу,20001211,5.661,
600275.SH,*STВ§гу,20001212,5.7081,
600275.SH,*STВ§гу,20001213,5.7081,
600275.SH,*STВ§гу,20001214,5.6682,
600275.SH,*STВ§гу,20001215,5.621,
600275.SH,*STВ§гу,20001218,5.6791,
600275.SH,*STВ§гу,20001219,5.69,
600275.SH,*STВ§гу,20001220,5.7444,
600275.SH,*STВ§гу,20001221,5.7408,
600275.SH,*STВ§гу,20001222,5.6827,
600275.SH,*STВ§гу,20001225,5.6428,
600275.SH,*STВ§гу,20001226,5.817,
600275.SH,*STВ§гу,20001227,5.8751,
600275.SH,*STВ§гу,20001228,5.9005,
600275.SH,*STВ§гу,20001229,5.9767,
600275.SH,*STВ§гу,20010102,5.9767,
600275.SH,*STВ§гу,20010103,6.0166,
600275.SH,*STВ§гу,20010104,5.9912,
600275.SH,*STВ§гу,20010105,6.071,
600275.SH,*STВ§гу,20010108,6.0529,
600275.SH,*STВ§гу,20010109,5.9694,
600275.SH,*STВ§гу,20010110,6.0129,
600275.SH,*STВ§гу,20010111,6.0021,
600275.SH,*STВ§гу,20010112,5.9222,
600275.SH,*STВ§гу,20010115,5.6972,
600275.SH,*STВ§гу,20010116,5.8424,
600275.SH,*STВ§гу,20010117,5.846,
600275.SH,*STВ§гу,20010118,5.8787,
600275.SH,*STВ§гу,20010119,5.8859,
600275.SH,*STВ§гу,20010205,5.7553,
600275.SH,*STВ§гу,20010206,5.7662,
600275.SH,*STВ§гу,20010207,5.788,
600275.SH,*STВ§гу,20010208,5.6791,
600275.SH,*STВ§гу,20010209,5.7444,
600275.SH,*STВ§гу,20010212,5.661,
600275.SH,*STВ§гу,20010213,5.7045,
600275.SH,*STВ§гу,20010214,5.7118,
600275.SH,*STВ§гу,20010215,5.7118,
600275.SH,*STВ§гу,20010216,5.6791,
600275.SH,*STВ§гу,20010219,5.6864,
600275.SH,*STВ§гу,20010220,5.6791,
600275.SH,*STВ§гу,20010221,5.5085,
600275.SH,*STВ§гу,20010222,5.5267,
600275.SH,*STВ§гу,20010223,5.5811,
600275.SH,*STВ§гу,20010226,5.6646,
600275.SH,*STВ§гу,20010227,5.6464,
600275.SH,*STВ§гу,20010228,5.6356,
600275.SH,*STВ§гу,20010301,5.6936,
600275.SH,*STВ§гу,20010302,5.7118,
600275.SH,*STВ§гу,20010305,5.7081,
600275.SH,*STВ§гу,20010306,5.6972,
600275.SH,*STВ§гу,20010307,5.6791,
600275.SH,*STВ§гу,20010308,5.6718,
600275.SH,*STВ§гу,20010309,5.6936,
600275.SH,*STВ§гу,20010312,5.6646,
600275.SH,*STВ§гу,20010313,5.6537,
600275.SH,*STВ§гу,20010314,5.748,
600275.SH,*STВ§гу,20010315,5.8097,
600275.SH,*STВ§гу,20010316,5.7372,
600275.SH,*STВ§гу,20010319,5.7626,
600275.SH,*STВ§гу,20010320,5.7843,
600275.SH,*STВ§гу,20010321,5.7843,
600275.SH,*STВ§гу,20010322,5.8061,
600275.SH,*STВ§гу,20010323,5.7517,
600275.SH,*STВ§гу,20010326,5.8025,
600275.SH,*STВ§гу,20010327,5.8134,
600275.SH,*STВ§гу,20010328,5.8714,
600275.SH,*STВ§гу,20010329,5.8134,
600275.SH,*STВ§гу,20010330,5.8605,
600275.SH,*STВ§гу,20010402,5.8678,
600275.SH,*STВ§гу,20010403,5.8388,
600275.SH,*STВ§гу,20010404,5.7517,
600275.SH,*STВ§гу,20010405,5.7698,
600275.SH,*STВ§гу,20010406,5.7734,
600275.SH,*STВ§гу,20010409,5.7589,
600275.SH,*STВ§гу,20010410,5.8061,
