����,���,����,���̼�(Ԫ),
600234.SH,STɽˮ,20000615,8.194,
600234.SH,STɽˮ,20000616,8.2025,
600234.SH,STɽˮ,20000619,8.075,
600234.SH,STɽˮ,20000620,8.4362,
600234.SH,STɽˮ,20000621,8.5849,
600234.SH,STɽˮ,20000622,8.5849,
600234.SH,STɽˮ,20000623,8.6614,
600234.SH,STɽˮ,20000626,8.5424,
600234.SH,STɽˮ,20000627,8.4702,
600234.SH,STɽˮ,20000628,8.5339,
600234.SH,STɽˮ,20000629,8.4575,
600234.SH,STɽˮ,20000630,8.4192,
600234.SH,STɽˮ,20000703,8.2237,
600234.SH,STɽˮ,20000704,8.6912,
600234.SH,STɽˮ,20000705,8.8399,
600234.SH,STɽˮ,20000706,8.5424,
600234.SH,STɽˮ,20000707,8.6827,
600234.SH,STɽˮ,20000710,8.5042,
600234.SH,STɽˮ,20000711,8.4787,
600234.SH,STɽˮ,20000712,8.5424,
600234.SH,STɽˮ,20000713,8.7549,
600234.SH,STɽˮ,20000714,8.6487,
600234.SH,STɽˮ,20000717,8.6529,
600234.SH,STɽˮ,20000718,8.7124,
600234.SH,STɽˮ,20000719,8.7167,
600234.SH,STɽˮ,20000720,8.5424,
600234.SH,STɽˮ,20000721,8.5764,
600234.SH,STɽˮ,20000724,8.4405,
600234.SH,STɽˮ,20000725,8.2875,
600234.SH,STɽˮ,20000726,8.415,
600234.SH,STɽˮ,20000727,8.33,
600234.SH,STɽˮ,20000728,8.2237,
600234.SH,STɽˮ,20000731,8.075,
600234.SH,STɽˮ,20000801,8.2237,
600234.SH,STɽˮ,20000802,8.2237,
600234.SH,STɽˮ,20000803,8.245,
600234.SH,STɽˮ,20000804,8.0835,
600234.SH,STɽˮ,20000807,8.2322,
600234.SH,STɽˮ,20000808,8.1175,
600234.SH,STɽˮ,20000809,8.0962,
600234.SH,STɽˮ,20000810,8.1175,
600234.SH,STɽˮ,20000811,8.2237,
600234.SH,STɽˮ,20000814,8.245,
600234.SH,STɽˮ,20000815,8.1897,
600234.SH,STɽˮ,20000816,8.228,
600234.SH,STɽˮ,20000817,8.1812,
600234.SH,STɽˮ,20000818,8.211,
600234.SH,STɽˮ,20000821,8.16,
600234.SH,STɽˮ,20000822,8.1812,
600234.SH,STɽˮ,20000823,8.7337,
600234.SH,STɽˮ,20000824,8.7762,
600234.SH,STɽˮ,20000825,8.7974,
600234.SH,STɽˮ,20000828,8.7847,
600234.SH,STɽˮ,20000829,8.6274,
600234.SH,STɽˮ,20000830,8.5849,
600234.SH,STɽˮ,20000831,8.4787,
600234.SH,STɽˮ,20000901,8.4787,
600234.SH,STɽˮ,20000904,8.5,
600234.SH,STɽˮ,20000905,8.5339,
600234.SH,STɽˮ,20000906,8.415,
600234.SH,STɽˮ,20000907,8.5,
600234.SH,STɽˮ,20000908,8.5085,
600234.SH,STɽˮ,20000911,8.5552,
600234.SH,STɽˮ,20000912,8.5339,
600234.SH,STɽˮ,20000913,8.33,
600234.SH,STɽˮ,20000914,8.211,
600234.SH,STɽˮ,20000915,8.2577,
600234.SH,STɽˮ,20000918,8.0325,
600234.SH,STɽˮ,20000919,7.718,
600234.SH,STɽˮ,20000920,7.7477,
600234.SH,STɽˮ,20000921,7.5735,
600234.SH,STɽˮ,20000922,7.7095,
600234.SH,STɽˮ,20000925,7.7435,
600234.SH,STɽˮ,20000926,7.7562,
600234.SH,STɽˮ,20000927,7.8072,
600234.SH,STɽˮ,20000928,7.684,
600234.SH,STɽˮ,20000929,7.7775,
600234.SH,STɽˮ,20001009,7.9305,
600234.SH,STɽˮ,20001010,7.9815,
600234.SH,STɽˮ,20001011,7.7987,
600234.SH,STɽˮ,20001012,7.7902,
600234.SH,STɽˮ,20001013,7.7222,
600234.SH,STɽˮ,20001016,7.599,
600234.SH,STɽˮ,20001017,7.5862,
600234.SH,STɽˮ,20001018,7.6075,
600234.SH,STɽˮ,20001019,7.752,
600234.SH,STɽˮ,20001020,7.8625,
600234.SH,STɽˮ,20001023,8.0452,
600234.SH,STɽˮ,20001024,7.9815,
600234.SH,STɽˮ,20001025,8.1897,
600234.SH,STɽˮ,20001026,8.2025,
600234.SH,STɽˮ,20001027,8.1515,
600234.SH,STɽˮ,20001030,8.1982,
600234.SH,STɽˮ,20001031,8.0325,
600234.SH,STɽˮ,20001101,8.1345,
600234.SH,STɽˮ,20001102,8.1005,
600234.SH,STɽˮ,20001103,8.058,
600234.SH,STɽˮ,20001106,8.2875,
600234.SH,STɽˮ,20001107,8.4405,
600234.SH,STɽˮ,20001108,8.449,
600234.SH,STɽˮ,20001109,8.3512,
600234.SH,STɽˮ,20001110,8.3682,
600234.SH,STɽˮ,20001113,8.3512,
600234.SH,STɽˮ,20001114,8.3087,
600234.SH,STɽˮ,20001115,8.4235,
600234.SH,STɽˮ,20001116,8.4957,
600234.SH,STɽˮ,20001117,8.5339,
600234.SH,STɽˮ,20001120,8.4702,
600234.SH,STɽˮ,20001121,8.4532,
600234.SH,STɽˮ,20001122,8.4915,
600234.SH,STɽˮ,20001123,8.415,
600234.SH,STɽˮ,20001124,8.364,
600234.SH,STɽˮ,20001127,8.4915,
600234.SH,STɽˮ,20001128,8.5594,
600234.SH,STɽˮ,20001129,8.5085,
600234.SH,STɽˮ,20001130,8.9207,
600234.SH,STɽˮ,20001201,8.8994,
600234.SH,STɽˮ,20001204,8.9462,
600234.SH,STɽˮ,20001205,9.2309,
600234.SH,STɽˮ,20001206,9.0482,
600234.SH,STɽˮ,20001207,8.8187,
600234.SH,STɽˮ,20001208,8.8272,
600234.SH,STɽˮ,20001211,8.5849,
600234.SH,STɽˮ,20001212,8.6359,
600234.SH,STɽˮ,20001213,8.8357,
600234.SH,STɽˮ,20001214,8.7124,
600234.SH,STɽˮ,20001215,8.7124,
600234.SH,STɽˮ,20001218,8.8739,
600234.SH,STɽˮ,20001219,8.9589,
600234.SH,STɽˮ,20001220,9.0014,
600234.SH,STɽˮ,20001221,9.0949,
600234.SH,STɽˮ,20001222,9.0099,
600234.SH,STɽˮ,20001225,9.1289,
600234.SH,STɽˮ,20001226,9.0184,
600234.SH,STɽˮ,20001227,8.8017,
600234.SH,STɽˮ,20001228,8.8272,
600234.SH,STɽˮ,20001229,8.9037,
600234.SH,STɽˮ,20010102,8.9972,
600234.SH,STɽˮ,20010103,9.0949,
600234.SH,STɽˮ,20010104,9.1119,
600234.SH,STɽˮ,20010105,9.1587,
600234.SH,STɽˮ,20010108,8.9462,
600234.SH,STɽˮ,20010109,9.1119,
600234.SH,STɽˮ,20010110,9.1162,
600234.SH,STɽˮ,20010111,9.2309,
600234.SH,STɽˮ,20010112,9.1672,
600234.SH,STɽˮ,20010115,8.6784,
600234.SH,STɽˮ,20010116,8.7082,
600234.SH,STɽˮ,20010117,8.398,
600234.SH,STɽˮ,20010118,8.3427,
600234.SH,STɽˮ,20010119,8.4872,
600234.SH,STɽˮ,20010205,8.1175,
600234.SH,STɽˮ,20010206,8.007,
600234.SH,STɽˮ,20010207,7.871,
600234.SH,STɽˮ,20010208,7.5905,
600234.SH,STɽˮ,20010209,7.7817,
600234.SH,STɽˮ,20010212,7.905,
600234.SH,STɽˮ,20010213,7.9135,
600234.SH,STɽˮ,20010214,7.871,
600234.SH,STɽˮ,20010215,7.7435,
600234.SH,STɽˮ,20010216,7.82,
600234.SH,STɽˮ,20010219,7.99,
600234.SH,STɽˮ,20010220,7.871,
600234.SH,STɽˮ,20010221,7.6925,
600234.SH,STɽˮ,20010222,7.6712,
600234.SH,STɽˮ,20010223,7.8922,
600234.SH,STɽˮ,20010226,7.9262,
600234.SH,STɽˮ,20010227,7.9517,
600234.SH,STɽˮ,20010228,7.9475,
600234.SH,STɽˮ,20010301,7.956,
600234.SH,STɽˮ,20010302,8.0282,
600234.SH,STɽˮ,20010305,7.939,
600234.SH,STɽˮ,20010306,7.9135,
600234.SH,STɽˮ,20010307,7.8837,
600234.SH,STɽˮ,20010308,7.9092,
600234.SH,STɽˮ,20010309,8.0325,
600234.SH,STɽˮ,20010312,8.075,
600234.SH,STɽˮ,20010313,7.99,
600234.SH,STɽˮ,20010314,8.0495,
600234.SH,STɽˮ,20010315,8.0325,
600234.SH,STɽˮ,20010316,7.9262,
600234.SH,STɽˮ,20010319,7.939,
600234.SH,STɽˮ,20010320,8.109,
600234.SH,STɽˮ,20010321,8.1345,
600234.SH,STɽˮ,20010322,8.2832,
600234.SH,STɽˮ,20010323,8.0707,
600234.SH,STɽˮ,20010326,8.1982,
600234.SH,STɽˮ,20010327,8.296,
600234.SH,STɽˮ,20010328,8.228,
600234.SH,STɽˮ,20010329,8.16,
600234.SH,STɽˮ,20010330,8.262,
600234.SH,STɽˮ,20010402,8.6487,
600234.SH,STɽˮ,20010403,8.5722,
600234.SH,STɽˮ,20010404,8.33,
600234.SH,STɽˮ,20010405,8.483,
600234.SH,STɽˮ,20010406,8.432,
600234.SH,STɽˮ,20010409,8.6657,
600234.SH,STɽˮ,20010410,8.5892,
600234.SH,STɽˮ,20010411,8.5,
600234.SH,STɽˮ,20010412,8.415,
600234.SH,STɽˮ,20010413,8.4192,
600234.SH,STɽˮ,20010416,8.5,
600234.SH,STɽˮ,20010417,8.5849,
600234.SH,STɽˮ,20010418,8.6529,
600234.SH,STɽˮ,20010419,8.6062,
600234.SH,STɽˮ,20010420,8.415,
600234.SH,STɽˮ,20010423,8.3937,
600234.SH,STɽˮ,20010424,8.4787,
600234.SH,STɽˮ,20010425,8.2365,
600234.SH,STɽˮ,20010426,8.1387,
600234.SH,STɽˮ,20010427,8.1047,
600234.SH,STɽˮ,20010430,8.211,
600234.SH,STɽˮ,20010508,8.245,
600234.SH,STɽˮ,20010509,8.1812,
600234.SH,STɽˮ,20010510,8.2535,
600234.SH,STɽˮ,20010511,8.3215,
600234.SH,STɽˮ,20010514,8.4617,
600234.SH,STɽˮ,20010515,8.4745,
600234.SH,STɽˮ,20010516,8.5764,
600234.SH,STɽˮ,20010517,8.5,
600234.SH,STɽˮ,20010518,8.5637,
600234.SH,STɽˮ,20010521,8.7507,
600234.SH,STɽˮ,20010522,8.6699,
600234.SH,STɽˮ,20010523,8.7847,
600234.SH,STɽˮ,20010524,8.8569,
600234.SH,STɽˮ,20010525,8.8357,
600234.SH,STɽˮ,20010528,8.7592,
600234.SH,STɽˮ,20010529,8.6529,
600234.SH,STɽˮ,20010530,8.9249,
600234.SH,STɽˮ,20010531,9.0354,
600234.SH,STɽˮ,20010601,9.0184,
600234.SH,STɽˮ,20010604,9.1544,
600234.SH,STɽˮ,20010605,9.2649,
600234.SH,STɽˮ,20010606,9.2522,
600234.SH,STɽˮ,20010607,9.0269,
