¥˙¬Î,ºÚ≥∆,»’∆⁄, ’≈Ãº€(‘™),
603398.SH,∞Ó±¶“Ê÷«,20151209,9.0918,
603398.SH,∞Ó±¶“Ê÷«,20151210,10.0001,
603398.SH,∞Ó±¶“Ê÷«,20151211,10.9988,
603398.SH,∞Ó±¶“Ê÷«,20151214,12.0969,
603398.SH,∞Ó±¶“Ê÷«,20151215,13.3079,
603398.SH,∞Ó±¶“Ê÷«,20151216,14.641,
603398.SH,∞Ó±¶“Ê÷«,20151217,16.105,
603398.SH,∞Ó±¶“Ê÷«,20151218,17.7137,
603398.SH,∞Ó±¶“Ê÷«,20151221,19.4851,
603398.SH,∞Ó±¶“Ê÷«,20151222,21.4327,
603398.SH,∞Ó±¶“Ê÷«,20151223,23.5746,
603398.SH,∞Ó±¶“Ê÷«,20151224,25.9335,
603398.SH,∞Ó±¶“Ê÷«,20151225,28.5273,
603398.SH,∞Ó±¶“Ê÷«,20151228,31.3786,
603398.SH,∞Ó±¶“Ê÷«,20151229,34.5147,
603398.SH,∞Ó±¶“Ê÷«,20151230,37.9671,
603398.SH,∞Ó±¶“Ê÷«,20151231,41.7629,
603398.SH,∞Ó±¶“Ê÷«,20160104,45.9382,
603398.SH,∞Ó±¶“Ê÷«,20160105,50.5339,
603398.SH,∞Ó±¶“Ê÷«,20160106,55.5859,
603398.SH,∞Ó±¶“Ê÷«,20160107,50.335,
603398.SH,∞Ó±¶“Ê÷«,20160108,45.3282,
603398.SH,∞Ó±¶“Ê÷«,20160111,41.2342,
603398.SH,∞Ó±¶“Ê÷«,20160112,41.9165,
603398.SH,∞Ó±¶“Ê÷«,20160113,40.1632,
603398.SH,∞Ó±¶“Ê÷«,20160114,41.4737,
603398.SH,∞Ó±¶“Ê÷«,20160115,38.6449,
603398.SH,∞Ó±¶“Ê÷«,20160118,41.7583,
603398.SH,∞Ó±¶“Ê÷«,20160119,42.4271,
603398.SH,∞Ó±¶“Ê÷«,20160120,40.5247,
603398.SH,∞Ó±¶“Ê÷«,20160121,36.4713,
603398.SH,∞Ó±¶“Ê÷«,20160122,37.0091,
603398.SH,∞Ó±¶“Ê÷«,20160125,37.0678,
603398.SH,∞Ó±¶“Ê÷«,20160126,33.3624,
603398.SH,∞Ó±¶“Ê÷«,20160127,32.8698,
603398.SH,∞Ó±¶“Ê÷«,20160128,29.5847,
603398.SH,∞Ó±¶“Ê÷«,20160129,30.6466,
603398.SH,∞Ó±¶“Ê÷«,20160201,30.8228,
603398.SH,∞Ó±¶“Ê÷«,20160202,31.5278,
603398.SH,∞Ó±¶“Ê÷«,20160203,32.0745,
603398.SH,∞Ó±¶“Ê÷«,20160204,34.5373,
603398.SH,∞Ó±¶“Ê÷«,20160205,33.1952,
603398.SH,∞Ó±¶“Ê÷«,20160215,33.873,
