旗鷹,酒各,晩豚,辺徒勺(圷),
002517.SZ,磊哂利大,20110623,4.4193,
002517.SZ,磊哂利大,20110624,4.5153,
002517.SZ,磊哂利大,20110627,4.5448,
002517.SZ,磊哂利大,20110628,4.8058,
002517.SZ,磊哂利大,20110629,4.6162,
002517.SZ,磊哂利大,20110630,4.6187,
002517.SZ,磊哂利大,20110701,4.6999,
002517.SZ,磊哂利大,20110704,4.7541,
002517.SZ,磊哂利大,20110705,4.7664,
002517.SZ,磊哂利大,20110706,4.7885,
002517.SZ,磊哂利大,20110707,4.8082,
002517.SZ,磊哂利大,20110708,4.7812,
002517.SZ,磊哂利大,20110711,4.7836,
002517.SZ,磊哂利大,20110712,4.6408,
002517.SZ,磊哂利大,20110713,4.7639,
002517.SZ,磊哂利大,20110714,5.2416,
002517.SZ,磊哂利大,20110715,5.5271,
002517.SZ,磊哂利大,20110718,5.6133,
002517.SZ,磊哂利大,20110719,5.5025,
002517.SZ,磊哂利大,20110720,5.6822,
002517.SZ,磊哂利大,20110721,5.729,
002517.SZ,磊哂利大,20110722,5.83,
002517.SZ,磊哂利大,20110725,5.7438,
002517.SZ,磊哂利大,20110726,5.5813,
002517.SZ,磊哂利大,20110727,5.6552,
002517.SZ,磊哂利大,20110728,5.5788,
002517.SZ,磊哂利大,20110729,5.7733,
002517.SZ,磊哂利大,20110801,6.0343,
002517.SZ,磊哂利大,20110802,5.9087,
002517.SZ,磊哂利大,20110803,5.9334,
002517.SZ,磊哂利大,20110804,5.9654,
002517.SZ,磊哂利大,20110805,5.798,
002517.SZ,磊哂利大,20110808,5.2317,
002517.SZ,磊哂利大,20110809,5.0298,
002517.SZ,磊哂利大,20110810,5.0077,
002517.SZ,磊哂利大,20110811,5.1825,
002517.SZ,磊哂利大,20110812,5.34,
002517.SZ,磊哂利大,20110815,5.3917,
002517.SZ,磊哂利大,20110816,5.3129,
002517.SZ,磊哂利大,20110817,5.2268,
002517.SZ,磊哂利大,20110818,5.0717,
002517.SZ,磊哂利大,20110819,4.9806,
002517.SZ,磊哂利大,20110822,4.9707,
002517.SZ,磊哂利大,20110823,5.1135,
002517.SZ,磊哂利大,20110824,5.1135,
002517.SZ,磊哂利大,20110825,5.1898,
002517.SZ,磊哂利大,20110826,5.2416,
002517.SZ,磊哂利大,20110829,5.3105,
002517.SZ,磊哂利大,20110830,5.1923,
002517.SZ,磊哂利大,20110831,5.0618,
002517.SZ,磊哂利大,20110901,5.0544,
002517.SZ,磊哂利大,20110902,5.0003,
002517.SZ,磊哂利大,20110905,4.7713,
002517.SZ,磊哂利大,20110906,4.7295,
002517.SZ,磊哂利大,20110907,4.8304,
002517.SZ,磊哂利大,20110908,4.8993,
002517.SZ,磊哂利大,20110909,4.8452,
002517.SZ,磊哂利大,20110913,4.7171,
002517.SZ,磊哂利大,20110914,4.7171,
002517.SZ,磊哂利大,20110915,4.695,
002517.SZ,磊哂利大,20110916,4.6876,
002517.SZ,磊哂利大,20110919,4.5694,
002517.SZ,磊哂利大,20110920,4.5374,
002517.SZ,磊哂利大,20110921,4.6531,
002517.SZ,磊哂利大,20110922,4.4414,
002517.SZ,磊哂利大,20110923,4.3454,
002517.SZ,磊哂利大,20110926,4.2395,
002517.SZ,磊哂利大,20110927,4.5547,
002517.SZ,磊哂利大,20110928,4.5768,
002517.SZ,磊哂利大,20110929,4.2641,
002517.SZ,磊哂利大,20110930,4.2592,
002517.SZ,磊哂利大,20111010,4.2617,
