ДњТы,МђГЦ,ШеЦк,ЪеХЬМл(дЊ),
002287.SZ,Цце§ВивЉ,20090828,21.7468,
002287.SZ,Цце§ВивЉ,20090831,19.5731,
002287.SZ,Цце§ВивЉ,20090901,17.6957,
002287.SZ,Цце§ВивЉ,20090902,17.4083,
002287.SZ,Цце§ВивЉ,20090903,17.8753,
002287.SZ,Цце§ВивЉ,20090904,17.9292,
002287.SZ,Цце§ВивЉ,20090907,19.088,
002287.SZ,Цце§ВивЉ,20090908,18.9982,
002287.SZ,Цце§ВивЉ,20090909,20.9025,
002287.SZ,Цце§ВивЉ,20090910,22.5912,
002287.SZ,Цце§ВивЉ,20090911,23.0044,
002287.SZ,Цце§ВивЉ,20090914,24.253,
002287.SZ,Цце§ВивЉ,20090915,23.3188,
002287.SZ,Цце§ВивЉ,20090916,23.4895,
002287.SZ,Цце§ВивЉ,20090917,23.3547,
002287.SZ,Цце§ВивЉ,20090918,23.5434,
002287.SZ,Цце§ВивЉ,20090921,22.9056,
002287.SZ,Цце§ВивЉ,20090922,21.7199,
002287.SZ,Цце§ВивЉ,20090923,21.8097,
002287.SZ,Цце§ВивЉ,20090924,20.8396,
002287.SZ,Цце§ВивЉ,20090925,21.0103,
002287.SZ,Цце§ВивЉ,20090928,20.6869,
002287.SZ,Цце§ВивЉ,20090929,19.6719,
002287.SZ,Цце§ВивЉ,20090930,19.6988,
002287.SZ,Цце§ВивЉ,20091009,20.9115,
002287.SZ,Цце§ВивЉ,20091012,20.6779,
002287.SZ,Цце§ВивЉ,20091013,22.1421,
002287.SZ,Цце§ВивЉ,20091014,22.1151,
002287.SZ,Цце§ВивЉ,20091015,21.9624,
002287.SZ,Цце§ВивЉ,20091016,22.3846,
002287.SZ,Цце§ВивЉ,20091019,22.6451,
002287.SZ,Цце§ВивЉ,20091020,23.3637,
002287.SZ,Цце§ВивЉ,20091021,22.5912,
002287.SZ,Цце§ВивЉ,20091022,23.0942,
002287.SZ,Цце§ВивЉ,20091023,23.1032,
002287.SZ,Цце§ВивЉ,20091026,23.8488,
002287.SZ,Цце§ВивЉ,20091027,22.4116,
002287.SZ,Цце§ВивЉ,20091028,23.0134,
002287.SZ,Цце§ВивЉ,20091029,22.5463,
002287.SZ,Цце§ВивЉ,20091030,22.5553,
002287.SZ,Цце§ВивЉ,20091102,22.9146,
002287.SZ,Цце§ВивЉ,20091103,22.7259,
002287.SZ,Цце§ВивЉ,20091104,22.8876,
002287.SZ,Цце§ВивЉ,20091105,23.3278,
002287.SZ,Цце§ВивЉ,20091106,22.9685,
002287.SZ,Цце§ВивЉ,20091109,23.1032,
002287.SZ,Цце§ВивЉ,20091110,22.9864,
002287.SZ,Цце§ВивЉ,20091111,22.5193,
002287.SZ,Цце§ВивЉ,20091112,22.3936,
002287.SZ,Цце§ВивЉ,20091113,22.708,
002287.SZ,Цце§ВивЉ,20091116,23.0493,
002287.SZ,Цце§ВивЉ,20091117,24.4865,
002287.SZ,Цце§ВивЉ,20091118,24.8818,
002287.SZ,Цце§ВивЉ,20091119,24.5764,
002287.SZ,Цце§ВивЉ,20091120,24.7021,
002287.SZ,Цце§ВивЉ,20091123,24.6123,
002287.SZ,Цце§ВивЉ,20091124,23.6242,
002287.SZ,Цце§ВивЉ,20091125,23.9386,
002287.SZ,Цце§ВивЉ,20091126,22.2858,
002287.SZ,Цце§ВивЉ,20091127,21.7019,
002287.SZ,Цце§ВивЉ,20091130,22.2319,
002287.SZ,Цце§ВивЉ,20091201,22.699,
002287.SZ,Цце§ВивЉ,20091202,22.8876,
002287.SZ,Цце§ВивЉ,20091203,22.9954,
002287.SZ,Цце§ВивЉ,20091204,22.4295,
002287.SZ,Цце§ВивЉ,20091207,22.5643,
002287.SZ,Цце§ВивЉ,20091208,22.2229,
002287.SZ,Цце§ВивЉ,20091209,21.7468,
002287.SZ,Цце§ВивЉ,20091210,22.1331,
002287.SZ,Цце§ВивЉ,20091211,21.8816,
002287.SZ,Цце§ВивЉ,20091214,21.6211,
002287.SZ,Цце§ВивЉ,20091215,21.7019,
002287.SZ,Цце§ВивЉ,20091216,22.5463,
002287.SZ,Цце§ВивЉ,20091217,21.9355,
002287.SZ,Цце§ВивЉ,20091218,22.0792,
002287.SZ,Цце§ВивЉ,20091221,22.5373,
002287.SZ,Цце§ВивЉ,20091222,21.1989,
002287.SZ,Цце§ВивЉ,20091223,21.0642,
002287.SZ,Цце§ВивЉ,20091224,21.3875,
002287.SZ,Цце§ВивЉ,20091225,21.3875,
002287.SZ,Цце§ВивЉ,20091228,21.4684,
002287.SZ,Цце§ВивЉ,20091229,21.4145,
002287.SZ,Цце§ВивЉ,20091230,21.4414,
002287.SZ,Цце§ВивЉ,20091231,21.6929,
002287.SZ,Цце§ВивЉ,20100104,21.7558,
002287.SZ,Цце§ВивЉ,20100105,21.8007,
002287.SZ,Цце§ВивЉ,20100106,21.7648,
002287.SZ,Цце§ВивЉ,20100107,21.0013,
002287.SZ,Цце§ВивЉ,20100108,20.9564,
002287.SZ,Цце§ВивЉ,20100111,22.4385,
002287.SZ,Цце§ВивЉ,20100112,22.5283,
002287.SZ,Цце§ВивЉ,20100113,22.2499,
