旗鷹,酒各,晩豚,辺徒勺(圷),
300533.SZ,甥寒利大,20160818,52.8695,
300533.SZ,甥寒利大,20160819,58.1554,
300533.SZ,甥寒利大,20160822,63.967,
300533.SZ,甥寒利大,20160823,70.3637,
300533.SZ,甥寒利大,20160824,77.4051,
300533.SZ,甥寒利大,20160825,85.1505,
300533.SZ,甥寒利大,20160826,93.6695,
300533.SZ,甥寒利大,20160829,103.0415,
300533.SZ,甥寒利大,20160830,113.3456,
300533.SZ,甥寒利大,20160831,124.6812,
300533.SZ,甥寒利大,20160901,137.1473,
300533.SZ,甥寒利大,20160902,150.863,
300533.SZ,甥寒利大,20160905,165.9473,
300533.SZ,甥寒利大,20160906,180.9325,
300533.SZ,甥寒利大,20160907,175.8052,
300533.SZ,甥寒利大,20160908,177.4217,
300533.SZ,甥寒利大,20160909,165.6201,
300533.SZ,甥寒利大,20160912,165.3027,
300533.SZ,甥寒利大,20160913,160.463,
300533.SZ,甥寒利大,20160914,159.0746,
300533.SZ,甥寒利大,20160919,157.0019,
300533.SZ,甥寒利大,20160920,157.4085,
300533.SZ,甥寒利大,20160921,156.1986,
300533.SZ,甥寒利大,20160922,154.701,
300533.SZ,甥寒利大,20160923,151.7655,
300533.SZ,甥寒利大,20160926,144.3175,
300533.SZ,甥寒利大,20160927,147.4118,
300533.SZ,甥寒利大,20160928,143.7919,
300533.SZ,甥寒利大,20160929,145.7754,
300533.SZ,甥寒利大,20160930,144.9027,
300533.SZ,甥寒利大,20161010,159.3919,
300533.SZ,甥寒利大,20161011,160.1655,
300533.SZ,甥寒利大,20161012,160.463,
300533.SZ,甥寒利大,20161013,157.4581,
300533.SZ,甥寒利大,20161014,158.6779,
300533.SZ,甥寒利大,20161017,151.0415,
300533.SZ,甥寒利大,20161018,153.5903,
300533.SZ,甥寒利大,20161019,151.2002,
300533.SZ,甥寒利大,20161020,148.5721,
300533.SZ,甥寒利大,20161021,149.4944,
300533.SZ,甥寒利大,20161024,149.9407,
300533.SZ,甥寒利大,20161025,152.1523,
300533.SZ,甥寒利大,20161026,150.5357,
300533.SZ,甥寒利大,20161027,151.6266,
300533.SZ,甥寒利大,20161028,147.5506,
300533.SZ,甥寒利大,20161031,147.749,
300533.SZ,甥寒利大,20161101,152.6085,
300533.SZ,甥寒利大,20161102,151.2101,
300533.SZ,甥寒利大,20161103,150.8432,
300533.SZ,甥寒利大,20161104,157.2498,
300533.SZ,甥寒利大,20161107,155.4052,
300533.SZ,甥寒利大,20161108,157.1903,
300533.SZ,甥寒利大,20161109,157.4283,
300533.SZ,甥寒利大,20161110,161.901,
300533.SZ,甥寒利大,20161111,159.868,
300533.SZ,甥寒利大,20161114,161.6234,
300533.SZ,甥寒利大,20161115,156.9919,
300533.SZ,甥寒利大,20161116,154.0961,
300533.SZ,甥寒利大,20161117,153.2233,
300533.SZ,甥寒利大,20161118,158.549,
300533.SZ,甥寒利大,20161121,161.6333,
300533.SZ,甥寒利大,20161122,166.6911,
300533.SZ,甥寒利大,20161123,162.744,
300533.SZ,甥寒利大,20161124,164.5986,
300533.SZ,甥寒利大,20161125,164.8267,
300533.SZ,甥寒利大,20161128,158.1225,
300533.SZ,甥寒利大,20161129,156.387,
300533.SZ,甥寒利大,20161130,157.944,
300533.SZ,甥寒利大,20161201,156.8928,
300533.SZ,甥寒利大,20161202,148.7605,
300533.SZ,甥寒利大,20161205,147.0349,
300533.SZ,甥寒利大,20161206,146.5589,
300533.SZ,甥寒利大,20161207,147.2233,
300533.SZ,甥寒利大,20161208,144.9919,
300533.SZ,甥寒利大,20161209,141.0349,
300533.SZ,甥寒利大,20161212,126.9324,
300533.SZ,甥寒利大,20161213,126.2679,
300533.SZ,甥寒利大,20161214,123.2729,
300533.SZ,甥寒利大,20161215,125.0481,
300533.SZ,甥寒利大,20161216,125.3555,
300533.SZ,甥寒利大,20161219,123.3324,
300533.SZ,甥寒利大,20161220,123.9671,
300533.SZ,甥寒利大,20161221,125.2564,
300533.SZ,甥寒利大,20161222,125.2365,
300533.SZ,甥寒利大,20161223,119.9208,
300533.SZ,甥寒利大,20161226,119.8018,
300533.SZ,甥寒利大,20161227,119.5043,
300533.SZ,甥寒利大,20161228,120.496,
300533.SZ,甥寒利大,20161229,118.5126,
300533.SZ,甥寒利大,20161230,118.5126,
300533.SZ,甥寒利大,20170103,119.663,
300533.SZ,甥寒利大,20170104,121.2795,
300533.SZ,甥寒利大,20170105,118.5126,
300533.SZ,甥寒利大,20170106,112.3638,
300533.SZ,甥寒利大,20170109,112.5423,
300533.SZ,甥寒利大,20170110,111.1439,
300533.SZ,甥寒利大,20170111,106.6712,
300533.SZ,甥寒利大,20170112,107.1076,
300533.SZ,甥寒利大,20170113,101.5241,
300533.SZ,甥寒利大,20170116,93.2431,
300533.SZ,甥寒利大,20170117,97.5869,
300533.SZ,甥寒利大,20170118,94.1158,
300533.SZ,甥寒利大,20170119,96.0993,
300533.SZ,甥寒利大,20170120,98.5985,
300533.SZ,甥寒利大,20170123,98.6977,
300533.SZ,甥寒利大,20170124,96.2183,
300533.SZ,甥寒利大,20170125,99.9472,
300533.SZ,甥寒利大,20170126,99.7786,
300533.SZ,甥寒利大,20170203,98.5687,
300533.SZ,甥寒利大,20170206,100.3142,
300533.SZ,甥寒利大,20170207,97.9836,
300533.SZ,甥寒利大,20170208,99.4613,
300533.SZ,甥寒利大,20170209,100.3638,
300533.SZ,甥寒利大,20170210,97.8745,
300533.SZ,甥寒利大,20170213,99.6894,
300533.SZ,甥寒利大,20170214,99.7687,
300533.SZ,甥寒利大,20170215,100.0167,
300533.SZ,甥寒利大,20170216,98.5985,
300533.SZ,甥寒利大,20170217,96.4167,
300533.SZ,甥寒利大,20170220,96.139,
300533.SZ,甥寒利大,20170221,97.8844,
300533.SZ,甥寒利大,20170222,97.5472,
300533.SZ,甥寒利大,20170223,98.6977,
300533.SZ,甥寒利大,20170224,103.1803,
300533.SZ,甥寒利大,20170227,101.1572,
300533.SZ,甥寒利大,20170228,101.9505,
300533.SZ,甥寒利大,20170301,102.3472,
300533.SZ,甥寒利大,20170302,100.9687,
300533.SZ,甥寒利大,20170303,101.8811,
300533.SZ,甥寒利大,20170306,105.382,
300533.SZ,甥寒利大,20170307,109.8844,
300533.SZ,甥寒利大,20170308,109.1902,
300533.SZ,甥寒利大,20170309,110.1621,
300533.SZ,甥寒利大,20170310,110.7274,
300533.SZ,甥寒利大,20170313,117.6894,
300533.SZ,甥寒利大,20170314,117.6696,
300533.SZ,甥寒利大,20170315,116.539,
300533.SZ,甥寒利大,20170316,117.6101,
300533.SZ,甥寒利大,20170317,114.5258,
300533.SZ,甥寒利大,20170320,113.8117,
300533.SZ,甥寒利大,20170321,115.7853,
300533.SZ,甥寒利大,20170322,117.0944,
300533.SZ,甥寒利大,20170323,116.1423,
300533.SZ,甥寒利大,20170324,116.9357,
300533.SZ,甥寒利大,20170327,115.2597,
300533.SZ,甥寒利大,20170328,107.5638,
300533.SZ,甥寒利大,20170329,103.6563,
300533.SZ,甥寒利大,20170330,99.2927,
300533.SZ,甥寒利大,20170331,99.3224,
300533.SZ,甥寒利大,20170405,100.3836,
300533.SZ,甥寒利大,20170406,100.5423,
300533.SZ,甥寒利大,20170407,99.0646,
300533.SZ,甥寒利大,20170410,89.1571,
300533.SZ,甥寒利大,20170411,91.091,
300533.SZ,甥寒利大,20170412,89.296,
300533.SZ,甥寒利大,20170413,89.3555,
300533.SZ,甥寒利大,20170414,91.339,
300533.SZ,甥寒利大,20170417,90.3373,
300533.SZ,甥寒利大,20170418,90.2183,
300533.SZ,甥寒利大,20170419,92.7373,
300533.SZ,甥寒利大,20170420,92.3605,
300533.SZ,甥寒利大,20170421,93.1935,
300533.SZ,甥寒利大,20170424,93.5704,
300533.SZ,甥寒利大,20170425,93.7191,
