╢ЗбК,╪РЁф,хуфз,йуел╪ш(т╙),
603385.SH,╩щ╢Онют║,20170405,19.11,
603385.SH,╩щ╢Онют║,20170406,21.02,
603385.SH,╩щ╢Онют║,20170407,23.12,
603385.SH,╩щ╢Онют║,20170410,25.43,
603385.SH,╩щ╢Онют║,20170411,27.97,
603385.SH,╩щ╢Онют║,20170412,30.77,
603385.SH,╩щ╢Онют║,20170413,33.85,
603385.SH,╩щ╢Онют║,20170414,37.24,
603385.SH,╩щ╢Онют║,20170417,33.52,
603385.SH,╩щ╢Онют║,20170418,31.44,
603385.SH,╩щ╢Онют║,20170419,32.05,
603385.SH,╩щ╢Онют║,20170420,29.38,
603385.SH,╩щ╢Онют║,20170421,28.51,
603385.SH,╩щ╢Онют║,20170424,28.77,
603385.SH,╩щ╢Онют║,20170425,28.84,
603385.SH,╩щ╢Онют║,20170426,29.59,
603385.SH,╩щ╢Онют║,20170427,31.54,
603385.SH,╩щ╢Онют║,20170428,31.31,
603385.SH,╩щ╢Онют║,20170502,31.97,
603385.SH,╩щ╢Онют║,20170503,31.11,
603385.SH,╩щ╢Онют║,20170504,31.18,
603385.SH,╩щ╢Онют║,20170505,28.98,
603385.SH,╩щ╢Онют║,20170508,26.81,
603385.SH,╩щ╢Онют║,20170509,27.26,
603385.SH,╩щ╢Онют║,20170510,26.4,
603385.SH,╩щ╢Онют║,20170511,27.51,
603385.SH,╩щ╢Онют║,20170512,28.34,
603385.SH,╩щ╢Онют║,20170515,27.9,
603385.SH,╩щ╢Онют║,20170516,29.06,
603385.SH,╩щ╢Онют║,20170517,28.93,
603385.SH,╩щ╢Онют║,20170518,27.71,
603385.SH,╩щ╢Онют║,20170519,27.72,
603385.SH,╩щ╢Онют║,20170522,30.49,
603385.SH,╩щ╢Онют║,20170523,30.04,
603385.SH,╩щ╢Онют║,20170524,29.4,
603385.SH,╩щ╢Онют║,20170525,32.34,
603385.SH,╩щ╢Онют║,20170526,33.12,
603385.SH,╩щ╢Онют║,20170531,31.13,
603385.SH,╩щ╢Онют║,20170601,28.25,
603385.SH,╩щ╢Онют║,20170602,29.45,
603385.SH,╩щ╢Онют║,20170605,29.35,
603385.SH,╩щ╢Онют║,20170606,28.8,
603385.SH,╩щ╢Онют║,20170607,30.92,
603385.SH,╩щ╢Онют║,20170608,30.17,
603385.SH,╩щ╢Онют║,20170609,31.01,
603385.SH,╩щ╢Онют║,20170612,29.74,
603385.SH,╩щ╢Онют║,20170613,30.17,
