代码,简称,日期,收盘价(元),
300149.SZ,量子高科,20101222,6.5348,
300149.SZ,量子高科,20101223,5.9308,
300149.SZ,量子高科,20101224,5.6549,
300149.SZ,量子高科,20101227,5.3961,
300149.SZ,量子高科,20101228,5.3036,
300149.SZ,量子高科,20101229,5.3899,
300149.SZ,量子高科,20101230,5.3206,
300149.SZ,量子高科,20101231,5.3499,
300149.SZ,量子高科,20110104,5.5486,
300149.SZ,量子高科,20110105,5.47,
300149.SZ,量子高科,20110106,5.373,
300149.SZ,量子高科,20110107,5.4469,
300149.SZ,量子高科,20110110,5.2358,
300149.SZ,量子高科,20110111,5.0725,
300149.SZ,量子高科,20110112,5.1049,
300149.SZ,量子高科,20110113,5.0787,
300149.SZ,量子高科,20110114,4.8876,
300149.SZ,量子高科,20110117,4.6102,
300149.SZ,量子高科,20110118,4.6411,
300149.SZ,量子高科,20110119,4.715,
300149.SZ,量子高科,20110120,4.4885,
300149.SZ,量子高科,20110121,4.4993,
300149.SZ,量子高科,20110124,4.4007,
300149.SZ,量子高科,20110125,4.4454,
300149.SZ,量子高科,20110126,4.5471,
300149.SZ,量子高科,20110127,4.5763,
300149.SZ,量子高科,20110128,4.6164,
300149.SZ,量子高科,20110131,4.6102,
300149.SZ,量子高科,20110201,4.5856,
300149.SZ,量子高科,20110209,4.4377,
300149.SZ,量子高科,20110210,4.6488,
300149.SZ,量子高科,20110211,4.7243,
300149.SZ,量子高科,20110214,4.7797,
300149.SZ,量子高科,20110215,4.7381,
300149.SZ,量子高科,20110216,4.7951,
300149.SZ,量子高科,20110217,4.826,
300149.SZ,量子高科,20110218,4.8814,
300149.SZ,量子高科,20110221,5.0694,
300149.SZ,量子高科,20110222,4.8891,
300149.SZ,量子高科,20110223,4.9107,
300149.SZ,量子高科,20110224,4.8614,
300149.SZ,量子高科,20110225,4.7797,
300149.SZ,量子高科,20110228,4.8321,
300149.SZ,量子高科,20110301,4.8552,
300149.SZ,量子高科,20110302,4.7828,
300149.SZ,量子高科,20110303,4.6534,
300149.SZ,量子高科,20110304,4.6765,
300149.SZ,量子高科,20110307,4.7089,
300149.SZ,量子高科,20110308,4.7304,
300149.SZ,量子高科,20110309,4.7612,
300149.SZ,量子高科,20110310,4.789,
300149.SZ,量子高科,20110311,4.9153,
300149.SZ,量子高科,20110314,4.9893,
300149.SZ,量子高科,20110315,4.8799,
300149.SZ,量子高科,20110316,4.9045,
300149.SZ,量子高科,20110317,4.7628,
300149.SZ,量子高科,20110318,4.7844,
300149.SZ,量子高科,20110321,4.7012,
300149.SZ,量子高科,20110322,4.5378,
300149.SZ,量子高科,20110323,4.581,
300149.SZ,量子高科,20110324,4.7073,
300149.SZ,量子高科,20110325,5.1788,
300149.SZ,量子高科,20110328,5.3945,
300149.SZ,量子高科,20110329,5.0401,
300149.SZ,量子高科,20110330,4.9045,
300149.SZ,量子高科,20110331,5.2482,
300149.SZ,量子高科,20110401,5.1572,
300149.SZ,量子高科,20110406,5.0617,
300149.SZ,量子高科,20110407,5.1988,
300149.SZ,量子高科,20110408,5.1511,
300149.SZ,量子高科,20110411,5.0001,
300149.SZ,量子高科,20110412,4.9616,
300149.SZ,量子高科,20110413,5.0093,
300149.SZ,量子高科,20110414,4.9477,
300149.SZ,量子高科,20110415,4.8737,
300149.SZ,量子高科,20110418,4.846,
300149.SZ,量子高科,20110419,4.7582,
300149.SZ,量子高科,20110420,4.4562,
300149.SZ,量子高科,20110421,4.4839,
300149.SZ,量子高科,20110422,4.4916,
300149.SZ,量子高科,20110425,4.4916,
300149.SZ,量子高科,20110426,4.1603,
300149.SZ,量子高科,20110427,4.1218,
300149.SZ,量子高科,20110428,4.0494,
300149.SZ,量子高科,20110429,4.1495,
300149.SZ,量子高科,20110503,4.2343,
300149.SZ,量子高科,20110504,4.2266,
300149.SZ,量子高科,20110505,4.3637,
300149.SZ,量子高科,20110506,4.2589,
300149.SZ,量子高科,20110509,4.1753,
300149.SZ,量子高科,20110510,4.166,
300149.SZ,量子高科,20110511,4.1195,
300149.SZ,量子高科,20110512,4.1381,
300149.SZ,量子高科,20110513,4.0297,
300149.SZ,量子高科,20110516,3.9337,
300149.SZ,量子高科,20110517,3.9275,
300149.SZ,量子高科,20110518,3.9244,
300149.SZ,量子高科,20110519,3.8718,
300149.SZ,量子高科,20110520,3.8748,
300149.SZ,量子高科,20110523,3.6487,
300149.SZ,量子高科,20110524,3.7788,
300149.SZ,量子高科,20110525,3.624,
300149.SZ,量子高科,20110526,3.5899,
300149.SZ,量子高科,20110527,3.5527,
300149.SZ,量子高科,20110530,3.6549,
300149.SZ,量子高科,20110531,3.7541,
300149.SZ,量子高科,20110601,3.7571,
300149.SZ,量子高科,20110602,3.7014,
300149.SZ,量子高科,20110603,3.7602,
300149.SZ,量子高科,20110607,3.7448,
300149.SZ,量子高科,20110608,3.7912,
300149.SZ,量子高科,20110609,3.8346,
300149.SZ,量子高科,20110610,3.9616,
300149.SZ,量子高科,20110613,4.2434,
300149.SZ,量子高科,20110614,4.2868,
300149.SZ,量子高科,20110615,4.2156,
300149.SZ,量子高科,20110616,4.0669,
300149.SZ,量子高科,20110617,4.0917,
300149.SZ,量子高科,20110620,4.2187,
300149.SZ,量子高科,20110621,4.1753,
300149.SZ,量子高科,20110622,4.2806,
300149.SZ,量子高科,20110623,4.3054,
300149.SZ,量子高科,20110624,4.3333,
300149.SZ,量子高科,20110627,4.1908,
300149.SZ,量子高科,20110628,4.1443,
300149.SZ,量子高科,20110629,4.1691,
300149.SZ,量子高科,20110630,4.1164,
300149.SZ,量子高科,20110701,4.1195,
300149.SZ,量子高科,20110704,4.2063,
300149.SZ,量子高科,20110705,4.2249,
300149.SZ,量子高科,20110706,4.1629,
300149.SZ,量子高科,20110707,4.3023,
300149.SZ,量子高科,20110708,4.1939,
300149.SZ,量子高科,20110711,4.1536,
300149.SZ,量子高科,20110712,3.9585,
300149.SZ,量子高科,20110713,4.039,
300149.SZ,量子高科,20110714,4.1195,
300149.SZ,量子高科,20110715,4.2496,
300149.SZ,量子高科,20110718,4.3054,
300149.SZ,量子高科,20110719,4.231,
300149.SZ,量子高科,20110720,4.1598,
300149.SZ,量子高科,20110721,4.0638,
300149.SZ,量子高科,20110722,4.1195,
300149.SZ,量子高科,20110725,3.8284,
300149.SZ,量子高科,20110726,3.785,
300149.SZ,量子高科,20110727,3.8563,
300149.SZ,量子高科,20110728,3.8098,
300149.SZ,量子高科,20110729,3.7541,
300149.SZ,量子高科,20110801,3.8439,
300149.SZ,量子高科,20110802,3.8222,
300149.SZ,量子高科,20110803,4.2032,
300149.SZ,量子高科,20110804,4.2032,
300149.SZ,量子高科,20110805,4.039,
300149.SZ,量子高科,20110808,3.6363,
300149.SZ,量子高科,20110809,3.5125,
300149.SZ,量子高科,20110810,3.5589,
