іъ¬л,Љт≥∆,»’∆Џ, ’≈ћЉџ(‘™),
603116.SH,Їмтят—,20150629,25.0597,
603116.SH,Їмтят—,20150630,27.5666,
603116.SH,Їмтят—,20150701,30.3193,
603116.SH,Їмтят—,20150702,33.3473,
603116.SH,Їмтят—,20150703,36.6801,
603116.SH,Їмтят—,20150706,33.3768,
603116.SH,Їмтят—,20150707,30.0441,
603116.SH,Їмтят—,20150708,30.0441,
603116.SH,Їмтят—,20150709,33.0524,
603116.SH,Їмтят—,20150710,36.3557,
603116.SH,Їмтят—,20150713,39.9932,
603116.SH,Їмтят—,20150714,43.9945,
603116.SH,Їмтят—,20150715,39.6,
603116.SH,Їмтят—,20150716,35.638,
603116.SH,Їмтят—,20150717,36.7194,
603116.SH,Їмтят—,20150720,34.6155,
603116.SH,Їмтят—,20150721,35.2251,
603116.SH,Їмтят—,20150722,33.9372,
603116.SH,Їмтят—,20150723,37.3289,
603116.SH,Їмтят—,20150724,37.4174,
603116.SH,Їмтят—,20150727,33.6718,
603116.SH,Їмтят—,20150728,33.8192,
603116.SH,Їмтят—,20150729,37.2011,
603116.SH,Їмтят—,20150730,38.7446,
603116.SH,Їмтят—,20150731,42.6181,
603116.SH,Їмтят—,20150803,46.8848,
603116.SH,Їмтят—,20150804,42.1954,
603116.SH,Їмтят—,20150805,43.8077,
603116.SH,Їмтят—,20150806,41.1631,
603116.SH,Їмтят—,20150807,41.812,
603116.SH,Їмтят—,20150810,43.6012,
603116.SH,Їмтят—,20150811,43.788,
603116.SH,Їмтят—,20150812,40.7404,
603116.SH,Їмтят—,20150813,41.1729,
603116.SH,Їмтят—,20150814,41.4679,
603116.SH,Їмтят—,20150817,40.1308,
603116.SH,Їмтят—,20150818,36.5719,
603116.SH,Їмтят—,20150819,37.5944,
603116.SH,Їмтят—,20150820,34.8515,
603116.SH,Їмтят—,20150821,32.728,
603116.SH,Їмтят—,20150824,29.4542,
603116.SH,Їмтят—,20150825,27.95,
603116.SH,Їмтят—,20150826,30.7421,
603116.SH,Їмтят—,20150827,31.735,
603116.SH,Їмтят—,20150828,32.492,
603116.SH,Їмтят—,20150831,29.2477,
603116.SH,Їмтят—,20150901,26.3279,
603116.SH,Їмтят—,20150902,26.0723,
603116.SH,Їмтят—,20150907,26.5933,
603116.SH,Їмтят—,20150908,29.1789,
603116.SH,Їмтят—,20150909,29.7786,
603116.SH,Їмтят—,20150910,27.6452,
603116.SH,Їмтят—,20150911,27.9697,
603116.SH,Їмтят—,20150914,25.1776,
603116.SH,Їмтят—,20150915,24.9613,
603116.SH,Їмтят—,20150916,27.4585,
603116.SH,Їмтят—,20150917,25.7183,
603116.SH,Їмтят—,20150918,25.7773,
603116.SH,Їмтят—,20150921,26.7211,
603116.SH,Їмтят—,20150922,26.5343,
603116.SH,Їмтят—,20150923,26.6916,
603116.SH,Їмтят—,20150924,26.8096,
603116.SH,Їмтят—,20150925,25.2661,
603116.SH,Їмтят—,20150928,25.856,
603116.SH,Їмтят—,20150929,24.9613,
603116.SH,Їмтят—,20150930,25.4037,
603116.SH,Їмтят—,20151008,26.436,
603116.SH,Їмтят—,20151009,26.5442,
603116.SH,Їмтят—,20151012,28.5694,
603116.SH,Їмтят—,20151013,28.2449,
603116.SH,Їмтят—,20151014,27.5863,
603116.SH,Їмтят—,20151015,30.3488,
603116.SH,Їмтят—,20151016,30.398,
603116.SH,Їмтят—,20151019,30.2603,
603116.SH,Їмтят—,20151020,30.3783,
603116.SH,Їмтят—,20151021,27.3405,
603116.SH,Їмтят—,20151022,28.0975,
603116.SH,Їмтят—,20151023,28.5694,
603116.SH,Їмтят—,20151026,28.9036,
603116.SH,Їмтят—,20151027,28.589,
603116.SH,Їмтят—,20151028,28.4416,
603116.SH,Їмтят—,20151029,28.648,
603116.SH,Їмтят—,20151030,29.0118,
603116.SH,Їмтят—,20151102,29.346,
603116.SH,Їмтят—,20151103,30.8404,
603116.SH,Їмтят—,20151104,31.6072,
603116.SH,Їмтят—,20151105,30.7617,
603116.SH,Їмтят—,20151106,31.4794,
603116.SH,Їмтят—,20151109,32.4232,
603116.SH,Їмтят—,20151110,31.7547,
603116.SH,Їмтят—,20151111,33.5145,
603116.SH,Їмтят—,20151112,35.6675,
603116.SH,Їмтят—,20151113,32.6297,
603116.SH,Їмтят—,20151116,32.7378,
603116.SH,Їмтят—,20151117,31.8727,
603116.SH,Їмтят—,20151118,31.2533,
603116.SH,Їмтят—,20151119,32.3347,
603116.SH,Їмтят—,20151120,32.3839,
603116.SH,Їмтят—,20151123,32.6002,
603116.SH,Їмтят—,20151124,34.0355,
603116.SH,Їмтят—,20151125,33.7307,
603116.SH,Їмтят—,20151126,33.426,
603116.SH,Їмтят—,20151127,30.4865,
603116.SH,Їмтят—,20151130,30.9387,
603116.SH,Їмтят—,20151201,30.6634,
603116.SH,Їмтят—,20151202,30.1227,
603116.SH,Їмтят—,20151203,31.5286,
603116.SH,Їмтят—,20151204,31.3221,
603116.SH,Їмтят—,20151207,31.5089,
603116.SH,Їмтят—,20151208,30.5356,
603116.SH,Їмтят—,20151209,30.4078,
603116.SH,Їмтят—,20151210,30.0539,
603116.SH,Їмтят—,20151211,29.9261,
603116.SH,Їмтят—,20151214,30.7126,
603116.SH,Їмтят—,20151215,30.6339,
603116.SH,Їмтят—,20151216,31.155,
603116.SH,Їмтят—,20151217,32.2954,
603116.SH,Їмтят—,20151218,31.676,
603116.SH,Їмтят—,20151221,32.4232,
603116.SH,Їмтят—,20151222,32.4232,
603116.SH,Їмтят—,20151223,32.1774,
603116.SH,Їмтят—,20151224,32.61,
603116.SH,Їмтят—,20151225,32.5018,
603116.SH,Їмтят—,20151228,31.8923,
603116.SH,Їмтят—,20151229,32.3937,
603116.SH,Їмтят—,20151230,32.2266,
603116.SH,Їмтят—,20151231,31.2435,
603116.SH,Їмтят—,20160104,28.1171,
603116.SH,Їмтят—,20160105,27.7731,
603116.SH,Їмтят—,20160106,28.5301,
603116.SH,Їмтят—,20160107,25.6888,
603116.SH,Їмтят—,20160108,26.4655,
603116.SH,Їмтят—,20160111,24.922,
603116.SH,Їмтят—,20160112,25.7675,
603116.SH,Їмтят—,20160113,25.2956,
603116.SH,Їмтят—,20160114,26.3574,
603116.SH,Їмтят—,20160115,25.099,
603116.SH,Їмтят—,20160118,25.2661,
603116.SH,Їмтят—,20160119,26.2001,
603116.SH,Їмтят—,20160120,25.5709,
603116.SH,Їмтят—,20160121,24.7057,
603116.SH,Їмтят—,20160122,25.2464,
603116.SH,Їмтят—,20160125,25.3448,
603116.SH,Їмтят—,20160126,22.9558,
603116.SH,Їмтят—,20160127,22.6019,
603116.SH,Їмтят—,20160128,21.2943,
603116.SH,Їмтят—,20160129,22.0317,
603116.SH,Їмтят—,20160201,21.2845,
603116.SH,Їмтят—,20160202,22.0218,
603116.SH,Їмтят—,20160203,21.9137,
603116.SH,Їмтят—,20160204,22.887,
603116.SH,Їмтят—,20160205,22.4151,
603116.SH,Їмтят—,20160215,22.071,
603116.SH,Їмтят—,20160216,22.9361,
603116.SH,Їмтят—,20160217,23.0738,
603116.SH,Їмтят—,20160218,23.5162,
603116.SH,Їмтят—,20160219,23.6243,
603116.SH,Їмтят—,20160222,24.0765,
603116.SH,Їмтят—,20160223,23.6636,
603116.SH,Їмтят—,20160224,24.6074,
603116.SH,Їмтят—,20160225,22.1496,
603116.SH,Їмтят—,20160226,22.2086,
603116.SH,Їмтят—,20160229,20.6061,
603116.SH,Їмтят—,20160301,20.9404,
603116.SH,Їмтят—,20160302,21.8449,
603116.SH,Їмтят—,20160303,21.8547,
603116.SH,Їмтят—,20160304,20.9502,
603116.SH,Їмтят—,20160307,21.4614,
603116.SH,Їмтят—,20160308,21.9038,
603116.SH,Їмтят—,20160309,21.2648,
603116.SH,Їмтят—,20160310,20.9895,
603116.SH,Їмтят—,20160311,21.1075,
603116.SH,Їмтят—,20160314,21.7367,
603116.SH,Їмтят—,20160315,21.4516,
603116.SH,Їмтят—,20160316,21.2058,
603116.SH,Їмтят—,20160317,21.8252,
603116.SH,Їмтят—,20160318,22.533,
603116.SH,Їмтят—,20160321,23.1426,
603116.SH,Їмтят—,20160322,22.7887,
603116.SH,Їмтят—,20160323,23.2507,
603116.SH,Їмтят—,20160324,22.7887,
603116.SH,Їмтят—,20160325,22.887,
603116.SH,Їмтят—,20160328,22.71,
603116.SH,Їмтят—,20160329,22.1398,
603116.SH,Їмтят—,20160330,22.8771,
603116.SH,Їмтят—,20160331,22.9459,
603116.SH,Їмтят—,20160401,23.4473,
603116.SH,Їмтят—,20160405,23.8308,
603116.SH,Їмтят—,20160406,23.7128,
603116.SH,Їмтят—,20160407,23.3982,
603116.SH,Їмтят—,20160408,23.0836,
603116.SH,Їмтят—,20160411,23.7619,
603116.SH,Їмтят—,20160412,23.7226,
603116.SH,Їмтят—,20160413,23.9881,
603116.SH,Їмтят—,20160414,24.5386,
603116.SH,Їмтят—,20160415,24.2732,
603116.SH,Їмтят—,20160418,23.6636,
603116.SH,Їмтят—,20160419,23.7718,
603116.SH,Їмтят—,20160420,22.3659,
603116.SH,Їмтят—,20160421,22.0513,
603116.SH,Їмтят—,20160422,22.3954,
603116.SH,Їмтят—,20160425,23.349,
603116.SH,Їмтят—,20160426,23.8111,
