ด๚ย๋,ผ๒ณฦ,ศีฦฺ,สีลฬผÛ(ิช),
002615.SZ,นþถ๛หน,20110909,4.8468,
002615.SZ,นþถ๛หน,20110913,4.3621,
002615.SZ,นþถ๛หน,20110914,4.4936,
002615.SZ,นþถ๛หน,20110915,4.432,
002615.SZ,นþถ๛หน,20110916,4.1691,
002615.SZ,นþถ๛หน,20110919,3.8631,
002615.SZ,นþถ๛หน,20110920,3.8384,
002615.SZ,นþถ๛หน,20110921,4.0048,
002615.SZ,นþถ๛หน,20110922,3.7193,
002615.SZ,นþถ๛หน,20110923,3.6618,
002615.SZ,นþถ๛หน,20110926,3.7419,
002615.SZ,นþถ๛หน,20110927,3.7645,
002615.SZ,นþถ๛หน,20110928,3.6022,
002615.SZ,นþถ๛หน,20110929,3.4071,
002615.SZ,นþถ๛หน,20110930,3.3229,
002615.SZ,นþถ๛หน,20111010,3.3476,
002615.SZ,นþถ๛หน,20111011,3.3887,
002615.SZ,นþถ๛หน,20111012,3.5365,
002615.SZ,นþถ๛หน,20111013,3.67,
002615.SZ,นþถ๛หน,20111014,3.6474,
002615.SZ,นþถ๛หน,20111017,3.822,
002615.SZ,นþถ๛หน,20111018,3.5961,
002615.SZ,นþถ๛หน,20111019,3.6556,
002615.SZ,นþถ๛หน,20111020,3.4585,
002615.SZ,นþถ๛หน,20111021,3.4092,
002615.SZ,นþถ๛หน,20111024,3.4708,
002615.SZ,นþถ๛หน,20111025,3.8179,
002615.SZ,นþถ๛หน,20111026,3.7932,
002615.SZ,นþถ๛หน,20111027,3.9883,
002615.SZ,นþถ๛หน,20111028,4.1547,
002615.SZ,นþถ๛หน,20111031,4.1506,
002615.SZ,นþถ๛หน,20111101,4.2204,
002615.SZ,นþถ๛หน,20111102,4.4751,
002615.SZ,นþถ๛หน,20111103,4.4895,
002615.SZ,นþถ๛หน,20111104,4.5223,
002615.SZ,นþถ๛หน,20111107,4.5613,
002615.SZ,นþถ๛หน,20111108,4.3293,
002615.SZ,นþถ๛หน,20111109,4.3354,
002615.SZ,นþถ๛หน,20111110,4.2389,
002615.SZ,นþถ๛หน,20111111,4.2738,
002615.SZ,นþถ๛หน,20111114,4.2738,
002615.SZ,นþถ๛หน,20111115,4.3026,
002615.SZ,นþถ๛หน,20111116,4.052,
002615.SZ,นþถ๛หน,20111117,4.0561,
002615.SZ,นþถ๛หน,20111118,4.4628,
002615.SZ,นþถ๛หน,20111121,4.7441,
002615.SZ,นþถ๛หน,20111122,4.8365,
002615.SZ,นþถ๛หน,20111123,4.7606,
002615.SZ,นþถ๛หน,20111124,4.7339,
002615.SZ,นþถ๛หน,20111125,4.4237,
002615.SZ,นþถ๛หน,20111128,4.3067,
002615.SZ,นþถ๛หน,20111129,4.3683,
002615.SZ,นþถ๛หน,20111130,4.5634,
002615.SZ,นþถ๛หน,20111201,4.7729,
002615.SZ,นþถ๛หน,20111202,4.2964,
002615.SZ,นþถ๛หน,20111205,3.8672,
002615.SZ,นþถ๛หน,20111206,3.937,
002615.SZ,นþถ๛หน,20111207,3.8138,
002615.SZ,นþถ๛หน,20111208,3.8507,
002615.SZ,นþถ๛หน,20111209,3.7378,
002615.SZ,นþถ๛หน,20111212,3.7604,
002615.SZ,นþถ๛หน,20111213,3.5735,
002615.SZ,นþถ๛หน,20111214,3.5694,
002615.SZ,นþถ๛หน,20111215,3.2819,
002615.SZ,นþถ๛หน,20111216,3.4215,
002615.SZ,นþถ๛หน,20111219,3.4975,
002615.SZ,นþถ๛หน,20111220,3.3661,
002615.SZ,นþถ๛หน,20111221,3.5119,
