ДњТы,МђГЦ,ШеЦк,ЪеХЬМл(дЊ),
300027.SZ,ЛЊвъажЕм,20091030,4.7043,
300027.SZ,ЛЊвъажЕм,20091102,4.2339,
300027.SZ,ЛЊвъажЕм,20091103,3.8579,
300027.SZ,ЛЊвъажЕм,20091104,3.8871,
300027.SZ,ЛЊвъажЕм,20091105,3.8864,
300027.SZ,ЛЊвъажЕм,20091106,3.8021,
300027.SZ,ЛЊвъажЕм,20091109,3.6772,
300027.SZ,ЛЊвъажЕм,20091110,3.6592,
300027.SZ,ЛЊвъажЕм,20091111,3.6214,
300027.SZ,ЛЊвъажЕм,20091112,3.6778,
300027.SZ,ЛЊвъажЕм,20091113,3.8499,
300027.SZ,ЛЊвъажЕм,20091116,3.7868,
300027.SZ,ЛЊвъажЕм,20091117,3.7469,
300027.SZ,ЛЊвъажЕм,20091118,3.8041,
300027.SZ,ЛЊвъажЕм,20091119,4.0525,
300027.SZ,ЛЊвъажЕм,20091120,3.9861,
300027.SZ,ЛЊвъажЕм,20091123,4.014,
300027.SZ,ЛЊвъажЕм,20091124,3.7204,
300027.SZ,ЛЊвъажЕм,20091125,3.832,
300027.SZ,ЛЊвъажЕм,20091126,3.727,
300027.SZ,ЛЊвъажЕм,20091127,3.727,
300027.SZ,ЛЊвъажЕм,20091130,3.9143,
300027.SZ,ЛЊвъажЕм,20091201,3.8725,
300027.SZ,ЛЊвъажЕм,20091202,4.2598,
300027.SZ,ЛЊвъажЕм,20091203,4.6112,
300027.SZ,ЛЊвъажЕм,20091204,4.1754,
300027.SZ,ЛЊвъажЕм,20091207,4.2352,
300027.SZ,ЛЊвъажЕм,20091208,4.2578,
300027.SZ,ЛЊвъажЕм,20091209,4.295,
300027.SZ,ЛЊвъажЕм,20091210,4.2253,
300027.SZ,ЛЊвъажЕм,20091211,4.0545,
300027.SZ,ЛЊвъажЕм,20091214,3.9934,
300027.SZ,ЛЊвъажЕм,20091215,3.9994,
300027.SZ,ЛЊвъажЕм,20091216,3.8718,
300027.SZ,ЛЊвъажЕм,20091217,3.6838,
300027.SZ,ЛЊвъажЕм,20091218,3.6885,
300027.SZ,ЛЊвъажЕм,20091221,3.7097,
300027.SZ,ЛЊвъажЕм,20091222,3.5642,
300027.SZ,ЛЊвъажЕм,20091223,3.634,
300027.SZ,ЛЊвъажЕм,20091224,3.7071,
300027.SZ,ЛЊвъажЕм,20091225,3.6041,
300027.SZ,ЛЊвъажЕм,20091228,3.6107,
300027.SZ,ЛЊвъажЕм,20091229,3.5941,
300027.SZ,ЛЊвъажЕм,20091230,3.6944,
300027.SZ,ЛЊвъажЕм,20091231,3.6825,
300027.SZ,ЛЊвъажЕм,20100104,3.6891,
300027.SZ,ЛЊвъажЕм,20100105,3.6599,
300027.SZ,ЛЊвъажЕм,20100106,3.6147,
300027.SZ,ЛЊвъажЕм,20100107,3.5602,
300027.SZ,ЛЊвъажЕм,20100108,3.4971,
300027.SZ,ЛЊвъажЕм,20100111,3.4566,
300027.SZ,ЛЊвъажЕм,20100112,3.5164,
300027.SZ,ЛЊвъажЕм,20100113,3.6161,
300027.SZ,ЛЊвъажЕм,20100114,3.7097,
300027.SZ,ЛЊвъажЕм,20100115,3.6672,
300027.SZ,ЛЊвъажЕм,20100118,3.6001,
300027.SZ,ЛЊвъажЕм,20100119,3.5496,
300027.SZ,ЛЊвъажЕм,20100120,3.4221,
300027.SZ,ЛЊвъажЕм,20100121,3.448,
300027.SZ,ЛЊвъажЕм,20100122,3.2487,
300027.SZ,ЛЊвъажЕм,20100125,3.3988,
300027.SZ,ЛЊвъажЕм,20100126,3.2806,
300027.SZ,ЛЊвъажЕм,20100127,3.1424,
300027.SZ,ЛЊвъажЕм,20100128,3.143,
300027.SZ,ЛЊвъажЕм,20100129,3.1543,
300027.SZ,ЛЊвъажЕм,20100201,2.8986,
300027.SZ,ЛЊвъажЕм,20100202,2.9484,
300027.SZ,ЛЊвъажЕм,20100203,2.9484,
300027.SZ,ЛЊвъажЕм,20100204,2.9384,
300027.SZ,ЛЊвъажЕм,20100205,2.9205,
300027.SZ,ЛЊвъажЕм,20100208,2.953,
300027.SZ,ЛЊвъажЕм,20100209,2.9676,
300027.SZ,ЛЊвъажЕм,20100210,3.0693,
300027.SZ,ЛЊвъажЕм,20100211,3.1417,
300027.SZ,ЛЊвъажЕм,20100212,3.3224,
300027.SZ,ЛЊвъажЕм,20100222,3.256,
300027.SZ,ЛЊвъажЕм,20100223,3.3038,
300027.SZ,ЛЊвъажЕм,20100224,3.3988,
300027.SZ,ЛЊвъажЕм,20100225,3.355,
300027.SZ,ЛЊвъажЕм,20100226,3.2918,
300027.SZ,ЛЊвъажЕм,20100301,3.3749,
300027.SZ,ЛЊвъажЕм,20100302,3.4453,
300027.SZ,ЛЊвъажЕм,20100303,3.4878,
300027.SZ,ЛЊвъажЕм,20100304,3.335,
300027.SZ,ЛЊвъажЕм,20100305,3.3164,
300027.SZ,ЛЊвъажЕм,20100308,3.3543,
300027.SZ,ЛЊвъажЕм,20100309,3.3536,
300027.SZ,ЛЊвъажЕм,20100310,3.3184,
300027.SZ,ЛЊвъажЕм,20100311,3.3849,
300027.SZ,ЛЊвъажЕм,20100312,3.4719,
300027.SZ,ЛЊвъажЕм,20100315,3.4812,
300027.SZ,ЛЊвъажЕм,20100316,3.5549,
