代码,简称,日期,收盘价(元),
603881.SH,数据港,20170208,11.2214,
603881.SH,数据港,20170209,12.3406,
603881.SH,数据港,20170210,13.5796,
603881.SH,数据港,20170213,14.9386,
603881.SH,数据港,20170214,16.4374,
603881.SH,数据港,20170215,18.0862,
603881.SH,数据港,20170216,19.8948,
603881.SH,数据港,20170217,21.8833,
603881.SH,数据港,20170220,24.0716,
603881.SH,数据港,20170221,26.4798,
603881.SH,数据港,20170222,29.1277,
603881.SH,数据港,20170223,32.0455,
603881.SH,数据港,20170224,35.2531,
603881.SH,数据港,20170227,38.7804,
603881.SH,数据港,20170228,42.6574,
603881.SH,数据港,20170301,46.9241,
603881.SH,数据港,20170302,51.6206,
603881.SH,数据港,20170303,47.9534,
603881.SH,数据港,20170306,48.1132,
603881.SH,数据港,20170307,52.9296,
603881.SH,数据港,20170308,52.9296,
603881.SH,数据港,20170309,52.9296,
603881.SH,数据港,20170310,58.2255,
603881.SH,数据港,20170313,64.0511,
603881.SH,数据港,20170314,70.4562,
603881.SH,数据港,20170315,68.4377,
603881.SH,数据港,20170316,75.2825,
603881.SH,数据港,20170317,68.4477,
603881.SH,数据港,20170320,68.9074,
603881.SH,数据港,20170321,70.5061,
603881.SH,数据港,20170322,77.5607,
603881.SH,数据港,20170323,72.5646,
603881.SH,数据港,20170324,75.902,
603881.SH,数据港,20170327,72.8943,
603881.SH,数据港,20170328,68.4377,
603881.SH,数据港,20170329,68.5576,
603881.SH,数据港,20170330,68.068,
603881.SH,数据港,20170331,61.2632,
603881.SH,数据港,20170405,58.845,
603881.SH,数据港,20170406,59.9242,
603881.SH,数据港,20170407,56.3669,
603881.SH,数据港,20170410,52.6897,
603881.SH,数据港,20170411,55.6775,
603881.SH,数据港,20170412,56.1571,
603881.SH,数据港,20170413,54.3185,
603881.SH,数据港,20170414,51.6705,
603881.SH,数据港,20170417,46.5045,
603881.SH,数据港,20170418,42.7773,
603881.SH,数据港,20170419,45.4453,
603881.SH,数据港,20170420,44.5959,
603881.SH,数据港,20170421,42.5675,
603881.SH,数据港,20170424,42.0379,
603881.SH,数据港,20170425,46.2447,
603881.SH,数据港,20170426,50.8711,
603881.SH,数据港,20170427,55.9572,
603881.SH,数据港,20170428,56.0372,
603881.SH,数据港,20170502,58.905,
603881.SH,数据港,20170503,60.9035,
603881.SH,数据港,20170504,58.3055,
603881.SH,数据港,20170505,52.4799,
603881.SH,数据港,20170508,53.7689,
603881.SH,数据港,20170509,57.636,
603881.SH,数据港,20170510,57.8258,
603881.SH,数据港,20170511,59.2148,
603881.SH,数据港,20170512,61.0134,
603881.SH,数据港,20170515,60.4338,
603881.SH,数据港,20170516,60.204,
603881.SH,数据港,20170517,57.596,
603881.SH,数据港,20170518,61.573,
603881.SH,数据港,20170519,59.0049,
603881.SH,数据港,20170522,56.9465,
603881.SH,数据港,20170523,51.2508,
603881.SH,数据港,20170524,51.7505,
603881.SH,数据港,20170525,51.9003,
603881.SH,数据港,20170526,52.2401,
603881.SH,数据港,20170531,50.3915,
603881.SH,数据港,20170601,46.6843,
603881.SH,数据港,20170602,48.2531,
603881.SH,数据港,20170605,53.0794,
603881.SH,数据港,20170606,51.5007,
603881.SH,数据港,20170607,53.9088,
603881.SH,数据港,20170608,53.2793,
603881.SH,数据港,20170609,53.3492,
603881.SH,数据港,20170612,50.5714,
603881.SH,数据港,20170613,52.35,
603881.SH,数据港,20170614,50.92,
603881.SH,数据港,20170615,51.94,
603881.SH,数据港,20170616,51.62,
603881.SH,数据港,20170619,51.12,
603881.SH,数据港,20170620,51.52,
603881.SH,数据港,20170621,50.76,
603881.SH,数据港,20170622,48.17,
603881.SH,数据港,20170623,47.66,
603881.SH,数据港,20170626,48.79,
603881.SH,数据港,20170627,50.46,
603881.SH,数据港,20170628,48.63,
603881.SH,数据港,20170629,48.76,
603881.SH,数据港,20170630,48.82,
603881.SH,数据港,20170703,48.74,
603881.SH,数据港,20170704,48.94,
603881.SH,数据港,20170705,49.6,
603881.SH,数据港,20170706,50.53,
603881.SH,数据港,20170707,52.99,
603881.SH,数据港,20170710,51.08,
603881.SH,数据港,20170711,49.68,
603881.SH,数据港,20170712,50,
603881.SH,数据港,20170713,48.92,
603881.SH,数据港,20170714,47.74,
603881.SH,数据港,20170717,42.97,
603881.SH,数据港,20170718,43.01,
603881.SH,数据港,20170719,43.3,
603881.SH,数据港,20170720,42.66,
603881.SH,数据港,20170721,43.17,
603881.SH,数据港,20170724,43.34,
603881.SH,数据港,20170725,42.93,
603881.SH,数据港,20170726,43.42,
603881.SH,数据港,20170727,44.94,
603881.SH,数据港,20170728,43.62,
603881.SH,数据港,20170731,43.12,
603881.SH,数据港,20170801,43.41,
603881.SH,数据港,20170802,42.56,
603881.SH,数据港,20170803,44.04,
603881.SH,数据港,20170804,42.78,
603881.SH,数据港,20170807,42.94,
603881.SH,数据港,20170808,43.3,
603881.SH,数据港,20170809,42.95,
603881.SH,数据港,20170810,43.72,
