測鎢,潠備,�梪�,彶攫歎(啋),
300093.SZ,踢試產薛,20100708,12.152,
300093.SZ,踢試產薛,20100709,11.8664,
300093.SZ,踢試產薛,20100712,11.262,
300093.SZ,踢試產薛,20100713,11.3994,
300093.SZ,踢試產薛,20100714,11.2291,
300093.SZ,踢試產薛,20100715,10.2842,
300093.SZ,踢試產薛,20100716,10.1194,
300093.SZ,踢試產薛,20100719,10.2292,
300093.SZ,踢試產薛,20100720,10.4984,
300093.SZ,踢試產薛,20100721,10.4105,
300093.SZ,踢試產薛,20100722,10.4874,
300093.SZ,踢試產薛,20100723,10.4874,
300093.SZ,踢試產薛,20100726,10.7347,
300093.SZ,踢試產薛,20100727,10.5589,
300093.SZ,踢試產薛,20100728,10.6577,
300093.SZ,踢試產薛,20100729,10.7566,
300093.SZ,踢試產薛,20100730,10.5918,
300093.SZ,踢試產薛,20100802,10.7401,
300093.SZ,踢試產薛,20100803,10.6413,
300093.SZ,踢試產薛,20100804,10.6687,
300093.SZ,踢試產薛,20100805,10.85,
300093.SZ,踢試產薛,20100806,11.1302,
300093.SZ,踢試產薛,20100809,12.2454,
300093.SZ,踢試產薛,20100810,12.4597,
300093.SZ,踢試產薛,20100811,13.2398,
300093.SZ,踢試產薛,20100812,12.6519,
300093.SZ,踢試產薛,20100813,12.6135,
300093.SZ,踢試產薛,20100816,12.8223,
300093.SZ,踢試產薛,20100817,13.3442,
300093.SZ,踢試產薛,20100818,12.9376,
300093.SZ,踢試產薛,20100819,12.9926,
300093.SZ,踢試產薛,20100820,12.5256,
300093.SZ,踢試產薛,20100823,12.5256,
300093.SZ,踢試產薛,20100824,13.7782,
300093.SZ,踢試產薛,20100825,13.7397,
300093.SZ,踢試產薛,20100826,13.7232,
300093.SZ,踢試產薛,20100827,14.2231,
300093.SZ,踢試產薛,20100830,14.2781,
300093.SZ,踢試產薛,20100831,14.311,
300093.SZ,踢試產薛,20100901,13.4101,
300093.SZ,踢試產薛,20100902,13.6078,
300093.SZ,踢試產薛,20100903,13.7617,
300093.SZ,踢試產薛,20100906,12.8552,
300093.SZ,踢試產薛,20100907,12.9706,
300093.SZ,踢試產薛,20100908,13.2343,
300093.SZ,踢試產薛,20100909,12.9651,
300093.SZ,踢試產薛,20100910,13.0805,
300093.SZ,踢試產薛,20100913,13.3222,
300093.SZ,踢試產薛,20100914,13.5749,
300093.SZ,踢試產薛,20100915,12.8003,
300093.SZ,踢試產薛,20100916,12.3058,
300093.SZ,踢試產薛,20100917,12.152,
300093.SZ,踢試產薛,20100920,11.696,
300093.SZ,踢試產薛,20100921,11.6301,
300093.SZ,踢試產薛,20100927,11.9488,
300093.SZ,踢試產薛,20100928,11.4269,
300093.SZ,踢試產薛,20100929,11.3554,
300093.SZ,踢試產薛,20100930,11.5697,
300093.SZ,踢試產薛,20101008,11.8004,
300093.SZ,踢試產薛,20101011,11.6246,
300093.SZ,踢試產薛,20101012,11.8609,
300093.SZ,踢試產薛,20101013,11.8114,
300093.SZ,踢試產薛,20101014,11.4983,
300093.SZ,踢試產薛,20101015,11.2016,
300093.SZ,踢試產薛,20101018,10.872,
300093.SZ,踢試產薛,20101019,11.6301,
300093.SZ,踢試產薛,20101020,11.8004,
300093.SZ,踢試產薛,20101021,12.2234,
300093.SZ,踢試產薛,20101022,12.4267,
300093.SZ,踢試產薛,20101025,12.4267,
300093.SZ,踢試產薛,20101026,12.7344,
300093.SZ,踢試產薛,20101027,13.1189,
300093.SZ,踢試產薛,20101028,13.3332,
300093.SZ,踢試產薛,20101029,13.6463,
300093.SZ,踢試產薛,20101101,14.1188,
300093.SZ,踢試產薛,20101102,13.4266,
300093.SZ,踢試產薛,20101103,12.8772,
300093.SZ,踢試產薛,20101104,13.1848,
300093.SZ,踢試產薛,20101105,13.8001,
300093.SZ,踢試產薛,20101108,13.8166,
300093.SZ,踢試產薛,20101109,13.8001,
300093.SZ,踢試產薛,20101110,13.7562,
300093.SZ,踢試產薛,20101111,13.6243,
300093.SZ,踢試產薛,20101112,12.3058,
300093.SZ,踢試產薛,20101115,12.9376,
300093.SZ,踢試產薛,20101116,12.9321,
300093.SZ,踢試產薛,20101117,12.152,
300093.SZ,踢試產薛,20101118,12.2509,
300093.SZ,踢試產薛,20101119,13.1958,
300093.SZ,踢試產薛,20101122,13.3167,
300093.SZ,踢試產薛,20101123,13.6793,
300093.SZ,踢試產薛,20101124,14.0913,
300093.SZ,踢試產薛,20101125,13.6957,
300093.SZ,踢試產薛,20101126,13.6628,
300093.SZ,踢試產薛,20101129,13.9594,
300093.SZ,踢試產薛,20101130,13.487,
300093.SZ,踢試產薛,20101201,13.443,
300093.SZ,踢試產薛,20101202,13.443,
300093.SZ,踢試產薛,20101203,13.9594,
300093.SZ,踢試產薛,20101206,13.5749,
300093.SZ,踢試產薛,20101207,14.9318,
300093.SZ,踢試產薛,20101208,14.4539,
300093.SZ,踢試產薛,20101209,15.0197,
300093.SZ,踢試產薛,20101210,15.9866,
300093.SZ,踢試產薛,20101213,16.8546,
300093.SZ,踢試產薛,20101214,16.8711,
300093.SZ,踢試產薛,20101215,16.3162,
300093.SZ,踢試產薛,20101216,17.6567,
300093.SZ,踢試產薛,20101217,17.5248,
300093.SZ,踢試產薛,20101220,18.4588,
300093.SZ,踢試產薛,20101221,18.8873,
300093.SZ,踢試產薛,20101222,18.9367,
300093.SZ,踢試產薛,20101223,17.827,
300093.SZ,踢試產薛,20101224,18.6675,
300093.SZ,踢試產薛,20101227,17.1952,
300093.SZ,踢試產薛,20101228,16.9205,
300093.SZ,踢試產薛,20101229,17.2502,
300093.SZ,踢試產薛,20101230,17.9479,
300093.SZ,踢試產薛,20101231,18.0632,
300093.SZ,踢試產薛,20110104,18.6785,
300093.SZ,踢試產薛,20110105,18.5686,
300093.SZ,踢試產薛,20110106,17.8764,
300093.SZ,踢試產薛,20110107,17.5798,
300093.SZ,踢試產薛,20110110,17.1787,
300093.SZ,踢試產薛,20110111,16.536,
300093.SZ,踢試產薛,20110112,16.2064,
300093.SZ,踢試產薛,20110113,15.6625,
300093.SZ,踢試產薛,20110114,15.6515,
300093.SZ,踢試產薛,20110117,15.9207,
300093.SZ,踢試產薛,20110118,15.6625,
300093.SZ,踢試產薛,20110119,16.2613,
300093.SZ,踢試產薛,20110120,15.1626,
300093.SZ,踢試產薛,20110121,14.789,
300093.SZ,踢試產薛,20110124,14.8329,
300093.SZ,踢試產薛,20110125,14.6791,
300093.SZ,踢試產薛,20110126,14.9978,
300093.SZ,踢試產薛,20110127,14.9868,
300093.SZ,踢試產薛,20110128,15.4757,
300093.SZ,踢試產薛,20110131,15.4757,
300093.SZ,踢試產薛,20110201,15.4867,
300093.SZ,踢試產薛,20110209,15.2065,
300093.SZ,踢試產薛,20110210,15.69,
300093.SZ,踢試產薛,20110211,16.1789,
300093.SZ,踢試產薛,20110214,16.2943,
300093.SZ,踢試產薛,20110215,17.9259,
300093.SZ,踢試產薛,20110216,18.0467,
300093.SZ,踢試產薛,20110217,17.9204,
300093.SZ,踢試產薛,20110218,18.217,
300093.SZ,踢試產薛,20110221,18.2665,
300093.SZ,踢試產薛,20110222,17.8819,
300093.SZ,踢試產薛,20110223,18.5137,
300093.SZ,踢試產薛,20110224,18.4313,
300093.SZ,踢試產薛,20110225,18.228,
300093.SZ,踢試產薛,20110228,17.4699,
300093.SZ,踢試產薛,20110301,17.2557,
300093.SZ,踢試產薛,20110302,17.5413,
300093.SZ,踢試產薛,20110303,16.7008,
300093.SZ,踢試產薛,20110304,17.2172,
300093.SZ,踢試產薛,20110307,17.1952,
300093.SZ,踢試產薛,20110308,16.959,
300093.SZ,踢試產薛,20110309,16.536,
300093.SZ,踢試產薛,20110310,16.4591,
300093.SZ,踢試產薛,20110311,16.3712,
300093.SZ,踢試產薛,20110314,17.2557,
300093.SZ,踢試產薛,20110315,17.827,
300093.SZ,踢試產薛,20110316,18.7335,
300093.SZ,踢試產薛,20110317,18.8433,
300093.SZ,踢試產薛,20110318,19.0521,
300093.SZ,踢試產薛,20110321,18.3489,
300093.SZ,踢試產薛,20110322,18.228,
300093.SZ,踢試產薛,20110323,18.5412,
300093.SZ,踢試產薛,20110324,18.7829,
300093.SZ,踢試產薛,20110325,18.5686,
300093.SZ,踢試產薛,20110328,18.0522,
300093.SZ,踢試產薛,20110329,17.2996,
300093.SZ,踢試產薛,20110330,17.3051,
300093.SZ,踢試產薛,20110331,17.0304,
300093.SZ,踢試產薛,20110401,17.3985,
300093.SZ,踢試產薛,20110406,17.5798,
300093.SZ,踢試產薛,20110407,17.7171,
300093.SZ,踢試產薛,20110408,17.6951,
300093.SZ,踢試產薛,20110411,17.2447,
300093.SZ,踢試產薛,20110412,17.0304,
300093.SZ,踢試產薛,20110413,17.3381,
300093.SZ,踢試產薛,20110414,17.0689,
300093.SZ,踢試產薛,20110415,17.1403,
300093.SZ,踢試產薛,20110418,16.8876,
300093.SZ,踢試產薛,20110419,16.8876,
300093.SZ,踢試產薛,20110420,16.7447,
300093.SZ,踢試產薛,20110421,16.6568,
300093.SZ,踢試產薛,20110422,16.7447,
300093.SZ,踢試產薛,20110425,16.4371,
300093.SZ,踢試產薛,20110426,15.3823,
300093.SZ,踢試產薛,20110427,14.5308,
300093.SZ,踢試產薛,20110428,14.6681,
300093.SZ,踢試產薛,20110429,14.822,
300093.SZ,踢試產薛,20110503,15.0472,
300093.SZ,踢試產薛,20110504,14.0913,
300093.SZ,踢試產薛,20110505,14.1572,
300093.SZ,踢試產薛,20110506,14.0968,
300093.SZ,踢試產薛,20110509,14.355,
300093.SZ,踢試產薛,20110510,14.355,
300093.SZ,踢試產薛,20110511,14.4264,
300093.SZ,踢試產薛,20110512,14.1297,
300093.SZ,踢試產薛,20110513,14.1133,
300093.SZ,踢試產薛,20110516,14.0858,
300093.SZ,踢試產薛,20110517,13.8661,
300093.SZ,踢試產薛,20110518,13.899,
300093.SZ,踢試產薛,20110519,13.8935,
300093.SZ,踢試產薛,20110520,13.8001,
300093.SZ,踢試產薛,20110523,13.487,
300093.SZ,踢試產薛,20110524,13.9649,
300093.SZ,踢試產薛,20110525,13.7067,
300093.SZ,踢試產薛,20110526,13.6024,
300093.SZ,踢試產薛,20110527,13.2453,
300093.SZ,踢試產薛,20110530,13.2343,
300093.SZ,踢試產薛,20110531,13.3936,
300093.SZ,踢試產薛,20110601,13.4595,
300093.SZ,踢試產薛,20110602,13.1738,
300093.SZ,踢試產薛,20110603,13.3277,
300093.SZ,踢試產薛,20110607,13.4101,
300093.SZ,踢試產薛,20110608,13.2892,
300093.SZ,踢試產薛,20110609,13.009,
300093.SZ,踢試產薛,20110610,13.1464,
300093.SZ,踢試產薛,20110613,12.9596,
300093.SZ,踢試產薛,20110614,12.9047,
300093.SZ,踢試產薛,20110615,12.5201,
300093.SZ,踢試產薛,20110616,11.6851,
300093.SZ,踢試產薛,20110617,11.6576,
300093.SZ,踢試產薛,20110620,11.4763,
300093.SZ,踢試產薛,20110621,11.6301,
300093.SZ,踢試產薛,20110622,11.9158,
300093.SZ,踢試產薛,20110623,12.174,
300093.SZ,踢試產薛,20110624,12.3663,
300093.SZ,踢試產薛,20110627,13.6024,
300093.SZ,踢試產薛,20110628,13.1738,
300093.SZ,踢試產薛,20110629,12.6278,
300093.SZ,踢試產薛,20110630,13.7894,
300093.SZ,踢試產薛,20110701,13.6702,
300093.SZ,踢試產薛,20110704,14.2957,
300093.SZ,踢試產薛,20110705,13.9184,
