旗鷹,酒各,晩豚,辺徒勺(圷),
601966.SH,早艸態魅,20170126,25.3943,
601966.SH,早艸態魅,20170203,25.2355,
601966.SH,早艸態魅,20170206,25.6126,
601966.SH,早艸態魅,20170207,25.3745,
601966.SH,早艸態魅,20170208,25.9203,
601966.SH,早艸態魅,20170209,25.9699,
601966.SH,早艸態魅,20170210,25.7913,
601966.SH,早艸態魅,20170213,26.2676,
601966.SH,早艸態魅,20170214,26.1683,
601966.SH,早艸態魅,20170215,26.0592,
601966.SH,早艸態魅,20170216,26.1287,
601966.SH,早艸態魅,20170217,26.2775,
601966.SH,早艸態魅,20170220,26.605,
601966.SH,早艸態魅,20170221,26.5653,
601966.SH,早艸態魅,20170222,26.4859,
601966.SH,早艸態魅,20170223,27.1805,
601966.SH,早艸態魅,20170224,27.4485,
601966.SH,早艸態魅,20170227,27.1508,
601966.SH,早艸態魅,20170228,27.0019,
601966.SH,早艸態魅,20170301,26.7042,
601966.SH,早艸態魅,20170302,26.6447,
601966.SH,早艸態魅,20170303,26.5454,
601966.SH,早艸態魅,20170306,26.8531,
601966.SH,早艸態魅,20170307,26.9424,
601966.SH,早艸態魅,20170308,26.7141,
601966.SH,早艸態魅,20170309,26.1584,
601966.SH,早艸態魅,20170310,26.079,
601966.SH,早艸態魅,20170313,26.1882,
601966.SH,早艸態魅,20170314,26.476,
601966.SH,早艸態魅,20170315,26.218,
601966.SH,早艸態魅,20170316,26.7042,
601966.SH,早艸態魅,20170317,26.337,
601966.SH,早艸態魅,20170320,26.2676,
601966.SH,早艸態魅,20170321,26.208,
601966.SH,早艸態魅,20170322,25.8012,
601966.SH,早艸態魅,20170323,26.4065,
601966.SH,早艸態魅,20170324,26.3073,
601966.SH,早艸態魅,20170327,26.3767,
601966.SH,早艸態魅,20170328,25.9004,
601966.SH,早艸態魅,20170329,25.4439,
601966.SH,早艸態魅,20170330,24.7195,
601966.SH,早艸態魅,20170331,24.789,
601966.SH,早艸態魅,20170405,25.1065,
601966.SH,早艸態魅,20170406,25.0569,
601966.SH,早艸態魅,20170407,25.176,
601966.SH,早艸態魅,20170410,24.6798,
601966.SH,早艸態魅,20170411,24.7294,
601966.SH,早艸態魅,20170412,24.392,
601966.SH,早艸態魅,20170413,24.4119,
601966.SH,早艸態魅,20170414,24.0943,
601966.SH,早艸態魅,20170417,23.7073,
601966.SH,早艸態魅,20170418,23.5684,
601966.SH,早艸態魅,20170419,23.8462,
601966.SH,早艸態魅,20170420,23.4394,
601966.SH,早艸態魅,20170421,23.4394,
601966.SH,早艸態魅,20170424,22.8539,
601966.SH,早艸態魅,20170425,22.586,
601966.SH,早艸態魅,20170426,22.1394,
601966.SH,早艸態魅,20170427,22.1592,
601966.SH,早艸態魅,20170428,22.1989,
601966.SH,早艸態魅,20170502,22.1096,
601966.SH,早艸態魅,20170503,21.9806,
601966.SH,早艸態魅,20170504,21.9211,
601966.SH,早艸態魅,20170505,21.5638,
601966.SH,早艸態魅,20170508,20.8791,
601966.SH,早艸態魅,20170509,21.1768,
601966.SH,早艸態魅,20170510,20.8394,
601966.SH,早艸態魅,20170511,20.4028,
601966.SH,早艸態魅,20170512,20.1547,
601966.SH,早艸態魅,20170515,20.244,
601966.SH,早艸態魅,20170516,20.6707,
601966.SH,早艸態魅,20170517,20.7898,
601966.SH,早艸態魅,20170518,20.5417,
601966.SH,早艸態魅,20170519,20.6012,
601966.SH,早艸態魅,20170522,19.7677,
601966.SH,早艸態魅,20170523,18.5868,
601966.SH,早艸態魅,20170524,18.5471,
601966.SH,早艸態魅,20170525,18.6265,
601966.SH,早艸態魅,20170526,18.6959,
601966.SH,早艸態魅,20170531,18.7852,
601966.SH,早艸態魅,20170601,17.9814,
