ด๚ย๋,ผ๒ณฦ,ศีฦฺ,สีลฬผÛ(ิช),
600348.SH,ั๔ศชรบาต,20030821,1.1494,
600348.SH,ั๔ศชรบาต,20030822,1.1405,
600348.SH,ั๔ศชรบาต,20030825,1.1076,
600348.SH,ั๔ศชรบาต,20030826,1.1114,
600348.SH,ั๔ศชรบาต,20030827,1.1,
600348.SH,ั๔ศชรบาต,20030828,1.1025,
600348.SH,ั๔ศชรบาต,20030829,1.1088,
600348.SH,ั๔ศชรบาต,20030901,1.1456,
600348.SH,ั๔ศชรบาต,20030902,1.1456,
600348.SH,ั๔ศชรบาต,20030903,1.1329,
600348.SH,ั๔ศชรบาต,20030904,1.1278,
600348.SH,ั๔ศชรบาต,20030905,1.1013,
600348.SH,ั๔ศชรบาต,20030908,1.1013,
600348.SH,ั๔ศชรบาต,20030909,1.0886,
600348.SH,ั๔ศชรบาต,20030910,1.0911,
600348.SH,ั๔ศชรบาต,20030911,1.0886,
600348.SH,ั๔ศชรบาต,20030912,1.0683,
600348.SH,ั๔ศชรบาต,20030915,1.0544,
600348.SH,ั๔ศชรบาต,20030916,1.0658,
600348.SH,ั๔ศชรบาต,20030917,1.0544,
600348.SH,ั๔ศชรบาต,20030918,1.0544,
600348.SH,ั๔ศชรบาต,20030919,1.0658,
600348.SH,ั๔ศชรบาต,20030922,1.0683,
600348.SH,ั๔ศชรบาต,20030923,1.0721,
600348.SH,ั๔ศชรบาต,20030924,1.0671,
600348.SH,ั๔ศชรบาต,20030925,1.0544,
600348.SH,ั๔ศชรบาต,20030926,1.0645,
600348.SH,ั๔ศชรบาต,20030929,1.0595,
600348.SH,ั๔ศชรบาต,20030930,1.0633,
600348.SH,ั๔ศชรบาต,20031008,1.0721,
600348.SH,ั๔ศชรบาต,20031009,1.0696,
600348.SH,ั๔ศชรบาต,20031010,1.0899,
600348.SH,ั๔ศชรบาต,20031013,1.0899,
600348.SH,ั๔ศชรบาต,20031014,1.0873,
600348.SH,ั๔ศชรบาต,20031015,1.0734,
600348.SH,ั๔ศชรบาต,20031016,1.0696,
600348.SH,ั๔ศชรบาต,20031017,1.0633,
600348.SH,ั๔ศชรบาต,20031020,1.0683,
600348.SH,ั๔ศชรบาต,20031021,1.0633,
600348.SH,ั๔ศชรบาต,20031022,1.0911,
600348.SH,ั๔ศชรบาต,20031023,1.0823,
600348.SH,ั๔ศชรบาต,20031024,1.0975,
600348.SH,ั๔ศชรบาต,20031027,1.0886,
600348.SH,ั๔ศชรบาต,20031028,1.105,
600348.SH,ั๔ศชรบาต,20031029,1.0962,
600348.SH,ั๔ศชรบาต,20031030,1.0861,
600348.SH,ั๔ศชรบาต,20031031,1.1228,
600348.SH,ั๔ศชรบาต,20031103,1.138,
600348.SH,ั๔ศชรบาต,20031104,1.1329,
600348.SH,ั๔ศชรบาต,20031105,1.1531,
600348.SH,ั๔ศชรบาต,20031106,1.1418,
600348.SH,ั๔ศชรบาต,20031107,1.1316,
600348.SH,ั๔ศชรบาต,20031110,1.1329,
600348.SH,ั๔ศชรบาต,20031111,1.1266,
600348.SH,ั๔ศชรบาต,20031112,1.0873,
600348.SH,ั๔ศชรบาต,20031113,1.1063,
600348.SH,ั๔ศชรบาต,20031114,1.1114,
600348.SH,ั๔ศชรบาต,20031117,1.1063,
600348.SH,ั๔ศชรบาต,20031118,1.0975,
600348.SH,ั๔ศชรบาต,20031119,1.1139,
600348.SH,ั๔ศชรบาต,20031120,1.138,
600348.SH,ั๔ศชรบาต,20031121,1.138,
600348.SH,ั๔ศชรบาต,20031124,1.1595,
600348.SH,ั๔ศชรบาต,20031125,1.1645,
600348.SH,ั๔ศชรบาต,20031126,1.1772,
600348.SH,ั๔ศชรบาต,20031127,1.1658,
600348.SH,ั๔ศชรบาต,20031128,1.2202,
600348.SH,ั๔ศชรบาต,20031201,1.2291,
600348.SH,ั๔ศชรบาต,20031202,1.2342,
600348.SH,ั๔ศชรบาต,20031203,1.2582,
600348.SH,ั๔ศชรบาต,20031204,1.2658,
600348.SH,ั๔ศชรบาต,20031205,1.2557,
600348.SH,ั๔ศชรบาต,20031208,1.2785,
600348.SH,ั๔ศชรบาต,20031209,1.2772,
600348.SH,ั๔ศชรบาต,20031210,1.3304,
600348.SH,ั๔ศชรบาต,20031211,1.3544,
600348.SH,ั๔ศชรบาต,20031212,1.3392,
600348.SH,ั๔ศชรบาต,20031215,1.3202,
600348.SH,ั๔ศชรบาต,20031216,1.3342,
600348.SH,ั๔ศชรบาต,20031217,1.3253,
600348.SH,ั๔ศชรบาต,20031218,1.362,
600348.SH,ั๔ศชรบาต,20031219,1.3987,
600348.SH,ั๔ศชรบาต,20031222,1.4658,
600348.SH,ั๔ศชรบาต,20031223,1.4658,
600348.SH,ั๔ศชรบาต,20031224,1.5481,
600348.SH,ั๔ศชรบาต,20031225,1.5557,
600348.SH,ั๔ศชรบาต,20031226,1.5468,
600348.SH,ั๔ศชรบาต,20031229,1.5215,
600348.SH,ั๔ศชรบาต,20031230,1.5329,
600348.SH,ั๔ศชรบาต,20031231,1.4949,
600348.SH,ั๔ศชรบาต,20040102,1.4785,
600348.SH,ั๔ศชรบาต,20040105,1.5493,
600348.SH,ั๔ศชรบาต,20040106,1.5316,
600348.SH,ั๔ศชรบาต,20040107,1.5531,
600348.SH,ั๔ศชรบาต,20040108,1.5721,
600348.SH,ั๔ศชรบาต,20040109,1.5924,
600348.SH,ั๔ศชรบาต,20040112,1.6177,
600348.SH,ั๔ศชรบาต,20040113,1.581,
600348.SH,ั๔ศชรบาต,20040114,1.5202,
600348.SH,ั๔ศชรบาต,20040115,1.5367,
600348.SH,ั๔ศชรบาต,20040116,1.5607,
600348.SH,ั๔ศชรบาต,20040129,1.5177,
600348.SH,ั๔ศชรบาต,20040130,1.5025,
600348.SH,ั๔ศชรบาต,20040202,1.5228,
600348.SH,ั๔ศชรบาต,20040203,1.5316,
600348.SH,ั๔ศชรบาต,20040204,1.5899,
600348.SH,ั๔ศชรบาต,20040205,1.5633,
600348.SH,ั๔ศชรบาต,20040206,1.538,
600348.SH,ั๔ศชรบาต,20040209,1.5848,
600348.SH,ั๔ศชรบาต,20040210,1.6228,
600348.SH,ั๔ศชรบาต,20040211,1.5797,
600348.SH,ั๔ศชรบาต,20040212,1.5759,
600348.SH,ั๔ศชรบาต,20040213,1.6038,
600348.SH,ั๔ศชรบาต,20040216,1.6202,
600348.SH,ั๔ศชรบาต,20040217,1.5899,
600348.SH,ั๔ศชรบาต,20040218,1.6012,
600348.SH,ั๔ศชรบาต,20040219,1.5683,
600348.SH,ั๔ศชรบาต,20040220,1.543,
600348.SH,ั๔ศชรบาต,20040223,1.519,
600348.SH,ั๔ศชรบาต,20040224,1.5519,
600348.SH,ั๔ศชรบาต,20040225,1.5063,
600348.SH,ั๔ศชรบาต,20040226,1.5,
600348.SH,ั๔ศชรบาต,20040227,1.543,
600348.SH,ั๔ศชรบาต,20040301,1.538,
600348.SH,ั๔ศชรบาต,20040302,1.5202,
600348.SH,ั๔ศชรบาต,20040303,1.5101,
600348.SH,ั๔ศชรบาต,20040304,1.5063,
600348.SH,ั๔ศชรบาต,20040305,1.5088,
600348.SH,ั๔ศชรบาต,20040308,1.4848,
600348.SH,ั๔ศชรบาต,20040309,1.4569,
600348.SH,ั๔ศชรบาต,20040310,1.4848,
600348.SH,ั๔ศชรบาต,20040311,1.5088,
