╢ЗбК,╪РЁф,хуфз,йуел╪ш(т╙),
300582.SZ,с╒╥иль,20161228,14.2008,
300582.SZ,с╒╥иль,20161229,15.6223,
300582.SZ,с╒╥иль,20161230,17.1832,
300582.SZ,с╒╥иль,20170103,18.9035,
300582.SZ,с╒╥иль,20170104,20.7965,
300582.SZ,с╒╥иль,20170105,22.8755,
300582.SZ,с╒╥иль,20170106,25.1603,
300582.SZ,с╒╥иль,20170109,27.6777,
300582.SZ,с╒╥иль,20170110,30.4475,
300582.SZ,с╒╥иль,20170111,28.2556,
300582.SZ,с╒╥иль,20170112,25.4327,
300582.SZ,с╒╥иль,20170113,23.9382,
300582.SZ,с╒╥иль,20170116,23.1146,
300582.SZ,с╒╥иль,20170117,23.7788,
300582.SZ,с╒╥иль,20170118,22.0053,
300582.SZ,с╒╥иль,20170119,21.6334,
300582.SZ,с╒╥иль,20170120,22.3839,
300582.SZ,с╒╥иль,20170123,22.736,
300582.SZ,с╒╥иль,20170124,21.8393,
300582.SZ,с╒╥иль,20170125,22.3441,
300582.SZ,с╒╥иль,20170126,22.4836,
300582.SZ,с╒╥иль,20170203,22.809,
300582.SZ,с╒╥иль,20170206,25.0873,
300582.SZ,с╒╥иль,20170207,25.6386,
300582.SZ,с╒╥иль,20170208,26.2563,
300582.SZ,с╒╥иль,20170209,25.4194,
300582.SZ,с╒╥иль,20170210,24.1109,
300582.SZ,с╒╥иль,20170213,26.522,
300582.SZ,с╒╥иль,20170214,26.502,
300582.SZ,с╒╥иль,20170215,26.9072,
300582.SZ,с╒╥иль,20170216,26.4356,
300582.SZ,с╒╥иль,20170217,25.7714,
300582.SZ,с╒╥иль,20170220,25.0076,
300582.SZ,с╒╥иль,20170221,26.1367,
300582.SZ,с╒╥иль,20170222,25.6917,
300582.SZ,с╒╥иль,20170223,26.6083,
300582.SZ,с╒╥иль,20170224,27.0201,
300582.SZ,с╒╥иль,20170227,27.412,
300582.SZ,с╒╥иль,20170228,27.1596,
300582.SZ,с╒╥иль,20170301,26.1234,
300582.SZ,с╒╥иль,20170302,26.4688,
300582.SZ,с╒╥иль,20170303,25.891,
300582.SZ,с╒╥иль,20170306,26.8142,
300582.SZ,с╒╥иль,20170307,27.6246,
300582.SZ,с╒╥иль,20170308,28.1427,
300582.SZ,с╒╥иль,20170309,27.1663,
300582.SZ,с╒╥иль,20170310,27.1663,
300582.SZ,с╒╥иль,20170313,27.7375,
300582.SZ,с╒╥иль,20170314,28.1094,
300582.SZ,с╒╥иль,20170315,28.0231,
300582.SZ,с╒╥иль,20170316,28.9596,
300582.SZ,с╒╥иль,20170317,27.5914,
300582.SZ,с╒╥иль,20170320,28.6807,
300582.SZ,с╒╥иль,20170321,29.139,
300582.SZ,с╒╥иль,20170322,29.2452,
300582.SZ,с╒╥иль,20170323,28.8334,
300582.SZ,с╒╥иль,20170324,28.8334,
300582.SZ,с╒╥иль,20170327,28.7338,
300582.SZ,с╒╥иль,20170328,27.4718,
300582.SZ,с╒╥иль,20170329,25.1138,
300582.SZ,с╒╥иль,20170330,24.3301,
300582.SZ,с╒╥иль,20170331,24.2371,
300582.SZ,с╒╥иль,20170405,24.6888,
300582.SZ,с╒╥иль,20170406,24.815,
300582.SZ,с╒╥иль,20170407,24.0113,
300582.SZ,с╒╥иль,20170410,21.64,
300582.SZ,с╒╥иль,20170411,22.2511,
300582.SZ,с╒╥иль,20170412,21.6932,
300582.SZ,с╒╥иль,20170413,21.7463,
300582.SZ,с╒╥иль,20170414,21.2747,
300582.SZ,с╒╥иль,20170417,20.1721,
300582.SZ,с╒╥иль,20170418,20.1389,
300582.SZ,с╒╥иль,20170419,20.657,
300582.SZ,с╒╥иль,20170420,20.4179,
300582.SZ,с╒╥иль,20170421,20.3847,
