╢ЗбК,╪РЁф,хуфз,йуел╪ш(т╙),
603916.SH,ку╡╘ль,20171110,12.99,
603916.SH,ку╡╘ль,20171113,14.29,
603916.SH,ку╡╘ль,20171114,15.72,
603916.SH,ку╡╘ль,20171115,17.29,
603916.SH,ку╡╘ль,20171116,19.02,
603916.SH,ку╡╘ль,20171117,20.92,
603916.SH,ку╡╘ль,20171120,23.01,
603916.SH,ку╡╘ль,20171121,21.31,
603916.SH,ку╡╘ль,20171122,23.44,
603916.SH,ку╡╘ль,20171123,23.42,
603916.SH,ку╡╘ль,20171124,21.08,
603916.SH,ку╡╘ль,20171127,18.97,
603916.SH,ку╡╘ль,20171128,19.11,
603916.SH,ку╡╘ль,20171129,18.88,
603916.SH,ку╡╘ль,20171130,19.49,
603916.SH,ку╡╘ль,20171201,18.98,
603916.SH,ку╡╘ль,20171204,17.27,
603916.SH,ку╡╘ль,20171205,16.75,
603916.SH,ку╡╘ль,20171206,17.09,
603916.SH,ку╡╘ль,20171207,16.68,
603916.SH,ку╡╘ль,20171208,16.98,
603916.SH,ку╡╘ль,20171211,17.05,
603916.SH,ку╡╘ль,20171212,16.04,
603916.SH,ку╡╘ль,20171213,16.13,
603916.SH,ку╡╘ль,20171214,16.47,
603916.SH,ку╡╘ль,20171215,16.45,
603916.SH,ку╡╘ль,20171218,16.39,
603916.SH,ку╡╘ль,20171219,16.58,
603916.SH,ку╡╘ль,20171220,16.07,
603916.SH,ку╡╘ль,20171221,15.78,
603916.SH,ку╡╘ль,20171222,15.75,
603916.SH,ку╡╘ль,20171225,15.71,
603916.SH,ку╡╘ль,20171226,16.85,
603916.SH,ку╡╘ль,20171227,17.04,
603916.SH,ку╡╘ль,20171228,17.59,
603916.SH,ку╡╘ль,20171229,17.16,
603916.SH,ку╡╘ль,20180102,18.61,
603916.SH,ку╡╘ль,20180103,18.23,
603916.SH,ку╡╘ль,20180104,17.69,
603916.SH,ку╡╘ль,20180105,17.23,
603916.SH,ку╡╘ль,20180108,18.28,
603916.SH,ку╡╘ль,20180109,17.74,
603916.SH,ку╡╘ль,20180110,17.29,
603916.SH,ку╡╘ль,20180111,17.68,
603916.SH,ку╡╘ль,20180112,17.82,
603916.SH,ку╡╘ль,20180115,18.45,
603916.SH,ку╡╘ль,20180116,19.18,
603916.SH,ку╡╘ль,20180117,18.94,
603916.SH,ку╡╘ль,20180118,19.79,
603916.SH,ку╡╘ль,20180119,18.78,
603916.SH,ку╡╘ль,20180122,18.07,
603916.SH,ку╡╘ль,20180123,18.2,
603916.SH,ку╡╘ль,20180124,18.45,
603916.SH,ку╡╘ль,20180125,18.27,
603916.SH,ку╡╘ль,20180126,17.95,
603916.SH,ку╡╘ль,20180129,18.32,
603916.SH,ку╡╘ль,20180130,18.14,
603916.SH,ку╡╘ль,20180131,19.01,
603916.SH,ку╡╘ль,20180201,17.11,
603916.SH,ку╡╘ль,20180202,15.72,
603916.SH,ку╡╘ль,20180205,15.17,
603916.SH,ку╡╘ль,20180206,13.97,
603916.SH,ку╡╘ль,20180207,14.21,
603916.SH,ку╡╘ль,20180208,14.33,
603916.SH,ку╡╘ль,20180209,13.57,
603916.SH,ку╡╘ль,20180212,13.99,
603916.SH,ку╡╘ль,20180213,13.87,
603916.SH,ку╡╘ль,20180214,13.82,
603916.SH,ку╡╘ль,20180222,14.15,
603916.SH,ку╡╘ль,20180223,14.56,
603916.SH,ку╡╘ль,20180226,14.94,
603916.SH,ку╡╘ль,20180227,14.89,
603916.SH,ку╡╘ль,20180228,14.61,
603916.SH,ку╡╘ль,20180301,14.63,
603916.SH,ку╡╘ль,20180302,14.36,
603916.SH,ку╡╘ль,20180305,14.52,
603916.SH,ку╡╘ль,20180306,14.88,
603916.SH,ку╡╘ль,20180307,14.75,
603916.SH,ку╡╘ль,20180308,15.22,
603916.SH,ку╡╘ль,20180309,15.3,
603916.SH,ку╡╘ль,20180312,15.41,
603916.SH,ку╡╘ль,20180313,14.94,
603916.SH,ку╡╘ль,20180314,15.77,
603916.SH,ку╡╘ль,20180315,15.11,
603916.SH,ку╡╘ль,20180316,15.19,
603916.SH,ку╡╘ль,20180319,15.93,
603916.SH,ку╡╘ль,20180320,15.85,
603916.SH,ку╡╘ль,20180321,15.52,
603916.SH,ку╡╘ль,20180322,15.43,
603916.SH,ку╡╘ль,20180323,13.89,
603916.SH,ку╡╘ль,20180326,14.14,
