ด๚ย๋,ผ๒ณฦ,ศีฦฺ,สีลฬผÛ(ิช),
002878.SZ,ิชยกัลอผ,20170606,20.85,
002878.SZ,ิชยกัลอผ,20170607,22.94,
002878.SZ,ิชยกัลอผ,20170608,25.23,
002878.SZ,ิชยกัลอผ,20170609,27.75,
002878.SZ,ิชยกัลอผ,20170612,30.53,
002878.SZ,ิชยกัลอผ,20170613,33.58,
002878.SZ,ิชยกัลอผ,20170614,36.94,
002878.SZ,ิชยกัลอผ,20170615,40.63,
002878.SZ,ิชยกัลอผ,20170616,43,
002878.SZ,ิชยกัลอผ,20170619,38.75,
002878.SZ,ิชยกัลอผ,20170620,38.89,
002878.SZ,ิชยกัลอผ,20170621,39.3,
002878.SZ,ิชยกัลอผ,20170622,37.93,
002878.SZ,ิชยกัลอผ,20170623,36.63,
002878.SZ,ิชยกัลอผ,20170626,36.75,
002878.SZ,ิชยกัลอผ,20170627,36.88,
002878.SZ,ิชยกัลอผ,20170628,35.57,
002878.SZ,ิชยกัลอผ,20170629,35.58,
002878.SZ,ิชยกัลอผ,20170630,36.81,
002878.SZ,ิชยกัลอผ,20170703,36.76,
002878.SZ,ิชยกัลอผ,20170704,37.22,
002878.SZ,ิชยกัลอผ,20170705,38.23,
002878.SZ,ิชยกัลอผ,20170706,38.38,
002878.SZ,ิชยกัลอผ,20170707,39.19,
002878.SZ,ิชยกัลอผ,20170710,36.76,
002878.SZ,ิชยกัลอผ,20170711,35.83,
002878.SZ,ิชยกัลอผ,20170712,36.85,
002878.SZ,ิชยกัลอผ,20170713,36.26,
002878.SZ,ิชยกัลอผ,20170714,35.1,
002878.SZ,ิชยกัลอผ,20170717,31.59,
002878.SZ,ิชยกัลอผ,20170718,31.88,
002878.SZ,ิชยกัลอผ,20170719,31.66,
002878.SZ,ิชยกัลอผ,20170720,31.83,
002878.SZ,ิชยกัลอผ,20170721,31.98,
002878.SZ,ิชยกัลอผ,20170724,33.45,
002878.SZ,ิชยกัลอผ,20170725,34.4,
002878.SZ,ิชยกัลอผ,20170726,32.44,
002878.SZ,ิชยกัลอผ,20170727,33.12,
002878.SZ,ิชยกัลอผ,20170728,32.14,
002878.SZ,ิชยกัลอผ,20170731,31.94,
002878.SZ,ิชยกัลอผ,20170801,31.99,
002878.SZ,ิชยกัลอผ,20170802,31.8,
002878.SZ,ิชยกัลอผ,20170803,32.14,
002878.SZ,ิชยกัลอผ,20170804,31.6,
