ґъВл,јтіЖ,ИХЖЪ,КХЕМјЫ(ФЄ),
603003.SH,БъУоИјУН,20130228,11.007,
603003.SH,БъУоИјУН,20130301,11.1062,
603003.SH,БъУоИјУН,20130304,10.4115,
603003.SH,БъУоИјУН,20130305,10.6398,
603003.SH,БъУоИјУН,20130306,10.7688,
603003.SH,БъУоИјУН,20130307,10.8283,
603003.SH,БъУоИјУН,20130308,11.0765,
603003.SH,БъУоИјУН,20130311,11.0665,
603003.SH,БъУоИјУН,20130312,10.739,
603003.SH,БъУоИјУН,20130313,10.5207,
603003.SH,БъУоИјУН,20130314,10.7192,
603003.SH,БъУоИјУН,20130315,10.7489,
603003.SH,БъУоИјУН,20130318,10.1236,
603003.SH,БъУоИјУН,20130319,10.213,
603003.SH,БъУоИјУН,20130320,10.5802,
603003.SH,БъУоИјУН,20130321,10.6298,
603003.SH,БъУоИјУН,20130322,10.7787,
603003.SH,БъУоИјУН,20130325,10.7092,
603003.SH,БъУоИјУН,20130326,10.3023,
603003.SH,БъУоИјУН,20130327,10.1633,
603003.SH,БъУоИјУН,20130328,9.9251,
603003.SH,БъУоИјУН,20130329,9.9351,
603003.SH,БъУоИјУН,20130401,9.945,
603003.SH,БъУоИјУН,20130402,9.8755,
603003.SH,БъУоИјУН,20130403,9.4984,
603003.SH,БъУоИјУН,20130408,9.3693,
603003.SH,БъУоИјУН,20130409,9.548,
603003.SH,БъУоИјУН,20130410,9.419,
603003.SH,БъУоИјУН,20130411,9.1212,
603003.SH,БъУоИјУН,20130412,9.012,
603003.SH,БъУоИјУН,20130415,8.7341,
603003.SH,БъУоИјУН,20130416,8.8532,
603003.SH,БъУоИјУН,20130417,9.1113,
603003.SH,БъУоИјУН,20130418,9.012,
603003.SH,БъУоИјУН,20130419,9.2602,
603003.SH,БъУоИјУН,20130422,9.151,
603003.SH,БъУоИјУН,20130423,8.7143,
603003.SH,БъУоИјУН,20130424,8.9029,
603003.SH,БъУоИјУН,20130425,8.6746,
603003.SH,БъУоИјУН,20130426,8.0592,
603003.SH,БъУоИјУН,20130502,7.9004,
603003.SH,БъУоИјУН,20130503,8.0592,
603003.SH,БъУоИјУН,20130506,8.218,
603003.SH,БъУоИјУН,20130507,8.2478,
603003.SH,БъУоИјУН,20130508,8.2676,
