╢ЗбК,╪РЁф,хуфз,йуел╪ш(т╙),
002910.SZ,в╞т╟даЁ║,20171031,10.74,
002910.SZ,в╞т╟даЁ║,20171101,11.81,
002910.SZ,в╞т╟даЁ║,20171102,12.99,
002910.SZ,в╞т╟даЁ║,20171103,14.29,
002910.SZ,в╞т╟даЁ║,20171106,15.72,
002910.SZ,в╞т╟даЁ║,20171107,17.29,
002910.SZ,в╞т╟даЁ║,20171108,19.02,
002910.SZ,в╞т╟даЁ║,20171109,20.92,
002910.SZ,в╞т╟даЁ║,20171110,23.01,
002910.SZ,в╞т╟даЁ║,20171113,23.01,
002910.SZ,в╞т╟даЁ║,20171114,23.01,
002910.SZ,в╞т╟даЁ║,20171115,25.31,
002910.SZ,в╞т╟даЁ║,20171116,27.84,
002910.SZ,в╞т╟даЁ║,20171117,30.62,
002910.SZ,в╞т╟даЁ║,20171120,31.67,
002910.SZ,в╞т╟даЁ║,20171121,28.5,
002910.SZ,в╞т╟даЁ║,20171122,26.09,
002910.SZ,в╞т╟даЁ║,20171123,23.48,
002910.SZ,в╞т╟даЁ║,20171124,22.04,
002910.SZ,в╞т╟даЁ║,20171127,22.73,
002910.SZ,в╞т╟даЁ║,20171128,22.9,
002910.SZ,в╞т╟даЁ║,20171129,21.66,
002910.SZ,в╞т╟даЁ║,20171130,22.09,
002910.SZ,в╞т╟даЁ║,20171201,21.23,
002910.SZ,в╞т╟даЁ║,20171204,19.11,
002910.SZ,в╞т╟даЁ║,20171205,17.88,
002910.SZ,в╞т╟даЁ║,20171206,18.63,
002910.SZ,в╞т╟даЁ║,20171207,18.01,
002910.SZ,в╞т╟даЁ║,20171208,18.6,
002910.SZ,в╞т╟даЁ║,20171211,18.76,
002910.SZ,в╞т╟даЁ║,20171212,17.49,
002910.SZ,в╞т╟даЁ║,20171213,17.7,
002910.SZ,в╞т╟даЁ║,20171214,18.01,
002910.SZ,в╞т╟даЁ║,20171215,18.17,
002910.SZ,в╞т╟даЁ║,20171218,17.83,
002910.SZ,в╞т╟даЁ║,20171219,18.34,
002910.SZ,в╞т╟даЁ║,20171220,17.69,
002910.SZ,в╞т╟даЁ║,20171221,17.38,
002910.SZ,в╞т╟даЁ║,20171222,17.44,
002910.SZ,в╞т╟даЁ║,20171225,19.18,
002910.SZ,в╞т╟даЁ║,20171226,21.1,
002910.SZ,в╞т╟даЁ║,20171227,21.53,
002910.SZ,в╞т╟даЁ║,20171228,22,
002910.SZ,в╞т╟даЁ║,20171229,20.6,
002910.SZ,в╞т╟даЁ║,20180102,21.33,
002910.SZ,в╞т╟даЁ║,20180103,21.06,
002910.SZ,в╞т╟даЁ║,20180104,20.78,
002910.SZ,в╞т╟даЁ║,20180105,21.1,
002910.SZ,в╞т╟даЁ║,20180108,22.14,
002910.SZ,в╞т╟даЁ║,20180109,23.64,
002910.SZ,в╞т╟даЁ║,20180110,22.98,
002910.SZ,в╞т╟даЁ║,20180111,24.44,
002910.SZ,в╞т╟даЁ║,20180112,23.5,
002910.SZ,в╞т╟даЁ║,20180115,21.86,
002910.SZ,в╞т╟даЁ║,20180116,22.72,
002910.SZ,в╞т╟даЁ║,20180117,24.99,
002910.SZ,в╞т╟даЁ║,20180118,24.47,
002910.SZ,в╞т╟даЁ║,20180119,24.76,
002910.SZ,в╞т╟даЁ║,20180122,23.4,
002910.SZ,в╞т╟даЁ║,20180123,24.72,
002910.SZ,в╞т╟даЁ║,20180124,25.43,
002910.SZ,в╞т╟даЁ║,20180125,24.21,
002910.SZ,в╞т╟даЁ║,20180126,24.2,
002910.SZ,в╞т╟даЁ║,20180129,24.41,
002910.SZ,в╞т╟даЁ║,20180130,23.43,
002910.SZ,в╞т╟даЁ║,20180131,21.09,
002910.SZ,в╞т╟даЁ║,20180201,19.62,
002910.SZ,в╞т╟даЁ║,20180202,19.47,
002910.SZ,в╞т╟даЁ║,20180205,19.58,
002910.SZ,в╞т╟даЁ║,20180206,17.62,
002910.SZ,в╞т╟даЁ║,20180207,17.88,
002910.SZ,в╞т╟даЁ║,20180208,17.8,
002910.SZ,в╞т╟даЁ║,20180209,16.02,
002910.SZ,в╞т╟даЁ║,20180212,16.53,
002910.SZ,в╞т╟даЁ║,20180213,16.3,
002910.SZ,в╞т╟даЁ║,20180214,16.14,
002910.SZ,в╞т╟даЁ║,20180222,16.71,
002910.SZ,в╞т╟даЁ║,20180223,17.83,
002910.SZ,в╞т╟даЁ║,20180226,18.4,
002910.SZ,в╞т╟даЁ║,20180227,18.45,
002910.SZ,в╞т╟даЁ║,20180228,17.88,
002910.SZ,в╞т╟даЁ║,20180301,17.98,
002910.SZ,в╞т╟даЁ║,20180302,17.47,
002910.SZ,в╞т╟даЁ║,20180305,18.18,
002910.SZ,в╞т╟даЁ║,20180306,18.96,
002910.SZ,в╞т╟даЁ║,20180307,18.52,
002910.SZ,в╞т╟даЁ║,20180308,19.3,
002910.SZ,в╞т╟даЁ║,20180309,19.41,
002910.SZ,в╞т╟даЁ║,20180312,19.45,
002910.SZ,в╞т╟даЁ║,20180313,18.67,
002910.SZ,в╞т╟даЁ║,20180314,18.82,
002910.SZ,в╞т╟даЁ║,20180315,17.36,
002910.SZ,в╞т╟даЁ║,20180316,17.35,
002910.SZ,в╞т╟даЁ║,20180319,18.57,
002910.SZ,в╞т╟даЁ║,20180320,18.4,
002910.SZ,в╞т╟даЁ║,20180321,18.66,
002910.SZ,в╞т╟даЁ║,20180322,19.66,
002910.SZ,в╞т╟даЁ║,20180323,21.63,
002910.SZ,в╞т╟даЁ║,20180326,22.36,
