´úÂë,¼ò³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ôª),
000423.SZ,¶«°¢°¢½º,19960729,1.1704,
000423.SZ,¶«°¢°¢½º,19960730,1.186,
000423.SZ,¶«°¢°¢½º,19960731,1.1296,
000423.SZ,¶«°¢°¢½º,19960801,1.0951,
000423.SZ,¶«°¢°¢½º,19960802,1.0627,
000423.SZ,¶«°¢°¢½º,19960805,1.0554,
000423.SZ,¶«°¢°¢½º,19960806,1.1338,
000423.SZ,¶«°¢°¢½º,19960807,1.1495,
000423.SZ,¶«°¢°¢½º,19960808,1.2331,
000423.SZ,¶«°¢°¢½º,19960809,1.2456,
000423.SZ,¶«°¢°¢½º,19960812,1.2602,
000423.SZ,¶«°¢°¢½º,19960813,1.2362,
000423.SZ,¶«°¢°¢½º,19960814,1.2466,
000423.SZ,¶«°¢°¢½º,19960815,1.2174,
000423.SZ,¶«°¢°¢½º,19960816,1.2205,
000423.SZ,¶«°¢°¢½º,19960819,1.1808,
000423.SZ,¶«°¢°¢½º,19960820,1.1547,
000423.SZ,¶«°¢°¢½º,19960821,1.1651,
000423.SZ,¶«°¢°¢½º,19960822,1.1463,
000423.SZ,¶«°¢°¢½º,19960823,1.1233,
000423.SZ,¶«°¢°¢½º,19960826,1.1338,
000423.SZ,¶«°¢°¢½º,19960827,1.1641,
000423.SZ,¶«°¢°¢½º,19960828,1.1724,
000423.SZ,¶«°¢°¢½º,19960829,1.254,
000423.SZ,¶«°¢°¢½º,19960830,1.2895,
000423.SZ,¶«°¢°¢½º,19960902,1.2728,
000423.SZ,¶«°¢°¢½º,19960903,1.3793,
000423.SZ,¶«°¢°¢½º,19960904,1.418,
000423.SZ,¶«°¢°¢½º,19960905,1.3616,
000423.SZ,¶«°¢°¢½º,19960906,1.3062,
000423.SZ,¶«°¢°¢½º,19960909,1.2748,
000423.SZ,¶«°¢°¢½º,19960910,1.1913,
000423.SZ,¶«°¢°¢½º,19960911,1.2174,
000423.SZ,¶«°¢°¢½º,19960912,1.1704,
000423.SZ,¶«°¢°¢½º,19960913,1.1913,
000423.SZ,¶«°¢°¢½º,19960916,1.1996,
000423.SZ,¶«°¢°¢½º,19960917,1.2122,
000423.SZ,¶«°¢°¢½º,19960918,1.1286,
000423.SZ,¶«°¢°¢½º,19960919,1.1348,
000423.SZ,¶«°¢°¢½º,19960920,1.162,
000423.SZ,¶«°¢°¢½º,19960923,1.2205,
000423.SZ,¶«°¢°¢½º,19960924,1.2414,
000423.SZ,¶«°¢°¢½º,19960925,1.2278,
000423.SZ,¶«°¢°¢½º,19960926,1.2226,
000423.SZ,¶«°¢°¢½º,19960927,1.278,
000423.SZ,¶«°¢°¢½º,19961003,1.2769,
000423.SZ,¶«°¢°¢½º,19961004,1.2519,
000423.SZ,¶«°¢°¢½º,19961007,1.3052,
000423.SZ,¶«°¢°¢½º,19961008,1.3166,
000423.SZ,¶«°¢°¢½º,19961009,1.2801,
