代码,简称,日期,收盘价(元),
002455.SZ,百川股份,20100803,5.6549,
002455.SZ,百川股份,20100804,5.516,
002455.SZ,百川股份,20100805,5.3532,
002455.SZ,百川股份,20100806,5.3241,
002455.SZ,百川股份,20100809,5.468,
002455.SZ,百川股份,20100810,5.2778,
002455.SZ,百川股份,20100811,5.4286,
002455.SZ,百川股份,20100812,5.5332,
002455.SZ,百川股份,20100813,5.5023,
002455.SZ,百川股份,20100816,5.528,
002455.SZ,百川股份,20100817,5.5075,
002455.SZ,百川股份,20100818,5.3961,
002455.SZ,百川股份,20100819,5.4012,
002455.SZ,百川股份,20100820,5.3241,
002455.SZ,百川股份,20100823,5.2709,
002455.SZ,百川股份,20100824,5.3189,
002455.SZ,百川股份,20100825,5.2966,
002455.SZ,百川股份,20100826,5.2246,
002455.SZ,百川股份,20100827,5.2624,
002455.SZ,百川股份,20100830,5.3823,
002455.SZ,百川股份,20100831,5.4235,
002455.SZ,百川股份,20100901,5.4218,
002455.SZ,百川股份,20100902,5.5932,
002455.SZ,百川股份,20100903,5.5418,
002455.SZ,百川股份,20100906,5.3618,
002455.SZ,百川股份,20100907,5.4149,
002455.SZ,百川股份,20100908,5.4218,
002455.SZ,百川股份,20100909,5.3018,
002455.SZ,百川股份,20100910,5.3378,
002455.SZ,百川股份,20100913,5.4269,
002455.SZ,百川股份,20100914,5.3652,
002455.SZ,百川股份,20100915,5.2041,
002455.SZ,百川股份,20100916,5.2264,
002455.SZ,百川股份,20100917,5.2264,
002455.SZ,百川股份,20100920,4.8972,
002455.SZ,百川股份,20100921,4.851,
002455.SZ,百川股份,20100927,4.9092,
002455.SZ,百川股份,20100928,4.7927,
002455.SZ,百川股份,20100929,4.7893,
002455.SZ,百川股份,20100930,4.827,
002455.SZ,百川股份,20101008,4.9247,
002455.SZ,百川股份,20101011,4.9315,
002455.SZ,百川股份,20101012,4.9538,
002455.SZ,百川股份,20101013,4.9367,
002455.SZ,百川股份,20101014,4.7961,
002455.SZ,百川股份,20101015,4.6127,
002455.SZ,百川股份,20101018,4.7738,
002455.SZ,百川股份,20101019,4.9041,
002455.SZ,百川股份,20101020,4.8355,
002455.SZ,百川股份,20101021,4.8424,
002455.SZ,百川股份,20101022,4.8732,
002455.SZ,百川股份,20101025,4.9744,
002455.SZ,百川股份,20101026,5.0189,
002455.SZ,百川股份,20101027,4.9984,
002455.SZ,百川股份,20101028,4.9247,
002455.SZ,百川股份,20101029,5.0361,
002455.SZ,百川股份,20101101,5.1458,
002455.SZ,百川股份,20101102,5.0532,
002455.SZ,百川股份,20101103,4.8167,
002455.SZ,百川股份,20101104,4.9024,
002455.SZ,百川股份,20101105,4.9624,
002455.SZ,百川股份,20101108,5.1406,
002455.SZ,百川股份,20101109,5.1646,
002455.SZ,百川股份,20101110,5.2641,
002455.SZ,百川股份,20101111,5.1938,
002455.SZ,百川股份,20101112,4.9984,
002455.SZ,百川股份,20101115,5.4732,
002455.SZ,百川股份,20101116,5.3138,
002455.SZ,百川股份,20101117,5.3823,
002455.SZ,百川股份,20101118,5.6652,
002455.SZ,百川股份,20101119,5.6823,
002455.SZ,百川股份,20101122,5.6909,
002455.SZ,百川股份,20101123,5.7594,
002455.SZ,百川股份,20101124,5.8846,
002455.SZ,百川股份,20101125,5.6566,
002455.SZ,百川股份,20101126,5.708,
002455.SZ,百川股份,20101129,5.768,
002455.SZ,百川股份,20101130,5.9874,
002455.SZ,百川股份,20101201,5.9703,
002455.SZ,百川股份,20101202,5.9274,
002455.SZ,百川股份,20101203,5.708,
002455.SZ,百川股份,20101206,5.6052,
002455.SZ,百川股份,20101207,5.6875,
002455.SZ,百川股份,20101208,5.6566,
002455.SZ,百川股份,20101209,5.5812,
002455.SZ,百川股份,20101210,5.6566,
002455.SZ,百川股份,20101213,5.8297,
002455.SZ,百川股份,20101214,5.9446,
002455.SZ,百川股份,20101215,5.9309,
002455.SZ,百川股份,20101216,5.9137,
002455.SZ,百川股份,20101217,6.1023,
002455.SZ,百川股份,20101220,6.2188,
002455.SZ,百川股份,20101221,6.2908,
002455.SZ,百川股份,20101222,6.1708,
002455.SZ,百川股份,20101223,5.9531,
002455.SZ,百川股份,20101224,5.9137,
002455.SZ,百川股份,20101227,5.7337,
002455.SZ,百川股份,20101228,5.6995,
002455.SZ,百川股份,20101229,5.876,
002455.SZ,百川股份,20101230,5.984,
002455.SZ,百川股份,20101231,6.1708,
002455.SZ,百川股份,20110104,6.1674,
002455.SZ,百川股份,20110105,6.1708,
002455.SZ,百川股份,20110106,6.1691,
002455.SZ,百川股份,20110107,6.0508,
002455.SZ,百川股份,20110110,5.9291,
002455.SZ,百川股份,20110111,5.7766,
002455.SZ,百川股份,20110112,5.8794,
002455.SZ,百川股份,20110113,5.9343,
002455.SZ,百川股份,20110114,5.78,
002455.SZ,百川股份,20110117,5.5229,
002455.SZ,百川股份,20110118,5.516,
