ґъВл,јтіЖ,ИХЖЪ,КХЕМјЫ(ФЄ),
002776.SZ,°Ш±¤Бъ,20150626,16.6778,
002776.SZ,°Ш±¤Бъ,20150629,18.3435,
002776.SZ,°Ш±¤Бъ,20150630,20.1784,
002776.SZ,°Ш±¤Бъ,20150701,22.1972,
002776.SZ,°Ш±¤Бъ,20150702,24.415,
002776.SZ,°Ш±¤Бъ,20150703,26.8565,
002776.SZ,°Ш±¤Бъ,20150706,24.1713,
002776.SZ,°Ш±¤Бъ,20150707,21.7547,
002776.SZ,°Ш±¤Бъ,20150708,19.5817,
002776.SZ,°Ш±¤Бъ,20150709,21.5409,
002776.SZ,°Ш±¤Бъ,20150710,23.6939,
002776.SZ,°Ш±¤Бъ,20150713,26.0658,
002776.SZ,°Ш±¤Бъ,20150714,28.6714,
002776.SZ,°Ш±¤Бъ,20150715,25.8023,
002776.SZ,°Ш±¤Бъ,20150716,23.7288,
002776.SZ,°Ш±¤Бъ,20150717,24.9769,
002776.SZ,°Ш±¤Бъ,20150720,23.8481,
002776.SZ,°Ш±¤Бъ,20150721,24.5144,
002776.SZ,°Ш±¤Бъ,20150722,24.6238,
002776.SZ,°Ш±¤Бъ,20150723,27.0852,
002776.SZ,°Ш±¤Бъ,20150724,29.7952,
002776.SZ,°Ш±¤Бъ,20150727,26.941,
002776.SZ,°Ш±¤Бъ,20150728,28.8405,
002776.SZ,°Ш±¤Бъ,20150729,31.7245,
002776.SZ,°Ш±¤Бъ,20150730,32.5699,
002776.SZ,°Ш±¤Бъ,20150731,34.0119,
002776.SZ,°Ш±¤Бъ,20150803,31.2024,
002776.SZ,°Ш±¤Бъ,20150804,29.9643,
002776.SZ,°Ш±¤Бъ,20150805,31.2024,
002776.SZ,°Ш±¤Бъ,20150806,29.2681,
002776.SZ,°Ш±¤Бъ,20150807,29.7703,
002776.SZ,°Ш±¤Бъ,20150810,30.8295,
002776.SZ,°Ш±¤Бъ,20150811,31.4312,
002776.SZ,°Ш±¤Бъ,20150812,29.5864,
002776.SZ,°Ш±¤Бъ,20150813,29.835,
002776.SZ,°Ш±¤Бъ,20150814,29.7554,
002776.SZ,°Ш±¤Бъ,20150817,27.7465,
002776.SZ,°Ш±¤Бъ,20150818,24.9868,
002776.SZ,°Ш±¤Бъ,20150819,25.5537,
002776.SZ,°Ш±¤Бъ,20150820,23.9724,
002776.SZ,°Ш±¤Бъ,20150821,22.0779,
002776.SZ,°Ш±¤Бъ,20150824,19.8701,
002776.SZ,°Ш±¤Бъ,20150825,18.0899,
002776.SZ,°Ш±¤Бъ,20150826,19.8999,
002776.SZ,°Ш±¤Бъ,20150827,21.3469,
002776.SZ,°Ш±¤Бъ,20150828,22.0033,
002776.SZ,°Ш±¤Бъ,20150831,19.8055,
002776.SZ,°Ш±¤Бъ,20150901,17.8264,
002776.SZ,°Ш±¤Бъ,20150902,17.6126,
002776.SZ,°Ш±¤Бъ,20150907,18.2192,
002776.SZ,°Ш±¤Бъ,20150908,19.9894,
002776.SZ,°Ш±¤Бъ,20150909,20.3872,
002776.SZ,°Ш±¤Бъ,20150910,19.2933,
002776.SZ,°Ш±¤Бъ,20150911,19.7259,
002776.SZ,°Ш±¤Бъ,20150914,17.7518,
002776.SZ,°Ш±¤Бъ,20150915,17.3142,
002776.SZ,°Ш±¤Бъ,20150916,19.0397,
002776.SZ,°Ш±¤Бъ,20150917,18.3187,
002776.SZ,°Ш±¤Бъ,20150918,18.4877,
002776.SZ,°Ш±¤Бъ,20150921,19.3927,
002776.SZ,°Ш±¤Бъ,20150922,19.343,
002776.SZ,°Ш±¤Бъ,20150923,19.5419,
002776.SZ,°Ш±¤Бъ,20150924,19.6215,
002776.SZ,°Ш±¤Бъ,20150925,18.264,
002776.SZ,°Ш±¤Бъ,20150928,19.0198,
002776.SZ,°Ш±¤Бъ,20150929,18.5673,
002776.SZ,°Ш±¤Бъ,20150930,18.8458,
002776.SZ,°Ш±¤Бъ,20151008,19.89,
002776.SZ,°Ш±¤Бъ,20151009,19.9745,
002776.SZ,°Ш±¤Бъ,20151012,21.0386,
002776.SZ,°Ш±¤Бъ,20151013,20.9143,
002776.SZ,°Ш±¤Бъ,20151014,20.79,
002776.SZ,°Ш±¤Бъ,20151015,21.6751,
002776.SZ,°Ш±¤Бъ,20151016,21.4862,
002776.SZ,°Ш±¤Бъ,20151019,22.0282,
002776.SZ,°Ш±¤Бъ,20151020,24.231,
002776.SZ,°Ш±¤Бъ,20151021,21.9635,
002776.SZ,°Ш±¤Бъ,20151022,23.5448,
002776.SZ,°Ш±¤Бъ,20151023,23.863,
002776.SZ,°Ш±¤Бъ,20151026,24.6536,
002776.SZ,°Ш±¤Бъ,20151027,24.9619,
002776.SZ,°Ш±¤Бъ,20151028,23.9426,
002776.SZ,°Ш±¤Бъ,20151029,24.4995,
002776.SZ,°Ш±¤Бъ,20151030,24.7481,
002776.SZ,°Ш±¤Бъ,20151102,25.6581,
002776.SZ,°Ш±¤Бъ,20151103,26.3145,
002776.SZ,°Ш±¤Бъ,20151104,26.9509,
002776.SZ,°Ш±¤Бъ,20151105,27.9952,
002776.SZ,°Ш±¤Бъ,20151106,29.5864,
002776.SZ,°Ш±¤Бъ,20151109,32.3461,
002776.SZ,°Ш±¤Бъ,20151110,32.177,
002776.SZ,°Ш±¤Бъ,20151111,35.3942,
002776.SZ,°Ш±¤Бъ,20151112,36.2048,
002776.SZ,°Ш±¤Бъ,20151113,32.5848,
002776.SZ,°Ш±¤Бъ,20151116,32.1273,
002776.SZ,°Ш±¤Бъ,20151117,31.1079,
002776.SZ,°Ш±¤Бъ,20151118,29.4322,
002776.SZ,°Ш±¤Бъ,20151119,32.3759,
002776.SZ,°Ш±¤Бъ,20151120,33.8528,
002776.SZ,°Ш±¤Бъ,20151123,31.5754,
002776.SZ,°Ш±¤Бъ,20151124,34.7329,
002776.SZ,°Ш±¤Бъ,20151125,34.9069,
002776.SZ,°Ш±¤Бъ,20151126,34.5986,
002776.SZ,°Ш±¤Бъ,20151127,34.0765,
002776.SZ,°Ш±¤Бъ,20151130,36.2048,
002776.SZ,°Ш±¤Бъ,20151201,33.266,
002776.SZ,°Ш±¤Бъ,20151202,31.6748,
002776.SZ,°Ш±¤Бъ,20151203,33.1616,
002776.SZ,°Ш±¤Бъ,20151204,32.7638,
