ด๚ย๋,ผ๒ณฦ,ศีฦฺ,สีลฬผÛ(ิช),
603336.SH,บ๊ปิน๛ส฿,20161124,13.3063,
603336.SH,บ๊ปิน๛ส฿,20161125,14.6359,
603336.SH,บ๊ปิน๛ส฿,20161128,16.1045,
603336.SH,บ๊ปิน๛ส฿,20161129,17.712,
603336.SH,บ๊ปิน๛ส฿,20161130,19.4881,
603336.SH,บ๊ปิน๛ส฿,20161201,21.433,
603336.SH,บ๊ปิน๛ส฿,20161202,23.5762,
603336.SH,บ๊ปิน๛ส฿,20161205,25.9378,
603336.SH,บ๊ปิน๛ส฿,20161206,28.5277,
603336.SH,บ๊ปิน๛ส฿,20161207,31.3854,
603336.SH,บ๊ปิน๛ส฿,20161208,34.5209,
603336.SH,บ๊ปิน๛ส฿,20161209,37.974,
603336.SH,บ๊ปิน๛ส฿,20161212,41.7744,
603336.SH,บ๊ปิน๛ส฿,20161213,45.9519,
603336.SH,บ๊ปิน๛ส฿,20161214,48.9584,
603336.SH,บ๊ปิน๛ส฿,20161215,53.8503,
603336.SH,บ๊ปิน๛ส฿,20161216,59.2383,
603336.SH,บ๊ปิน๛ส฿,20161219,53.3145,
603336.SH,บ๊ปิน๛ส฿,20161220,49.137,
603336.SH,บ๊ปิน๛ส฿,20161221,48.4623,
603336.SH,บ๊ปิน๛ส฿,20161222,48.3234,
603336.SH,บ๊ปิน๛ส฿,20161223,43.501,
603336.SH,บ๊ปิน๛ส฿,20161226,43.749,
603336.SH,บ๊ปิน๛ส฿,20161227,44.2452,
603336.SH,บ๊ปิน๛ส฿,20161228,42.8262,
603336.SH,บ๊ปิน๛ส฿,20161229,43.104,
603336.SH,บ๊ปิน๛ส฿,20161230,46.706,
603336.SH,บ๊ปิน๛ส฿,20170103,46.319,
603336.SH,บ๊ปิน๛ส฿,20170104,45.7236,
603336.SH,บ๊ปิน๛ส฿,20170105,42.8758,
603336.SH,บ๊ปิน๛ส฿,20170106,39.8891,
603336.SH,บ๊ปิน๛ส฿,20170109,40.9707,
603336.SH,บ๊ปิน๛ส฿,20170110,40.3654,
603336.SH,บ๊ปิน๛ส฿,20170111,40.6531,
603336.SH,บ๊ปิน๛ส฿,20170112,39.9387,
603336.SH,บ๊ปิน๛ส฿,20170113,38.6885,
603336.SH,บ๊ปิน๛ส฿,20170116,40.4646,
603336.SH,บ๊ปิน๛ส฿,20170117,41.9729,
603336.SH,บ๊ปิน๛ส฿,20170118,40.0181,
603336.SH,บ๊ปิน๛ส฿,20170119,38.4999,
603336.SH,บ๊ปิน๛ส฿,20170120,38.7083,
603336.SH,บ๊ปิน๛ส฿,20170123,39.4029,
603336.SH,บ๊ปิน๛ส฿,20170124,39.4724,
603336.SH,บ๊ปิน๛ส฿,20170125,39.9784,
603336.SH,บ๊ปิน๛ส฿,20170126,40.4845,
603336.SH,บ๊ปิน๛ส฿,20170203,42.4392,
603336.SH,บ๊ปิน๛ส฿,20170206,42.5583,
603336.SH,บ๊ปิน๛ส฿,20170207,44.9298,
603336.SH,บ๊ปิน๛ส฿,20170208,45.0687,
603336.SH,บ๊ปิน๛ส฿,20170209,46.1305,
603336.SH,บ๊ปิน๛ส฿,20170210,45.8129,
603336.SH,บ๊ปิน๛ส฿,20170213,47.0136,
603336.SH,บ๊ปิน๛ส฿,20170214,47.0037,
603336.SH,บ๊ปิน๛ส฿,20170215,47.4105,
603336.SH,บ๊ปิน๛ส฿,20170216,47.6784,
603336.SH,บ๊ปิน๛ส฿,20170217,48.5615,
603336.SH,บ๊ปิน๛ส฿,20170220,48.7104,
603336.SH,บ๊ปิน๛ส฿,20170221,50.7643,
603336.SH,บ๊ปิน๛ส฿,20170222,49.2759,
603336.SH,บ๊ปิน๛ส฿,20170223,52.7092,
603336.SH,บ๊ปิน๛ส฿,20170224,52.0543,
603336.SH,บ๊ปิน๛ส฿,20170227,48.4325,
603336.SH,บ๊ปิน๛ส฿,20170228,44.9596,
603336.SH,บ๊ปิน๛ส฿,20170301,44.3245,
603336.SH,บ๊ปิน๛ส฿,20170302,45.0985,
603336.SH,บ๊ปิน๛ส฿,20170303,43.749,
603336.SH,บ๊ปิน๛ส฿,20170306,44.1558,
603336.SH,บ๊ปิน๛ส฿,20170307,45.0489,
603336.SH,บ๊ปิน๛ส฿,20170308,45.4458,
603336.SH,บ๊ปิน๛ส฿,20170309,43.2529,
603336.SH,บ๊ปิน๛ส฿,20170310,41.9233,
603336.SH,บ๊ปิน๛ส฿,20170313,42.5385,
603336.SH,บ๊ปิน๛ส฿,20170314,42.211,
603336.SH,บ๊ปิน๛ส฿,20170315,42.1713,
603336.SH,บ๊ปิน๛ส฿,20170316,43.2529,
603336.SH,บ๊ปิน๛ส฿,20170317,43.6597,
603336.SH,บ๊ปิน๛ส฿,20170320,44.0566,
603336.SH,บ๊ปิน๛ส฿,20170321,46.8846,
603336.SH,บ๊ปิน๛ส฿,20170322,46.2396,
603336.SH,บ๊ปิน๛ส฿,20170323,45.168,
603336.SH,บ๊ปิน๛ส฿,20170324,44.2452,
