代码,简称,日期,收盘价(元),
300142.SZ,沃森生物,20101112,9.5119,
300142.SZ,沃森生物,20101115,10.1175,
300142.SZ,沃森生物,20101116,9.6738,
300142.SZ,沃森生物,20101117,9.8077,
300142.SZ,沃森生物,20101118,10.3665,
300142.SZ,沃森生物,20101119,10.6246,
300142.SZ,沃森生物,20101122,10.1468,
300142.SZ,沃森生物,20101123,10.1154,
300142.SZ,沃森生物,20101124,10.3107,
300142.SZ,沃森生物,20101125,10.1851,
300142.SZ,沃森生物,20101126,10.5695,
300142.SZ,沃森生物,20101129,10.8548,
300142.SZ,沃森生物,20101130,10.2165,
300142.SZ,沃森生物,20101201,10.1154,
300142.SZ,沃森生物,20101202,9.8642,
300142.SZ,沃森生物,20101203,9.6201,
300142.SZ,沃森生物,20101206,9.6891,
300142.SZ,沃森生物,20101207,9.7108,
300142.SZ,沃森生物,20101208,9.4526,
300142.SZ,沃森生物,20101209,9.4178,
300142.SZ,沃森生物,20101210,9.634,
300142.SZ,沃森生物,20101213,9.7728,
300142.SZ,沃森生物,20101214,9.6801,
300142.SZ,沃森生物,20101215,9.4673,
300142.SZ,沃森生物,20101216,9.5726,
300142.SZ,沃森生物,20101217,9.6277,
300142.SZ,沃森生物,20101220,9.8628,
300142.SZ,沃森生物,20101221,9.7456,
300142.SZ,沃森生物,20101222,9.4575,
300142.SZ,沃森生物,20101223,9.4122,
300142.SZ,沃森生物,20101224,8.8618,
300142.SZ,沃森生物,20101227,8.6643,
300142.SZ,沃森生物,20101228,8.7697,
300142.SZ,沃森生物,20101229,9.0341,
300142.SZ,沃森生物,20101230,8.9992,
300142.SZ,沃森生物,20101231,9.2922,
300142.SZ,沃森生物,20110104,9.3968,
300142.SZ,沃森生物,20110105,9.4024,
300142.SZ,沃森生物,20110106,9.2768,
300142.SZ,沃森生物,20110107,9.1171,
300142.SZ,沃森生物,20110110,8.649,
300142.SZ,沃森生物,20110111,8.6155,
300142.SZ,沃森生物,20110112,8.5562,
300142.SZ,沃森生物,20110113,8.5151,
300142.SZ,沃森生物,20110114,8.5109,
300142.SZ,沃森生物,20110117,8.1774,
300142.SZ,沃森生物,20110118,8.0644,
300142.SZ,沃森生物,20110119,8.3713,
300142.SZ,沃森生物,20110120,8.1272,
300142.SZ,沃森生物,20110121,8.1467,
300142.SZ,沃森生物,20110124,7.8698,
300142.SZ,沃森生物,20110125,7.7093,
300142.SZ,沃森生物,20110126,7.8028,
300142.SZ,沃森生物,20110127,7.9179,
300142.SZ,沃森生物,20110128,7.9514,
300142.SZ,沃森生物,20110131,7.9353,
300142.SZ,沃森生物,20110201,7.9542,
300142.SZ,沃森生物,20110209,7.86,
300142.SZ,沃森生物,20110210,7.86,
300142.SZ,沃森生物,20110211,8.1014,
300142.SZ,沃森生物,20110214,8.319,
300142.SZ,沃森生物,20110215,8.1607,
300142.SZ,沃森生物,20110216,8.4606,
300142.SZ,沃森生物,20110217,8.326,
300142.SZ,沃森生物,20110218,8.409,
300142.SZ,沃森生物,20110221,8.3218,
300142.SZ,沃森生物,20110222,8.0895,
300142.SZ,沃森生物,20110223,8.4802,
300142.SZ,沃森生物,20110224,8.2388,
300142.SZ,沃森生物,20110225,8.2283,
300142.SZ,沃森生物,20110228,8.2876,
300142.SZ,沃森生物,20110301,8.3365,
