測鎢,潠備,�梪�,彶攫歎(啋),
600340.SH,貌狦倷腦,20031230,0.5377,
600340.SH,貌狦倷腦,20031231,0.5401,
600340.SH,貌狦倷腦,20040102,0.5576,
600340.SH,貌狦倷腦,20040105,0.5811,
600340.SH,貌狦倷腦,20040106,0.598,
600340.SH,貌狦倷腦,20040107,0.5871,
600340.SH,貌狦倷腦,20040108,0.6293,
600340.SH,貌狦倷腦,20040109,0.6022,
600340.SH,貌狦倷腦,20040112,0.6161,
600340.SH,貌狦倷腦,20040113,0.6076,
600340.SH,貌狦倷腦,20040114,0.5889,
600340.SH,貌狦倷腦,20040115,0.5811,
600340.SH,貌狦倷腦,20040116,0.5847,
600340.SH,貌狦倷腦,20040129,0.5968,
600340.SH,貌狦倷腦,20040130,0.5697,
600340.SH,貌狦倷腦,20040202,0.5835,
600340.SH,貌狦倷腦,20040203,0.6088,
600340.SH,貌狦倷腦,20040204,0.6119,
600340.SH,貌狦倷腦,20040205,0.6179,
600340.SH,貌狦倷腦,20040206,0.6155,
600340.SH,貌狦倷腦,20040209,0.6191,
600340.SH,貌狦倷腦,20040210,0.6094,
600340.SH,貌狦倷腦,20040211,0.6227,
600340.SH,貌狦倷腦,20040212,0.6167,
600340.SH,貌狦倷腦,20040213,0.6263,
600340.SH,貌狦倷腦,20040216,0.6474,
600340.SH,貌狦倷腦,20040217,0.6474,
600340.SH,貌狦倷腦,20040218,0.6474,
600340.SH,貌狦倷腦,20040219,0.6631,
600340.SH,貌狦倷腦,20040220,0.6613,
600340.SH,貌狦倷腦,20040223,0.636,
600340.SH,貌狦倷腦,20040224,0.6233,
600340.SH,貌狦倷腦,20040225,0.6076,
600340.SH,貌狦倷腦,20040226,0.6149,
600340.SH,貌狦倷腦,20040227,0.6179,
600340.SH,貌狦倷腦,20040301,0.6149,
600340.SH,貌狦倷腦,20040302,0.6215,
600340.SH,貌狦倷腦,20040303,0.6143,
600340.SH,貌狦倷腦,20040304,0.6269,
600340.SH,貌狦倷腦,20040305,0.6179,
600340.SH,貌狦倷腦,20040308,0.5986,
600340.SH,貌狦倷腦,20040309,0.5841,
600340.SH,貌狦倷腦,20040310,0.5986,
600340.SH,貌狦倷腦,20040311,0.5998,
600340.SH,貌狦倷腦,20040312,0.5938,
600340.SH,貌狦倷腦,20040315,0.6034,
600340.SH,貌狦倷腦,20040316,0.6058,
600340.SH,貌狦倷腦,20040317,0.604,
600340.SH,貌狦倷腦,20040318,0.5974,
600340.SH,貌狦倷腦,20040319,0.6143,
600340.SH,貌狦倷腦,20040322,0.6275,
600340.SH,貌狦倷腦,20040323,0.6185,
600340.SH,貌狦倷腦,20040324,0.6113,
600340.SH,貌狦倷腦,20040325,0.6004,
600340.SH,貌狦倷腦,20040326,0.6022,
600340.SH,貌狦倷腦,20040329,0.5974,
600340.SH,貌狦倷腦,20040330,0.6046,
600340.SH,貌狦倷腦,20040331,0.6137,
600340.SH,貌狦倷腦,20040401,0.6149,
600340.SH,貌狦倷腦,20040402,0.6179,
600340.SH,貌狦倷腦,20040405,0.6354,
600340.SH,貌狦倷腦,20040406,0.6348,
600340.SH,貌狦倷腦,20040407,0.6366,
600340.SH,貌狦倷腦,20040408,0.6239,
600340.SH,貌狦倷腦,20040409,0.6106,
600340.SH,貌狦倷腦,20040412,0.6119,
600340.SH,貌狦倷腦,20040413,0.6058,
600340.SH,貌狦倷腦,20040414,0.5914,
600340.SH,貌狦倷腦,20040415,0.5757,
600340.SH,貌狦倷腦,20040416,0.5805,
600340.SH,貌狦倷腦,20040419,0.5666,
600340.SH,貌狦倷腦,20040420,0.5666,
600340.SH,貌狦倷腦,20040421,0.5697,
600340.SH,貌狦倷腦,20040422,0.5781,
600340.SH,貌狦倷腦,20040423,0.5606,
600340.SH,貌狦倷腦,20040426,0.5606,
600340.SH,貌狦倷腦,20040427,0.5455,
600340.SH,貌狦倷腦,20040428,0.5486,
600340.SH,貌狦倷腦,20040429,0.5407,
600340.SH,貌狦倷腦,20040430,0.5401,
600340.SH,貌狦倷腦,20040510,0.5281,
600340.SH,貌狦倷腦,20040511,0.5305,
600340.SH,貌狦倷腦,20040512,0.5492,
600340.SH,貌狦倷腦,20040513,0.5552,
600340.SH,貌狦倷腦,20040514,0.5618,
600340.SH,貌狦倷腦,20040517,0.5612,
600340.SH,貌狦倷腦,20040518,0.56,
600340.SH,貌狦倷腦,20040519,0.551,
600340.SH,貌狦倷腦,20040520,0.5419,
600340.SH,貌狦倷腦,20040521,0.5461,
600340.SH,貌狦倷腦,20040524,0.5437,
600340.SH,貌狦倷腦,20040525,0.5363,
600340.SH,貌狦倷腦,20040526,0.5184,
600340.SH,貌狦倷腦,20040527,0.5307,
600340.SH,貌狦倷腦,20040528,0.5258,
600340.SH,貌狦倷腦,20040531,0.5258,
600340.SH,貌狦倷腦,20040601,0.5492,
600340.SH,貌狦倷腦,20040602,0.5683,
600340.SH,貌狦倷腦,20040603,0.556,
600340.SH,貌狦倷腦,20040604,0.5523,
600340.SH,貌狦倷腦,20040607,0.5468,
600340.SH,貌狦倷腦,20040608,0.5455,
600340.SH,貌狦倷腦,20040609,0.524,
600340.SH,貌狦倷腦,20040610,0.5178,
600340.SH,貌狦倷腦,20040611,0.5221,
600340.SH,貌狦倷腦,20040614,0.519,
600340.SH,貌狦倷腦,20040615,0.527,
600340.SH,貌狦倷腦,20040616,0.5289,
600340.SH,貌狦倷腦,20040617,0.5172,
600340.SH,貌狦倷腦,20040618,0.519,
600340.SH,貌狦倷腦,20040621,0.5344,
600340.SH,貌狦倷腦,20040622,0.5332,
600340.SH,貌狦倷腦,20040623,0.5178,
600340.SH,貌狦倷腦,20040624,0.5221,
600340.SH,貌狦倷腦,20040625,0.4907,
600340.SH,貌狦倷腦,20040628,0.4814,
600340.SH,貌狦倷腦,20040629,0.4956,
600340.SH,貌狦倷腦,20040630,0.5203,
600340.SH,貌狦倷腦,20040701,0.5203,
600340.SH,貌狦倷腦,20040702,0.5153,
600340.SH,貌狦倷腦,20040705,0.5036,
600340.SH,貌狦倷腦,20040706,0.5024,
600340.SH,貌狦倷腦,20040707,0.4938,
600340.SH,貌狦倷腦,20040708,0.495,
600340.SH,貌狦倷腦,20040709,0.4962,
600340.SH,貌狦倷腦,20040712,0.4765,
600340.SH,貌狦倷腦,20040713,0.4746,
600340.SH,貌狦倷腦,20040714,0.4679,
600340.SH,貌狦倷腦,20040715,0.4561,
600340.SH,貌狦倷腦,20040716,0.4666,
600340.SH,貌狦倷腦,20040719,0.4561,
600340.SH,貌狦倷腦,20040720,0.4494,
600340.SH,貌狦倷腦,20040721,0.4488,
600340.SH,貌狦倷腦,20040722,0.442,
600340.SH,貌狦倷腦,20040723,0.4383,
600340.SH,貌狦倷腦,20040726,0.4204,
600340.SH,貌狦倷腦,20040727,0.4148,
600340.SH,貌狦倷腦,20040728,0.4148,
600340.SH,貌狦倷腦,20040729,0.4327,
600340.SH,貌狦倷腦,20040730,0.4198,
600340.SH,貌狦倷腦,20040802,0.4198,
600340.SH,貌狦倷腦,20040803,0.4167,
600340.SH,貌狦倷腦,20040804,0.4284,
600340.SH,貌狦倷腦,20040805,0.4173,
600340.SH,貌狦倷腦,20040806,0.4173,
600340.SH,貌狦倷腦,20040809,0.4112,
600340.SH,貌狦倷腦,20040810,0.4161,
600340.SH,貌狦倷腦,20040811,0.4025,
600340.SH,貌狦倷腦,20040812,0.3853,
600340.SH,貌狦倷腦,20040813,0.3853,
600340.SH,貌狦倷腦,20040816,0.3723,
600340.SH,貌狦倷腦,20040817,0.3729,
600340.SH,貌狦倷腦,20040818,0.3754,
600340.SH,貌狦倷腦,20040819,0.3563,
600340.SH,貌狦倷腦,20040820,0.3637,
600340.SH,貌狦倷腦,20040823,0.3563,
600340.SH,貌狦倷腦,20040824,0.3668,
600340.SH,貌狦倷腦,20040825,0.3674,
600340.SH,貌狦倷腦,20040826,0.3588,
600340.SH,貌狦倷腦,20040827,0.3575,
600340.SH,貌狦倷腦,20040830,0.3581,
600340.SH,貌狦倷腦,20040831,0.3674,
600340.SH,貌狦倷腦,20040901,0.3625,
600340.SH,貌狦倷腦,20040902,0.3655,
600340.SH,貌狦倷腦,20040903,0.368,
600340.SH,貌狦倷腦,20040906,0.368,
600340.SH,貌狦倷腦,20040907,0.3649,
600340.SH,貌狦倷腦,20040908,0.3618,
600340.SH,貌狦倷腦,20040909,0.3532,
600340.SH,貌狦倷腦,20040910,0.3575,
