股票代码,股票简称
002913.SZ,奥士康
000869.SZ,张裕A
603788.SH,宁波高发
603138.SH,海量数据
603578.SH,三星新材
300413.SZ,快乐购
300598.SZ,诚迈科技
300473.SZ,德尔股份
300651.SZ,金陵体育
002032.SZ,苏泊尔
603933.SH,睿能科技
002777.SZ,久远银海
002919.SZ,名臣健康
002903.SZ,宇环数控
300477.SZ,合纵科技
002907.SZ,华森制药
300739.SZ,明阳电路
601601.SH,中国太保
603680.SH,今创集团
002858.SZ,力盛赛车
300583.SZ,赛托生物
603179.SH,新泉股份
600702.SH,舍得酒业
603377.SH,东方时尚
603989.SH,艾华集团
603322.SH,超讯通信
300478.SZ,杭州高新
603881.SH,数据港
600487.SH,亨通光电
300671.SZ,富满电子
300542.SZ,新晨科技
300689.SZ,澄天伟业
603429.SH,集友股份
002761.SZ,多喜爱
603990.SH,麦迪科技
002921.SZ,联诚精密
603136.SH,天目湖
300529.SZ,健帆生物
002928.SZ,华夏航空
300561.SZ,汇金科技
300705.SZ,九典制药
002751.SZ,易尚展示
603203.SH,快克股份
600588.SH,用友网络
300468.SZ,四方精创
603038.SH,华立股份
603665.SH,康隆达
603660.SH,苏州科达
603183.SH,建研院
000025.SZ,特力A
300638.SZ,广和通
600754.SH,锦江股份
300710.SZ,万隆光电
002905.SZ,金逸影视
002508.SZ,老板电器
603208.SH,江山欧派
002920.SZ,德赛西威
300717.SZ,华信新材
300731.SZ,科创新源
300620.SZ,光库科技
002897.SZ,意华股份
300645.SZ,正元智慧
300675.SZ,建科院
601012.SH,隆基股份
300653.SZ,正海生物
002789.SZ,建艺集团
300136.SZ,信维通信
603200.SH,上海洗霸
600104.SH,上汽集团
300609.SZ,汇纳科技
002572.SZ,索菲亚
300553.SZ,集智股份
600694.SH,大商股份
002867.SZ,周大生
300393.SZ,中来股份
600085.SH,同仁堂
603556.SH,海兴电力
300701.SZ,森霸股份
603959.SH,百利科技
300294.SZ,博雅生物
603517.SH,绝味食品
300003.SZ,乐普医疗
002038.SZ,双鹭药业
600211.SH,西藏药业
603806.SH,福斯特
601155.SH,新城控股
600452.SH,涪陵电力
300557.SZ,理工光科
300124.SZ,汇川技术
300122.SZ,智飞生物
603638.SH,艾迪精密
002001.SZ,新和成
300483.SZ,沃施股份
300619.SZ,金银河
603506.SH,南都物业
002915.SZ,中欣氟材
603358.SH,华达科技
002901.SZ,大博医疗
300649.SZ,杭州园林
603607.SH,京华激光
603709.SH,中源家居
600340.SH,华夏幸福
600593.SH,大连圣亚
603559.SH,中通国脉
603396.SH,金辰股份
300456.SZ,耐威科技
300236.SZ,上海新阳
002757.SZ,南兴装备
603712.SH,七一二
600760.SH,中航沈飞
603730.SH,岱美股份
300692.SZ,中环环保
300581.SZ,晨曦航空
603970.SH,中农立华
600338.SH,西藏珠峰
600259.SH,广晟有色
002902.SZ,铭普光磁
002735.SZ,王子新材
002892.SZ,科力尔
002602.SZ,世纪华通
002729.SZ,好利来
603825.SH,华扬联众
300501.SZ,海顺新材
002885.SZ,京泉华
603860.SH,中公高科
600260.SH,凯乐科技
603938.SH,三孚股份
603025.SH,大豪科技
603355.SH,莱克电气
603496.SH,恒为科技
300727.SZ,润禾材料
600585.SH,海螺水泥
000049.SZ,德赛电池
600903.SH,贵州燃气
600298.SH,安琪酵母
002558.SZ,巨人网络
002624.SZ,完美世界
300603.SZ,立昂技术
300513.SZ,恒泰实达
603988.SH,中电电机
002287.SZ,奇正藏药
603359.SH,东珠景观
300538.SZ,同益股份
300530.SZ,达志科技
600455.SH,博通股份
603890.SH,春秋电子
002877.SZ,智能自控
002891.SZ,中宠股份
002852.SZ,道道全
601021.SH,春秋航空
300654.SZ,世纪天鸿
603963.SH,大理药业
300072.SZ,三聚环保
002871.SZ,伟隆股份
002788.SZ,鹭燕医药
000403.SZ,ST生化
300174.SZ,元力股份
603086.SH,先达股份
000002.SZ,万科A
603330.SH,上海天洋
300500.SZ,启迪设计
002422.SZ,科伦药业
002879.SZ,长缆科技
600332.SH,白云山
002859.SZ,洁美科技
600547.SH,山东黄金
300568.SZ,星源材质
600511.SH,国药股份
603985.SH,恒润股份
002815.SZ,崇达技术
300719.SZ,安达维尔
600258.SH,首旅酒店
