股票代码,股票简称
603090.SH,宏盛股份
603177.SH,德创环保
600637.SH,东方明珠
002518.SZ,科士达
603616.SH,韩建河山
300061.SZ,康旗股份
300068.SZ,南都电源
603829.SH,洛凯股份
600114.SH,东睦股份
600742.SH,一汽富维
600756.SH,浪潮软件
603803.SH,瑞斯康达
603856.SH,东宏股份
300295.SZ,三六五网
600183.SH,生益科技
600233.SH,圆通速递
000039.SZ,中集集团
002670.SZ,国盛金控
002836.SZ,新宏泽
603797.SH,联泰环保
000776.SZ,广发证券
603098.SH,森特股份
300399.SZ,京天利
600426.SH,华鲁恒升
600774.SH,汉商集团
300268.SZ,佳沃股份
300331.SZ,苏大维格
603633.SH,徕木股份
300183.SZ,东软载波
300036.SZ,超图软件
300258.SZ,精锻科技
300489.SZ,中飞股份
002603.SZ,以岭药业
300499.SZ,高澜股份
300386.SZ,飞天诚信
002051.SZ,中工国际
300101.SZ,振芯科技
603369.SH,今世缘
002189.SZ,利达光电
603239.SH,浙江仙通
300278.SZ,华昌达
300055.SZ,万邦达
300447.SZ,全信股份
002648.SZ,卫星石化
600176.SH,中国巨石
002222.SZ,福晶科技
000738.SZ,航发控制
002275.SZ,桂林三金
300241.SZ,瑞丰光电
300257.SZ,开山股份
002088.SZ,鲁阳节能
002811.SZ,亚泰国际
002127.SZ,南极电商
300221.SZ,银禧科技
000532.SZ,华金资本
600523.SH,贵航股份
002058.SZ,威尔泰
300353.SZ,东土科技
002114.SZ,罗平锌电
000501.SZ,鄂武商A
300065.SZ,海兰信
603919.SH,金徽酒
000673.SZ,当代东方
300127.SZ,银河磁体
603388.SH,元成股份
002493.SZ,荣盛石化
300170.SZ,汉得信息
603599.SH,广信股份
300432.SZ,富临精工
601828.SH,美凯龙
600129.SH,太极集团
002186.SZ,全聚德
300044.SZ,赛为智能
300406.SZ,九强生物
600004.SH,白云机场
000011.SZ,深物业A
300232.SZ,洲明科技
600536.SH,中国软件
002387.SZ,黑牛食品
603157.SH,拉夏贝尔
603920.SH,世运电路
000050.SZ,深天马A
000605.SZ,渤海股份
300284.SZ,苏交科
600079.SH,人福医药
002863.SZ,今飞凯达
300306.SZ,远方信息
002581.SZ,未名医药
300059.SZ,东方财富
600346.SH,恒力股份
600479.SH,千金药业
000990.SZ,诚志股份
300377.SZ,赢时胜
300494.SZ,盛天网络
000408.SZ,藏格控股
002695.SZ,煌上煌
603198.SH,迎驾贡酒
600216.SH,浙江医药
600639.SH,浦东金桥
002036.SZ,联创电子
002557.SZ,洽洽食品
300237.SZ,美晨生态
600060.SH,海信电器
002333.SZ,罗普斯金
300091.SZ,金通灵
600460.SH,士兰微
002117.SZ,东港股份
300476.SZ,胜宏科技
600372.SH,中航电子
002293.SZ,罗莱生活
002039.SZ,黔源电力
300149.SZ,量子高科
601108.SH,财通证券
601229.SH,上海银行
603108.SH,润达医疗
600373.SH,中文传媒
600668.SH,尖峰集团
002319.SZ,乐通股份
300415.SZ,伊之密
002414.SZ,高德红外
300140.SZ,中环装备
300597.SZ,吉大通信
000639.SZ,西王食品
002511.SZ,中顺洁柔
300387.SZ,富邦股份
600855.SH,航天长峰
600506.SH,香梨股份
002302.SZ,西部建设
002373.SZ,千方科技
600267.SH,海正药业
300635.SZ,达安股份
300526.SZ,中潜股份
300582.SZ,英飞特
000975.SZ,银泰资源
300531.SZ,优博讯
600007.SH,中国国贸
600507.SH,方大特钢
300585.SZ,奥联电子
600242.SH,中昌数据
300199.SZ,翰宇药业
000951.SZ,中国重汽
600967.SH,内蒙一机
601566.SH,九牧王
300576.SZ,容大感光
600962.SH,国投中鲁
603386.SH,广东骏亚
000586.SZ,汇源通信
002589.SZ,瑞康医药
000988.SZ,华工科技
000042.SZ,中洲控股
002609.SZ,捷顺科技
000020.SZ,深华发A
000546.SZ,金圆股份
600638.SH,新黄浦
603063.SH,禾望电气
002353.SZ,杰瑞股份
603918.SH,金桥信息
300351.SZ,永贵电器
300495.SZ,美尚生态
000712.SZ,锦龙股份
601997.SH,贵阳银行
600446.SH,金证股份
002424.SZ,贵州百灵
002672.SZ,东江环保
603289.SH,泰瑞机器
300389.SZ,艾比森
002376.SZ,新北洋
300156.SZ,神雾环保
300641.SZ,正丹股份
002731.SZ,萃华珠宝
600476.SH,湘邮科技
600141.SH,兴发集团
002544.SZ,杰赛科技
603819.SH,神力股份
002458.SZ,益生股份
002009.SZ,天奇股份
002793.SZ,东音股份
300161.SZ,华中数控
300537.SZ,广信材料
603189.SH,网达软件
603885.SH,吉祥航空
002262.SZ,恩华药业
000885.SZ,同力水泥
000996.SZ,中国中期
300378.SZ,鼎捷软件
600088.SH,中视传媒
600480.SH,凌云股份
300335.SZ,迪森股份
000584.SZ,哈工智能
000752.SZ,西藏发展
002299.SZ,圣农发展
300158.SZ,振东制药
300270.SZ,中威电子
300592.SZ,华凯创意
600388.SH,龙净环保
300085.SZ,银之杰
002782.SZ,可立克
300375.SZ,鹏翎股份
600804.SH,鹏博士
600980.SH,北矿科技
002617.SZ,露笑科技
603116.SH,红蜻蜓
603823.SH,百合花
002573.SZ,清新环境
300047.SZ,天源迪科
600329.SH,中新药业
600636.SH,*ST爱富
300075.SZ,数字政通
600587.SH,新华医疗
603889.SH,新澳股份
300437.SZ,清水源
300195.SZ,长荣股份
300229.SZ,拓尔思
600093.SH,易见股份
002136.SZ,安纳达
002199.SZ,东晶电子
300260.SZ,新莱应材
002568.SZ,百润股份
600316.SH,洪都航空
603916.SH,苏博特
002846.SZ,英联股份
002030.SZ,达安基因
600801.SH,华新水泥
002762.SZ,金发拉比
600749.SH,西藏旅游
300422.SZ,博世科
600629.SH,华建集团
300737.SZ,科顺股份
603298.SH,杭叉集团
002251.SZ,步步高
002684.SZ,猛狮科技
603758.SH,秦安股份
300490.SZ,华自科技
300610.SZ,晨化股份
002562.SZ,兄弟科技
600323.SH,瀚蓝环境
600444.SH,国机通用
002733.SZ,雄韬股份
300178.SZ,腾邦国际
300053.SZ,欧比特
002391.SZ,长青股份
002766.SZ,索菱股份
300427.SZ,红相股份
603035.SH,常熟汽饰
002488.SZ,金固股份
002491.SZ,通鼎互联
601113.SH,华鼎股份
000007.SZ,全新好
000553.SZ,沙隆达A
300400.SZ,劲拓股份
300395.SZ,菲利华
603036.SH,如通股份
603688.SH,石英股份
603879.SH,永悦科技
603787.SH,新日股份
002027.SZ,分众传媒
600064.SH,南京高科
600299.SH,安迪苏
603601.SH,再升科技
000952.SZ,广济药业
002454.SZ,松芝股份
002577.SZ,雷柏科技
300250.SZ,初灵信息
002536.SZ,西泵股份
300405.SZ,科隆股份
300445.SZ,康斯特
603567.SH,珍宝岛
000617.SZ,中油资本
603055.SH,台华新材
603928.SH,兴业股份
600640.SH,号百控股
603277.SH,银都股份
603977.SH,国泰集团
603798.SH,康普顿
002748.SZ,世龙实业
300252.SZ,金信诺
300536.SZ,农尚环境
600097.SH,开创国际
603861.SH,白云电器
002667.SZ,鞍重股份
300343.SZ,联创互联
002823.SZ,凯中精密
600650.SH,锦江投资
002024.SZ,苏宁易购
603311.SH,金海环境
600343.SH,航天动力
002241.SZ,歌尔股份
300052.SZ,中青宝
601198.SH,东兴证券
603308.SH,应流股份
600622.SH,光大嘉宝
603826.SH,坤彩科技
300342.SZ,天银机电
600895.SH,张江高科
600597.SH,光明乳业
600633.SH,浙数文化
002336.SZ,人人乐
600048.SH,保利地产
600055.SH,万东医疗
300031.SZ,宝通科技
300443.SZ,金雷风电
603818.SH,曲美家居
000636.SZ,风华高科
603001.SH,奥康国际
600557.SH,康缘药业
000971.SZ,高升控股
000889.SZ,茂业通信
300369.SZ,绿盟科技
000777.SZ,中核科技
300134.SZ,大富科技
300382.SZ,斯莱克
002428.SZ,云南锗业
300121.SZ,阳谷华泰
000544.SZ,中原环保
002582.SZ,好想你
000401.SZ,冀东水泥
002541.SZ,鸿路钢构
600689.SH,上海三毛
002061.SZ,浙江交科
600111.SH,北方稀土
600985.SH,雷鸣科化
000960.SZ,锡业股份
300007.SZ,汉威科技
600054.SH,黄山旅游
002408.SZ,齐翔腾达
600171.SH,上海贝岭
603006.SH,联明股份
603966.SH,法兰泰克
300311.SZ,任子行
000762.SZ,西藏矿业
002926.SZ,华西证券
603906.SH,龙蟠科技
000968.SZ,蓝焰控股
600933.SH,爱柯迪
000635.SZ,英力特
600833.SH,第一医药
002398.SZ,建研集团
601311.SH,骆驼股份
601800.SH,中国交建
603767.SH,中马传动
300475.SZ,聚隆科技
600188.SH,兖州煤业
600686.SH,金龙汽车
002430.SZ,杭氧股份
603007.SH,花王股份
002725.SZ,跃岭股份
603017.SH,中衡设计
603069.SH,海汽集团
603188.SH,亚邦股份
601098.SH,中南传媒
000096.SZ,广聚能源
002022.SZ,科华生物
002848.SZ,高斯贝尔
002795.SZ,永和智控
300216.SZ,千山药机
300521.SZ,爱司凯
600783.SH,鲁信创投
600718.SH,东软集团
300245.SZ,天玑科技
300001.SZ,特锐德
300017.SZ,网宿科技
300480.SZ,光力科技
300275.SZ,梅安森
300374.SZ,恒通科技
002338.SZ,奥普光电
601231.SH,环旭电子
002611.SZ,东方精工
603800.SH,道森股份
603477.SH,振静股份
002081.SZ,金螳螂
300279.SZ,和晶科技
002636.SZ,金安国纪
600560.SH,金自天正
603168.SH,莎普爱思
600596.SH,新安股份
002144.SZ,宏达高科
300379.SZ,东方通
600826.SH,兰生股份
300220.SZ,金运激光
300276.SZ,三丰智能
600037.SH,歌华有线
600382.SH,广东明珠
002646.SZ,青青稞酒
000792.SZ,盐湖股份
300453.SZ,三鑫医疗
600581.SH,八一钢铁
000668.SZ,荣丰控股
002254.SZ,泰和新材
300013.SZ,新宁物流
600234.SH,ST山水
002621.SZ,三垒股份
300314.SZ,戴维医疗
600841.SH,上柴股份
300230.SZ,永利股份
600283.SH,钱江水利
000733.SZ,振华科技
600768.SH,宁波富邦
002630.SZ,华西能源
600715.SH,文投控股
601677.SH,明泰铝业
000756.SZ,新华制药
600061.SH,国投资本
002497.SZ,雅化集团
002395.SZ,双象股份
002459.SZ,天业通联
601878.SH,浙商证券
300503.SZ,昊志机电
300363.SZ,博腾股份
600135.SH,乐凯胶片
600958.SH,东方证券
002092.SZ,中泰化学
300391.SZ,康跃科技
603178.SH,圣龙股份
600475.SH,华光股份
600803.SH,新奥股份
002247.SZ,帝龙文化
002759.SZ,天际股份
300251.SZ,光线传媒
601788.SH,光大证券
002659.SZ,凯文教育
000925.SZ,众合科技
600160.SH,巨化股份
601952.SH,苏垦农发
002246.SZ,北化股份
002612.SZ,朗姿股份
603598.SH,引力传媒
000970.SZ,中科三环
002445.SZ,中南文化
600385.SH,山东金泰
600621.SH,华鑫股份
603789.SH,星光农机
300098.SZ,高新兴
300459.SZ,金科文化
002417.SZ,深南股份
300403.SZ,地尔汉宇
000662.SZ,天夏智慧
002016.SZ,世荣兆业
000921.SZ,海信科龙
300204.SZ,舒泰神
600072.SH,中船科技
000818.SZ,方大化工
002014.SZ,永新股份
600874.SH,创业环保
601811.SH,新华文轩
603969.SH,银龙股份
000537.SZ,广宇发展
002882.SZ,金龙羽
600107.SH,美尔雅
002512.SZ,达华智能
300248.SZ,新开普
603328.SH,依顿电子
600380.SH,健康元
600383.SH,金地集团
002111.SZ,威海广泰
002763.SZ,汇洁股份
300269.SZ,联建光电
600119.SH,长江投资
002278.SZ,神开股份
002292.SZ,奥飞娱乐
002576.SZ,通达动力
600000.SH,浦发银行
600158.SH,中体产业
000663.SZ,永安林业
002599.SZ,盛通股份
600641.SH,万业企业
000819.SZ,岳阳兴长
603101.SH,汇嘉时代
300364.SZ,中文在线
600816.SH,安信信托
603315.SH,福鞍股份
002041.SZ,登海种业
600522.SH,中天科技
600551.SH,时代出版
601808.SH,中海油服
002707.SZ,众信旅游
000672.SZ,上峰水泥
300133.SZ,华策影视
600081.SH,东风科技
300096.SZ,易联众
300302.SZ,同有科技
002045.SZ,国光电器
002317.SZ,众生药业
002173.SZ,创新医疗
002042.SZ,华孚时尚
002583.SZ,海能达
603997.SH,继峰股份
000590.SZ,启迪古汉
002394.SZ,联发股份
300634.SZ,彩讯股份
600598.SH,北大荒
600681.SH,百川能源
600822.SH,上海物贸
000040.SZ,东旭蓝天
300493.SZ,润欣科技
603022.SH,新通联
002279.SZ,久其软件
002442.SZ,龙星化工
600398.SH,海澜之家
600847.SH,*ST万里
600420.SH,现代制药
300219.SZ,鸿利智汇
603316.SH,诚邦股份
000400.SZ,许继电气
600363.SH,联创光电
600449.SH,宁夏建材
000831.SZ,五矿稀土
300034.SZ,钢研高纳
000626.SZ,远大控股
600837.SH,海通证券
000878.SZ,云南铜业
002057.SZ,中钢天源
600371.SH,万向德农
000815.SZ,美利云
002537.SZ,海联金汇
300381.SZ,溢多利
601633.SH,长城汽车
002003.SZ,伟星股份
002808.SZ,苏州恒久
000881.SZ,中广核技
603577.SH,汇金通
002642.SZ,荣之联
002037.SZ,久联发展
002234.SZ,民和股份
002596.SZ,海南瑞泽
300291.SZ,华录百纳
600266.SH,北京城建
000603.SZ,盛达矿业
000821.SZ,京山轻机
300118.SZ,东方日升
600605.SH,汇通能源
600615.SH,丰华股份
300081.SZ,恒信东方
603111.SH,康尼机电
603303.SH,得邦照明
300611.SZ,美力科技
000625.SZ,长安汽车
002013.SZ,中航机电
000669.SZ,金鸿控股
002282.SZ,博深工具
000802.SZ,北京文化
600352.SH,浙江龙盛
002221.SZ,东华能源
600528.SH,中铁工业
600986.SH,科达股份
000001.SZ,平安银行
600228.SH,*ST昌九
601111.SH,中国国航
603003.SH,龙宇燃油
600926.SH,杭州银行
601882.SH,海天精工
300123.SZ,亚光科技
000676.SZ,智度股份
300460.SZ,惠伦晶体
603987.SH,康德莱
600898.SH,国美通讯
603600.SH,永艺股份
603615.SH,茶花股份
600594.SH,益佰制药
002040.SZ,南京港
002444.SZ,巨星科技
300528.SZ,幸福蓝海
300362.SZ,天翔环境
600797.SH,浙大网新
002653.SZ,海思科
603689.SH,皖天然气
002043.SZ,兔宝宝
002286.SZ,保龄宝
002327.SZ,富安娜
300051.SZ,三五互联
603588.SH,高能环境
300358.SZ,楚天科技
600677.SH,航天通信
300407.SZ,凯发电气
603099.SH,长白山
002457.SZ,青龙管业
300643.SZ,万通智控
600153.SH,建发股份
600643.SH,爱建集团
600687.SH,刚泰控股
002176.SZ,江特电机
002561.SZ,徐家汇
002156.SZ,通富微电
002694.SZ,顾地科技
600827.SH,百联股份
600295.SH,鄂尔多斯
600410.SH,华胜天成
002403.SZ,爱仕达
300196.SZ,长海股份
603299.SH,井神股份
002233.SZ,塔牌集团
002123.SZ,梦网集团
002644.SZ,佛慈制药
002705.SZ,新宝股份
300184.SZ,力源信息
002020.SZ,京新药业
300087.SZ,荃银高科
300138.SZ,晨光生物
300366.SZ,创意信息
002264.SZ,新华都
002078.SZ,太阳纸业
600508.SH,上海能源
002237.SZ,恒邦股份
002158.SZ,汉钟精机
603000.SH,人民网
603628.SH,清源股份
603703.SH,盛洋科技
000789.SZ,万年青
002107.SZ,沃华医药
601838.SH,成都银行
300145.SZ,中金环境
600272.SH,开开实业
603020.SH,爱普股份
300336.SZ,新文化
600435.SH,北方导航
603009.SH,北特科技
300020.SZ,银江股份
002290.SZ,中科新材
002706.SZ,良信电器
300208.SZ,恒顺众昇
600590.SH,泰豪科技
000948.SZ,南天信息
300243.SZ,瑞丰高材
300435.SZ,中泰股份
000726.SZ,鲁泰A
000828.SZ,东莞控股
002855.SZ,捷荣技术
601579.SH,会稽山
000014.SZ,沙河股份
002605.SZ,姚记扑克
000657.SZ,中钨高新
002785.SZ,万里石
300334.SZ,津膜科技
600829.SH,人民同泰
300045.SZ,华力创通
002401.SZ,中远海科
603067.SH,振华股份
603389.SH,亚振家居
603958.SH,哈森股份
600740.SH,山西焦化
300281.SZ,金明精机
002736.SZ,国信证券
300119.SZ,瑞普生物
002658.SZ,雪迪龙
600890.SH,中房股份
603321.SH,梅轮电梯
002590.SZ,万安科技
002618.SZ,丹邦科技
002649.SZ,博彦科技
002229.SZ,鸿博股份
002686.SZ,亿利达
600851.SH,海欣股份
300328.SZ,宜安科技
002053.SZ,云南能投
300354.SZ,东华测试
002137.SZ,麦达数字
000693.SZ,*ST华泽
600618.SH,氯碱化工
300599.SZ,雄塑科技
002711.SZ,欧浦智网
300253.SZ,卫宁健康
601699.SH,潞安环能
300339.SZ,润和软件
600381.SH,青海春天
600438.SH,通威股份
600029.SH,南方航空
000026.SZ,飞亚达A
002678.SZ,珠江钢琴
300355.SZ,蒙草生态
601137.SH,博威合金
603668.SH,天马科技
300120.SZ,经纬电材
300344.SZ,太空智造
600058.SH,五矿发展
000877.SZ,天山股份
601007.SH,金陵饭店
600463.SH,空港股份
600501.SH,航天晨光
000695.SZ,滨海能源
002747.SZ,埃斯顿
600390.SH,五矿资本
002674.SZ,兴业科技
002077.SZ,大港股份
300402.SZ,宝色股份
300114.SZ,中航电测
601766.SH,中国中车
603636.SH,南威软件
300235.SZ,方直科技
600619.SH,海立股份
600857.SH,宁波中百
002643.SZ,万润股份
002655.SZ,共达电声
300231.SZ,银信科技
002730.SZ,电光科技
600765.SH,中航重机
601086.SH,国芳集团
002772.SZ,众兴菌业
603167.SH,渤海轮渡
000800.SZ,一汽轿车
600491.SH,龙元建设
601801.SH,皖新传媒
002250.SZ,联化科技
002698.SZ,博实股份
600305.SH,恒顺醋业
300041.SZ,回天新材
300197.SZ,铁汉生态
000665.SZ,湖北广电
002063.SZ,远光软件
002066.SZ,瑞泰科技
600678.SH,四川金顶
601366.SH,利群股份
601881.SH,中国银河
600720.SH,祁连山
600965.SH,福成股份
603558.SH,健盛集团
000610.SZ,西安旅游
000708.SZ,大冶特钢
002675.SZ,东诚药业
600100.SH,同方股份
000410.SZ,沈阳机床
000688.SZ,建新矿业
002316.SZ,键桥通讯
600761.SH,安徽合力
600579.SH,天华院
600969.SH,郴电国际
603606.SH,东方电缆
603855.SH,华荣股份
601933.SH,永辉超市
002166.SZ,莱茵生物
000402.SZ,金融街
600766.SH,园城黄金
300190.SZ,维尔利
603608.SH,天创时尚
002364.SZ,中恒电气
600843.SH,上工申贝
300515.SZ,三德科技
600215.SH,长春经开
002307.SZ,北新路桥
300465.SZ,高伟达
300555.SZ,路通视信
002681.SZ,奋达科技
600367.SH,红星发展
600695.SH,绿庭投资
002563.SZ,森马服饰
600655.SH,豫园股份
603838.SH,四通股份
000685.SZ,中山公用
002112.SZ,三变科技
600623.SH,华谊集团
002522.SZ,浙江众成
600278.SH,东方创业
601900.SH,南方传媒
300182.SZ,捷成股份
600728.SH,佳都科技
000032.SZ,深桑达A
300277.SZ,海联讯
600992.SH,贵绳股份
600673.SH,东阳光科
300019.SZ,硅宝科技
600200.SH,江苏吴中
600634.SH,富控互动
601611.SH,中国核建
300054.SZ,鼎龙股份
600466.SH,蓝光发展
300466.SZ,赛摩电气
600422.SH,昆药集团
603196.SH,日播时尚
002235.SZ,安妮股份
002465.SZ,海格通信
300153.SZ,科泰电源
600080.SH,金花股份
000597.SZ,东北制药
600838.SH,上海九百
601186.SH,中国铁建
300177.SZ,中海达
600489.SH,中金黄金
601019.SH,山东出版
300023.SZ,宝德股份
300313.SZ,天山生物
600213.SH,亚星客车
600416.SH,湘电股份
600630.SH,龙头股份
000987.SZ,越秀金控
002355.SZ,兴民智通
002660.SZ,茂硕电源
000909.SZ,数源科技
300310.SZ,宜通世纪
600377.SH,宁沪高速
002248.SZ,*ST东数
600543.SH,莫高股份
300272.SZ,开能环保
600180.SH,瑞茂通
600892.SH,大晟文化
002139.SZ,拓邦股份
300390.SZ,天华超净
000926.SZ,福星股份
002461.SZ,珠江啤酒
600773.SH,西藏城投
000524.SZ,岭南控股
600717.SH,天津港
600721.SH,百花村
603100.SH,川仪股份
000902.SZ,新洋丰
002201.SZ,九鼎新材
600206.SH,有研新材
000980.SZ,众泰汽车
002217.SZ,合力泰
600012.SH,皖通高速
002187.SZ,广百股份
002566.SZ,益盛药业
002197.SZ,证通电子
002308.SZ,威创股份
002682.SZ,龙洲股份
300330.SZ,华虹计通
000090.SZ,天健集团
000426.SZ,兴业矿业
000687.SZ,华讯方舟
002232.SZ,启明信息
600285.SH,羚锐制药
600901.SH,江苏租赁
002155.SZ,湖南黄金
002146.SZ,荣盛发展
600789.SH,鲁抗医药
000888.SZ,峨眉山A
002297.SZ,博云新材
600209.SH,罗顿发展
600335.SH,国机汽车
300254.SZ,仟源医药
000519.SZ,中兵红箭
300010.SZ,立思辰
002200.SZ,云投生态
603609.SH,禾丰牧业
002548.SZ,金新农
600658.SH,电子城
000045.SZ,深纺织A
002673.SZ,西部证券
002685.SZ,华东重机
300141.SZ,和顺电气
300187.SZ,永清环保
600755.SH,厦门国贸
603817.SH,海峡环保
600250.SH,南纺股份
000905.SZ,厦门港务
002591.SZ,恒大高新
300027.SZ,华谊兄弟
000957.SZ,中通客车
002787.SZ,华源控股
600727.SH,鲁北化工
300228.SZ,富瑞特装
000785.SZ,武汉中商
002472.SZ,双环传动
601515.SH,东风股份
002367.SZ,康力电梯
002633.SZ,申科股份
300112.SZ,万讯自控
300425.SZ,环能科技
002116.SZ,中国海诚
002835.SZ,同为股份
600099.SH,林海股份
002126.SZ,银轮股份
300293.SZ,蓝英装备
000829.SZ,天音控股
001965.SZ,招商公路
000735.SZ,罗牛山
002108.SZ,沧州明珠
600571.SH,信雅达
000060.SZ,中金岭南
002056.SZ,横店东磁
300297.SZ,蓝盾股份
603126.SH,中材节能
000848.SZ,承德露露
002285.SZ,世联行
300011.SZ,鼎汉技术
600070.SH,浙江富润
600128.SH,弘业股份
000059.SZ,华锦股份
002129.SZ,中环股份
002547.SZ,春兴精工
002167.SZ,东方锆业
002513.SZ,蓝丰生化
300078.SZ,思创医惠
600628.SH,新世界
000880.SZ,潍柴重机
002194.SZ,武汉凡谷
002331.SZ,皖通科技
600692.SH,亚通股份
603335.SH,迪生力
603979.SH,金诚信
600545.SH,卓郎智能
600155.SH,宝硕股份
600996.SH,贵广网络
600284.SH,浦东建设
300539.SZ,横河模具
600674.SH,川投能源
000628.SZ,高新发展
601678.SH,滨化股份
601858.SH,中国科传
600015.SH,华夏银行
600328.SH,兰太实业
601567.SH,三星医疗
000043.SZ,中航地产
002029.SZ,七匹狼
002125.SZ,湘潭电化
002448.SZ,中原内配
300159.SZ,新研股份
300259.SZ,新天科技
300289.SZ,利德曼
002326.SZ,永太科技
300205.SZ,天喻信息
601668.SH,中国建筑
002631.SZ,德尔未来
002402.SZ,和而泰
600490.SH,鹏欣资源
002023.SZ,海特高新
002786.SZ,银宝山新
000823.SZ,超声电子
600787.SH,中储股份
000728.SZ,国元证券
002527.SZ,新时达
002608.SZ,江苏国信
002620.SZ,瑞和股份
300322.SZ,硕贝德
600817.SH,*ST宏盛
600970.SH,中材国际
600834.SH,申通地铁
600499.SH,科达洁能
603028.SH,赛福天
002446.SZ,盛路通信
002534.SZ,杭锅股份
600089.SH,特变电工
600875.SH,东方电气
600810.SH,神马股份
002270.SZ,华明装备
600861.SH,北京城乡
002295.SZ,精艺股份
002390.SZ,信邦制药
600651.SH,飞乐音响
600883.SH,博闻科技
600995.SH,文山电力
000615.SZ,京汉股份
300287.SZ,飞利信
002124.SZ,天邦股份
000502.SZ,绿景控股
000609.SZ,中迪投资
002443.SZ,金洲管道
600312.SH,平高电气
600021.SH,上海电力
002245.SZ,澳洋顺昌
300412.SZ,迦南科技
600122.SH,宏图高科
000070.SZ,特发信息
000722.SZ,湖南发展
000797.SZ,中国武夷
300360.SZ,炬华科技
600207.SH,安彩高科
002418.SZ,康盛股份
600068.SH,葛洲坝
002196.SZ,方正电机
603993.SH,洛阳钼业
002071.SZ,长城影视
300359.SZ,全通教育
600203.SH,福日电子
600882.SH,广泽股份
002758.SZ,华通医药
002441.SZ,众业达
002501.SZ,利源精制
600379.SH,宝光股份
000929.SZ,兰州黄河
601006.SH,大秦铁路
002637.SZ,赞宇科技
002332.SZ,仙琚制药
600125.SH,铁龙物流
000507.SZ,珠海港
002086.SZ,东方海洋
002203.SZ,海亮股份
600273.SH,嘉化能源
002231.SZ,奥维通信
300234.SZ,开尔新材
600326.SH,西藏天路
002700.SZ,新疆浩源
002068.SZ,黑猫股份
002774.SZ,快意电梯
300147.SZ,香雪制药
600409.SH,三友化工
002470.SZ,金正大
002743.SZ,富煌钢构
600548.SH,深高速
000613.SZ,大东海A
000798.SZ,中水渔业
600177.SH,雅戈尔
000541.SZ,佛山照明
600202.SH,哈空调
600477.SH,杭萧钢构
000559.SZ,万向钱潮
600387.SH,海越股份
000528.SZ,柳工
000993.SZ,闽东电力
300064.SZ,豫金刚石
300471.SZ,厚普股份
002238.SZ,天威视讯
600971.SH,恒源煤电
000920.SZ,南方汇通
002033.SZ,丽江旅游
002521.SZ,齐峰新材
000976.SZ,华铁股份
002046.SZ,轴研科技
002093.SZ,国脉科技
002140.SZ,东华科技
002149.SZ,西部材料
601886.SH,江河集团
002434.SZ,万里扬
600019.SH,宝钢股份
600894.SH,广日股份
000638.SZ,万方发展
000701.SZ,厦门信达
000759.SZ,中百集团
300200.SZ,高盟新材
600229.SH,城市传媒
002339.SZ,积成电子
600532.SH,宏达矿业
000430.SZ,张家界
002479.SZ,富春环保
600707.SH,彩虹股份
000715.SZ,中兴商业
002209.SZ,达意隆
002538.SZ,司尔特
300273.SZ,和佳股份
000719.SZ,中原传媒
002350.SZ,北京科锐
300440.SZ,运达科技
600059.SH,古越龙山
300093.SZ,金刚玻璃
600592.SH,龙溪股份
601798.SH,蓝科高新
600191.SH,华资实业
000089.SZ,深圳机场
000582.SZ,北部湾港
002432.SZ,九安医疗
300326.SZ,凯利泰
000036.SZ,华联控股
002433.SZ,太安堂
002750.SZ,龙津药业
002351.SZ,漫步者
000953.SZ,*ST河化
002191.SZ,劲嘉股份
600240.SH,华业资本
600376.SH,首开股份
002134.SZ,*ST普林
600354.SH,敦煌种业
600862.SH,中航高科
600714.SH,金瑞矿业
600846.SH,同济科技
002552.SZ,宝鼎科技
600101.SH,明星电力
600580.SH,卧龙电气
000790.SZ,泰合健康
002118.SZ,紫鑫药业
000505.SZ,京粮控股
002378.SZ,章源钨业
300057.SZ,万顺股份
603117.SH,万林股份
603828.SH,柯利达
000919.SZ,金陵药业
002369.SZ,卓翼科技
002416.SZ,爱施德
600561.SH,江西长运
002474.SZ,榕基软件
601965.SH,中国汽研
000813.SZ,德展健康
002298.SZ,中电鑫龙
000099.SZ,中信海直
300108.SZ,吉药控股
600620.SH,天宸股份
000021.SZ,深科技
601009.SH,南京银行
600016.SH,民生银行
600031.SH,三一重工
600613.SH,神奇制药
601500.SH,通用股份
000981.SZ,银亿股份
002289.SZ,宇顺电子
600330.SH,天通股份
000069.SZ,华侨城A
600513.SH,联环药业
000633.SZ,合金投资
600608.SH,*ST沪科
300050.SZ,世纪鼎利
300534.SZ,陇神戎发
601002.SH,晋亿实业
002334.SZ,英威腾
600737.SH,中粮糖业
600738.SH,兰州民百
000690.SZ,宝新能源
600057.SH,象屿股份
600109.SH,国金证券
601555.SH,东吴证券
300077.SZ,国民技术
000560.SZ,昆百大A
002839.SZ,张家港行
300074.SZ,华平股份
002564.SZ,天沃科技
600149.SH,*ST坊展
600360.SH,华微电子
000338.SZ,潍柴动力
002100.SZ,天康生物
002724.SZ,海洋王
300224.SZ,正海磁材
002150.SZ,通润装备
002579.SZ,中京电子
600116.SH,三峡水利
600172.SH,黄河旋风
601368.SH,绿城水务
002091.SZ,江苏国泰
603901.SH,永创智能
600458.SH,时代新材
002752.SZ,昇兴股份
002586.SZ,围海股份
000429.SZ,粤高速A
002559.SZ,亚威股份
600123.SH,兰花科创
000627.SZ,天茂集团
300356.SZ,光一科技
002455.SZ,百川股份
600649.SH,城投控股
